"Step","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DQN - eval/average_reward","Group: DQN - eval/average_reward__MIN","Group: DQN - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX"
"0","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000"
"1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000"
"2000","-1000","-1000","-1000","-1000","-1000","-1000","-2237.5","-13375","-1000","-1000","-1000","-1000","-2980","-20800","-1000","-1000","-1000","-1000"
"3000","-901.5","-1000","-15","-2098.9","-11989","-1000","-5049.1","-15058","-1000","-1000","-1000","-1000","-2405.8","-15058","-1000","-2881.3","-20800","-13"
"4000","-3248.9","-15058","-13","-2170.5","-11989","-14","-3893.1","-20800","-13","-1000","-1000","-1000","-3238.6","-17434","-13","-2150.2","-17434","-13"
"5000","-310.3","-1000","-13","-2053.4","-17434","-14","-211","-1000","-13","-1000","-1000","-1000","-506.5","-1000","-13","-408.7","-1000","-13"
"6000","-795.8","-6841","-13","-3250","-20800","-13","-2388.1","-20800","-13","-1000","-1000","-1000","-407.8","-1000","-13","-309.5","-1000","-13"
"7000","-210.8","-1000","-13","-1856.1","-17434","-13","-2149.9","-17434","-13","-1000","-1000","-1000","-1071.6","-8623","-13","-112.8","-1000","-13"
"8000","-309.8","-1000","-13","-114.6","-1000","-13","-309.3","-1000","-13","-1000","-1000","-1000","-2496.6","-13375","-13","-706","-4960","-13"
"9000","-112.3","-1000","-13","-16.2","-26","-13","-407.9","-1000","-13","-1000","-1000","-1000","-2576.3","-15058","-13","-846.2","-7237","-13"
"10000","-112.4","-1000","-13","-1934.3","-10009","-13","-309.3","-1000","-13","-1000","-1000","-1000","-3763.4","-15058","-13","-2110.3","-15058","-13"
"11000","-112.2","-1000","-13","-795.4","-6841","-13","-407.9","-1000","-13","-1000","-1000","-1000","-1102.3","-9910","-13","-211.8","-1000","-13"
"12000","-211","-1000","-13","-310.2","-1000","-13","-309.3","-1000","-13","-901.5","-1000","-15","-2665","-17434","-13","-309.5","-1000","-13"
"13000","-112","-1000","-13","-310.8","-1000","-13","-309.3","-1000","-13","-901.3","-1000","-13","-1952.5","-17434","-13","-1842.7","-13375","-13"
"14000","-210.7","-1000","-13","-507.1","-1000","-13","-605.4","-1000","-13","-901.3","-1000","-13","-4358.1","-17434","-13","-2388.2","-20800","-13"
"15000","-112.1","-1000","-13","-1259.7","-8524","-13","-1497","-10900","-13","-901.3","-1000","-13","-4148.8","-13375","-13","-922.9","-7138","-13"
"16000","-210.5","-1000","-13","-408.5","-1000","-13","-408.4","-1000","-13","-901.3","-1000","-13","-2248","-9910","-13","-407.8","-1000","-13"
"17000","-309.3","-1000","-13","-211.6","-1000","-13","-3892","-17434","-13","-802.6","-1000","-13","-3337.3","-17434","-13","-408.1","-1000","-13"
"18000","-309.6","-1000","-13","-211.3","-1000","-13","-309.5","-1000","-13","-704.1","-1000","-13","-6564.7","-17434","-13","-506.7","-1000","-13"
"19000","-309.4","-1000","-13","-211.2","-1000","-13","-408","-1000","-13","-704.1","-1000","-13","-5940.7","-17434","-13","-2585.2","-20800","-13"
"20000","-210.8","-1000","-13","-211.1","-1000","-13","-309.1","-1000","-13","-703.9","-1000","-13","-1901.5","-11989","-13","-506.5","-1000","-13"
"21000","-112.2","-1000","-13","-13.4","-15","-13","-1298.9","-9910","-13","-703.9","-1000","-13","-5158.9","-17434","-13","-606.1","-1000","-13"
"22000","-112","-1000","-13","-13","-13","-13","-408","-1000","-13","-1357.6","-8524","-13","-6089.8","-17434","-13","-1031.6","-6247","-13"
"23000","-210.5","-1000","-13","-210.7","-1000","-13","-408.4","-1000","-13","-407.8","-1000","-13","-408","-1000","-13","-506.5","-1000","-13"
"24000","-112.2","-1000","-13","-112","-1000","-13","-605.2","-1000","-13","-407.8","-1000","-13","-2248.6","-17434","-13","-605.2","-1000","-13"
"25000","-210.5","-1000","-13","-112.3","-1000","-13","-408","-1000","-13","-407.8","-1000","-13","-3209.1","-15058","-13","-309.1","-1000","-13"
"26000","-13.6","-15","-13","-13.4","-15","-13","-309.3","-1000","-13","-506.5","-1000","-13","-2812.8","-15058","-13","-408.7","-1000","-13"
"27000","-112.1","-1000","-13","-111.9","-1000","-13","-309.1","-1000","-13","-407.8","-1000","-13","-4940.5","-17434","-13","-932.2","-5257","-13"
"28000","-111.8","-1000","-13","-210.7","-1000","-13","-309.1","-1000","-13","-506.5","-1000","-13","-2446","-17434","-13","-309.1","-1000","-13"
"29000","-111.8","-1000","-13","-111.9","-1000","-13","-506.5","-1000","-13","-407.8","-1000","-13","-112.1","-1000","-13","-309.1","-1000","-13"
"30000","-13.2","-14","-13","-111.7","-1000","-13","-407.8","-1000","-13","-506.5","-1000","-13","-2149.9","-17434","-13","-210.5","-1000","-13"
"31000","-111.7","-1000","-13","-210.5","-1000","-13","-408","-1000","-13","-309.1","-1000","-13","-506.7","-1000","-13","-506.5","-1000","-13"
"32000","-13.2","-15","-13","-309.1","-1000","-13","-407.8","-1000","-13","-506.5","-1000","-13","-2011","-15058","-13","-309.1","-1000","-13"
"33000","-13.3","-15","-13","-210.6","-1000","-13","-407.8","-1000","-13","-605.2","-1000","-13","-507","-1000","-13","-506.5","-1000","-13"
"34000","-13.2","-14","-13","-210.5","-1000","-13","-210.4","-1000","-13","-111.7","-1000","-13","-506.7","-1000","-13","-111.7","-1000","-13"
"35000","-13.2","-15","-13","-210.4","-1000","-13","-111.7","-1000","-13","-407.8","-1000","-13","-408","-1000","-13","-111.7","-1000","-13"
"36000","-111.7","-1000","-13","-210.5","-1000","-13","-210.4","-1000","-13","-309.1","-1000","-13","-407.8","-1000","-13","-210.4","-1000","-13"
"37000","-13.1","-14","-13","-111.7","-1000","-13","-111.7","-1000","-13","-210.4","-1000","-13","-309.3","-1000","-13","-211.3","-1000","-13"
