"Step","Group: EQL_geo05 - eval/average_reward","Group: EQL_geo05 - eval/average_reward__MIN","Group: EQL_geo05 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX"
"0","-8.74482263242024","-11.02690161295681","-7.127435367278641","-8.74482263242024","-11.02690161295681","-7.127435367278641","-8.74482263242024","-11.02690161295681","-7.127435367278641","-8.750836705735008","-11.036949969784036","-7.136858963082291","-8.751289229399685","-11.029129158077236","-7.126073423974072","-8.751933168829233","-11.03355401841181","-7.126073423974072"
"1000","-9.076090445287408","-13.050490987703402","-7.127435367278641","-8.74482263242024","-11.02690161295681","-7.127435367278641","-8.74482263242024","-11.02690161295681","-7.127435367278641","-9.362778343389227","-13.042582013507916","-7.929662587605361","-8.916290285973135","-10.534879041761005","-7.126073423974072","-8.903320699469413","-10.734580242785484","-7.126073423974072"
"2000","-11.505399659022638","-19.47013083589419","-6.640209278578789","-11.398417092577608","-17.061838081576475","-6.262656457381617","-15.203050010917835","-35.34120993518568","-6.276250235763152","-10.225176707037567","-14.733870901080692","-7.406034973038902","-13.09413317483681","-32.116289791008185","-7.877729014282899","-12.897636787030809","-21.15918004824063","-8.12424144358142"
"3000","-11.661758299558008","-16.93930796046298","-6.299642852976376","-11.758228130695905","-34.6441980940358","-6.8749429459493765","-11.117305299455058","-18.192655976478868","-7.130374265120831","-10.912565345977223","-23.102655356608814","-5.161271758564943","-13.14192099461432","-29.485362732848415","-5.05345401285803","-9.802506799616944","-16.230187077277364","-7.6206101411669565"
"4000","-10.874516897251322","-17.186152067088948","-5.893061662998686","-12.089801328407006","-49.84292224554398","-4.654864136678375","-8.415658125055117","-15.817302919586163","-4.963961339557686","-10.881409400979948","-22.575473467095584","-5.145264183616026","-9.654274825261348","-14.871244488852568","-4.279705487663611","-8.708579231461705","-11.8135992775812","-4.99570314453248"
"5000","-7.467364911101041","-11.801652829069106","-4.578377617173682","-7.802728755294945","-17.484792095729034","-3.9984345254366964","-6.642755153801318","-8.619790156290914","-4.947974592636507","-7.542357344870929","-23.387133431226744","-3.9277090797379834","-8.90919617990016","-18.380068238710734","-4.3197326162184515","-8.666500021321102","-16.923127132453395","-4.425188300614012"
"6000","-6.144941825727313","-9.39949507034355","-4.29532575082203","-5.419103365576236","-6.321056075853853","-4.222921543500974","-7.178019200446579","-10.571713104457553","-3.902443925602521","-6.442331148541049","-22.366768278357398","-3.1266757989562253","-6.424859864888072","-11.258331328811366","-3.2513860132257255","-6.8065202012621455","-14.403848718097734","-3.9365568225034906"
"7000","-5.015538649094317","-7.195907328737034","-3.3329341549522993","-5.364903504244132","-6.921125333036818","-3.0229430959401014","-5.2916253745282935","-9.443449661376745","-2.982133793409269","-4.242172217244185","-6.360348298891693","-2.730160257024925","-6.360302895748859","-10.829484961162889","-3.7577483424419595","-5.7300105353221635","-9.87362280496753","-3.191729420616554"
"8000","-3.6783624150789036","-4.962698816945282","-2.8089585538578064","-4.3699364854600855","-5.195720682652402","-3.3358341502797018","-5.206591727146517","-7.563260427268586","-3.2969951389012544","-3.488807334567557","-5.323044375838677","-2.554276075398218","-5.700220315497136","-8.35809094245673","-3.5600106931942035","-4.857365859986103","-10.232619423861697","-3.407126064325527"
"9000","-4.017361149980897","-7.436374974678481","-2.747965397886703","-4.225267167100861","-6.836222694428176","-2.8848602438232023","-4.4575837894509345","-6.44091857966564","-3.1232508680040523","-3.1059502827464187","-3.9390753449952514","-2.133612864659242","-4.848517188542896","-7.796034768301288","-3.67795961019059","-4.5903615466969345","-10.089235338509608","-2.605609726333515"
"10000","-3.306014223375823","-4.895770800699127","-2.377111502956772","-3.738349688362156","-4.875631714368241","-2.1786345986519695","-3.8589467479389334","-5.57033370834572","-2.320625340907435","-2.393723496729435","-3.339553693589676","-1.740929948204057","-4.2841527904753365","-6.9787037170558746","-2.611986356713444","-3.5896142747709887","-5.952227480720833","-1.8451556251187469"
"11000","-2.8425792866732196","-4.128163718145376","-1.8956669779661433","-3.1402779474927374","-4.2711773627216685","-2.3191262687809298","-3.203913091248082","-4.2127612909544","-2.2227989053680863","-2.484187814847405","-3.408368953454661","-1.4109798399333058","-3.5680041684039034","-5.373899015931961","-1.9640168767430513","-3.03554083263509","-5.190068202428714","-1.9902288604898637"
"12000","-2.64227070066637","-3.7758049143833667","-1.6221757684079132","-3.0968720672831433","-4.52829226784358","-2.1774149895359516","-3.071696714770929","-4.516220202610894","-1.8083335699943","-2.6768909473287263","-4.792709931189714","-1.667923204140727","-3.8018517974587356","-7.750187828539889","-1.8037559176067965","-2.915112219688884","-4.002134398559244","-1.531050268314951"
"13000","-2.3329599100987","-3.7410517840159914","-1.7539532820308625","-2.6084282986466953","-4.038614602772513","-1.8261204686078667","-3.0597377085068125","-4.094127390358018","-2.3909447342542647","-2.63148805505473","-4.732614774671755","-1.1947600062308434","-3.126417724495212","-5.051959275864676","-2.101986129556449","-2.985659396976717","-3.707225222900084","-1.80454347994914"
"14000","-2.1067730293023574","-3.2327201948930466","-1.0068182930090122","-2.526311395002321","-3.8300835134491704","-1.5783424502967338","-2.9231874179092463","-3.9180813467703315","-1.8141457981940363","-2.008024582664867","-3.3087416938805783","-1.2021160224429268","-3.4167577172767425","-4.745768336667405","-1.7493876942458773","-2.9056203573036417","-4.824154495504554","-2.138340243902884"
"15000","-2.1133402860641377","-2.9474680331099306","-1.554662051527148","-2.297823741483169","-3.2869366969795726","-1.4595535216267677","-2.563803596561642","-4.206002998473054","-1.8385629568406938","-2.1116174239330032","-3.177931406938616","-1.422132708757633","-2.677857954155219","-4.279954893278862","-1.641003101302062","-2.610203586305862","-3.840326500867473","-1.5066405929528766"
