"Step","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX"
"0","-1327.5068741026928","-1504.1576338787845","-1119.958915246105","-1329.080649497698","-1469.692102542048","-1160.8501109178949","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1342.0107601951943","-1497.826132247897","-1041.9181518319408"
"300","-1327.5068741026928","-1504.1576338787845","-1119.958915246105","-1329.080649497698","-1469.692102542048","-1160.8501109178949","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1342.0107601951943","-1497.826132247897","-1041.9181518319408"
"600","-1327.5068741026928","-1504.1576338787845","-1119.958915246105","-1329.080649497698","-1469.692102542048","-1160.8501109178949","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1342.0107601951943","-1497.826132247897","-1041.9181518319408"
"900","-1327.5068741026928","-1504.1576338787845","-1119.958915246105","-1329.080649497698","-1469.692102542048","-1160.8501109178949","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1298.573945261273","-1434.5898620736632","-1131.0670114685247","-1342.0107601951943","-1497.826132247897","-1041.9181518319408"
"1200","-1617.250648527368","-1780.734448656968","-1500.3434251762199","-1577.3952269426477","-1691.6330229482446","-1467.4039427912","-1696.9465951388527","-1843.9267116924245","-1543.6424352552453","-1438.0061306283892","-1658.1044324011868","-1211.8562844737376","-1628.328054718482","-1804.741318820042","-1498.0587996827774","-1550.2888254323814","-1833.1954292730939","-1403.2037711176195"
"1500","-1529.4166260209684","-1693.9956371058665","-1444.007168779017","-1559.0198429738884","-1825.593472794084","-1448.8422623087947","-1587.6822927203757","-1794.9156520155284","-1478.1468735753767","-1486.7687445744002","-1513.3793704002921","-1466.9515985025464","-1536.6333748028342","-1779.3385846512597","-1456.644540250244","-1470.940192224723","-1504.1562796613205","-1404.6211670647253"
"1800","-1439.9449715081853","-1503.456874527991","-1368.362650687676","-1429.6114081488126","-1513.700663019894","-1297.209593662879","-1442.7035765266644","-1471.971844656319","-1360.8966565493279","-1417.6207777104232","-1473.2423809011902","-1358.542500463806","-1420.5627621163437","-1535.8556293780507","-1271.2809928725876","-1414.0974775476539","-1538.8392414631749","-1187.1498545589548"
"2100","-1233.2356826209948","-1353.3573978161692","-1143.9865715723167","-1225.6328589759892","-1276.9165638659265","-1178.5510726906598","-1256.1041586596737","-1400.08743141737","-1155.9518216876766","-1253.4649755007772","-1338.242672599945","-1159.8544218729025","-1230.0394170739296","-1324.2446946625244","-1106.6387738994786","-1185.3084851381504","-1276.0521777150834","-974.6037397742984"
"2400","-1103.8387237560628","-1255.9068679108955","-970.501605389142","-1084.5334345207755","-1185.3527686720158","-942.9302633195446","-1138.4433139575735","-1337.9650733133178","-1062.6929090802646","-1064.4237387334563","-1200.06279296192","-790.4156517086379","-1113.6296510297325","-1248.4840148777848","-844.0507305259746","-1062.4916785618002","-1270.972070413227","-628.4823745984444"
"2700","-940.8678717149899","-1122.450091120085","-689.8317383925811","-940.0082575846078","-1146.6991099102838","-535.5005378447198","-977.9922523064336","-1163.97563062952","-833.0831720845863","-820.9394788104559","-1135.177404164117","-515.3596303392188","-841.2478041471513","-1049.0548113896537","-541.0264438994661","-891.2659641093412","-1028.7460982187333","-652.64809613584"
"3000","-837.3615022208181","-1073.7387390080262","-564.7382311841961","-807.804338798624","-1230.8705754046673","-248.35618597303034","-780.5003995580317","-1084.0402135306558","-224.21374200344175","-625.3820293262667","-1309.9272940799535","-327.63779637813207","-677.6864124506242","-939.0308567868911","-361.57917888097194","-629.1446952591516","-1522.4270296926877","-250.0356066612082"
"3300","-590.95784035701","-1026.3149980293788","-148.41633832063172","-543.9107779535623","-1114.631294076023","-210.45247066583792","-435.66478324359133","-762.2427063083069","-214.9381131709637","-508.63539221354847","-882.2572007552683","-250.21984732398823","-657.3802778541524","-1458.7307795890526","-277.61143863542196","-504.9458011398075","-1468.2498883792243","-147.46025875563583"
"3600","-468.5145631232464","-737.265580227795","-144.85795001573825","-468.7375488462009","-1131.468472266205","-150.46148930705698","-324.3998196103588","-667.7357414865883","-145.51664090861271","-336.90411534935754","-846.8565932781769","-150.5414872327479","-539.7689108896273","-1074.3820590918042","-278.40021982522853","-409.8809584509586","-1073.1463963484275","-145.15784518482445"
"3900","-529.1630283538008","-1137.7755387273583","-139.4054581483004","-364.44183171646307","-940.7851691877431","-127.87417433927381","-281.53090445128316","-808.6292101694274","-129.01394364523748","-286.3655798287434","-859.1670962917764","-126.81816113145855","-604.367754407239","-1314.7112960799448","-225.54375552091432","-360.6456647702677","-767.9180467443846","-125.29117085487607"
