"Step","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DQN - eval/average_reward","Group: DQN - eval/average_reward__MIN","Group: DQN - eval/average_reward__MAX"
"0","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000"
"1000","-10900","-50500","-1000","-10900","-50500","-1000","-5950","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000","-10900","-50500","-1000"
"2000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"3000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"4000","-2593.9","-9910","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-2010.8","-7138","-20","-1000","-1000","-1000","-1000","-1000","-1000"
"5000","-3811.6","-22087","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-2366.2","-10900","-1000","-1000","-1000","-1000"
"6000","-3010.9","-22087","-22","-1000","-1000","-1000","-1336.6","-4366","-1000","-1555.5","-7534","-21","-1574.2","-6742","-1000","-1000","-1000","-1000"
"7000","-1574.2","-6742","-1000","-1000","-1000","-1000","-3227.5","-13375","-1000","-902","-1000","-20","-1000","-1000","-1000","-1000","-1000","-1000"
"8000","-1723.9","-9217","-22","-1000","-1000","-1000","-1308.2","-5059","-23","-902.2","-1000","-22","-902","-1000","-20","-1000","-1000","-1000"
"9000","-707","-1000","-20","-1821.7","-9217","-1000","-1298.2","-4960","-22","-706.4","-1000","-20","-804.3","-1000","-20","-1000","-1000","-1000"
"10000","-805.1","-1000","-23","-1000","-1000","-1000","-2308","-9910","-22","-805","-1000","-22","-1723.7","-9217","-20","-1000","-1000","-1000"
"11000","-609.1","-1000","-20","-1903.4","-11989","-22","-3259.3","-10900","-31","-2121.1","-9217","-21","-1528","-9217","-20","-1000","-1000","-1000"
"12000","-1597.7","-9910","-20","-902.2","-1000","-22","-2617.2","-10900","-22","-804.8","-1000","-24","-804.4","-1000","-22","-1000","-1000","-1000"
"13000","-1262.8","-8524","-20","-902.1","-1000","-21","-1794.3","-10900","-21","-1516","-7138","-22","-1528.1","-9217","-20","-1000","-1000","-1000"
"14000","-1597.7","-9910","-21","-804.2","-1000","-20","-2279.4","-9217","-20","-2032.7","-7534","-24","-804.2","-1000","-20","-1613.8","-7138","-1000"
"15000","-1264.2","-8524","-22","-804.4","-1000","-22","-2133.4","-9217","-20","-1604.9","-8029","-20","-1527.8","-9217","-20","-2980","-8029","-1000"
"16000","-609.2","-1000","-22","-707.2","-1000","-23","-414.7","-1000","-20","-608.5","-1000","-20","-706.2","-1000","-20","-1702.9","-8029","-1000"
"17000","-609.8","-1000","-22","-608.8","-1000","-20","-510.7","-1000","-20","-706.4","-1000","-20","-1222.2","-7138","-20","-1000","-1000","-1000"
"18000","-2546.3","-9910","-29","-1892","-10900","-20","-1507.2","-8029","-20","-804.6","-1000","-20","-1528.2","-9217","-20","-902","-1000","-20"
"19000","-2904.8","-14068","-22","-2239.9","-10900","-22","-511.4","-1000","-20","-608.4","-1000","-20","-1333.1","-9217","-20","-902","-1000","-20"
"20000","-1696","-9910","-24","-2695","-10900","-20","-1264","-7534","-20","-511.4","-1000","-20","-1234.9","-9217","-20","-1000","-1000","-1000"
"21000","-620.2","-1099","-22","-1598.8","-10900","-20","-315.1","-1000","-20","-1163.9","-7534","-21","-1115.7","-8029","-20","-1000","-1000","-1000"
"22000","-986.1","-4762","-22","-608.5","-1000","-20","-412.5","-1000","-20","-1280.4","-6742","-20","-1136.4","-9217","-20","-1000","-1000","-1000"
"23000","-610.2","-1000","-20","-510.4","-1000","-20","-1164.4","-7534","-21","-510.8","-1000","-21","-217.4","-1000","-20","-902.2","-1000","-22"
"24000","-1312.1","-8029","-20","-1025.4","-6148","-20","-968.5","-7534","-20","-412.5","-1000","-20","-412.4","-1000","-20","-1000","-1000","-1000"
"25000","-2521.4","-16147","-20","-1182.6","-6742","-20","-413","-1000","-20","-510.6","-1000","-20","-608.4","-1000","-20","-902","-1000","-20"
"26000","-1214.4","-8029","-20","-706.2","-1000","-20","-1915.5","-7534","-20","-216.6","-1000","-20","-706.2","-1000","-20","-706.2","-1000","-20"
"27000","-512","-1000","-20","-706.2","-1000","-20","-1165","-7534","-21","-314.5","-1000","-20","-314.6","-1000","-20","-706.2","-1000","-20"
"28000","-1312.3","-8029","-21","-706.4","-1000","-20","-1066.7","-7534","-20","-315","-1000","-20","-412.6","-1000","-20","-902","-1000","-20"
"29000","-510.6","-1000","-20","-608.2","-1000","-20","-315.6","-1000","-20","-608.4","-1000","-20","-413.3","-1000","-20","-804","-1000","-20"
"30000","-511.8","-1000","-20","-510.4","-1000","-20","-1234.5","-9217","-20","-412.3","-1000","-20","-608.8","-1000","-20","-608.2","-1000","-20"
"31000","-413.6","-1000","-20","-510.2","-1000","-20","-510.2","-1000","-20","-314.7","-1000","-20","-413.2","-1000","-20","-608","-1000","-20"
"32000","-609.1","-1000","-20","-510.3","-1000","-20","-609.6","-1000","-22","-412.2","-1000","-20","-216.4","-1000","-20","-510.4","-1000","-20"
"33000","-511.5","-1000","-20","-608.2","-1000","-20","-1026.4","-7138","-20","-314.7","-1000","-20","-706.3","-1000","-20","-608","-1000","-20"
"34000","-316.3","-1000","-20","-1507.1","-8029","-20","-622.5","-5059","-20","-216.3","-1000","-20","-510.3","-1000","-20","-608","-1000","-20"
"35000","-413.3","-1000","-20","-1112.3","-5059","-20","-955.7","-5455","-20","-118.2","-1000","-20","-608.2","-1000","-20","-510.2","-1000","-20"
"36000","-608","-1000","-20","-706.3","-1000","-20","-510.1","-1000","-20","-216.4","-1000","-20","-412.5","-1000","-20","-216","-1000","-20"
"37000","-1126.4","-7138","-20","-412.2","-1000","-20","-510.1","-1000","-20","-216","-1000","-20","-608.4","-1000","-20","-118.6","-1000","-20"
"38000","-1333","-9217","-20","-608.2","-1000","-20","-412.2","-1000","-20","-118.2","-1000","-20","-608.1","-1000","-20","-216","-1000","-20"
"39000","-831.6","-7138","-20","-510.4","-1000","-20","-661.7","-5455","-20","-118","-1000","-20","-510.1","-1000","-20","-118","-1000","-20"
"40000","-315.8","-1000","-20","-510.2","-1000","-20","-314.3","-1000","-20","-118.1","-1000","-20","-412.5","-1000","-20","-118","-1000","-20"
"41000","-1153","-6445","-20","-608.2","-1000","-20","-412","-1000","-20","-118.3","-1000","-20","-510.2","-1000","-20","-412","-1000","-20"
"42000","-608.7","-1000","-20","-510","-1000","-20","-935.7","-5257","-20","-119.2","-1000","-20","-608.1","-1000","-20","-118","-1000","-20"
"43000","-511.3","-1000","-20","-608","-1000","-20","-857.5","-5455","-20","-20.2","-22","-20","-412.4","-1000","-20","-118","-1000","-20"
"44000","-1430.1","-9217","-20","-706.2","-1000","-20","-314.7","-1000","-20","-118.2","-1000","-20","-412.2","-1000","-20","-20","-20","-20"
"45000","-217.3","-1000","-20","-608","-1000","-20","-412.1","-1000","-20","-118","-1000","-20","-216.5","-1000","-20","-118","-1000","-20"
"46000","-315.3","-1000","-20","-216.3","-1000","-20","-314.2","-1000","-20","-20.2","-21","-20","-118.1","-1000","-20","-118","-1000","-20"
"47000","-510","-1000","-20","-412","-1000","-20","-216.5","-1000","-20","-118.2","-1000","-20","-118.6","-1000","-20","-20.2","-22","-20"
"48000","-314.1","-1000","-20","-412.2","-1000","-20","-216.8","-1000","-20","-20","-20","-20","-216","-1000","-20","-20.2","-22","-20"
"49000","-217","-1000","-20","-314.1","-1000","-20","-216.5","-1000","-20","-20.1","-21","-20","-216.4","-1000","-20","-216","-1000","-20"
"50000","-217","-1000","-20","-314.3","-1000","-20","-118.1","-1000","-20","-20","-20","-20","-118.1","-1000","-20","-118","-1000","-20"
"51000","-217.8","-1000","-20","-412.3","-1000","-20","-314.1","-1000","-20","-20","-20","-20","-314.7","-1000","-20","-20","-20","-20"
"52000","-118.2","-1000","-20","-608.5","-1000","-20","-118","-1000","-20","-20","-20","-20","-216.1","-1000","-20","-118","-1000","-20"
"53000","-314.5","-1000","-20","-510","-1000","-20","-314","-1000","-20","-20","-20","-20","-216.1","-1000","-20","-118","-1000","-20"
"54000","-413.9","-1000","-20","-412.7","-1000","-20","-20","-20","-20","-20","-20","-20","-314.7","-1000","-20","-216.2","-1000","-20"
"55000","-216.3","-1000","-20","-314","-1000","-20","-20","-20","-20","-20","-20","-20","-118.2","-1000","-20","-20.2","-22","-20"
"56000","-314.2","-1000","-20","-608","-1000","-20","-118.2","-1000","-20","-20.1","-21","-20","-118","-1000","-20","-20","-20","-20"
"57000","-216.2","-1000","-20","-412","-1000","-20","-20","-20","-20","-118","-1000","-20","-118.3","-1000","-20","-20","-20","-20"
"58000","-216.9","-1000","-20","-216","-1000","-20","-118","-1000","-20","-20","-20","-20","-20.1","-21","-20","-216","-1000","-20"
"59000","-216","-1000","-20","-314.3","-1000","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20"
"60000","-217.1","-1000","-20","-216","-1000","-20","-118","-1000","-20","-118","-1000","-20","-216.4","-1000","-20","-216","-1000","-20"
"61000","-412","-1000","-20","-412.1","-1000","-20","-118","-1000","-20","-20","-20","-20","-118.2","-1000","-20","-20","-20","-20"
"62000","-216.3","-1000","-20","-118.3","-1000","-20","-216","-1000","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20"
"63000","-118","-1000","-20","-510","-1000","-20","-20","-20","-20","-20","-20","-20","-314","-1000","-20","-20","-20","-20"
"64000","-119.1","-1000","-20","-314","-1000","-20","-20","-20","-20","-20","-20","-20","-216.1","-1000","-20","-118","-1000","-20"
"65000","-314","-1000","-20","-216.2","-1000","-20","-216.1","-1000","-20","-20","-20","-20","-216","-1000","-20","-20","-20","-20"
"66000","-20","-20","-20","-216.2","-1000","-20","-118","-1000","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20"
"67000","-20.9","-29","-20","-216.1","-1000","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20","-118","-1000","-20"
"68000","-20","-20","-20","-20.3","-22","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-118","-1000","-20"
"69000","-20.9","-29","-20","-20.2","-22","-20","-118","-1000","-20","-20","-20","-20","-118.2","-1000","-20","-20","-20","-20"
"70000","-20.1","-21","-20","-118","-1000","-20","-118","-1000","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20"
"71000","-216","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-314","-1000","-20","-118","-1000","-20"
"72000","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"73000","-216","-1000","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"74000","-20","-20","-20","-314","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"75000","-20.2","-22","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-118.5","-1000","-20","-20","-20","-20"
"76000","-118","-1000","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-118","-1000","-20"
"77000","-118.2","-1000","-20","-20","-20","-20","-216","-1000","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20"
"78000","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"79000","-20","-20","-20","-118","-1000","-20","-118","-1000","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20"
"80000","-118","-1000","-20","-216","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"81000","-216","-1000","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20"
"82000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20"
"83000","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20"
"84000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-216","-1000","-20","-20","-20","-20"
"85000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20"
"86000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-118","-1000","-20"
"87000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"88000","-20","-20","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"89000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"90000","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20"
"91000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"92000","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20","-20","-20","-20"
"93000","-20","-20","-20","-216.2","-1000","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-118","-1000","-20"
"94000","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"95000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"96000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"97000","-20","-20","-20","-118","-1000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"98000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"99000","-118","-1000","-20","-20.2","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"100000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
