"Step","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DQN - eval/average_reward","Group: DQN - eval/average_reward__MIN","Group: DQN - eval/average_reward__MAX"
"0","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"2000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"3000","-802.6","-1000","-13","-2317.1","-15157","-14","-803.9","-1000","-18","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"4000","-802.6","-1000","-13","-408","-1000","-13","-213.7","-1000","-13","-804.5","-1000","-17","-901.3","-1000","-13","-901.3","-1000","-13"
"5000","-407.8","-1000","-13","-507.4","-1000","-13","-114.7","-1000","-13","-409.1","-1000","-13","-802.6","-1000","-13","-704.1","-1000","-13"
"6000","-309.1","-1000","-13","-506.5","-1000","-13","-114.5","-1000","-13","-508.7","-1000","-13","-508","-1000","-13","-408.2","-1000","-13"
"7000","-506.5","-1000","-13","-309.3","-1000","-13","-16.5","-21","-13","-113.6","-1000","-13","-309.6","-1000","-13","-210.8","-1000","-13"
"8000","-210.6","-1000","-13","-111.9","-1000","-13","-114.5","-1000","-13","-212","-1000","-13","-111.9","-1000","-13","-309.5","-1000","-13"
"9000","-111.9","-1000","-13","-111.7","-1000","-13","-113","-1000","-13","-16.1","-22","-13","-210.6","-1000","-13","-506.9","-1000","-13"
