step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.9443426673626,-109.0692294683319,-130.0955657388574,-197.03252025131056,-240.750088012564,-306.7732492733184,-76.60606710585029,-86.64536737436192,-294.6721485060399,-267.49647097005743,-207.53832360851288,-929.259526597201,-196.12556779676603,-64.75857739566509,-394.9217554375569,-204.80850392532219,-168.04344471823677,-124.47623526547636,-194.21203217751858,-176.74089828035122
1000,-292.6860561069853,-71.17596483775564,-154.10954670624895,-227.1248336245642,-293.73212120989257,-330.0723863981561,-76.60606710585029,-86.64536737436192,-258.172189410335,-349.7032400246987,-150.8178552041542,-2534.1617003821657,-216.51231694092587,-63.79014169192189,-423.3289578017664,-243.28260298599653,-168.04344471823677,-272.26111475534225,-196.2249223841188,-319.9536668494922
2000,-56.70547466044571,-149.07927862239515,-45.14590850813544,3.034609604266464,-126.43835068399926,-200.64515619319604,-206.63856796308073,-255.90804196792314,-383.4047130760996,-433.5117090051587,-83.06630251729024,139.78388341891613,-537.2749314802004,-87.3630897324684,-180.95441279967395,-159.74221464198422,-143.7428225521885,39.2935322090803,-217.50675111069236,-509.9761711983455
3000,-93.78715181823104,23.63138856773826,45.418209679290705,-96.05337833440497,-183.31185439416785,-11.763842773154854,-144.78110261927165,-354.82531447685557,-411.0225398972562,-150.04862444059867,88.44386811469144,-18.78973426174476,86.51508711463532,-107.96314485216884,-276.29571290584425,-201.73208655645158,-44.90316590705134,-135.35111439570116,-293.9865261232223,-288.16800878369946
4000,-178.7480174433873,-311.3214627434539,47.640767994750355,-202.8303691239654,-144.12932922140382,133.6462917230202,-198.6651136529796,-213.69764955187543,-316.90324333007044,58.183973283272714,-80.97392818559013,-264.90475030785944,-83.00425979526291,-31.89465575797872,-220.43780748908316,-209.55189077648197,-74.29748410403367,-203.11556180319744,36.744923607657036,-40.0568129513697
5000,-52.2851449719457,-109.85758570379532,-101.95800113702715,-219.32693301541278,-0.5910044974203762,142.82773491487882,-134.0586435674711,-174.11852408179166,-361.0875789793233,-118.51880218009869,71.27978626449634,-166.16323263958665,-192.18829545634108,-31.40715962279222,-11.44002613975057,-151.51056674745618,-19.68847986696598,-133.10381134793525,24.886058852827475,-49.17887069891493
6000,-17.496678217556028,-46.52310148874303,-127.28253687843574,-170.12240790532016,-46.60277190986171,8.680561995984108,-215.525240885646,-159.8399380645394,-88.88689506691294,-275.6942900540894,-64.58120773526129,-175.505311347737,-34.47292073858628,-14.904667247464014,-4.541579496827926,-154.52509656726002,38.836332482952194,-123.38116568519699,-152.50645295520852,-74.72080133747097
7000,51.92501937277522,-199.00104013069435,-59.180122551976545,-165.83653958721084,-179.39966373769644,48.65771858941864,-97.9836484761167,-135.92202351294307,55.696325159821015,-229.38170779948226,-12.233025822856197,-125.81450735095409,2.4211801979646643,-36.65779902509012,-60.2551074899366,-28.661320064789248,42.96316809585031,-80.13870491816816,-163.04966138118604,-60.37997308702313
8000,124.70900130448014,-71.81241793323876,33.242059835849055,-55.24705611648452,44.91119919442389,55.69285909504291,-137.41900342327878,-121.92144552511189,-79.05534336374309,-193.4092857847986,-52.02485113437846,-104.41423541632484,-168.26569995951024,-476.674260893066,40.09020183897842,-21.569813515258407,-44.487817386900986,51.159933910753246,50.650107709361315,-22.176508332859328
9000,48.542306792508576,-60.91899824700884,-121.28499459779914,-44.256450230582224,195.4460420999831,114.57247995353877,-66.40821642872625,-118.96709813321108,-175.58106860971236,-166.17462706431584,-62.50431534292665,22.89035080395499,-109.67621278865717,-125.77958420368479,-17.95813817342885,54.31463119990813,-17.90122037620141,-137.52314189891734,49.66144089645311,50.48495529048561
10000,-33.01699760194962,158.44916474702978,-63.087224944316205,174.2136806337987,-17.07007121515417,72.13396565668032,-100.7960148298791,-121.47035206571734,-87.06762414254898,-134.5697861469996,-68.02017809689217,-40.06735833199237,-77.74706437465609,-129.9978308698633,-21.650565286287165,189.02846598876704,-82.08205900988314,182.33535402818268,140.3526572171139,-124.15202851940501
11000,50.46046153947222,81.61206076717018,79.17712188128758,33.39320078586352,18.149609756910298,97.39964398123493,-231.23013116001889,-122.02724748430602,-136.5662763935889,-131.6392693748318,-93.08248021396044,-17.789124299581207,113.69947056010005,-165.05775519127826,-90.03877936714768,175.08622937515557,-26.752337553445205,-141.7644212743207,-189.38473510341757,-113.93221254618463
12000,26.716326528464393,137.0769612894532,-43.17957022314737,250.44282594347783,136.1614647752288,96.82867110314476,-101.3212717459861,-118.70668377776887,-128.3516635121736,-140.41731275277104,-91.94839549610866,38.74478420878945,30.585922594864993,-98.19060883511327,-171.51905755968883,247.08175131691053,-51.97081490266646,-219.20114215182105,-107.67772530605987,-99.18807658647916
13000,-28.618759767858222,114.35278097560241,-51.48269850622889,-19.923009148611758,18.983888575216355,191.39269705802386,-17.269434004031,-130.1704751386568,-150.84519420839953,-172.30169988478087,-27.45160446794223,-59.920366466227584,-0.3603518014924276,-222.75210240114757,-224.87552651426782,191.019514290283,-136.40675516846048,-66.91738895328201,-222.2548258322369,-147.4231011235912
14000,-42.28410340103635,121.96746739159835,-73.25301373786948,101.81353871466725,-72.28971784297774,200.89006824448907,-48.5351732798678,-104.47439041031417,-99.22055536616234,-81.40054825939124,-54.00957711686055,-50.87829574456739,-86.49344648569053,-236.60128314356575,-166.0189078190335,60.25351310233515,56.28980616043244,-149.6093234035045,-77.77943400902856,-137.63309037742044
15000,-18.576397505777834,155.57213954290742,28.594939565640306,17.16601802094496,6.380130291702396,199.71012501273253,-186.50071589056708,-124.10451163421878,-154.48035673118372,-129.53240245987817,-119.17968520559937,-76.62049833649921,-94.10505267182243,-133.03102503717403,-21.388610506599264,67.18398170318478,-58.62987767029006,-74.06040025446607,-47.250949927453,-208.6249021521245
16000,-77.37217494033713,-59.15337721477837,-28.73956120248464,-36.60958240459676,-159.04942616791473,57.41285513562966,-128.56212834514676,-75.47256461823655,-104.35821572370592,-133.4973550080108,23.7034607870788,-111.95972751599386,-133.50857531109938,-91.14962803703862,4.428309643966538,209.17016897960957,27.676629724176667,-121.53059081068186,-68.69042809748744,-108.14754168793168
17000,-41.35894323665354,211.09469113597837,-43.383487457953144,29.16867415853636,-206.87846573879108,90.04431048991222,-28.88894183079576,-96.41349010501044,-106.21266688455705,-134.282179184017,82.22276858852011,-77.24816923378712,47.574447393599144,-37.239561023972136,20.967776863080758,-161.16536527296992,63.223247170739434,55.137088364711495,-135.71677501043618,-101.37586373713685
18000,-97.01299856477823,138.84678627849544,-19.14219655628007,-8.39221440095404,-169.45528802352393,207.0383732945838,-68.03832814528671,-54.620436534097905,-47.32455116756311,-138.79662557843426,1.277330345621228,-114.4328767945298,-152.20883156862962,-103.31201373777265,-4.873939765242554,-21.080582323785926,35.4220479486298,-18.76494715807318,-33.22571562390683,-76.91271729302308
19000,-76.1037710668793,-40.90551127738412,84.0653223155795,-66.19410199648887,-40.01928382384637,-182.24116917930633,-32.069470421024654,-32.14022032395739,-46.71938366901659,-135.00155369857774,-26.013673036009504,-72.4752890329458,109.95690616390056,-54.91184730017016,-17.3571409059242,-42.83452401557605,29.33609395178009,-4.880837780663562,-49.66120677602714,-109.11029000994428
20000,112.36850111325073,-125.86898402645649,-10.15859589479309,-82.58259159617852,-67.4561835055104,-166.5621087577305,-47.48817566914994,-53.302160963860814,-59.792153244618,-116.20889542595972,-66.71652969136399,-121.52490032416556,-61.17772041978415,-41.47810882177357,-24.690511833177492,-41.48947306900131,153.56647891246865,-21.90543431517544,-42.0404926270834,-42.05685104381387
21000,49.15731714373214,-35.493865624832885,113.8331781758266,-87.39560841689176,-69.03659548706933,-62.8745163929888,-28.428463719112475,-44.937823579584915,-69.81452077774338,-139.61702578786688,17.680450222447735,-68.72946379889403,-56.60569327866517,-79.59040864632625,-21.71329783008937,-54.57371495399364,94.66052175932236,143.87836379006924,-35.394064735895746,-62.25068332145705
