step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-282.96841224974986,-108.05860218425994,-130.0955657388574,-222.1424081280852,-293.18667834947564,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-150.8178552041542,-943.6445380103575,-195.59868699325588,-124.83893635007031,-394.7637169197986,-250.63884744845305,-168.04344471823677,-123.39602638013996,-201.2695775560425,-176.96435842494665
2000,-520.3775041560416,-388.32345277548364,-68.16293741069966,-140.68190972940965,-195.92997173257348,-198.03342732174062,-165.6098989478364,-153.39472471891932,-140.4363915258194,-58.94878297592495,-113.54482744101274,-98.48704716064503,-308.8652603781913,4.042785526368124,-98.02266795744185,-354.9206703415755,-286.9716415954096,-61.706570650699895,-393.07701454527154,-252.8172956589144
3000,-268.0528115007367,-279.7004296811745,-171.03797575433427,-179.39059490604913,-131.30550792035163,-132.07301161709321,-231.3663401944516,-214.73911709288575,-3.531508744037675,-149.6192148074134,-215.17054270520143,-58.53136961187557,-303.50487203899297,-301.9312228725905,-145.85555305053393,-132.8470835302264,-85.59081366581198,-466.8194362350564,-277.32643223916455,-175.940374291783
4000,-200.13959226516124,-68.84720030164239,-83.71386480732177,-195.7739624123366,-167.4407553981629,-24.59030649080371,-114.80347389484992,-171.60660301124813,-12.107497372127431,-61.672601356314374,-138.1440765983505,-180.92446894173182,-182.27779778911835,-321.9601650429076,-145.63414785019805,-107.56862291849643,-41.21843764903998,-209.99054284545903,-180.54827395786594,-180.4920455257824
5000,-131.31261231997766,-259.571587734074,-56.37479055442868,-189.20399120499087,19.70799113348436,74.1743744424806,-86.65903160985461,86.64975982273698,-113.09477332927041,-44.414371065320914,-56.04049277441891,-161.1648712517062,-173.24486271913756,-339.4700828363943,-169.64271680887023,75.89103235320697,-106.13830869179378,-164.36262963798535,-289.17312987176314,207.1263732841046
6000,-53.62821172233322,-23.362340887150634,-2.7090091375811767,-182.18573340609404,-190.98605119746784,-101.89882362687747,-117.02089555477026,17.460257910575024,-80.0652218829299,-49.028002513583544,-64.62047019456462,-36.11905843692387,-200.9662003886716,-275.65901800255705,-16.78308538113532,83.30624114895635,-70.63973331517269,-204.48417532870306,-127.31415088981522,1.3639819267724722
7000,157.7542435922081,-31.29319406869122,21.73985862817396,-72.70694087700666,-110.49018498738708,-149.97537159326802,-256.0765231581915,166.1333210633297,-93.76996374385953,-45.17012683069267,-111.30938752117903,-65.86189649840783,-220.11195102776242,-60.90098975613157,-0.18871277456186655,13.913160892496114,-37.782454576575,-12.966969815696038,-70.348955247603,-3.887374340318099
8000,-42.60851668949825,-17.61203765526978,-44.93340393819934,-63.78154978130815,-45.95721989528829,58.17643165045914,-107.04892082773638,12.489474631768095,-110.11178777613691,-42.92101720908357,-168.19453321509675,0.7968790939508933,-224.350794305579,97.97284159405285,9.056977367259165,127.37418602644614,-78.4808405376439,57.75330084236649,-108.52550541599796,-129.8766528206883
9000,55.20876767034343,46.206975253194024,-1.5396679073933701,-144.91264487328888,-35.937792151302055,177.23035586077484,-125.3700539198483,42.64292902851727,-95.88374560026277,3.039228060741385,-98.81180907790444,100.85481323378815,-84.0172299362726,-186.9157089966914,36.994844035783096,149.9113974375873,-27.83883980913376,18.93226280782137,-204.17679561709224,-181.33711034363068
10000,109.63158762607456,-25.638147575556616,-13.621338285882217,-28.5095403693123,-12.91565256711071,38.779997042150065,-159.31090908585114,-39.429646847140276,-134.2153206665468,-234.5596633532414,-21.69223970940538,-49.05069684725381,-209.73341801473234,-44.08995577042069,56.22890034054058,58.57905668499569,7.9706623071538685,108.20717378651737,-55.22087770904849,-139.1550600277809
