step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-295.7602223193807,-70.6268006615518,-130.0955657388574,-243.88305749056505,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-337.02717451343216,-207.51785198063172,-943.6445380103575,-267.57349659845244,-65.02677439485569,-400.79686856424456,-215.28861962770335,-168.04344471823677,-123.39602638013996,-180.34082329749094,-176.96435842494665
2000,-191.07920926197858,-67.53338286262444,-390.83729150770364,-326.3833916760894,-111.54653668380315,-239.98178415792745,-173.56707670788091,-110.53693406565428,-447.1129580725315,-64.37201319157634,-186.3171510600972,-245.1278929154765,-587.0446773607154,-259.01009634818996,-171.14805616983708,-148.62364685198568,-162.44793076757884,-125.89593432527658,-318.2341846949314,-84.25086531640052
3000,-78.72287380683439,186.21088336316316,-135.64375601183522,-224.51249492435625,-186.4122105046349,-72.11139643297997,-170.6405746646329,12.709536468462147,-190.18917660500514,-86.84117968434434,-108.55897017324496,-148.2526024232595,169.0273673128731,-191.77120273008904,36.40989344064167,-48.48073984673209,-14.554865440559851,6.879329465747863,97.4363248600385,-94.8988744345073
4000,-105.02602774071447,76.24918272068365,-129.90038401340846,-163.0408069121019,-108.32149196826599,-56.68844716202201,-49.8659649681747,-70.19897952490233,12.660247761821253,-225.93371730243575,-60.26179450447395,-55.10905257617426,-70.59975118674843,-54.70168671892762,-45.550867624294476,-112.88749476566313,-74.76605779606989,-109.03905678414735,-157.54067947532354,-184.6973158767017
5000,-108.14911299047635,-29.030333837834277,-124.44638593830722,-167.64048958072576,-149.4126192339322,-28.473553203588324,-22.260002421001076,-70.91882821819297,-38.477118850686274,-56.51838044337605,-18.682536070601486,43.56363155739276,33.91816585527718,-65.97287096095715,-68.12567014741386,-118.13495079870192,-93.76987555861291,-187.6237361409242,-44.867163165043245,66.55158028853621
6000,-24.749614940892457,127.90309058181492,-85.18003392518493,-98.28170809237196,28.417649757519573,-73.21094726773022,-99.75171423446703,-49.01186630621137,-4.913148914594534,-127.41000950273205,-39.610143606335534,89.68227181742078,-145.80049209853098,-124.0706887390935,-50.34897227597718,-56.1159833087284,-73.0460761985908,-183.52481790303253,22.71226229212175,78.73673254314319
7000,-98.08985159210982,134.34998201394845,-159.0244718815132,-105.296247428471,26.271286124353036,56.954241248342136,3.208877845187667,-29.13989989380742,-10.732559502584186,-85.68859381142471,-53.235503006049804,-152.65445927410778,-89.4458739478297,-191.32905295617505,-14.69019788923083,-112.00201590415833,-40.28577880592249,-88.3363727731326,-12.268314756002832,-34.4619997221832
8000,-28.590256055728545,-46.56136702338804,-124.31209752553029,-59.396951440002,7.815624254488512,-33.724894989478116,49.16801725129923,-62.874034897128816,-81.1692954441141,-86.94315248999074,-29.389547350599496,-166.8445653940979,-196.93932574748206,-91.58993062307876,50.21672215349269,-54.97571397375665,-21.816544570911052,-113.68424079999812,-51.40756525225876,-131.56622080118598
9000,12.720601212473335,-81.7679028793432,-78.46575139490369,-69.12584903110393,-6.799004306865688,40.849630199206295,86.27723906884661,-123.14811798223536,-171.01403976513458,8.73859779021536,-54.383867809296625,-108.3183010192849,30.44757386630671,-55.49383525160801,28.50235836936314,-29.0570652296061,-9.95835920513661,46.0320894240503,18.965302639833894,-165.51544551353024
10000,-82.95367291191569,-38.79610768948811,-85.41059768696194,-85.40876896665895,27.044230326027815,0.6894829688838513,-44.241785929091066,-71.50531177256141,-50.5467533410015,-57.64922568956806,-28.607853214524123,-129.77016154001208,153.23118228152336,-24.684173510515354,-22.492082868694485,36.250309482317554,48.75619300292565,-10.773004794670422,111.20165098827391,-3.868802843076338
11000,-33.31494346115679,3.235551366163681,-84.2538711713867,-86.90063065020699,27.87598694581799,-25.81248893283606,-30.347323682157384,69.86311187892233,-100.87219286012139,-73.28001125228651,36.441593728405955,-77.97447016938143,57.54622173366527,-22.728310716286938,-75.34509117580318,4.6554757463481495,-17.617791294222396,-101.1790721145549,172.95224413332414,-32.3707691945333
12000,-10.289781023234214,110.02693952624755,-210.89682804189465,-111.09798875886345,20.84107959746012,-116.13469872650553,-85.92245935941502,78.55074333596134,8.426811906337687,53.01421988664512,-32.57475016162418,-76.94970277745112,98.41623121742275,96.20013144747118,-69.53854803251089,9.956235702734412,18.10861174232294,-53.51327887852218,62.0299199074293,68.53129840840217
13000,-67.88998289529474,6.877197864741977,-8.677794347073128,-43.88774973560305,173.71761364283802,-89.34508416899867,63.4016925504604,215.30277343800185,-9.659253765709332,50.76348215106335,-82.08931612718506,-85.1704232804957,-161.72373130480955,235.28572351082744,-80.80797290181438,50.10787285881116,12.522293365183065,-127.15184798469109,42.54479846440237,89.26919074050797
14000,-11.208046810205493,74.47967348796483,-5.705186371128384,-54.42833871612066,207.57830722984545,-97.58311081655471,-49.587989053910185,-17.20284413870077,-16.506789255196313,7.398868885981315,-64.18807294048074,52.309268192766616,-10.969041142417455,218.64153454932887,-79.23171856401069,34.52643169473176,73.96320136353154,-121.96423719418112,88.85931179315645,-65.6348175308566
15000,80.27472700225563,-3.0942873829150037,-15.230424215366929,123.19522837695861,234.8001532493472,-105.81913810861995,250.96698001958202,-65.07126888240869,-17.490999838199716,106.62201014856271,-49.817884055013906,26.03153695255811,103.71452714917415,253.9084007415784,-77.44850865684923,67.53456070684386,51.64966142731961,-25.44580269712567,142.12213850555906,18.89859018819099
16000,220.0304560444076,10.639858317172004,-22.188979692416037,-97.27909678790827,155.58316415650737,-81.0199088364116,-50.92153014132379,-156.37501673178065,-24.978063985763516,166.0575185790446,81.56686483540652,92.44366520319328,3.789244667545551,245.01148460656745,-45.047639154457976,-44.75633058352198,-78.34046267167632,-83.73220406558201,-63.21883821864579,80.78271824336856
17000,35.74509914448451,-96.19817242938073,-25.676499022908175,-96.25219087954257,52.99930457318346,-110.16297890889223,-168.46636794416023,-113.21067026342023,-39.44606034579875,41.42294138732266,-12.08991481733002,-56.881399441474365,-114.63362456337536,192.0820213844244,-19.231048678972858,110.66842147806157,-97.75917918215758,-123.72584662115257,258.50905493360926,60.36595461493797
18000,-81.80673241826901,22.527792359142328,-37.26790775299145,-87.58514281918532,116.15659375428038,-75.21059473090422,121.72361292698679,-24.37174532377274,-79.66307831963735,-108.94353379324328,-60.67265886409756,-37.514170825283095,-37.701368532339366,89.06952859044993,-25.01105677342028,-46.07968488818074,61.406685045305245,-86.09579469245513,7.510518531415216,53.179663233200024
19000,3.276354271890663,-1.0297253648704583,-41.90025562874971,-85.22511129596029,191.55408879026996,-44.322978340557825,109.88657034600847,-37.270663228459924,-42.8822119962571,-10.927053745378052,69.39265296240637,11.416006356538292,148.87817827094236,112.43133974581683,-47.8820476019288,175.59877760620944,167.85183747953621,-49.03620948182638,2.1281047155722415,60.65773375627018
20000,-39.78470124536978,4.090032104927623,-57.59504195908216,-122.72770140813391,38.282982655129665,-48.71932172201486,146.85683225778584,-58.12833900573789,-22.90108478302143,-31.692751632939746,-76.45794686620927,-75.52577981520447,50.9409648236146,183.63246737141228,-61.50746921045141,92.36297890354301,186.0372725443883,-21.17998272654479,-31.895392870940057,41.32195714766808
21000,54.457673162500726,87.99618256146904,-44.933517490605794,-98.10555741060006,-37.26246425520196,-104.95212036381376,29.06570400869424,-53.45466378307469,93.92043993422567,-13.305181835580598,-20.627224146896822,-78.36484580124522,18.427289595212347,64.89592687048845,-59.453173686812136,-287.76688161246227,260.09489652317694,-42.815908273482684,65.61503952177635,54.72045196817694
22000,211.74797351415359,-77.52552705480831,-141.27237917355265,-135.93520176587143,-95.33903752266247,-27.690902533784936,75.56188716434508,-3.041200680830224,59.73597416943965,-10.770267165093335,-10.949261388448363,-84.94700676837213,-132.5579074065432,96.51166234022946,-50.16019117959673,-130.3201654110587,38.15318517309481,-6.323051173804278,0.8566099172557328,42.46455538641829
23000,-1.9818206601971966,-20.986766494567597,-54.39258368347092,-97.97193140915708,-55.00174217805337,-171.38544934649454,-35.605826449603086,-26.517071169449384,75.53861601922256,22.11025426540756,44.000136511133434,-5.990031437900011,-129.2206762715858,186.83546116462526,-43.50410063491273,-361.90207000518035,9.673511540741416,-59.99666240090526,23.407820843453226,85.87207149505768
24000,13.15662573428537,2.454220970468659,-64.79839491128782,-175.90714947168772,-10.056412915186732,-230.99460890913483,213.1263503068477,-19.08597283697375,37.18292779589929,-63.21364715811421,42.88467130045364,-94.88672364769691,-141.07122303346657,98.17168258187907,-36.772903740049834,-111.42347336206551,-55.4806043917141,-4.7168992943844215,-11.671298485437807,208.58166282665266
25000,162.75944186540033,-67.97332096358271,-59.019697597112035,-102.79355285304052,-1.961824375526054,-122.58981375938038,74.96356215124192,-3.905526684684002,195.1049269266674,-25.340769412490825,-29.602584467726302,-79.44498290306014,-179.29722306796057,167.62362911226245,-62.38525300251418,-42.23364551131272,-23.424259512389355,-15.367282210748598,-12.32723679341929,235.3961960579993
26000,221.1987968998433,-56.0806345488402,-76.26720778642785,-67.9521633084439,4.859693452167707,-210.7752983777998,-54.62710910558553,-13.218124406631484,-38.41169788455671,118.22378600409108,-23.234256211425972,-40.24813356168727,-38.535657023175645,234.00403819250707,-72.63110984367823,-75.71924197884653,-49.98583364245501,-28.061986271339567,3.5685889523975742,207.4340681325299
27000,-5.908932359329455,-120.98007515762019,-65.69060675777831,-76.79262871792847,-25.634442025982903,41.80961083722299,-70.9079570043375,-93.23672561818903,68.15688984111692,101.54586902042168,-16.04761315559561,-97.44767740554421,-131.22585356437378,201.16828337066633,-28.167682120228424,-211.42011702164336,279.88035329800175,-23.61296964714377,25.660296141803837,225.5323545159262
28000,-57.20849533295884,-19.70067794828039,-75.54967762488322,-67.5639826742214,106.09704822583835,36.07039866654262,-54.52392672107786,-65.89604889848522,-58.27847072631871,99.34506601263097,8.934020567093286,-17.095594495297917,-33.31811217714529,187.6166480589997,-18.873666844456462,-83.28520507221869,171.50936300412107,-64.6602300500448,101.3508418331666,233.56049189103155
29000,118.6358071404394,110.81214418244478,50.77880258307777,-66.10410937766791,66.60377696192218,-17.12004907891479,-41.347203902344766,10.617900311050853,-43.97150945792277,139.48411998665333,-3.22585166294877,4.961190612402376,-45.21516596802386,223.62472020605423,-35.194276283267016,-91.63745586420133,208.05672539335433,-11.109250711883499,-53.46821607492367,202.6560690841168
30000,117.70181814969465,-11.588334306984564,-55.27722801824112,-51.75315161078453,40.4993037721512,56.42611985409767,-84.94572567165507,-3.1833585760804453,-138.95635493610072,214.5061614925669,-40.120975613342836,25.621065411983746,-27.262337076485363,197.76811204812188,-12.472561182537198,-35.07055375058551,255.36566283743298,0.5403778557300901,172.50415466199965,247.86884044885358
31000,-7.803581966922127,3.857842063118298,-63.44120977115555,56.13729550909802,193.7045063363963,58.23730540153516,-74.77279928298427,113.53478113856886,-18.806572967013444,12.96025843920186,142.86910456218234,-101.26986889276132,69.00414281618538,221.55731461370814,-12.311378602007004,-64.75805532831372,275.09500842238964,-0.15622631520243266,93.69421360200998,247.70059284227932
