step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-282.96841224974986,-108.05860218425994,-168.96276821466412,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-436.51575818921975,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-268.10462137067356
2000,-27.01135980482402,-336.10091384184506,-237.99421720726028,-228.86811804477665,-90.97810471271698,-26.959186736810263,-63.33524569067654,-289.46199160238723,-280.5305848508521,-31.358901190962893,-93.37036677550576,-506.24777574476144,-167.28737169245693,-398.86596931948253,-167.6597141176994,-144.58973538967018,-151.82861782230574,-365.44230486434753,-233.43949448744047,-275.8082382417037
3000,-128.20662632759917,-122.75301461842867,-94.95639536713264,-115.59054013934508,141.26506776966056,-121.17608543007871,-221.7270915779895,-160.01637437305791,-256.52462025098015,-274.72536568492836,-60.97663579270479,-201.3622845468241,9.694501674381256,-203.07986761212848,-98.34593322001483,-196.75472825409292,-175.49159140485563,-181.63171658989972,-282.2381043754088,-137.49869353717588
4000,45.11048378958659,-54.59875435400779,-110.05675695178752,-154.0095358577474,51.5778415556399,-116.30368504949364,-208.38253119270766,-240.4273028821231,-90.66729819826742,-67.28895442179324,-106.14276296060086,-109.2507253743546,-177.42538557484966,-258.8398160922979,-129.53374738034833,-116.0936269954794,-148.06074822600863,-159.8627839306342,-17.4928515324213,-68.5869585958716
5000,-145.29839532056664,-70.10621198411404,-14.403333941980998,115.6548603954207,65.57143264510448,-32.82258871317403,-156.57318805120306,0.9924640386359384,-21.443324900754174,-18.666526972698705,-81.14248189915382,-90.56340545650568,-182.80958973449933,-177.76105519647672,-114.96534443896071,-72.73640016247768,-132.85196460838281,-85.83065690214289,-102.88407280223612,-147.33386127760005
6000,79.9575109857752,45.789814380423344,-119.52194725909538,-155.5033234980772,-13.69072580247709,128.44551117281165,-138.87973818193555,-134.1386688990733,51.28136112538868,-23.23631534292974,-46.45881444198787,-47.48489470833575,23.59184844353003,-99.43719320226431,-219.47678329104983,-89.67833757449652,-91.99930602913332,18.858739637033523,-59.61944292007551,-17.11401679835282
7000,8.48889866229893,23.0225657236023,-208.38696108361714,-210.2611803123265,10.70168480733613,16.99357028614656,-54.16088931851621,34.80849638818835,-96.91451266350545,-10.652751885432865,-49.82528115235766,-83.6154213672083,25.021508418403773,-19.772226086896477,-142.4117840317905,-157.69208257054737,-139.2579066037838,161.50441613111204,-84.34222467868146,-77.82313495642683
8000,33.68010490659673,-3.6057694763660826,8.043869986307277,-221.3305452628774,-86.60356654394309,-95.94079492031761,-69.91318894633633,-44.94242722954784,-102.22876336077452,-19.386175353006642,-10.800827525737654,-70.70946206074287,73.6736715977082,96.4057199213601,-59.974165768331375,-156.54629794177342,-105.45501998292832,195.94686925327736,26.535994881251607,-105.7924611972265
9000,74.5355131559939,21.092943462575352,-57.344434926341684,55.41705217344906,-25.924618948062484,59.021185809453435,-166.185472647079,39.177133565426004,-117.8412744278376,-99.95431203682836,-36.773911763742774,-116.22809178276388,57.63768019363997,8.759007458784083,-42.32227640255049,-62.769327642686115,-20.092644721076294,57.525251633027985,-89.49821195919816,-162.08360894127114
10000,107.81731759492102,-115.89357539587381,20.977044892294703,-86.4362930962444,-0.7764209215756566,-14.985363378989033,-156.168200706615,-61.80064649635714,-40.04474100487706,-55.50938229520201,110.19175439662381,-163.75820137228988,29.089694847855863,-128.527698445135,11.61127208420542,-25.563758946847386,22.79628380267549,-79.13472174685013,-53.55765406496036,-56.236913693644226
11000,10.144655368521247,-131.31253116354807,115.26426306442504,-106.29480681605112,2.202711969350774,-28.24684915517358,-163.62301378548972,-60.87954010144576,-52.52177503110036,-106.90283858047542,7.147181014289605,-106.52143943722884,-43.017743835101406,-143.02928851258454,-41.133553004793285,51.08313601331741,77.12981734457152,-105.83499373073103,-128.44309990737062,-80.95760670208568
12000,54.21117251968084,-0.34238544651914776,101.2965592982406,-84.23326989433546,149.8999224960874,-39.16981646525106,-28.800651909812654,-46.31469231027905,-25.267946159352807,-139.1807647265023,11.746621558174672,-162.61318543542896,110.94492142198517,-145.59768953704076,-84.45592156134951,-13.639277328303171,240.12262374860802,-43.41128076372129,-179.40191147625933,-89.56431839918112
13000,162.1338883600159,113.36829280847296,95.61820406639895,93.88651564585673,94.09120025963038,-31.51813473682849,-122.7536160561419,-94.77268064609798,-60.07677404545194,-117.39391323472506,98.59619109089726,-102.16156153248924,-22.05164849547914,-161.21347240378824,4.743811152918799,65.89323037364018,-219.74601682981563,-23.36469960633291,-38.47241717410417,-14.887714974046135
14000,66.88027680191398,224.78078545091202,27.463483748498366,-15.044819269861582,159.03324254761378,-17.731355797038045,-57.942301577364894,-66.88738333500355,-61.561594612448594,-25.530369270215854,-53.446491044607285,-92.28784178350429,-59.850562583975716,-22.363626657138074,76.59849505234673,60.97413778994453,-139.50882352822188,-41.31762833447466,33.68293899117861,-20.700470081137567
15000,-28.716715383250374,-4.302744916703721,155.64131536119297,-103.88360747371219,77.57756158709128,-26.010513942416797,-130.65158062983835,0.992004061764303,-10.918307636677403,47.96619854706379,-23.84573523018263,-122.90676503659235,-222.4998096916479,-62.59050054335368,141.9659476260075,-20.568682905674475,-150.83696197527885,-5.115339236170854,15.52489066502803,-14.306336098514175
16000,-78.94437262338685,4.280901572279258,251.78038134110133,-6.916842705642125,9.000367306424534,-94.8111054125795,-54.967143299316405,68.68045340347368,-41.36412760231159,-42.08425193195453,31.308916842277124,-111.17309681232986,-93.88431844964721,-115.90316330717775,143.1571692485491,-8.425590086846904,-55.83676983379822,-119.51740098218825,72.58170275772181,4.872218977914571
17000,6.395960388939433,91.09367998194472,271.88248022651715,80.96172079956982,154.6298518257208,-67.63548398719111,129.23447020016792,-12.383817103227516,120.13771319314992,-49.44219825713254,122.20792505331883,-147.00262602796664,-86.40073476561413,-181.4769483462212,154.4352643978876,-45.73803264668775,85.47269713946321,-112.28691383880607,-40.91833665424946,82.12627022166764
18000,-152.6231386906412,77.24498242602486,180.8441323566975,42.20172732491671,141.94483368385357,-71.11044971603566,-45.77150657318427,-14.47583121459166,11.713439754416223,-43.99043864664921,186.73233783198202,-152.31256128607095,88.2841619942061,-2.7671238623845937,252.29515417412244,-93.8376156894193,71.0866065882832,-112.28424808134007,15.61186917975879,-9.692871835130079
19000,-49.93994605785799,67.02076724039807,152.29036332228586,-91.44981131939886,190.66146820379058,-86.18864033309819,-59.234509860718305,4.0918461029138555,25.00654004784175,-62.7242904728109,9.266821003674044,-94.92560106034534,77.23020173365573,-27.459590270964185,143.6096433585906,-132.16002494409722,104.23632307790388,-133.90359820786102,-39.08576427071734,-30.970910067736355
20000,-180.09387221191298,74.65314136322588,186.0354445987969,-158.61905929269207,116.99265953058021,-79.45273556441153,40.17282173289626,107.94809938030443,-15.661665222020554,-63.491675682829275,2.878410249454243,-72.00570455132595,84.13533289194858,-39.60904349454457,173.69019734479272,-61.908417123315246,-4.587454811682595,-5.039347863546709,222.57282980533512,-24.640592442453272
21000,-118.09660541342794,180.25096572077973,3.4756231136441045,-80.63615705147214,200.02844759798526,-120.62619862437519,168.2049912699072,90.24435845591059,-112.90744732448962,-47.11773038359028,-11.76995985852713,-75.25029003542757,-4.69383790045535,110.32640577204108,-5.642413523350432,-121.45720688769124,-33.11502100202707,123.09224904863163,50.69420283885737,-20.551921683767507
22000,-52.74048224999217,250.19856306627813,144.77690621339318,-65.34482619733592,210.02748083695926,-132.02911154734986,132.62857729453458,63.842573673997016,8.372458131516984,-26.326496739612054,21.61497194418844,-47.198704022674406,40.27915044951934,49.67509997741141,-70.96529286285067,35.611453613290394,31.542407835631238,112.25342126572866,-89.14945031624102,-20.499165559874275
23000,-80.07750799190221,79.65098082759214,74.0623693465742,-46.029351459783435,151.00667882912578,-111.74391990728877,-39.87199594498418,105.67252449814539,-43.387273513009994,68.56941355567389,-52.54320011170231,-42.143585056842,9.788909700807631,73.93367856726319,-73.00164341392473,-13.580144510351689,34.487416910518704,154.40934298175281,39.782919948899185,-7.171362808799493
24000,58.13580096868558,74.8421807956391,-15.465678957078822,-43.09142771342624,129.9817516437017,-97.97693767503036,-47.36521426693645,215.68379315457435,-32.0808679308351,-2.910134739380398,-292.56457604040605,-78.3778129703782,25.08319636344672,-65.89329682541667,-23.82507025825609,1.9396569928144014,-17.297426353240287,56.488777644032325,-13.422901901972892,10.006481556941237
25000,-62.527009733648214,56.92841156453532,-1.3496509097513147,-86.48827394987102,241.01520847615453,-109.93204686333479,-119.45207668507949,7.715705511672735,108.22690956892266,10.168275795066629,-46.614040196453665,-54.08972425206735,37.288174372154636,-36.60881912895872,-3.8107454320303327,176.32617061212818,-6.4496486856165065,165.2681276853236,-6.689833544108619,-63.347444746414574
