step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-295.16168308927666,-108.05860218425994,-130.0955657388574,-233.2960912597069,-256.40403123018217,-316.71091081647205,-76.60606710585029,-86.64536737436192,-332.4872748099978,-347.5087752796978,-207.51785198063172,-943.6445380103575,-195.59868699325588,-124.83893635007031,-419.8275719046285,-215.28861962770335,-168.04344471823677,-123.39602638013996,-191.52809544733802,-227.56482595260013
2000,-133.32230606027443,-143.56100768647988,-79.26914749589231,15.586184464855242,-143.26872970051318,-496.5990517255959,-294.507473351736,-151.77438172298727,-216.5828791463863,-174.55837705678064,-232.85899648306858,-186.52959286225766,-120.32831949447773,-54.51218130316573,-139.6979582147988,57.000577122398276,-188.28225822014159,-121.33651193391012,-306.5013016569526,-84.2773726977319
3000,-123.70008097948367,-144.53594949003875,26.254447604233565,-71.28351090781182,-152.8546018650191,-67.44031518584309,-229.30497868040553,-237.0241509469944,-87.73147485651998,-286.1177820890424,-92.20531731165408,-78.95049004902044,-126.36810116115373,-180.20744040680552,-36.37609791629894,-178.34557665903048,11.70892528015178,-146.046878154982,-102.35038839748837,34.51290574859975
4000,-178.8661562589842,36.51793806777574,-58.73443291649456,-95.87715101421175,-158.47513396089718,54.63128268824806,-152.84671274667951,-76.43601790905701,-85.55757683999315,-106.3811518775962,-116.99960311749753,-108.30372826959358,-130.33758185641443,-78.73565241005572,-123.56776272583778,-70.1966998350497,-213.45628385135413,-59.09306480171744,-94.49813671974921,-163.4471887155743
5000,-105.73893401470396,-23.535461629529124,-974.703596302695,-116.73720919829599,-54.49581188593559,-49.47087619655025,-194.62224690493966,-35.521658603192634,-97.33453865359309,-149.0675757007193,-93.60549229144077,-190.1107183319585,-13.118006629909408,-36.221918198476025,-148.7745827143137,-32.51795274447891,-64.03361901157047,-126.72360026149998,-84.62910382102622,-178.97604227292027
6000,-85.60530233903398,-8.904006882391561,-24.968543461761012,-53.17382607422939,-85.79244704120516,2.4440310164615604,-250.8165816121602,-37.88489871683945,-67.23976659642658,-41.44087270042005,-453.6807326767251,-194.9008108618083,-118.35958659835877,-59.223723650544514,-105.61022663464348,-132.24960156352958,-156.92021142256496,-165.0599524546751,-114.83308821116653,-189.33732741436802
7000,-164.4054378843765,23.888015946148716,-119.4459762451002,20.734127434830633,-86.86324991392776,-6.646968271221738,-98.96843093059469,-31.663565561014064,-124.53137711072088,-33.178975574564234,-1720.8009299078687,-160.6607483622508,-31.513304486555725,-66.97750327380123,-109.07114694395341,-55.69696785032382,-177.65418181859377,3.844856758199299,-68.73230052127305,-293.5158184286431
8000,-124.52849436529537,12.091150960942961,-109.23511896588707,90.02960339034537,-1.6806062136189628,-14.973325894263494,-65.68000981860456,76.2406622101514,-49.144897954291906,-12.01909745656634,-1073.0879536602909,-168.58658524212237,-143.87500772893387,-34.05361529377031,-60.76387820994923,207.7810137016379,-41.1405096531176,-16.93334182620999,-68.46387062500514,-244.40093107606313
9000,-126.20556466858544,-43.43620165791919,-100.45165262094235,98.4706102478372,1.5471626798564486,-44.589085370994816,-52.86454797458049,33.16227189205421,-161.88142227489865,-135.90842936136357,-102.38689766026954,-20.20578003823718,-56.71886813920465,-56.89679831934908,-209.5390346256487,11.841695292123163,-15.184063390945234,212.38302395460752,-74.99099684693293,-134.7010443420255
10000,-93.6708412028659,-65.00768412721413,-0.9927465170328512,62.15948891746908,-67.81210285819697,-49.02848802709328,-90.58731170657536,2.178072261538811,-116.16858274583585,-17.771834842336354,-34.87008222690576,-4.157581362629235,22.512406594714047,0.5837579622034781,-83.21256884370176,236.36761934761557,1.7999621265175894,-2.670701869774826,-99.55679066774128,-122.77333522686257
11000,-72.00463977008846,-58.168861017359774,-16.59426685111472,-66.78652251733944,-48.02052114823848,-32.77908146071692,-42.73782080418886,-74.72953658360474,-80.75912336730258,-156.8683675809698,-125.275486775842,-8.148345540286465,10.02165096318692,-56.66063517096941,-34.57829572526676,34.36053001567856,-36.417625938173806,113.56466413620582,-67.79997090353726,-119.43894160741468
12000,-46.64945975450437,-59.29405624926627,2.3448283271721464,-38.885128258205306,-48.4654611131072,-54.34660565113601,-130.67961235983614,-35.03528526605582,-74.82510735127332,-0.6650549533059499,-145.0586770648474,-26.08170813965207,24.734755282409495,-49.65757323608449,-17.961453090853052,66.72200402717776,0.5922140736132514,30.801799078138497,-69.06821051550502,-26.416078956458094
13000,-105.30657079246225,-20.15244849319429,1.0264155415463943,97.53502972166939,-13.814357836498706,-5.498279508209571,-169.5451761549264,-60.40679171480813,-21.471458483047936,-63.61264731512435,-131.8908842199237,228.65049456555462,122.77704145651694,-117.84001594903725,-89.06327529201432,166.58214691981564,32.599250898974724,156.8923099845715,-64.44541520329015,-63.26663571642276
14000,77.84037200437997,-30.15338205259549,-16.068915514205855,20.811691112423556,-24.50203722205308,60.47828209679102,-153.34327637786453,55.626559699754345,-51.38541728970849,-101.47202535670624,-70.74923084232536,130.9272815628888,46.075921545504606,-134.6539333767153,-162.3708308601208,-57.975059747029206,4.623529893953543,25.24304697596948,-68.16823643312989,-66.61830119133167
