step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-344.5412674382781,-207.51785198063172,-943.6445380103575,-250.3800529914529,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
2000,-179.74248953628873,-286.7679139431148,-76.658897381739,-349.1594643509179,-95.9866105304797,-183.30542801897226,-406.7407020482533,-18.23596533032502,-272.31993282784276,247.85328481126808,-262.6845790027032,-22.07551385717552,-137.63784505607637,-169.45367969313568,-38.09527612719694,-142.071439109242,-485.0426713647262,-184.95054939201682,-187.1942406095734,-163.82708132801955
3000,-111.34594032478132,-139.91874876518406,-168.5190067773251,-223.72521756520246,-71.79227581668225,-85.56995446665864,-209.25961893217058,-235.23658580423057,-109.27153626756001,-44.523862917447296,-98.4649946021762,-66.06126830791571,-139.8816117452268,-214.31142398058864,-105.8930507422047,-193.35346246484664,-42.88210136369969,-45.67902251030472,-164.125821443033,-230.65890933221644
4000,-61.39686359512188,36.5329836303938,-82.2630323456636,-82.14068554776908,-87.62665064167635,-61.63292043049049,-8.71146775969647,-201.61993056194174,150.2234865262926,-35.62585343951914,-187.02104105892576,2.027485673123658,-93.85532765288394,-170.93851706214514,-178.89297102855582,-92.396037199073,-15.398662121262172,-97.94966436649032,120.55838446546856,-177.64534640940914
5000,-45.10685324136057,-105.86266857982237,-133.36495224713858,-149.89947491680098,-122.93136817046111,24.227660150903827,-134.74697139858247,-318.86942863555186,-38.23778917133948,-257.46440703443847,-101.48056638725471,-39.04485140726627,-87.69531077565034,-167.12991622376782,-20.877392154026552,-72.0936596881348,-30.002719503752076,-110.35650972928818,-60.68647293390696,-157.7581263498174
6000,-1.0942592482819766,-97.30399388933057,-83.96225137333845,-104.41203474218248,16.000238751451054,62.2932754434209,-107.63231647189535,-75.93294170815476,-53.08273696260468,86.27086627976654,-127.97462306207008,-172.48319115356807,-48.55158138816296,-184.23752249730316,-160.5040576040553,-60.26251170522636,-31.296750633040663,-16.411883007482725,-85.71891006364638,-77.652986616912
7000,139.8143481969534,5.533186850031257,-130.9092080597432,-12.062921657997464,-28.696584182789874,-130.24122774977886,-77.68239679893193,-57.59027037450583,-125.75509633567526,152.68988299289,-51.47375862650602,35.79288710676142,-9.294983252927667,-207.24947873498775,-150.28854184149304,-175.83161520992675,-44.50792151511185,-22.168887994042326,-96.97780292327893,-126.56621408480798
8000,-19.850043925755475,49.570566695675666,45.81803149896467,9.125618345010585,133.32461429749114,-3.933787173965186,-142.7216825477784,-82.35612653499537,-50.26677749797229,-18.64653033630465,-235.27220292248808,-80.74425494843189,-108.14578620053237,-128.82485834264722,-115.06914485386328,-97.81931892429766,-87.1372770050524,-52.24394426826211,-99.82721918218034,-151.651845167354
9000,103.4243064981806,-60.248717072835746,-99.90557951507274,-10.906820961840666,-12.545998284235106,75.32437644426109,-123.43482173121903,-111.32921029265714,12.352808189341781,-5.7464426206986206,-100.08425135035172,137.07617788401032,13.594099661283318,64.44167291116908,-33.55278632818911,-147.83388038267555,31.74281359058683,-117.48472348914977,-86.40086192426493,-173.61947858986198
10000,93.6135137674114,111.27513585284878,-66.46053761568488,-113.93884267194734,108.29420136130379,-78.192990313113,-16.474274244038355,-47.58077803172685,7.705617707389091,178.81054828013933,-63.589300929517805,-83.70211316017271,-40.86903965049187,-39.15886855070041,157.3655458445145,-34.80817968613069,-27.108438228273712,-168.02258008723228,-119.60808453499533,-83.15079521156268
11000,-40.685378515996945,90.01272762912708,-210.7701450161643,-117.42810647054363,-29.767167764358845,-21.2482822491825,-36.45556224887815,-106.68100881966215,-0.7508362898021517,152.92684930734285,10.49770561765367,-95.49781211314318,57.44989313187616,-97.93490461349832,211.17824696465982,-27.56757754195107,-44.00056588172231,239.99265866676714,-87.47220034588206,-92.38454535832398
