step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-293.1513867999425,-306.6710557899027,-76.60606710585029,-79.41034729419042,-294.64577813958743,-267.5077866996583,-207.51785198063172,-1364.80339876746,-195.59868699325588,-124.83893635007031,-394.7637169197986,-215.28861962770335,-168.04344471823677,-269.0805059744929,-201.80992290302802,-191.21903028550358
2000,-246.61516223402123,-129.7420369908182,-47.84975940865223,-166.52648294193628,-323.64054301429184,-92.403447071484,-75.50472472007552,-219.7564637844142,-217.67937057381008,-203.0173485434998,-153.06987349532469,-99.14363770297625,-334.9491541471625,-24.938565428494414,-156.15433398214358,-163.16684429464192,-200.3842533483648,-82.78880714741089,-227.64599674775994,-216.27740593610346
3000,-242.8707391378905,-58.527544342695336,-96.98374498245005,-258.4781827006425,-197.97174719170903,-163.07578926708422,-111.09358106052095,-90.88854538877804,-96.49235641851517,-267.49893574261324,-197.1569029909421,-181.90019117083594,-142.58057630660858,-44.442441471056554,-67.6966617335353,-130.49366908318714,-64.8442408110222,-63.340805620801056,-214.1678110015924,-92.72953488498125
4000,-246.60732793885927,-13.196344042547224,31.268434383563648,-203.44808369307728,-116.76006891997794,-109.03948412349432,-142.96192393605853,-47.00587358692542,-193.98965074763382,-73.87497842595153,-87.5545623543624,-38.642190410147144,-197.78344915737657,-116.75155316469886,-140.07208604338734,-155.19764862159113,-78.73856073333364,-84.90456146649142,-83.90112465083446,-46.62383988145945
5000,-191.0509366153025,40.89585496409946,-62.832206629275724,-215.3428926961042,-23.568472020802172,-45.32432193078798,-154.9762182554156,-103.74092432421908,-145.82685073341102,30.76219883500961,-164.39250346642632,-28.341099279238932,-216.26864335812215,-136.60926968168178,-94.52916064874262,-131.63363366271847,-56.29837991954497,-246.92047471451937,-129.35424447799588,-12.10554905104639
6000,-133.0630612858912,54.05413066023166,-42.22132790809858,-249.8198113741333,-47.67181949703234,-129.9953144332775,-203.60553968714376,-107.33921196321683,-105.8630066870292,-160.40475493642356,-29.902958458880153,-31.565753308498433,12.047197985225415,-89.03272712640474,-101.4390896591098,-93.90161363150327,-115.46719191724122,8.917040627542605,-182.68889506775147,-65.50848871251303
7000,-115.3057567839523,-169.30345795355095,108.02844511367392,-216.43321370176696,-189.69355927591678,-55.12807997154351,-121.68650466968056,-61.09543861792107,-204.35103904423656,-33.60397601086036,-99.22440282921514,-39.65796801367503,121.89238250004617,-100.77459312726371,-93.45978300820234,-51.725577140939485,51.061764911196065,6.799438385376249,-74.18561262098164,-122.76763077754889
8000,-76.60277033328407,129.8932995330339,-33.91964293885216,-178.0576219096338,-121.24872244400301,-96.01444833359535,2.8523464495161384,-72.2087358236541,-60.51810275461196,-59.651757647536044,-94.70659366871689,-31.53043155831287,-75.43314736485458,-110.5059736303675,-71.10133468885371,132.09813802240961,-4.872914507319597,-77.36276425773748,-45.02708354617476,-28.594119178658463
9000,-70.0158176380192,-21.8221231416708,-48.46039949244325,-248.8151202391647,-185.17908601866347,-69.69366111515446,-14.989459253410175,-121.11953670613612,-104.89116144578661,43.760065883517335,17.05135894974949,-21.253441196282427,127.08256861077045,-75.307275755675,45.82560830196783,117.5346405346142,-127.19933320917994,-74.88221610576387,-55.441137835723076,-33.2959282304787
10000,-113.81746917681694,-33.080366660083335,-13.855633693386565,-329.32545724474903,-121.13989652084922,-57.50541907092016,29.09055457381004,-138.54435315058382,-76.11835370359789,-68.87081136737008,-26.262525374697216,-363.5448151598637,-89.24575307759609,-8.16084806517505,36.13706319096222,-144.39010144999688,-60.26764733873468,-62.67707213860524,-37.665534270615034,-114.12191313063147
11000,-73.38068509764534,18.64361548456907,-0.4733168923280431,-79.02431775546782,-152.99792833825006,149.96893904909916,65.50769582466613,-106.39114393483025,-92.84585135770239,-64.75595831198034,-40.218204941961815,-55.65184137690657,-24.842910518160732,-3.100019662392095,41.40561642358694,-89.46099661773492,-77.15642815177699,-42.61568849399847,-27.82183460194732,-154.8035362028997
12000,-86.32303330660399,145.42704163489353,19.267173574136024,-12.249742666480858,-70.67146973548061,42.59336319661221,173.75879516164022,-107.34292839296518,-136.2124114866896,-84.9417229488136,-10.035284886264156,-28.56077750582884,-121.30905853066072,18.583565287810845,-52.01814276064241,-103.62468345154394,-44.117092570678984,-32.83092633760819,-26.003668544281464,-69.37611509525699
