step,TAAC_LunarLander-v3_0,TAAC_LunarLander-v3_1,TAAC_LunarLander-v3_10,TAAC_LunarLander-v3_11,TAAC_LunarLander-v3_12,TAAC_LunarLander-v3_13,TAAC_LunarLander-v3_14,TAAC_LunarLander-v3_15,TAAC_LunarLander-v3_16,TAAC_LunarLander-v3_17,TAAC_LunarLander-v3_18,TAAC_LunarLander-v3_19,TAAC_LunarLander-v3_2,TAAC_LunarLander-v3_3,TAAC_LunarLander-v3_4,TAAC_LunarLander-v3_5,TAAC_LunarLander-v3_6,TAAC_LunarLander-v3_7,TAAC_LunarLander-v3_8,TAAC_LunarLander-v3_9
0,-294.7678820286862,-133.02501364804485,-130.0955657388574,-132.7027157023189,-107.35892128569141,-90.10375857603283,-142.0117238878029,-86.64536737436192,-336.02436818415873,-263.65724984087933,-150.8178552041542,-124.37028125904622,-172.5445156021693,-321.2388887749869,-364.6315396020671,-121.94506211363513,-168.04344471823677,-140.13112740046196,-121.16793900436164,-368.5258357104179
1000,-261.63077782637015,-130.73812856880627,-130.0955657388574,-132.7027157023189,-107.35892128569141,-90.10375857603283,-222.85577744361868,-86.64536737436192,-229.04894908595142,-281.8886110702703,-150.8178552041542,-124.37028125904622,-399.96134632793,-291.56065883990794,-396.24199848717126,-216.28007305490328,-168.04344471823677,-184.41559721184936,-200.49834401519266,-326.9044454945045
2000,-719.6033405766725,-64.11571929504039,-622.2128600519001,-173.76100847892545,-142.87855430432145,-329.2841266735119,-210.49767496611665,-267.90520557704593,-639.8224633223582,-178.9722159504614,-474.0676025698783,-229.1520432367786,-329.77645697236267,-206.6525407569227,-83.11362029468701,-1517.930274342298,-156.4125805114378,-715.2396439511966,-382.8246120970757,-131.91242270531617
3000,-362.3885688112577,-24.222991940026287,-240.88209635324327,-176.33412674363004,-195.05358017497656,-337.93278438364973,-270.4067488757266,-344.0536700058712,-88.61223897480845,-206.93715546221765,-384.89639341332213,-63.698469715572664,-167.34796531403197,-311.35646803069955,-469.79678391238764,-479.7453102702907,-177.92072151853742,-374.61436203470583,-243.2021171722391,-155.24363196415354
4000,-151.6313716778165,-111.78667694536172,-202.43050944355704,-177.71959919423634,-211.12270757900885,-143.17140814602192,-74.19081847300963,-161.225033605299,-163.94391989917526,-143.2620723324267,-266.4889563963552,-67.83592652928057,-185.5449139284386,-204.09995030073296,-55.9020147696781,-152.7309049821259,-94.82226196362062,-275.436423456286,-180.59867532898497,-213.3122114304197
5000,-84.11938197431357,-10.477689616050204,-347.726492046327,-70.81492681678027,-230.1858851591675,-129.098515657587,-204.95159057179228,41.66736749520025,-110.57946354944134,-96.98494850496438,-197.90467179370432,-78.07968544699804,-104.67514072994935,-134.5592225606023,-259.6772139276015,-224.7218390838109,-77.11566907078186,-393.6840397859464,-62.86409108839241,-240.0963576108197
6000,-76.62309756303277,22.435068103027888,-110.39534675044126,12.641576308316852,-227.98094083214073,-189.69813197947556,-109.74738341235104,51.53861272390287,-187.4003444630614,-131.3838244422774,-177.43625503471677,-30.212464527520876,-148.01861175876317,-50.77293131532832,-92.93604058550788,-308.3046008571569,-204.72552345183658,-9.50787179659693,3.132650383736044,-182.55017338820394
7000,-115.48854453577182,-43.283087006328536,-98.35790562692131,-104.48843836214176,-76.87425345691673,-90.59465166751217,-108.7825135289341,-63.72809500433495,-153.5800349662783,22.055164397613368,-504.10848965330644,-45.03081510116934,-122.02402216637881,-85.78217968679773,-210.21243826150715,-433.65803973474027,76.81436866299399,-62.7781825567508,-45.373674355122496,-29.435524773213384
8000,-24.56597596089128,-11.852833904179505,-42.861886699165865,-10.144821056527904,-49.640829204114276,-193.56584999168317,-116.48575755882234,67.43209030895606,-141.92725890568022,-91.1208187213902,-557.4825989273021,-170.63050956049963,-68.77278261847023,8.515985474532817,-29.74395298771769,-256.3157125116974,151.36119153974775,-20.486251677268864,-66.16668292112696,-8.12045660190841
9000,-161.95042080612694,-14.204169312491288,-65.29005375065987,-20.46403457471041,-506.31727928818583,-124.89056645497938,-96.39202234663178,-8.063431965515969,-135.80452145370035,62.682709788916696,-108.54653515048012,-161.13643672829664,-14.713278799689476,-95.76889127334236,-84.48280848106928,-122.68854901122381,66.8569764725449,-67.97536472604399,4.253398274970117,-52.37591230609749
