step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-256.40403123018217,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-65.02677439485569,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
1000,-282.96841224974986,-108.05860218425994,-130.0955657388574,-196.98700597035418,-292.58648548299124,-306.6710557899027,-76.60606710585029,-86.64536737436192,-294.64577813958743,-267.5077866996583,-207.51785198063172,-943.6445380103575,-195.59868699325588,-124.83893635007031,-394.7637169197986,-215.28861962770335,-168.04344471823677,-123.39602638013996,-193.73610570076548,-176.96435842494665
2000,68.68233874454653,-293.32265817630145,-338.32123279066553,-192.6284881902725,-263.2243996881826,-189.06807309379988,-188.82256949834036,-312.02550203164014,-94.83310569766708,-40.053210011258464,-326.37153553134465,-267.104069380533,-122.42425065175844,-152.59083176452756,-189.57003546081592,-282.9561826211297,-446.13611739607876,-226.51894337267456,-178.82759205909076,-36.767025230223766
3000,-103.58368778379202,-73.66637348190129,-247.5483021387425,-105.24886334086801,-28.346199524575514,76.04416535827728,-147.14318351430126,-30.284313264702984,-94.08868498769652,-25.463077929699736,-96.25063057891026,-141.59822131765102,-155.31112399928398,-76.1829923643654,-112.39212428363156,-92.10988661303888,-60.96479108555547,-199.55249981353904,-95.12612127575413,-110.59056286354173
4000,-51.04320917308623,-87.87975503111316,-52.96578881887166,-191.9694250785059,9.873774728198981,-142.68788104680456,-140.30840094182474,-271.49997533678976,42.41912291721327,-59.468318418917654,-111.80550577557749,96.13334879095449,86.00191823362685,-99.40330818573163,-121.28027405959715,-89.00096393017684,-167.2315335212032,-10.168097522095286,-30.97532307319641,-73.62713051453623
5000,7.1595894756530924,-176.45524311119917,-119.74756184686812,-185.2856561991861,53.14135590923308,-82.1799291027222,-74.79936065303677,-23.40935349933409,-99.75864701434212,-56.61056412301233,105.47543685759263,-42.22076606874376,-54.12177142865747,128.90691310495805,40.18164913714961,-62.54795169468573,-72.21090973506482,-114.28795172434529,-20.233173105126045,-88.1148446118159
6000,0.3500747232315196,22.929719463877902,-97.40260627828378,-201.12619667031575,-3.431277995778572,-73.50965028765968,-45.276898651190926,-12.62384697375615,-62.36576951227395,-81.23892656364974,19.949808730538088,-83.002855398905,-79.63400998183063,-131.6288340534068,-99.36085015050772,-92.42700025721575,1.5716899078850493,-99.22670477540866,-72.70331531536463,256.97369745370304
7000,-42.539769044165745,-20.813060342751857,-145.75931437669814,-168.73316043136913,-55.23406918735143,-87.7442043865172,-64.56014136567781,-135.62695228218425,-80.34540241978455,-49.18254645051263,-47.6384968507089,-58.434114939053735,52.01606849028938,-47.55583418968595,-54.69086444539121,-54.08017951947746,8.172292734528021,-73.16727869926551,-173.7090668893691,-4.574380757372258
8000,-89.81226849605366,-92.56687279819334,-37.552363177345704,-166.61529752427003,-93.45691403729866,-35.93799464526675,-94.24479059564119,-98.28653215619265,-50.10312291372032,-20.381665661966053,11.299819594385307,-57.65119209882405,-159.5258138619453,-51.828465231533954,-85.09731135921933,-44.697392031564014,18.62169220535686,-63.71060003542116,-98.58629001655366,213.4977282631809
9000,-46.27555528337759,93.94306958071077,-101.40027747395288,-52.77540088482573,-13.97732276834214,1.5857104768604053,-67.28521245722534,-152.23611781944535,-135.29620287794486,-51.19970008562274,-27.105829292648608,-54.95745560026301,12.263668969687773,-49.37306277036007,-57.12505177029493,-45.03045861226815,-117.46545874202586,56.608713024778844,-35.51849150370875,57.37641732575775
10000,-157.1366982993615,-44.65629442685764,-155.20612665810015,-39.75673237892902,167.7866807298668,-15.82530852082707,-34.17872841538093,-255.30187230183083,-66.27415564939724,23.664137362427955,-46.36509079248744,-19.289588143612146,-44.674657460756606,9.931800429169636,-35.36735528788591,-43.83908758980525,-124.23926920207934,53.39210226971673,-104.69719104964923,137.7592891667687
11000,-108.06500779825183,-81.83053374492161,-72.53169497353592,-46.58319128241768,-40.76799627043129,35.4398471836324,-139.94415172983975,-149.9056445398169,-60.3249600669748,30.421253920017193,-51.837876939570215,-58.26264291344932,-193.36413310151173,-2.960106985144359,-58.895082353532395,-151.09961623625688,47.27278688933543,168.50955908645082,-162.577887536053,106.15760471049232
12000,-97.19442846544909,-51.814320275069264,-138.32180265085233,-99.1094964432333,80.12637596854633,-43.354210850043266,-147.0921161781804,-204.73637900926713,-33.02636921321497,-87.46451075541984,98.37134931647586,-79.08912238456453,-29.283609506604602,-156.3530175535968,3.593092201707613,-144.26099477061774,19.149344986742616,127.90900485360426,-208.31509595810016,33.446193151128575
13000,48.03480141097094,-51.7107925503668,-161.36233099814987,-102.23912455332614,127.03914977281947,-13.250685428728863,-80.8153225695119,-85.14849701305116,-30.886334006810557,-138.63806210025194,46.62639975379216,71.84884994233259,-63.518881992510046,-185.31451650654012,109.4960141234866,-165.14484628909193,-77.66964035578492,-131.73710491866137,-126.44239870657128,270.59485789944534
14000,-21.006589080778173,-17.63130052044843,-98.12095243653317,-102.34436116108505,19.158192978352464,-106.81539633980992,-26.87681818941371,-161.58069285353926,9.598449945775059,95.24766151411568,-13.980648649184694,102.01895273626695,-206.89374397729668,-115.0931258955858,36.8670771792597,-98.55223988164066,82.42747266230406,-17.390049943575832,-114.22359970524168,205.63054813435642
15000,-27.751926695517657,89.05643730636433,-1.3659803797728582,115.51463390617084,-64.824659706166,-29.75372374270132,247.4990974747556,-45.62375713591305,0.605680502890228,95.45213176963938,-94.31699630195511,64.95172686271518,-147.83716179856498,-104.85712490089493,43.212669892993176,-72.99431887819354,88.34033141321136,109.1164844534045,-145.3518613612082,205.44061588316376
