step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-251.07692133602123,-104.73905355631511,-130.0955657388574,-196.9353427494033,-240.74820151776785,-306.6757603153828,-76.60606710585029,-86.64536737436192,-296.4982545309506,-267.4945219653789,-207.51785198063172,-924.4245264530724,-194.34913662208692,-66.30864803743306,-394.73116640305255,-207.13083373636923,-168.04344471823677,-123.03387282783297,-194.15579436262246,-175.93052182181603
1000,-299.8383231310159,-109.0692294683319,-130.0955657388574,-196.9353427494033,-240.74820151776785,-306.6757603153828,-76.60606710585029,-86.64536737436192,-294.6054291859256,-267.4945219653789,-207.51268660716127,-924.4245264530724,-195.60272116167926,-66.30864803743306,-394.72151038055375,-206.80748604310403,-168.04344471823677,-269.05401794368225,-194.15579436262246,-175.93052182181603
2000,-205.26266927696884,-56.30352466563858,-451.6080225529722,-107.58089268906654,-634.7439230001643,-231.97372217474,-110.53707316033076,-84.29057987640304,-146.31133145712562,-154.42860399639963,-16.122944645743306,-298.42707926322436,-194.16234055969446,-495.2338490182128,34.27301664561019,-144.65202744409586,-289.1164060084811,-194.81446138215043,-1.4319321818230601,-253.64167749911735
3000,-194.1472613991285,-177.34410590611049,-183.9916996141943,-193.2807176912863,-164.5128943974684,-120.12504708692275,-293.7583986848341,-163.60779392852783,-348.87460831033263,-50.71779888784454,-151.26791506068037,-69.55078961916381,-125.82408373935716,-195.08446681542634,-99.70581653123413,-121.74190453990734,-169.71016071118007,-76.04986789786179,22.01049660280073,-81.03218438257109
4000,-218.7107949129254,-165.64284690455221,-117.68554082762915,-92.89706790684393,-231.82404589130752,-60.90537632817001,-126.4608028744572,-242.23880572448547,-292.53640350771127,-19.26301441347991,-336.4343771118264,-165.97926346136765,-127.89015024065655,-263.3969805825584,-58.865804977974825,-271.6578896261564,-119.5826915561925,-86.83399468509981,-127.47045088943612,-13.158370374599448
5000,-90.88272505606535,-46.5563331640862,-92.25241978733656,-149.99160351931346,24.314353103709948,-77.11634508748149,-180.43454490080987,-151.26004114722312,-58.50117776379168,-169.28131809718712,-171.85864427415626,90.99720795676201,-154.49927940379578,-282.476288896875,-65.96606639355258,-225.76573163331025,-79.28588166132526,-118.50919969955835,-154.1426712734348,-58.033347951363574
6000,-59.90344592614367,-1.5519670717709033,-60.84795835912947,-17.17845361357641,144.33216419008724,-42.075176673456006,-226.08966888048394,-142.40459396075465,-81.88222542640642,-60.307840834833655,-157.8330447175073,162.73202229387658,9.99114242793346,-209.5724453949348,-114.68744620344647,-264.51691215272746,-61.32610265065626,-34.549502730845404,-224.57040817475763,-30.512089588652344
7000,-72.11213088114646,-57.5072693905261,-87.0354416897221,11.357770652382152,-119.232296118035,-97.60385971100429,-121.4271854085243,-227.1450528124443,-35.50230807146365,-111.51460461769277,5.614536266013384,45.44578109019915,-68.70104643929984,-226.96430459296042,3.688809497107935,-199.80286037303532,-30.886267351031744,-262.16667102116224,-144.3762138592317,-85.56571354691503
8000,-70.64175831518915,147.00018703519459,-73.64573049482958,-102.15889381006757,9.755331836767718,-60.98736407122133,-137.31769498732749,-71.52923375717289,-26.124683294506042,-33.57217296986588,45.604482675949875,56.95291050099505,-44.119292413289315,-117.6273250412,-8.30607801824273,-204.88662885286863,108.27702075194814,-44.887603519675984,-73.02520974224238,13.726556489262606
9000,71.50291968331442,83.1046117410611,-46.99699082942258,-102.2284315779073,-104.05411959458293,-56.246043587072016,-60.66702124681499,-191.41407744381254,-51.571504721470895,-28.75622700817185,-24.99501967833845,0.6365331975742118,-8.069013768119826,-15.830942896448974,-42.195356949907115,-8.14777307425073,94.31825189892817,5.541131020228453,-54.28476676797865,15.694720795130635
10000,-53.09458450961436,23.096698873238836,-28.75355731823909,-86.43839709445736,-69.66628624813525,73.9551666600012,-172.20888533521278,-131.29514221232688,-32.14614586124688,-26.16751491102781,-70.00616560258138,-85.59943971838136,115.02584583770037,-14.714924386110896,-54.127578546255016,19.103111966071467,-18.429500823622067,-15.360942961593395,-39.21926780473198,-9.449692065592552
11000,-10.148348613553898,13.36665179906222,-34.778080795699026,-89.8306562261817,-80.55179066366232,-90.3615397369781,154.3311927270191,-62.19822141163956,37.13866835919601,-106.29406521646312,55.26532935411485,56.656926211186054,-58.061900017265685,-34.074444316577555,-78.08385302586248,-91.13314705582509,10.631201806344151,-56.422524810185315,37.37154965856424,-1.3208950345841013
12000,4.349698313666674,4.299781003056076,74.94073621967011,17.82717832611857,8.213197789301077,-35.13382239066817,158.51183635300293,-71.66752257408852,-81.47677030370055,-100.94680484228441,59.441426126499834,63.992001121490055,-55.40165914997425,-100.08885344639263,-81.79048657140241,-90.86889746247157,8.532275281858864,-57.50569411389019,-74.3808914163429,-26.16846437891003
13000,52.68973506103482,-2.3398620020072514,-43.15285277854495,-135.60441811443374,3.170730577980296,93.67099177378257,184.30034612138505,1.9813051227592382,46.987904019947074,-103.48270961898878,55.51873194652932,41.38828362185793,50.316835936842345,-83.91588050127258,-119.63595002487159,-49.08298057648344,-3.3383112504596952,-57.40224411393305,-67.96585264728523,-15.776039743950511
14000,-62.54654823499609,10.57221530759808,-42.3609343492308,-177.3948063497585,-23.35257861963684,-211.0324868029676,-103.31549054643587,9.321470572543484,37.890480617099044,-133.0932863355624,20.21164972000302,-19.713768269473153,-51.698940186552306,-81.7148932608665,-167.09006115959434,-80.07644076566457,0.7096753826462884,-68.64728606131612,-57.26200531363731,-37.062042489598085
15000,-81.2041015556414,156.66974171330307,-48.43825067263622,-228.31185859131156,-43.035455355494,-10.987356373843262,89.74957387481045,-64.04257613634091,-17.070117474178993,-142.09374695590398,129.0987554724713,27.59377302599459,-29.69981586066457,-76.70539307835436,-167.16264290404695,-63.20153846878336,-12.055557917965844,-101.88675008816278,-43.97120814355113,4.0864664216939275
16000,-55.39533090645275,-96.20778363064687,-165.9119938720119,-74.45224332183821,223.4216598791414,-36.173850338907585,-11.587694525865402,-61.135117920303095,-9.938045270870441,-143.9650728823419,70.88535738220605,-78.89312705246505,-86.22068048441258,-34.313684671043596,139.08015089028754,-48.8925852302892,0.5378825081233304,-77.32742883789528,-125.43439271457777,-11.800026411089442
17000,39.960881230750495,-206.29253575590755,-107.89754894634389,-63.94920960657347,76.25663716385097,-113.44289758431948,-97.4374889537109,-68.0503708650741,-50.691894552686215,-66.81940421993296,86.10693646520376,-29.733182615006484,-49.43339627987016,-32.8889606554519,221.79238839277764,-60.45121653674456,-7.804738843357346,120.44249782939978,-6.972439099486735,-2.3079170087676264
18000,-71.3523202287961,-146.56047473681733,-135.79848799302314,-24.09326451479752,-33.82230617958635,106.2635774320719,-195.3560531117795,-53.69904074372255,-20.021817786169063,-68.01974554825877,75.86369284466313,97.48455091882461,-31.88398914187094,-37.62757353302098,68.53748846542969,-59.218525922924876,-69.61496414015453,-36.39735235558968,-123.353340475277,-5.825392407289454
19000,41.56909840424518,-151.0225582805354,-100.39693266618777,-21.68702053573376,146.7181908109175,110.08917301346658,-220.366410791782,-131.92159487557092,-5.519189111764194,35.24024489411819,151.63151113620475,30.26829093584693,-223.76199842918405,-31.300942480528118,160.1068582995753,-61.08316032397672,-8.24522018947472,201.20077335677118,99.43633845353342,14.942222867127363
20000,-73.12980235670251,-226.48428008228674,-130.42086165829753,-19.10284556957531,-0.5169875850599984,195.76847011967982,-152.68454354456858,-103.07640830964256,-41.23978615016136,106.65247802795251,189.3088127040027,43.02015763151487,-102.96829685743148,-15.483183454304422,0.29538288359049386,99.22336670838581,3.329415499409516,177.23336522187836,-14.506449926727138,-8.431150969984364
21000,55.22823104588659,-112.52320951109577,-149.9002048205416,-20.07355883112277,233.45310056806147,41.6708286051603,-81.1362430231366,-42.12422981671708,-145.04459463224126,105.91004962164517,131.56723656313537,197.65563905851786,-100.40866166420732,-19.679840820919676,85.90267772587531,-52.13547690594847,-30.39526423613964,231.404515850671,-4.626370678650709,95.17956408126905
