step,LunarLander-v3_0,LunarLander-v3_1,LunarLander-v3_10,LunarLander-v3_11,LunarLander-v3_12,LunarLander-v3_13,LunarLander-v3_14,LunarLander-v3_15,LunarLander-v3_16,LunarLander-v3_17,LunarLander-v3_18,LunarLander-v3_19,LunarLander-v3_2,LunarLander-v3_3,LunarLander-v3_4,LunarLander-v3_5,LunarLander-v3_6,LunarLander-v3_7,LunarLander-v3_8,LunarLander-v3_9
0,-251.07692133602123,-104.73905355631511,-130.0955657388574,-196.9353427494033,-240.74820151776785,-306.6757603153828,-76.60606710585029,-86.64536737436192,-296.4982545309506,-267.4945219653789,-207.51785198063172,-924.4245264530724,-194.34913662208692,-66.30864803743306,-394.73116640305255,-207.13083373636923,-168.04344471823677,-123.03387282783297,-194.15579436262246,-175.93052182181603
1000,-251.07692133602123,-109.0692294683319,-130.0955657388574,-204.52442971925166,-293.67946840992926,-306.6757603153828,-76.60606710585029,-86.64536737436192,-174.63408896081452,-267.64471259620336,-207.51785198063172,-1379.6082494071763,-209.80354099943165,-66.30864803743306,-418.3975857841536,-242.71496695727717,-168.04344471823677,-270.2845375721009,-194.15259107699842,-177.37871809405226
2000,-44.48364688680987,67.79250136376852,-132.9703511746874,-151.5803081717298,-261.64382249289173,-80.79753015264176,-243.94835367405142,-40.18664490841716,-200.45448688164367,-162.70396150189936,-62.92615924796943,-414.3498759800594,-158.97322817615577,-158.5261048131184,-219.03721439337218,-133.58546502199528,-74.7960023833363,-180.40469737067383,-199.9019874969407,-194.90098046992952
3000,-137.9869765044908,-8.816474459439334,-165.64969281893062,-202.1222489038408,-133.38769828985366,-78.03430566302292,-153.49443522254228,-223.78370516039672,-261.3410494733921,-24.201477032221277,-108.74757714895587,-200.1405793099759,-3.3571523232260936,-224.32196461042471,-94.57036451235409,-196.05523682867684,-47.14508270323455,-191.9017426631392,-167.2694543993469,-69.7162144321576
4000,-131.2778872112552,-79.58160216121497,-30.081768879886457,-149.68997464437606,-99.72757686229589,-15.536792424801952,-125.11555144910677,-132.718104722944,-71.1098802673127,4.72297181320621,-130.80733129210637,-109.81180726516736,-80.49739538134851,-159.28797557460427,81.65843847475564,-83.48640866556626,-40.051622793889834,-162.43913530489655,-171.7921804295597,87.27021297763922
5000,-94.5684451105859,-47.210400811661266,107.92887788868877,-76.66883502153689,-120.65566741134741,-53.32305298324235,-77.96271852754,-30.451904825057913,73.83956247617402,-50.122033224230016,-182.19570796713472,11.838377538751407,-38.98638911900568,-58.1659051925595,53.688187187345754,68.66860670054395,-61.648541459075695,-172.58049588851569,-118.10593537779845,-34.86280120465056
6000,-110.28362117646994,103.04090532847182,-79.74430995071002,68.27473211169188,-102.90278100729607,39.09448295599557,-166.05725226649517,-75.54992643728032,90.24359015909266,55.677705374219045,-197.06239115613843,-111.86498334683648,-125.95110638700662,-46.47034390178027,-94.18420971991428,67.07061566502126,-37.76834856484856,-17.111317559215216,-113.37961913585077,-42.11104827961478
7000,-218.05229893415103,-149.59738607988712,-74.19660702157464,-173.34707691638994,-64.105789060615,-21.075351143990478,-111.65186146164963,0.6731440717042952,-151.57603069986573,-14.179228736085257,-164.79566130164918,-225.5951464765914,-33.10586816530855,-89.61574915761815,3.2822402070864976,-141.95863255502044,22.005772235816735,113.19939099689321,-132.17333889543968,-45.12449864579457
8000,-156.16832258720783,-35.10419517960938,-43.5503168835032,-124.76012144143301,-38.39253905037145,-13.85981454850896,-146.31642921669962,3.385645352225012,-77.87989925905659,18.01804436328684,-228.96928259884126,-226.49727215356953,-34.1769019109727,-82.79161777184771,-53.66191575407839,-196.1123190180132,39.32243671755729,-54.190595789698186,-125.66875206131459,141.74625102234288
9000,-53.263520942932786,151.01450771504372,-5.048569439516238,-63.6264266255915,-26.801122207439946,-25.27711344453208,-77.45364434455489,43.740969805590794,102.71840371925646,-2.6717828560721153,8.086806966322342,-189.2076367832634,52.1265119915598,-90.02983223918892,-122.16029710239472,-225.03976131379963,62.22119803209754,-30.828320570357153,-205.49661095943915,117.5762278664143
