step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
120,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
240,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
360,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
480,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
600,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
720,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
840,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
960,-1042.8980856780295,-1505.0082480708538,-1482.3900080720032,-1268.6945270467456,-1102.1749703574842,-1544.323737968767,-1185.0625567032203,-1185.1416922929707,-1574.7187927165983,-1371.1313624846657,-1351.2270214304447,-1388.7580598504048,-1277.305660285574,-1278.3834370469053,-1518.2000607191942,-1499.0578360398354,-1413.5273911325364,-1286.159923128699,-1247.987412394474,-1224.8784994097373
1080,-1516.0029757997906,-1706.5009766678963,-1541.940339427399,-1380.2212556673192,-1269.5534100510322,-1536.1734875060242,-1481.762850587375,-1336.7019702717673,-1684.0826550832596,-1573.946184896574,-1730.9562102508796,-1618.3674465610982,-1244.041572043592,-1849.2691560228955,-1381.4665758076349,-1749.0191826497824,-1776.21417579415,-1386.5554554319885,-1538.7927113478179,-1597.4591277487896
