step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1477.308215713119,-1756.83825632883,-1507.4737246107602,-1261.8041385114939,-1271.7311842784943,-1534.2762842837012,-1388.8369341599443,-1482.3308719526326,-1665.1788131750188,-1750.122783458371,-1673.439688824549,-1803.2966878754687,-1225.2452817113924,-1537.7992061007585,-1421.2642931481364,-1444.8087750968355,-1606.1189824738153,-1619.2948396125723,-1694.2614425761772,-1526.4320065056988
1200,-1779.5192561781591,-1620.1331882848788,-1217.605405498384,-1747.4778380734206,-1273.0312546532364,-1392.0608796355907,-1572.3969229248275,-1207.9845844587085,-1696.7366050576136,-1797.7121369004003,-1879.8560074710251,-1511.2517920103917,-1464.5307931291768,-1634.2437246742877,-1220.2953467658128,-1272.5388799362925,-1855.5798316364248,-1439.7507187827453,-1522.0523952913704,-1765.9588615499283
1320,-1540.0433983790947,-1460.152864703067,-1776.0479936530141,-1851.3624238494358,-1578.379902438539,-1593.4176188685894,-1699.761354691292,-1547.7659863230774,-1571.0637745382578,-1736.2635821067809,-1628.5045171836687,-1475.2431396692166,-1720.6200379880288,-1641.5418515884994,-1440.3499316176196,-1607.6380130795585,-1692.2607754938592,-1628.477590050317,-1559.7087565004488,-1778.1948869373598
1440,-1562.003191089752,-1464.0008407488415,-1652.0304397089778,-1645.0636748450404,-1479.298468528404,-1552.0323902326772,-1533.2874646830267,-1467.1112161977903,-1613.170817793674,-1680.6146066786794,-1817.4873675043502,-1464.766739493319,-1799.079722512734,-1573.314625222241,-1381.4590498065775,-1763.4826829580074,-1521.276781375304,-1549.3846287483848,-1483.5253694980252,-1653.7788924123324
1560,-1565.4656565633536,-1463.2514572548716,-1541.8703576200508,-1534.5640220018593,-1450.2093187481826,-1494.2373298958335,-1501.7768043504038,-1543.4694027262194,-1608.3731251126512,-1575.4219325720053,-1557.5965848674525,-1459.6935054766177,-1762.6077014895104,-1524.7815196382817,-1590.8756905510036,-1620.8944508214004,-1492.8235895580026,-1530.51600649643,-1473.055340354554,-1505.3421824267302
1680,-1474.3931025361474,-1463.7976233547906,-1466.6367551029834,-1500.6795911078502,-1391.4155300834288,-1542.282378241275,-1502.002909705871,-1486.6831322237374,-1596.10963312329,-1632.5670510454934,-1501.7873945745546,-1477.6048694469846,-1514.8384932839253,-1544.8233069796477,-1507.133686147615,-1502.2041077167337,-1485.5827695633427,-1508.3571917832346,-1468.4917824581287,-1472.660294972745
1800,-1470.7195028412,-1466.2008317796865,-1368.864756716135,-1494.642220678756,-1427.3840840577705,-1534.803852836208,-1493.3107618696695,-1485.2276640245732,-1579.556117925958,-1650.1487233902214,-1488.940487327802,-1490.961865442649,-1489.058538116145,-1555.119286727923,-1505.6667353030882,-1488.5804054422863,-1480.3566197370374,-1498.6690900592257,-1457.522862233846,-1469.208789782517
1920,-1462.425952385999,-1476.1286099649865,-1370.53136845892,-1494.2249521817707,-1452.403788144157,-1531.031316692607,-1519.8980955910233,-1478.351226193829,-1569.0994650269295,-1649.1991042037087,-1479.9601822725847,-1474.7123262675768,-1483.5655052487382,-1568.6354339420034,-1517.5494661606385,-1484.6154135936156,-1478.0202008431052,-1477.441891245105,-1454.614928978974,-1459.2425941939214
2040,-1453.3081085161882,-1516.3333025655945,-1344.2167097503261,-1495.2600836802235,-1461.739086116311,-1533.7472384093041,-1495.9965081756577,-1487.2178554366967,-1540.4198887836553,-1567.2898935976161,-1493.6076488042588,-1468.371925247673,-1481.800619733706,-1567.6068172120545,-1471.535532961941,-1476.8211668863628,-1474.2839419442316,-1454.178787913149,-1396.1067145517231,-1456.3424254538063
2160,-1441.9247499631454,-1537.6826817786255,-1334.3663185748887,-1458.5928298103222,-1415.9660223231829,-1493.9782740462808,-1473.0130359024809,-1468.5337515500214,-1505.67543299183,-1510.4742981058876,-1478.2381263673371,-1450.1848957792815,-1464.3208508476798,-1523.7433758587838,-1457.3027302303085,-1441.1518144476777,-1446.4290041354548,-1428.5527762896902,-1404.0536491092366,-1443.1955448334872
2280,-1433.38588259051,-1499.3774930994964,-1295.5701558709748,-1463.935630713495,-1372.7660979864463,-1459.3165248118169,-1445.9461358743847,-1463.8422134672724,-1489.821757310277,-1485.0336118754742,-1405.2770213224492,-1368.380948494609,-1461.3792084385086,-1404.7532769467766,-1441.4223060189763,-1279.7317897723792,-1303.0011974665867,-1355.088413175343,-1280.782313617551,-1418.4618316455687
2400,-1365.0282556329962,-1429.082451468426,-1213.4445605207723,-1435.113899986382,-1348.4921076835053,-1316.1732453790457,-1445.9677258155082,-1411.4809497242009,-1474.3011977742688,-1329.9172215034052,-1311.9076596487243,-1353.122605065142,-1255.0081574542357,-1288.6498118769746,-1437.3888965369974,-1266.9565065802724,-1296.646158295158,-1307.7963980567533,-1274.1311011664898,-1402.416371070672
2520,-1136.692979189646,-1413.8219160986168,-1143.4114916850856,-1252.4117285602701,-1201.7158883346042,-1302.1850088612237,-1425.8804162570264,-1287.9166507129376,-1458.870301570243,-1310.7259272275521,-1219.8840899791767,-1323.2748945066062,-1203.884119181653,-1226.5586289480048,-1422.663030653376,-1253.0568791547937,-1255.117471489552,-1238.4652918599345,-1275.344887983591,-1210.6705731540703
2640,-1106.1062595425233,-1326.5755844867067,-1162.253813810054,-1193.623523785738,-803.1380259421755,-1277.6816830578036,-1283.1032962895806,-1279.454845297392,-1385.390593073358,-1286.232181322614,-1179.8439768239555,-1264.218940920427,-1128.3992941513216,-1101.8606189266352,-1281.3118039320216,-1235.8207969794119,-1291.9125266724905,-1109.3980429695712,-1215.1032324056355,-1088.7851473653704
2760,-1040.7774363714623,-1150.8819118867773,-1141.4103611565024,-1140.8789839711544,-897.272320805638,-1254.2874807071735,-1263.4563833148063,-1247.3070074234793,-1267.2496085313378,-1291.6685049891066,-929.3919260390012,-1140.5335550912264,-1083.9351521895148,-1065.402114809707,-1132.563111061022,-1197.6303752364083,-1253.090151780989,-1101.777486318231,-1221.818793479029,-1015.1936469128516
2880,-1030.737203721848,-1088.5647335927604,-1108.9807330938374,-1053.6222471715018,-807.2001962383689,-1281.82625338533,-1203.945781199693,-1199.4898486333693,-1195.2125093930986,-1266.5730759332678,-1080.9231640493522,-1215.9660068186772,-1089.7614134741123,-1086.7675142490054,-1032.9601612526562,-1152.6142797122623,-1230.0339546228654,-1058.5230903624574,-1094.5285444936665,-952.3396658309908
3000,-917.0490531124267,-1047.9487965916232,-1015.4189938165615,-961.3949071242243,-626.207611370706,-1254.1600993890147,-1186.0557239862696,-1044.5000542654373,-1141.8829878409438,-1267.2029823692533,-1012.7218420224439,-1149.930424260384,-1030.9832271531563,-1081.465015291505,-917.8501066919204,-1097.4444561707219,-1200.456426093063,-1061.4223703138348,-1053.0509969264458,-756.744384491363
3120,-989.2978404926547,-1026.172764812855,-1012.7900409142306,-920.7030778296721,-287.7963126898708,-1197.957856335163,-1203.868862902093,-1011.8952658217404,-1027.0054260277304,-1241.1476760777239,-963.7006509046611,-1119.3301644427236,-974.4597198536354,-966.7106335537786,-736.7300007429558,-1060.4143884625132,-1191.2583062104618,-995.9759861797669,-992.367481903296,-758.3031977976938
3240,-900.5755722710901,-1336.7363983477276,-753.9030237783511,-779.018789121872,-599.2017686218733,-1150.3433526891026,-1136.5105220569812,-1071.7842626954887,-1027.7414214959067,-1236.311291328647,-764.4797616973083,-890.6096245998654,-943.9755460988272,-964.9791661896792,-825.2248728141137,-985.7136958895378,-914.1460730276387,-976.7073729659027,-892.0903094402425,-817.946150731146
3360,-832.9450742603178,-1327.8052327286969,-791.261125278233,-777.9259731966077,-518.1291955486886,-1038.776181411343,-1126.632783698787,-807.638430082415,-1029.030843789095,-1184.1797689175492,-763.4293369440866,-772.6775806065507,-795.0294199512101,-826.3042471965982,-602.1789505230523,-816.001972841748,-1002.7593667078127,-1280.8434935634766,-906.7581270909544,-860.1536192626794
