step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1113.5070374309112,-1728.3467935547371,-1414.119228786051,-1523.8441635044444,-1370.815113228295,-1489.6055126760261,-1441.075891766754,-1279.156112471064,-1827.8833154743977,-1559.2220387084387,-1676.2839174275264,-1693.5293583971666,-1162.5260516775247,-1579.5320688569132,-1440.5648095726424,-1438.0794408086722,-1446.3601627267976,-1421.9265189966984,-1619.7383595461304,-1526.1877458853646
1200,-1448.2866091351284,-1683.194632510255,-1747.0931897269825,-1776.307350774236,-1492.933954021599,-1515.1040146424011,-1664.5891356076525,-1372.458995235986,-1691.4422101113978,-1839.7998566677754,-1730.200591302893,-1288.041576975967,-1436.0697239513513,-1641.298445786128,-1562.1641265491996,-1694.4467935853434,-1649.3818135896552,-1686.7572560136243,-1643.0344425717049,-1744.0712425021418
1320,-1235.150251038286,-1488.9503399443868,-1620.969695032878,-1859.449645792148,-1712.9547452099582,-1449.622961876854,-1761.1829272208658,-1481.2767722542244,-1499.5111645485247,-1835.8760199769968,-1627.7517506374402,-1432.7659312790179,-1155.5495664157775,-1652.238311939692,-1578.9398485196975,-1723.7383299475757,-1619.986864524241,-1648.7165113822,-1543.5077578527148,-1827.539312463187
1440,-1614.2831045170265,-1464.3384722360454,-1446.286170058669,-1645.394618374325,-1530.123210193157,-1533.4241591631692,-1812.2298984113909,-1523.7205609510997,-1485.4245349486869,-1780.3099785197276,-1661.4039046949954,-1499.2193568516648,-1334.0590761741496,-1663.6243067968867,-1611.853127832021,-1693.5551840992798,-1691.172722389712,-1638.2255729663032,-1528.4788552142754,-1726.3748982511522
1560,-1575.8384362175523,-1452.5488908651337,-1483.3489438913493,-1608.6899988161185,-1453.5178577673137,-1551.4455602542414,-1681.4504886626157,-1715.6956320198904,-1481.6223520407282,-1762.6244079589637,-1634.9680047990144,-1499.7527703209296,-1420.3162090555068,-1503.9678908488847,-1496.0618378583272,-1587.0447711065233,-1715.4872489691636,-1640.4891528705953,-1497.3167670964494,-1479.7343814926517
1680,-1537.163481523103,-1433.4836192047835,-1496.4162893530306,-1607.8670039178853,-1436.8137585385716,-1515.606758978834,-1640.4750196439957,-1792.8002958264435,-1477.0258144451589,-1635.601209269959,-1621.4697211559496,-1455.5571842604118,-1492.9951925198484,-1492.7214384422261,-1507.8746365830013,-1548.72338026393,-1521.685478443178,-1631.9030113338324,-1478.791458972014,-1474.88871607008
1800,-1488.5005946713945,-1446.527952397793,-1467.076183154355,-1575.6633064785638,-1422.0610834568647,-1501.4132819057008,-1537.6030045449274,-1501.7968828308851,-1473.709622454696,-1555.7534174164348,-1626.4627879679508,-1448.6099565254408,-1484.7910206838628,-1491.7898542292608,-1510.0345001554465,-1526.249768476238,-1490.778195756443,-1556.254465825798,-1463.7092924335961,-1473.4734910568272
1920,-1472.1461578572266,-1444.2215749064508,-1479.452227196545,-1565.9687869385039,-1417.7887478988898,-1488.8934350302006,-1486.3316739764573,-1483.3856460355469,-1470.8038391844354,-1527.8831463657962,-1634.846785542532,-1449.7145069918495,-1481.9130400660104,-1489.42692463487,-1470.0886498444047,-1493.1184728879032,-1478.9123082532567,-1496.0128633467534,-1465.8993402375545,-1467.9694882297708
2040,-1463.2057700485932,-1417.8220941472866,-1479.0308353173289,-1528.6938697739604,-1412.836727273871,-1498.9858186338156,-1471.4551054279652,-1478.5757989510646,-1464.6201526069206,-1512.5551443729073,-1543.5450663686856,-1446.1035802202523,-1483.3234608402777,-1495.2412462685672,-1462.32741786575,-1474.6712048543363,-1476.879963915817,-1462.7486951904925,-1452.808561223957,-1466.2576512502183
2160,-1433.7017404171515,-1425.81460247353,-1461.0473074456638,-1508.986115747125,-1397.9310504601003,-1478.8216782600143,-1442.9188709938085,-1469.4836571323199,-1443.795033426608,-1500.8338988068256,-1477.305830916263,-1436.9150856665635,-1482.7102322943779,-1468.4819751459042,-1455.7069408017837,-1427.2570748916864,-1469.6394354729914,-1444.70424646957,-1376.4630101062332,-1464.3102497754342
2280,-1370.623153684604,-1259.9358464714564,-1433.0886052595367,-1462.9384982307515,-1372.3159185842694,-1437.9173378157352,-1345.308448645609,-1334.6171892827729,-1459.0762952190676,-1498.9542460962934,-1471.5103451885018,-1431.245260256856,-1470.9539712378062,-1412.1909950264085,-1451.2706669347788,-1355.8752979640194,-1463.2064191412092,-1349.825202147686,-1338.1059588995422,-1460.2290924479578
2400,-1299.3197630440288,-1159.2085092308234,-1306.5663532947874,-1425.7017905154596,-1341.2902750754588,-1415.7046982763648,-1289.3626230267123,-1271.5386366099424,-1457.3288760504172,-1390.806551924797,-1438.888736902291,-1388.1036287679685,-1456.091945115864,-1333.4350850542078,-1446.3329470923604,-1256.9322309479503,-1458.9082275679273,-1310.0963979440944,-1281.3543419867856,-1453.3827697050478
2520,-1212.4020522410433,-1202.2166984933617,-1272.4581673528933,-1269.2175243277504,-1231.5935308500127,-1389.5156645590334,-1257.0142610589749,-1271.5860107995984,-1350.3454101851019,-1364.9385458686102,-1399.5675964459908,-1305.8085536735612,-1298.7876325740747,-1262.497615379178,-1437.840571521895,-1253.882647702915,-1445.9624415932474,-1267.4021176606338,-1239.0265755002526,-1398.7550497117495
2640,-1162.446643768974,-1049.5436861114067,-1243.8626923292386,-1147.1204298176633,-837.6176610652232,-1344.456682342509,-1226.1850863662796,-1237.1111853129735,-1335.2723140407993,-1314.4851453235922,-1345.276203720467,-1253.0205850524053,-1099.4356942074908,-1214.7777255018996,-1423.521612418836,-1229.498790037979,-1373.185809479632,-1245.3919359002123,-1214.4969426641292,-1323.136009649402
2760,-1140.3768019221247,-999.0307635376781,-1219.8372356036475,-1114.1447669589882,-754.5088299990636,-1297.936957913975,-1222.567227333936,-1206.1274434516854,-1258.2620116409794,-1289.2853635583297,-1252.071301429346,-1206.974868218622,-1083.0904331019533,-1112.5620736728401,-1301.1582845077012,-1210.9963385704693,-1338.136526802344,-1166.9751358025455,-1130.0271243894508,-1175.6611059248087
2880,-996.6651386733596,-934.4981106998308,-1163.0002709482699,-1034.158757493437,-696.3719500823657,-1292.5127365326912,-1200.7037494433832,-1049.4214435697077,-1211.4651293187537,-1272.4189981538614,-1183.0520441554172,-1138.8768862716147,-1091.6008485831508,-1080.1252397031792,-1219.186208386693,-1096.1729859125912,-1299.257582145313,-1128.5116410879577,-1144.0390670387392,-1152.2873581266851
3000,-981.7686726244007,-921.8626589753239,-1121.739140029211,-964.9498611343181,-658.1631676023978,-1227.4805309007404,-1189.1802904989156,-1045.2014006096695,-1123.731264673676,-1262.1286385286608,-1179.0555344741756,-1104.1431501034258,-930.8997041726043,-1058.5995239463293,-1178.9954894271582,-1150.4730060661955,-1156.4746132866267,-1072.668991963199,-1171.3791107083443,-1059.9993123020097
3120,-945.0740240229728,-1157.6669161422587,-1033.3765966981741,-892.4613443453743,-614.4688118535607,-1256.3306303637844,-1123.4752745269425,-942.4153395969934,-1085.1599963087688,-1210.0348883549764,-1135.239520130225,-980.9994314017844,-941.245104032529,-940.5242532216183,-1147.2964654823093,-1120.2412333367404,-1062.4206981784637,-1067.91288357234,-998.4398014243877,-1043.5931000420296
3240,-618.7186087810268,-1262.8845179486948,-1015.3529320675832,-913.0820768553871,-595.7119145786786,-1135.0075877783997,-1155.1727036006282,-798.887000578013,-1047.0955902919145,-1186.7999253920511,-1007.124030831202,-962.1789822546643,-927.0268948668987,-991.693947968831,-954.2151194050281,-1066.693094942228,-954.2884943451811,-1004.185670216835,-1019.5760574206801,-1027.504582254181
3360,-821.6164260654836,-1237.760032164845,-944.580904836262,-746.6293470726029,-559.9770904243064,-1111.109658701565,-1126.3434344955083,-798.7806054241412,-979.1465855366557,-1187.758619585668,-1039.4337458510413,-911.2322790590595,-895.0797466770509,-937.5183956890105,-1076.4514156253886,-1015.1221743757527,-1023.0276748858269,-775.583658016608,-597.0502280311697,-933.0710632364335
