step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1496.6740528132684,-1708.503635454786,-1667.5896385751912,-1381.4981950235465,-1618.1605550079657,-1521.1662013075252,-1365.6026503488204,-1221.0113678217078,-1684.6872218978715,-1908.5436906639013,-1689.7254376958786,-1535.3456442043694,-1140.6139368286729,-1741.2106156198174,-1331.9263430431315,-1434.550176027376,-1372.5322097842568,-1490.3623083123157,-1578.2191437515019,-1529.3824315683623
1200,-1737.9286126354539,-1637.4741847686382,-1707.775553916909,-1311.6390468756522,-1629.6339749296435,-1670.9302475164652,-1791.0588016517227,-1523.952051963234,-1625.0246266129375,-1865.393269791448,-1682.8173035996228,-1342.8994444042503,-1164.733063504254,-1587.5854839363794,-1200.2927473887232,-1638.8806083954664,-1616.0059105552998,-1775.5678921860679,-1466.5932447561006,-1741.5146544575878
1320,-1694.4109102148086,-1508.7133964556724,-1755.3428725651113,-1809.6281331972186,-1661.2907160588063,-1769.0673034654633,-1741.337713562511,-1384.4267476551008,-1463.119009431408,-1577.9752498951561,-1679.7621317558962,-1650.6387734207103,-1788.3070656638502,-1565.3652532495294,-1561.9586823990896,-1727.2657791174381,-1636.0071918295557,-1625.2326926355013,-1607.67569509129,-1811.9513622788897
1440,-1560.7337326591964,-1466.321241524162,-1603.475730792334,-1632.9989387777318,-1667.7108171465632,-1533.7479271674044,-1539.8319648494064,-1402.725122842275,-1503.225959810405,-1698.2589243722591,-1510.7918528780187,-1583.8022842678815,-1823.8231459301483,-1586.449092734189,-1630.576443559915,-1832.110284614689,-1676.3886771964844,-1487.527953247024,-1538.7876117524295,-1588.2023003869876
1560,-1582.942427861643,-1460.789678657764,-1582.029055270123,-1583.4851961599484,-1596.0312261579836,-1500.978738022026,-1502.0569848585405,-1434.315197288258,-1509.4131124794408,-1823.4448222779379,-1492.3247540486577,-1520.9019183626199,-1547.6446891155083,-1719.5948331524755,-1517.2789502152982,-1530.2034584277171,-1587.3193102362097,-1464.9075559912549,-1494.6479008536135,-1479.9150238912503
1680,-1534.2839853783607,-1458.0162833755583,-1558.9096074880879,-1539.9006108303122,-1553.2844136527324,-1482.8568597258518,-1496.3349235143583,-1471.6779735590528,-1510.7631284031345,-1906.4484401322393,-1484.194810182753,-1547.8003434161733,-1493.348736667475,-1716.134801620256,-1481.4877434554073,-1496.3406185022457,-1600.504100872309,-1456.7293814908232,-1478.2332072644472,-1475.2437090437186
1800,-1486.2317924212114,-1454.2424980130186,-1518.3271683711137,-1525.1430290057474,-1533.9643232539997,-1449.2542998433528,-1488.8500543372743,-1475.8271692697133,-1493.4315089130794,-1800.2912286200312,-1488.184157307503,-1503.7574866897007,-1484.057425377913,-1671.124202224501,-1464.3597433642838,-1489.8472134327337,-1552.98842200216,-1450.3221632113086,-1468.7579917664418,-1470.6784305711997
1920,-1475.2524689714323,-1450.5320240224073,-1483.3518539769705,-1513.5700037774845,-1489.6024471713908,-1390.772913715293,-1489.7566388569558,-1471.5281361545956,-1489.9325502695008,-1535.1296833187548,-1482.515826512056,-1505.1882066918306,-1476.9035035057475,-1565.4516926725114,-1451.449623637648,-1481.0665312505962,-1528.34472254338,-1448.196210702767,-1489.5308524449079,-1460.6651517002188
2040,-1464.623880615008,-1446.3163753804524,-1386.0037634555217,-1501.7537475450881,-1517.2994869364024,-1321.4771291271286,-1498.8011527259741,-1464.7169600630884,-1487.02855253381,-1512.9498553451588,-1477.112312659608,-1525.3129711840938,-1468.6454484255114,-1517.3497136833485,-1445.5209282629435,-1473.4706797537633,-1507.218230413452,-1459.9213165156787,-1346.5915771807543,-1446.5818646405546
2160,-1440.995352711413,-1435.2269760189465,-1348.7290463906384,-1485.195188404966,-1461.3135219533947,-1398.2009830339102,-1463.3162749992691,-1364.4862834457374,-1473.6225741914673,-1508.4246441911791,-1488.9821093935159,-1504.1083092131248,-1383.4661691068768,-1486.9523573949675,-1440.6655223510052,-1456.404750875767,-1482.335507704287,-1460.2343117006974,-1366.7963224955495,-1431.1956844009296
2280,-1430.570149727207,-1433.7464572598876,-1308.2881471000246,-1463.423634236223,-1361.785202579662,-1358.9347613032012,-1442.8260891006812,-1260.9291273947833,-1474.8600017865178,-1484.6095685288612,-1459.0914260795378,-1483.7417703480517,-1305.0629185277544,-1455.5383982822323,-1445.2939864626187,-1349.5879097378966,-1479.7930126776396,-1435.476565024207,-1233.8850865942754,-1429.6061985885246
2400,-1434.8957170069077,-1428.1251868189906,-1293.1256942826026,-1199.756096973643,-1196.6636469203106,-1345.2450331772984,-1391.193653000549,-1246.0719586270127,-1401.1801361127377,-1481.116730127511,-1351.1508782366777,-1422.0204874713058,-1320.1533216951477,-1272.4125246875658,-1429.422111418508,-1275.059584012582,-1419.1394964988826,-1366.0637884805599,-1256.0189356858518,-1286.5569780855694
2520,-1351.194472976162,-1407.7222772127611,-1301.057389854602,-1166.106044718538,-1118.5642608128637,-1306.7126396957876,-1314.0051218768206,-1223.5752378632,-1288.0265162577284,-1372.0616630396842,-1248.0384500536006,-1396.5974632287919,-1249.5347570438303,-1193.5489243247357,-1414.5342052895162,-1166.0339582720753,-1395.4819778485662,-1283.5607717309645,-1248.345444418755,-1162.9519222711522
2640,-1126.195724345005,-1321.965009812716,-1305.5784130979841,-1112.00940972012,-1013.8860201662741,-1254.4716649456257,-1232.333298578396,-1211.8000985391739,-1236.5591135292448,-1298.3032314008337,-1241.0380348066587,-1358.44216294012,-1249.6334386963758,-1186.827594886684,-1340.6952216201914,-1219.6283924056763,-1356.2063125174452,-1164.0333104426459,-1191.3854989986125,-1197.5340434488749
2760,-1087.5660338830644,-1258.6346778093628,-1296.8314859407812,-1018.9738879243192,-593.2107660480593,-1203.1599470537876,-1285.664734857209,-1151.6889261833453,-1165.413998656892,-1254.240480355661,-1248.4843397029347,-1230.5784860288506,-1188.3304979059055,-1174.8562249002516,-1273.9777624829555,-1102.35469858206,-1296.456212257231,-1090.8143584972124,-1167.3956795475099,-1104.0463001087662
2880,-1003.6085528664232,-1187.9869348358995,-1255.0330754251045,-1044.8668201721828,-873.9545741710648,-1211.0704867559548,-1296.2041448834457,-1103.234028638848,-1156.282456852588,-1082.9811640538853,-1245.1392477505608,-1239.0982108346157,-1193.84019563011,-1162.7774676074241,-1204.4766831663585,-993.1153806820432,-1280.3968303571571,-1047.4075788294854,-1177.799650788514,-1044.17265444242
3000,-997.8823117630366,-1168.2283782563914,-1222.9141811400664,-901.3747681986933,-651.3094975428783,-1141.024851366609,-1175.156478660652,-1093.6382185456164,-1095.4012019982843,-1252.8510943081942,-1161.3187102936995,-1138.4159652174008,-1158.7442710797022,-1106.093869625199,-979.3552626411198,-958.4444621053633,-1235.785282501216,-1074.1747685181522,-1070.575682224083,-948.4950580033965
3120,-597.1070028873545,-1135.9967426626329,-1226.2272115320545,-1008.4857263231527,-619.9939550915863,-1106.6344674969139,-1195.91501482572,-1078.0098900123387,-1113.522203475123,-1179.7053630760986,-1243.3684311010013,-1147.4850736252229,-1152.7060119389648,-1060.98634466503,-876.1810311312886,-971.17440484945,-1162.7383828135453,-1017.4850250495887,-1144.5747998840277,-1004.2039047775518
3240,-558.4344234684147,-1108.4576938878477,-1163.9514416741808,-649.1738885059849,-408.1372217018128,-991.3342163375903,-1189.1435660273703,-1040.608486829266,-972.6011169833022,-759.0806990700451,-964.878596868233,-1107.628760115174,-1070.6714171453339,-1064.2609762664877,-841.3696549248241,-932.8706176885244,-1139.8768552671604,-924.7182661597839,-951.3203221755621,-557.8394781781328
3360,-590.3719362012376,-1011.0330241370611,-1165.63854604565,-627.0931791994168,-701.978246915738,-758.3792863684469,-1201.845699139542,-974.7988467558977,-985.2032503200584,-648.1719140288096,-716.3515615953636,-1078.8841622450968,-1041.8302188729199,-1078.0598120131335,-804.2653504734865,-805.1118464398548,-1148.1088693999395,-839.9856692317533,-1002.1251339922788,-242.27715213732398
