step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1464.7486863750287,-1544.6349033739755,-1523.2153983650642,-1346.8922560773965,-1252.0325396648782,-1505.3691990062632,-1486.9850722200254,-1215.2466067653436,-1684.243011445953,-1756.4404706772689,-1629.2681061147732,-1745.2447401101356,-1206.2523513697074,-1714.436119387053,-1459.651892214114,-1588.8062734451019,-1573.3940846515102,-1503.7797896580646,-1528.81484556654,-1546.1607822485025
1200,-1621.1445045685011,-1732.0125756829352,-1617.0269650104644,-1836.984044069856,-1408.3538372810447,-1472.9903012984553,-1700.5290606584888,-1512.0481366854285,-1693.4074878473814,-1787.6859739080421,-1764.9375955390387,-1428.7387400520383,-1728.8838248949219,-1634.6064147121724,-1578.355418824658,-1721.2248925141303,-1777.6991283509403,-1626.7974263344045,-1516.5854391907549,-1727.8859144917503
1320,-1691.1279212630186,-1625.336919733148,-1546.5538277321502,-1750.780011040871,-1587.2095392870951,-1515.7352394532268,-1691.5195218193526,-1261.618287044082,-1495.4844056491324,-1848.1489060752006,-1838.7357005183064,-1583.7702386021278,-1845.6263695394387,-1565.6787709406653,-1546.2016233418326,-1857.5013815508373,-1535.54759665883,-1713.1298662521785,-1268.9672687663628,-1800.76622887962
1440,-1496.807494448334,-1465.4027468827787,-1567.4669595458395,-1568.1295423519941,-1643.927566188399,-1640.662850967503,-1511.0569216094282,-1384.4599404399294,-1486.7986251208836,-1770.1851957897275,-1761.2244097707685,-1723.5939203096436,-1518.0091265012074,-1433.1523081619537,-1477.4511594479761,-1598.2504326231744,-1499.185330106308,-1549.1100067620016,-1498.4714632123587,-1623.6269223444583
1560,-1486.5976534202196,-1463.3341897270707,-1606.7794587846047,-1531.5702968702476,-1424.291138595061,-1507.0478319374447,-1493.38990572173,-1465.9636120543212,-1487.8149462230458,-1509.9814866903687,-1584.8502452445557,-1486.0376700158647,-1486.3804332933178,-1422.1512265131764,-1480.2602370349935,-1514.965439571261,-1485.9755553768744,-1498.3783035884921,-1501.863404857571,-1568.143334672292
1680,-1480.1470572091075,-1458.8215296249741,-1605.6793768381303,-1520.6961060371077,-1432.8039584770463,-1490.2746296799457,-1493.1146870676737,-1452.884558285265,-1481.6684979591992,-1504.0773271783064,-1502.01235388539,-1475.937093981935,-1478.048643062099,-1546.3053392048732,-1518.0852587101333,-1498.3817575191886,-1481.9701884634246,-1481.4873758984038,-1482.2498720051067,-1498.9924264292035
1800,-1471.0689001652604,-1459.7627857416164,-1589.816246481601,-1528.610981690529,-1425.6007649749931,-1490.2596247776933,-1496.8948164991189,-1446.137428372496,-1487.192488053511,-1504.3000418816016,-1489.25576807641,-1479.2949076209493,-1477.2175396069872,-1505.6790326667697,-1575.421962433209,-1489.6442350561806,-1477.5835027322269,-1469.9406322179323,-1476.4656842880083,-1472.615276423236
1920,-1471.6969198097813,-1456.141488997377,-1552.3549783970443,-1530.8284325605796,-1388.2726498821235,-1423.4638842939444,-1489.716330670783,-1392.9799450639377,-1480.2771689903661,-1504.4928809013618,-1486.4141689360763,-1456.8104826699946,-1476.4188548969087,-1509.6167232542703,-1530.347183210397,-1441.282041978248,-1468.3816220086587,-1465.607782370474,-1464.7982394151609,-1469.7223137938151
2040,-1449.9598006776687,-1438.52422419625,-1438.8422156114657,-1497.632076557722,-1405.6171248175167,-1431.5397394832794,-1518.9114174938102,-1352.5808144902028,-1479.4759591848742,-1504.8294798517966,-1492.4878114651515,-1422.563336212228,-1479.151939913061,-1513.8167054477678,-1498.2835668632806,-1393.1199283583676,-1487.6113956140337,-1462.6950598535852,-1461.913046870379,-1462.6671792000595
2160,-1450.3026583129365,-1436.5541986925716,-1387.1909493798485,-1494.277194809774,-1254.3476321583983,-1394.8909403931234,-1479.1767652491233,-1312.5874617463207,-1475.4296591859927,-1504.7242694510337,-1488.034120255977,-1370.0194173157565,-1485.1581053602256,-1501.8503376556118,-1484.0328825621286,-1338.1574822643374,-1467.0510677296045,-1449.7853022419956,-1434.8732977385112,-1450.0282378957077
2280,-1439.570649262238,-1298.1554632407435,-1352.2797985945529,-1449.9783989786356,-1211.311494443848,-1372.8035910717801,-1478.4579186165267,-1291.733624312983,-1468.2851836328707,-1504.3356873097093,-1476.3240000602714,-1321.574032475771,-1432.6020714578342,-1419.599845349795,-1478.5995259162642,-1329.9796665195988,-1431.639223150884,-1437.110068668356,-1396.0383318915526,-1367.19888250554
2400,-1431.899212100665,-1226.1219974496157,-1348.7696891758928,-1437.0602563135121,-1181.0203132799663,-1381.0265172737618,-1457.6495433301357,-1234.620978289818,-1444.5942325013186,-1464.8890678703701,-1387.4166578944546,-1275.4799565172304,-1424.657411945132,-1343.1743579417712,-1441.6105333778537,-1320.507339959408,-1404.0033785877708,-1367.5286765615092,-1293.947858914638,-1278.1593252157843
2520,-1329.2620745489332,-1194.7790272293544,-1287.784714718997,-1253.912111112079,-1162.903505313294,-1349.3169869971498,-1449.6469726470227,-1188.8590034871338,-1422.9140864086198,-1403.8718910477107,-1318.2199730688292,-1226.109772874371,-1361.4693916299664,-1227.419032464385,-1368.8232592570432,-1239.8912831261464,-1342.7040303086694,-1249.2161053637408,-1257.9458436694672,-1255.1173714842057
2640,-1157.820415699288,-1227.4835499814387,-1266.8180546636675,-1099.4997397352004,-1105.4154596457527,-1318.1620316150459,-1404.785150549993,-1189.4276058025741,-1326.098788820768,-1366.9578650896074,-1258.4905963569513,-1171.4515799388394,-1314.0779253299227,-1212.586633853863,-1317.4689948028176,-1248.1657513030302,-1306.9606516089077,-1224.4116916682492,-1240.175889042208,-1152.1544560540337
2760,-1118.5861368830217,-1101.4820871919778,-1238.422156695437,-1100.5858537595411,-736.0673571963532,-1313.115948924345,-1367.1514511096211,-1146.318134268563,-1253.777780323986,-1308.4710842555764,-1245.9349680518335,-1133.430051688903,-1252.9699485700742,-1152.3679539079976,-1252.7513382537843,-1201.0206502090032,-1289.5212220728204,-1190.2748999295584,-1211.9868792589573,-1193.899594699725
2880,-1170.1534487430886,-1126.5076615516994,-1211.5752179244264,-1036.8040480151446,-754.1212832239873,-1280.4788043914746,-1272.3197803455664,-1115.284977327991,-1194.902593023327,-1264.9666684396484,-1226.1405237567246,-1108.2163157057141,-1247.681852355611,-1156.0519257178985,-1184.2449324888476,-1213.1804141951434,-1189.8570217800163,-1117.4615461618996,-1159.9769983779847,-1097.7959490722278
3000,-1157.9803965951305,-1065.5433686559552,-1161.9243356032416,-865.8665096169391,-682.4276851888524,-1265.3462374902026,-1268.9130318540285,-944.8558456222563,-1144.8574287195158,-1269.5233223305154,-1189.9994057430406,-871.5084926545384,-1201.4198295701306,-965.0316817008913,-1202.8749550910343,-1160.2218637152855,-1171.52944220146,-1057.9976356012105,-1197.798731669974,-914.311177254747
3120,-1060.3895901315323,-1077.2003751869015,-1106.53263174078,-761.5109977804821,-675.729119939763,-1244.5955904023408,-1232.4776585432417,-1077.7069988330081,-1103.5328049705206,-1246.517013028963,-1059.3386554698939,-812.4554740286083,-1124.7277334150854,-1090.358530410893,-1137.6744097308765,-1159.2051287563688,-1135.2380956766679,-1009.9839661420999,-1144.681664389143,-920.2051459052376
3240,-897.473367449615,-1041.898652980974,-1040.4899753045538,-463.2214080309165,-601.9293841056291,-1191.1774220161963,-1215.6991420503327,-577.7547201175405,-1026.4734279670508,-1252.3932917097677,-1178.3832073370977,-796.0133266032269,-958.0562162578568,-1090.4969255500748,-1149.4826813296606,-1046.9728334479253,-1092.1630196588285,-1020.8514693690977,-1148.371661152431,-921.1204272471856
3360,-817.8385945241132,-1006.6374271817698,-854.6179677390952,-335.5788228975825,-574.4319757429587,-1115.0768026147284,-1199.5430356496652,-545.1248940697515,-915.6913095058537,-1226.6341406603856,-1103.698161808146,-670.3648398094571,-938.9349582657675,-790.4761620980512,-1123.91770007196,-893.2089514927147,-1073.2655706824146,-948.8743153394,-1080.3958187870244,-622.1599338974478
