step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1564.9647033747738,-1684.8498933660376,-1337.7947600725618,-1506.7214600401228,-1234.1197832948358,-1565.9823654412749,-1403.5335454961044,-1400.051187315617,-1672.6790940563635,-1598.0320402953323,-1679.9037070481063,-1728.158065756592,-1261.712409644845,-1589.5881691763957,-1522.0769854309715,-1318.1878082418516,-1409.8031878447987,-1473.4797365741022,-1702.311684859095,-1519.8998208983035
1200,-1484.6584025071982,-1735.590081984159,-1377.4675524466513,-1525.2492180815461,-1521.742886682865,-1464.6725343980806,-1709.3317949705354,-1445.6842409223177,-1614.6590503470798,-1748.1588684601488,-1544.6104729110953,-1521.7496976582165,-1593.9594667609445,-1432.3384206808564,-1348.8268541628108,-1539.703307653877,-1762.6859557067007,-1755.444505240867,-1588.968517264518,-1625.4496984327848
1320,-1801.484510052954,-1488.3363615723126,-1648.9277512457247,-1647.768581237348,-1488.120353359033,-1431.5180851073933,-1724.130798047318,-1298.3675156087806,-1619.2180699695764,-1667.6078903296846,-1574.1941561347808,-1504.72418672731,-1498.879714160154,-1441.4947084945345,-1446.9598854549893,-1497.7715974223684,-1881.900132167965,-1799.263585694474,-1417.4665944070437,-1853.1796375897807
1440,-1626.744117960777,-1460.9068762523177,-1637.8433275128307,-1546.930100359267,-1656.7509955192277,-1524.0212796019707,-1833.4855407361313,-1368.6166173033157,-1598.7675240594422,-1590.348696217729,-1794.3346429825694,-1493.6394686986243,-1415.804518685587,-1396.7772220652355,-1502.6837290685887,-1502.892715928238,-1738.2980284256014,-1510.337177222195,-1541.1313121680168,-1498.6633245005487
1560,-1578.4113386655092,-1454.497719165248,-1619.2680376342505,-1647.639975884751,-1573.3771141081966,-1516.8856903220028,-1764.5008243529821,-1434.1299481617355,-1654.7940439547572,-1576.8644700191185,-1823.5042414278043,-1499.105406820066,-1411.716192845363,-1384.587907706002,-1451.5021949069583,-1504.881194736326,-1494.1235476446896,-1479.6739965341246,-1508.280749467,-1465.8266166995868
1680,-1501.6566061503233,-1448.0944143039828,-1467.8917319215357,-1605.1415869483578,-1474.7173399037388,-1508.500017422532,-1490.9457121421874,-1410.9853192216688,-1663.7102468834237,-1590.8669051608308,-1515.6043790072245,-1491.9509585539024,-1556.2439934441675,-1613.4432251380251,-1497.9984082078925,-1494.6301770996463,-1483.3352669773983,-1469.762695945653,-1486.647479569439,-1461.538611373912
1800,-1501.8360605272217,-1445.7746749223113,-1445.3160752181834,-1553.7626473859327,-1428.9180003890792,-1507.2801387151499,-1481.3255855506166,-1395.8312448355427,-1609.5635615337997,-1574.2602763071814,-1502.0570254897352,-1476.798794138626,-1648.0013746946793,-1628.9433331006062,-1478.6295493528894,-1488.7361914722703,-1485.0283822641918,-1469.909231798472,-1481.6148953669478,-1459.7275095270525
1920,-1484.053744944883,-1440.9027929337594,-1399.7423542297267,-1507.595656773742,-1426.51165756199,-1489.6232085317395,-1474.8506465935538,-1453.8895228595454,-1531.5843006285202,-1536.1448558950965,-1583.6927872547963,-1474.9098210926406,-1693.8255542196844,-1531.9674729735573,-1476.8563533810247,-1486.2628606911362,-1476.5972329540734,-1468.942973461976,-1472.5186160167189,-1457.5436153942562
2040,-1462.4269923951317,-1437.8015146130354,-1327.235882413373,-1488.0103209592369,-1421.0793180142475,-1479.1806664664296,-1465.2905024441636,-1490.4772669064437,-1516.374418059772,-1508.1052994002125,-1565.3223175138944,-1472.046848264838,-1597.3359540994684,-1491.8809893231164,-1343.6506497391179,-1475.2425596759267,-1469.8989456806798,-1445.665771631573,-1469.5712832046643,-1452.583234545888
2160,-1420.1966201084674,-1422.2931823048357,-1266.37276708439,-1490.5572761740627,-1429.2672687434938,-1460.1574103072762,-1457.156916233917,-1420.7680373895441,-1490.9532930021408,-1507.8128343486096,-1516.9887225068546,-1466.362478585277,-1601.291545566299,-1396.2621148331982,-1351.2149486544406,-1304.4448273018866,-1357.6298996783519,-1435.9802589727212,-1460.6421288038944,-1432.7734083180253
2280,-1331.2232355928988,-1407.8654953573464,-1272.3942796823767,-1486.5613095624562,-1385.2261195686572,-1453.961135452043,-1446.6387140167412,-1373.7376223771528,-1481.440115828269,-1499.3986912277132,-1531.3255483898383,-1459.331776274277,-1564.6110937942635,-1328.4134456233892,-1335.1531613823804,-1286.310789404823,-1362.0618384395711,-1423.1720247930537,-1316.2873517845994,-1411.738853739273
2400,-1250.2660356754584,-1388.0294441682968,-1163.2438927326834,-1472.322774717803,-1299.2000199902718,-1392.0159344400622,-1349.1609802598955,-1379.120827448823,-1410.6637686266888,-1324.2458743389286,-1513.2260485845113,-1352.5625674191772,-1395.3911507327819,-1288.3886300215447,-1336.504593803027,-1244.32080903987,-1300.45861651634,-1395.4333981623124,-1290.959279926254,-1183.6484003771257
2520,-1220.9226801375592,-1259.403306219315,-1230.6046646565678,-1338.23849465156,-1271.963591548964,-1372.079470919011,-1249.682422010364,-1323.9208494912018,-1342.7142256523143,-1322.206588567882,-1423.067027234545,-1342.024426671421,-1222.5320253036673,-1237.7791651731047,-1234.9207447593797,-1249.3991450741423,-1281.557775632798,-1343.0564586273297,-1286.5116006664728,-1068.8798543204107
2640,-1167.7904595824234,-1186.153117414899,-1233.6648471364128,-1333.3637254486491,-1180.4158575906324,-1357.130375866886,-1267.3878978822893,-1289.7631096165285,-1266.347626223772,-1278.3073565525012,-1308.3535027286084,-1275.151512760006,-1132.622310006668,-1191.4826131233845,-1201.3075381872427,-1206.7746295612956,-1260.3441908187574,-1249.7690508426172,-1266.3659256256706,-1022.3875016123527
2760,-1096.4920324217735,-1175.836954863606,-1179.2544785548232,-1125.0341702509577,-1174.5239467132346,-1292.827332773012,-1227.0731227960623,-1237.4017838374139,-1203.821341285753,-1175.0359345628385,-1337.5480065193824,-1258.2167985646963,-1090.1332288818146,-1165.1189339307712,-1142.71259792831,-1198.3100242152764,-1189.0981200769882,-1213.0606655795987,-1200.667428592868,-1006.0525565736216
2880,-1048.6525202541793,-1135.5854711555971,-1156.4806915320437,-957.9362618399525,-1012.2035821027948,-1239.5293009629631,-1189.3854431665654,-1228.7496945262378,-1184.9008888259687,-1117.6847034570674,-1221.9048704185175,-1141.6131355248801,-1079.0769323863558,-1138.4719252732211,-1042.8707664519197,-1165.932124419383,-1159.6966694563291,-1071.3658863027526,-1156.5467615772116,-890.8387489135806
3000,-937.7445934567062,-1107.4475094953864,-1094.8572387790741,-758.7974791989182,-890.8294985963212,-1235.4925905470634,-1061.06929343967,-1188.131531439555,-1127.298339400328,-1147.1428571524327,-1232.4487885623732,-900.7491408485166,-1098.6163482833024,-1135.291804047954,-964.4089915840132,-1119.6442171436333,-1130.3698906337788,-1022.2578117554458,-1010.3765549744099,-927.2626913023726
3120,-845.9429516417043,-1050.3744926502454,-1013.2714805631798,-757.0525379730236,-884.8652119419858,-1171.7886339751226,-1041.1171600390176,-1160.9059259257858,-1119.2837085729916,-1076.7730271113473,-1061.2124700434379,-1034.454848021915,-1039.0394940611495,-972.2057466463993,-1009.165549308647,-1062.5018929644737,-993.3992006571923,-1045.4686993064454,-977.5587762539869,-762.7582407120319
3240,-786.0408003510422,-1056.9924783357144,-695.7553387811889,-696.3650898153036,-854.6643840080505,-1102.6232435563884,-991.0423051032219,-1122.1428496130563,-1040.9103503106548,-1125.5892326165933,-947.0964566541581,-878.3849117785188,-932.1982458386414,-932.3037704889791,-924.9695662602774,-772.1783558753415,-937.9332099173592,-1036.671380348283,-937.4729710874246,-189.23853702124342
3360,-773.7684582526575,-965.2289680508159,-679.7422575960993,-800.9407599169576,-633.6102396582071,-1021.9471076001419,-896.8600287108011,-1079.9894164349605,-1022.6671457996138,-820.861527610221,-1059.0133357683724,-846.9921739822692,-946.4856299862511,-713.2334838825913,-937.0893517188499,-850.4594959996157,-906.1785075957803,-1032.44713633259,-902.8469602671806,-351.02379382876245
