step,TAAC_Pendulum-v1_0,TAAC_Pendulum-v1_1,TAAC_Pendulum-v1_10,TAAC_Pendulum-v1_11,TAAC_Pendulum-v1_12,TAAC_Pendulum-v1_13,TAAC_Pendulum-v1_14,TAAC_Pendulum-v1_15,TAAC_Pendulum-v1_16,TAAC_Pendulum-v1_17,TAAC_Pendulum-v1_18,TAAC_Pendulum-v1_19,TAAC_Pendulum-v1_2,TAAC_Pendulum-v1_3,TAAC_Pendulum-v1_4,TAAC_Pendulum-v1_5,TAAC_Pendulum-v1_6,TAAC_Pendulum-v1_7,TAAC_Pendulum-v1_8,TAAC_Pendulum-v1_9
0,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
120,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
240,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
360,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
480,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
600,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
720,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
840,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
960,-1049.3633178096984,-1336.6837322155432,-1371.4630300769684,-1228.5404766331526,-1391.5443069843982,-1462.0546516794298,-1363.8165800067818,-1241.0165949986626,-1598.4139864748404,-1591.8211642381018,-1475.0170243989364,-1503.804792105644,-1213.509633523391,-1230.298861410009,-1439.7389913540462,-1351.5374031714982,-1466.2115214454045,-1148.5131212155022,-1252.7768097464254,-1184.6817079132456
1080,-1569.674530975743,-1705.8541976863846,-1500.8899227861998,-1498.5587314303505,-1278.520693433064,-1603.5580728841292,-1495.8291128115038,-1587.9138577607257,-1442.3075910080418,-1664.9754131532013,-1587.7551478929067,-1597.1559580932742,-1581.69158998586,-1718.219363885763,-1507.4530988092506,-1385.5297567341954,-1743.052759074228,-1557.206581362518,-1620.786512897435,-1499.49784725952
