step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1076.9281651670208,-1494.0673254293633,-1482.3900080720032,-1283.69932079856,-1094.2746704979395,-1515.998203085948,-1198.9736131002705,-1206.7924271025965,-1582.1022037263144,-1455.243993637554,-1374.684217284805,-1401.944625912864,-1265.5428782157455,-1233.9910276929802,-1444.0453343368458,-1489.7367707305043,-1444.174137551196,-1263.2593582176273,-1235.3243271172232,-1213.725790290341
120,-1076.9281651670208,-1494.0673254293633,-1482.3900080720032,-1283.69932079856,-1094.2746704979395,-1515.998203085948,-1198.9736131002705,-1206.7924271025965,-1582.1022037263144,-1455.243993637554,-1374.684217284805,-1401.944625912864,-1265.5428782157455,-1233.9910276929802,-1444.0453343368458,-1489.7367707305043,-1444.174137551196,-1263.2593582176273,-1235.3243271172232,-1213.725790290341
240,-1069.2383852021426,-1495.5070226255466,-1482.3900080720032,-1291.7480416506519,-1089.079773365179,-1495.67380051118,-1184.3014542307276,-1221.517859325511,-1579.6930366093661,-1449.0744595517428,-1377.2428905792376,-1399.7938295927672,-1263.1837232581463,-1207.678837414177,-1444.4709360285174,-1497.7460232826638,-1442.22832405721,-1252.0121549302005,-1239.1192314841394,-1212.6302777320475
360,-1069.2383852021426,-1495.5070226255466,-1482.3900080720032,-1291.7480416506519,-1089.079773365179,-1495.67380051118,-1184.3014542307276,-1221.517859325511,-1579.6930366093661,-1449.0744595517428,-1377.2428905792376,-1399.7938295927672,-1263.1837232581463,-1207.678837414177,-1444.4709360285174,-1497.7460232826638,-1442.22832405721,-1252.0121549302005,-1239.1192314841394,-1212.6302777320475
480,-1052.0588299329434,-1491.2093495080446,-1482.3900080720032,-1294.6035929378588,-1089.079773365179,-1498.5859573497937,-1186.5983166860856,-1218.898532665114,-1579.0866878754027,-1453.9301783823616,-1418.753037697984,-1400.3061276695676,-1274.011328688669,-1160.495522514316,-1433.9014492807053,-1500.7760771053283,-1445.7070220364592,-1256.5334339805092,-1239.5714525462495,-1228.3594399459803
600,-1042.7200197980283,-1491.319149061604,-1482.3900080720032,-1276.8073974025367,-1089.079773365179,-1506.035888231389,-1186.2543363928146,-1219.03940462952,-1578.5313769190989,-1445.7487251345776,-1419.3075592831785,-1400.3071673686018,-1275.0533714033998,-1129.8702736657779,-1424.3081341802758,-1500.7760771053283,-1453.318139932287,-1259.0535876985548,-1238.0518408093099,-1219.9997406369475
720,-1042.7200197980283,-1491.319149061604,-1482.3900080720032,-1276.8073974025367,-1089.079773365179,-1506.035888231389,-1186.2543363928146,-1219.03940462952,-1578.5313769190989,-1445.7487251345776,-1419.3075592831785,-1400.3071673686018,-1275.0533714033998,-1129.8702736657779,-1424.3081341802758,-1500.7760771053283,-1453.318139932287,-1259.0535876985548,-1238.0518408093099,-1219.9997406369475
840,-1042.6405518297954,-1491.319149061604,-1482.3900080720032,-1282.7908939148735,-1088.0018619317357,-1506.035888231389,-1201.1134298990305,-1191.8077215217822,-1577.1790426848147,-1447.8055139730263,-1418.3042995873361,-1401.904795868133,-1273.0362603405752,-1213.0864766134719,-1429.2979685741159,-1500.7760771053283,-1449.0745834339984,-1261.432975711647,-1235.332726283037,-1210.6771921930563
960,-1042.6405518297954,-1491.319149061604,-1482.3900080720032,-1282.7908939148735,-1088.0018619317357,-1506.035888231389,-1201.1134298990305,-1191.8077215217822,-1577.1790426848147,-1447.8055139730263,-1418.3042995873361,-1401.904795868133,-1273.0362603405752,-1213.0864766134719,-1429.2979685741159,-1500.7760771053283,-1449.0745834339984,-1261.432975711647,-1235.332726283037,-1210.6771921930563
1080,-1460.4212265425733,-1772.6335910975279,-1547.3002505510817,-1367.6972225961406,-1313.8584515465586,-1569.4972800763476,-1392.8634163302484,-1399.3547636727276,-1847.46759538092,-1799.4982017672457,-1784.6457138566934,-1814.4704176194477,-1403.8922148296695,-1701.6100226013218,-1318.567182201487,-1713.7693238654163,-1420.4586709723435,-1491.6135099585288,-1580.150062637013,-1560.0862460187132
1200,-1667.5316104815483,-1660.6376875840983,-1601.0331326556775,-1803.7395999068042,-1634.5166761281466,-1584.7824550127207,-1557.4895531204631,-1525.1332407180003,-1780.621703536764,-1806.410175659485,-1661.3547184822419,-1459.464428029567,-1408.8895262301517,-1730.3718918099362,-1516.7042927897305,-1710.054466278952,-1822.9240809264957,-1705.7968441574158,-1540.9530853155022,-1709.2143853513921
1320,-1712.8776882416391,-1463.8868869445869,-1704.2779738238964,-1808.9912158136315,-1627.6322335100867,-1598.8555720792904,-1601.0550084853055,-1521.0047349391666,-1564.0276474658317,-1786.1119138330112,-1679.6278553223606,-1520.824848301942,-1756.6493691170551,-1703.7231311088976,-1505.8183952566933,-1723.6536361108228,-1859.6607778017926,-1710.62214097703,-1528.6375925866428,-1738.2037436701899
1440,-1506.2359025348512,-1470.9887670630244,-1710.8850892696778,-1519.3599642704246,-1523.6391745964404,-1536.2226013133647,-1726.8902265948389,-1637.2172160321609,-1541.5097108598584,-1878.1139665971168,-1629.0268164244515,-1513.0908788782424,-1784.3016720217286,-1592.0471540482572,-1485.711143569628,-1728.1143808376914,-1709.685197641063,-1704.6096361449204,-1482.786606307915,-1566.4849830342264
1560,-1487.2242414680336,-1487.7875381384515,-1581.9545980424014,-1529.312252792788,-1443.8765380661548,-1606.9136575552147,-1699.5673799329038,-1821.4702046205734,-1540.5371445995092,-1761.5397599911041,-1715.3581854115805,-1469.0616781652302,-1554.000723406388,-1591.641758315075,-1504.0193296110936,-1573.960469299189,-1526.9179185935313,-1793.888108129675,-1478.3420617098432,-1569.6404943209243
1680,-1481.8001564432905,-1511.2937402460286,-1596.3021268099408,-1558.936899268953,-1423.6512641757906,-1587.645064621965,-1568.1567368921797,-1537.679465377528,-1553.9228446825723,-1620.480430910357,-1705.5187849354384,-1599.4478110160796,-1489.4775097331426,-1512.5360167184458,-1550.4493393982466,-1554.6819327862547,-1508.3006665045223,-1728.4302273982164,-1483.0154742999432,-1513.584873365931
