step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1076.9281651670208,-1494.0673254293633,-1482.3900080720032,-1283.69932079856,-1094.2746704979395,-1515.998203085948,-1198.9736131002705,-1206.7924271025965,-1582.1022037263144,-1455.243993637554,-1374.684217284805,-1401.944625912864,-1265.5428782157455,-1233.9910276929802,-1444.0453343368458,-1489.7367707305043,-1444.174137551196,-1263.2593582176273,-1235.3243271172232,-1213.725790290341
120,-1076.9281651670208,-1494.0673254293633,-1482.3900080720032,-1283.69932079856,-1094.2746704979395,-1515.998203085948,-1198.9736131002705,-1206.7924271025965,-1582.1022037263144,-1455.243993637554,-1374.684217284805,-1401.944625912864,-1265.5428782157455,-1233.9910276929802,-1444.0453343368458,-1489.7367707305043,-1444.174137551196,-1263.2593582176273,-1235.3243271172232,-1213.725790290341
240,-1069.2383852021426,-1495.5070226255466,-1482.3900080720032,-1291.7480416506519,-1089.079773365179,-1495.67380051118,-1184.3014542307276,-1221.517859325511,-1579.6930366093661,-1449.0744595517428,-1377.2428905792376,-1399.7938295927672,-1263.1837232581463,-1207.678837414177,-1444.4709360285174,-1497.7460232826638,-1442.22832405721,-1252.0121549302005,-1239.1192314841394,-1212.6302777320475
360,-1069.2383852021426,-1495.5070226255466,-1482.3900080720032,-1291.7480416506519,-1089.079773365179,-1495.67380051118,-1184.3014542307276,-1221.517859325511,-1579.6930366093661,-1449.0744595517428,-1377.2428905792376,-1399.7938295927672,-1263.1837232581463,-1207.678837414177,-1444.4709360285174,-1497.7460232826638,-1442.22832405721,-1252.0121549302005,-1239.1192314841394,-1212.6302777320475
480,-1052.0588299329434,-1491.2093495080446,-1482.3900080720032,-1294.6035929378588,-1089.079773365179,-1498.5859573497937,-1186.5983166860856,-1218.898532665114,-1579.0866878754027,-1453.9301783823616,-1418.753037697984,-1400.3061276695676,-1274.011328688669,-1160.495522514316,-1433.9014492807053,-1500.7760771053283,-1445.7070220364592,-1256.5334339805092,-1239.5714525462495,-1228.3594399459803
600,-1042.7200197980283,-1491.319149061604,-1482.3900080720032,-1276.8073974025367,-1089.079773365179,-1506.035888231389,-1186.2543363928146,-1219.03940462952,-1578.5313769190989,-1445.7487251345776,-1419.3075592831785,-1400.3071673686018,-1275.0533714033998,-1129.8702736657779,-1424.3081341802758,-1500.7760771053283,-1453.318139932287,-1259.0535876985548,-1238.0518408093099,-1219.9997406369475
720,-1042.7200197980283,-1491.319149061604,-1482.3900080720032,-1276.8073974025367,-1089.079773365179,-1506.035888231389,-1186.2543363928146,-1219.03940462952,-1578.5313769190989,-1445.7487251345776,-1419.3075592831785,-1400.3071673686018,-1275.0533714033998,-1129.8702736657779,-1424.3081341802758,-1500.7760771053283,-1453.318139932287,-1259.0535876985548,-1238.0518408093099,-1219.9997406369475
840,-1042.6405518297954,-1491.319149061604,-1482.3900080720032,-1282.7908939148735,-1088.0018619317357,-1506.035888231389,-1201.1134298990305,-1191.8077215217822,-1577.1790426848147,-1447.8055139730263,-1418.3042995873361,-1401.904795868133,-1273.0362603405752,-1213.0864766134719,-1429.2979685741159,-1500.7760771053283,-1449.0745834339984,-1261.432975711647,-1235.332726283037,-1210.6771921930563
960,-1042.6405518297954,-1491.319149061604,-1482.3900080720032,-1282.7908939148735,-1088.0018619317357,-1506.035888231389,-1201.1134298990305,-1191.8077215217822,-1577.1790426848147,-1447.8055139730263,-1418.3042995873361,-1401.904795868133,-1273.0362603405752,-1213.0864766134719,-1429.2979685741159,-1500.7760771053283,-1449.0745834339984,-1261.432975711647,-1235.332726283037,-1210.6771921930563
1080,-1542.542050254749,-1725.9759769404386,-1585.8825353169602,-1338.0281031052582,-1501.3328676050223,-1570.9786833207568,-1520.3771507120769,-1401.4447305571168,-1581.1640411318313,-1835.3457697675542,-1760.0277509114403,-1682.3395064914944,-1321.8704789828203,-1591.875075498264,-1457.8797604584881,-1446.5443374035754,-1642.7634028625184,-1423.7442164911404,-1696.935475685466,-1567.5181784860956
1200,-1459.2639178652773,-1642.556476190158,-1392.823945888004,-1549.1988140833987,-1451.5734975764678,-1761.8248322588558,-1660.5544102835938,-1629.019607732883,-1639.9410202227439,-1803.7300062781735,-1655.709738619345,-1528.336415580409,-1477.8332751949843,-1595.8575031228997,-1320.9256252444588,-1426.360362289394,-1675.1990408440092,-1747.3277404179112,-1589.6163012752063,-1613.610069422788
1320,-1259.3829791711341,-1456.791365292647,-1327.5596288949566,-1553.4718680148972,-1385.278000312551,-1737.2036979755935,-1582.2326561304321,-1541.616021273469,-1571.4485547160814,-1692.420645666804,-1469.1904725218387,-1342.7452428108506,-1594.839471008498,-1644.0401669462294,-1299.2360126450087,-1441.6355437151267,-1757.2002229330512,-1765.1273686374964,-1394.692879123805,-1474.30429088745
1440,-1579.0220060278562,-1386.3945178858992,-1436.4949843201346,-1487.3230640286415,-1473.778701337496,-1620.9720172670272,-1560.7942537988454,-1249.4706150094094,-1726.3500743399,-1561.578844438658,-1475.904931373579,-1544.6006867580127,-1576.3348486040861,-1651.4068376483824,-1439.854806951203,-1378.0345518538484,-1828.927066122468,-1680.848692162722,-1526.3152704244371,-1527.300522260008
1560,-1587.787096613017,-1124.367339647742,-1440.581098879353,-1463.0872686975029,-1366.8365339517356,-1530.4723573622866,-1611.9357593174718,-1657.309902654834,-1778.741045279699,-1601.738424169464,-1455.9295067210567,-1500.9313704622905,-1441.05792163081,-1519.8874079622958,-1431.7076185171404,-1542.5667850313607,-1595.0883707433836,-1551.873631437053,-1485.396845619879,-1605.8539592582
1680,-1513.8715641660924,-1321.5279973059328,-1449.5244874979949,-1437.4545640360404,-1280.853100375011,-1453.937178003041,-1617.7786154197006,-1552.0354127659923,-1726.5018184913624,-1456.0710574556756,-1401.908610478014,-1411.756072936753,-1601.7981280283786,-1497.5767402037663,-1391.5412580772122,-1583.2857951561214,-1539.9316708335086,-1508.4531877444622,-1488.2917029194346,-1697.784975539412
