step,PointMaze_Large_Diverse_GDense-v3_0,PointMaze_Large_Diverse_GDense-v3_1,PointMaze_Large_Diverse_GDense-v3_10,PointMaze_Large_Diverse_GDense-v3_11,PointMaze_Large_Diverse_GDense-v3_12,PointMaze_Large_Diverse_GDense-v3_13,PointMaze_Large_Diverse_GDense-v3_14,PointMaze_Large_Diverse_GDense-v3_15,PointMaze_Large_Diverse_GDense-v3_16,PointMaze_Large_Diverse_GDense-v3_17,PointMaze_Large_Diverse_GDense-v3_18,PointMaze_Large_Diverse_GDense-v3_19,PointMaze_Large_Diverse_GDense-v3_2,PointMaze_Large_Diverse_GDense-v3_3,PointMaze_Large_Diverse_GDense-v3_4,PointMaze_Large_Diverse_GDense-v3_5,PointMaze_Large_Diverse_GDense-v3_6,PointMaze_Large_Diverse_GDense-v3_7,PointMaze_Large_Diverse_GDense-v3_8,PointMaze_Large_Diverse_GDense-v3_9
0,16.45737571237897,2.707747357568141,1.124899869379632,14.088686901626664,3.158059995383719,1.2616430026570424,18.871088282485818,0.5533660525964458,23.65852440909391,2.819466816753375,1.3232992407613615,19.27279452644053,3.611673970344556,3.638985558646774,2.503614732754605,2.8817707106855774,69.51490726799355,1.8525206658112559,7.4034780768952375,13.522904746150093
1000,16.161336313042725,2.707861302091724,1.1246826900174058,22.4183657812511,3.1589314339673398,1.2616258717716962,19.701314787978692,0.5533785709086485,23.65864431378153,2.8191002458727326,1.3236839352893552,19.458570880082164,3.6170401193275885,3.519086396183117,2.5029943150523555,2.8861823820176964,69.52330877993376,1.8493551296826503,7.619917446674778,13.261788864816333
2000,1.2181305349072455,39.83200204570964,1.0940640704733648,2.8074855023276877,37.40779138283189,21.539587512385687,34.159941571171345,0.5822460787814465,49.42290692124288,5.9845342756128215,46.93947379641971,33.25271500600847,24.724525526140603,1.7857278556778433,0.573711030056486,25.319706956521,7.476886116002801,24.998521032496598,1.903545008951271,1.7450867167238144
3000,1.218134835630832,41.18835076616241,23.860663042100228,34.36853942906239,14.686091088051265,25.025964004273334,34.031648109394176,0.5428391161980057,30.545352365823668,2.33584551620023,18.01876509180331,33.252715895297115,18.80181660174721,2.376294956295478,3.7061935551589427,1.897178192026019,47.04385464877979,11.023357443450452,2.5643758666748995,11.460390391108657
4000,1.2181344842405828,15.629339191559893,22.66628875201399,34.37144254949343,48.010545692507684,21.42355345187272,34.03164876488144,48.28748745236935,19.998588047912126,2.3358453209496766,22.20839511156428,33.252715942151234,17.578358379645472,2.450545797836071,3.370845669867743,16.33163074008437,42.75116016766163,5.158291830731383,2.5605054963507814,8.29900747551602
5000,1.2181343268507852,34.36719828903509,18.789678932744273,22.99381356038345,49.41012787431663,23.573167835521428,34.03157672502343,30.630219178345307,24.122731765986362,2.335845294454226,17.008571634856274,33.25271596861471,15.0222514939804,36.33360428515586,8.857759753002165,11.21301762530881,42.792962749482065,3.574490722196894,2.537578405525342,15.139121671189756
6000,1.2181343245350642,15.280868406942583,40.686357535315544,32.75077571807563,47.02236585808875,27.050933836454995,33.989176716976225,44.314249302547566,19.606807295305014,2.3358452904935616,9.13915666120731,33.252715960246455,28.63205048263988,24.73917213665867,8.550835750092956,19.800683729996756,31.365680600665183,19.188313542046753,2.5357540346005942,6.999578117456034
7000,1.2181343242130926,40.35061618397559,73.92112966322956,34.27767789164047,74.9395941998583,46.87352362226403,34.07428863061451,38.413427582861544,20.1832895024649,2.3358452886736574,19.869431384488898,33.25271596043011,7.377608811149344,27.054000747302194,4.565245981691995,35.599454643792285,40.89571900111994,20.91406070100259,19.28735941089827,6.531922166341888
8000,1.2181343242130926,32.86353977568834,16.21185108726369,34.30366738239668,48.20637475884224,26.084091650420692,34.13936987014152,37.92954629670484,20.318909331633307,2.3358452871808586,6.557714279147388,33.25271596040816,12.085424912223385,27.581048341509785,9.565761951842738,33.552896514714504,39.24885065838917,25.77978848071995,9.252395008489485,11.930292600550732
9000,1.2181343242130926,44.91000040187441,60.86291126610381,38.69204562105308,39.349796452007254,57.75135162495476,34.11689865060096,4.4951021577046015,21.90890355503526,2.335845285813604,3.781075892786704,33.25271595885383,22.654713854089422,28.297694207735,6.379213598590257,35.81947804868026,42.22678830779096,39.53342389883547,10.56989735664871,13.803838253004102
10000,1.2181343242130926,47.89976775141779,44.46472484362643,68.50587759966572,42.14237674004097,38.419513377140454,34.147074188756605,65.2530647219076,20.98869970309745,2.335845285813604,5.596117742260809,33.25271596175133,21.600491370631392,31.747305683101303,14.647835613257376,39.97394185025832,43.291353652931875,39.18742697203545,9.69814796725787,15.027131124015066
11000,1.2181343242130926,48.75113760044239,40.010973948377384,59.609580726551414,59.921347296424756,50.57402153933278,34.1749380824356,7.242180743945175,24.991190200207903,2.335845285813604,4.828777296450454,33.25271596118499,14.891137075469114,32.4097988651034,17.715859246997304,39.606983455413356,44.492704663327004,35.54420669994268,0.8607722713497317,16.490566021982232
12000,1.2181343242130926,47.90546769610364,49.90896539022042,40.52303461061319,53.720652595668774,71.77249829943293,34.127127955437416,37.59537134493997,44.618910391098765,2.2066462254942105,5.425918574186952,33.252715960408615,14.976640802737872,50.29315258368165,10.392703483207388,25.73884478005879,47.858758021538534,31.92809555026106,0.6562518675408213,14.161178329186523
13000,1.2181343242130926,48.03006330765006,40.21462715885609,56.57656856915976,52.98290942106829,65.0928015882397,34.06842087551325,44.4325770684164,47.56737960593891,2.4527690984335324,5.521574597919702,33.25271596040816,14.419587220819768,44.759884236395685,28.248719766378827,40.42078668372821,44.850948465680055,35.054942954761025,2.1709161137822,11.745150032377754
14000,1.2181343242130926,49.89917662970081,72.87584452681536,57.89080622782717,19.54051225937769,65.73100218230434,34.047320634000194,45.530703408898844,45.116285362455294,2.8296632084251145,5.025270230787961,33.25271596040816,24.617165525570158,39.465142892306666,27.876367214145596,38.38482660049213,45.205442836063796,41.146237810243704,5.582257047018614,12.15558754731138
15000,1.2181343242130926,37.807487582449724,72.32558795151667,56.40698695230218,24.302841547236916,72.5914365650518,34.07320878085473,53.07623626842401,71.18519811469784,2.7561710445179117,4.096027261464981,33.252715960943846,15.74446158776774,70.85150440865824,28.219026412737286,44.42726707161899,45.008489078718384,41.07412653119862,5.390355289098293,14.731908223493146
16000,1.2181343242130926,42.12400476420555,61.12266001170809,61.00356096117986,26.226464714121335,71.79008549661498,34.05206912058152,54.06807968675048,82.327934082875,3.010980319544675,3.97895842031388,33.25271596040816,21.027641687902474,43.12638026034068,28.166333550197418,39.10353473965401,131.60776043092295,43.26763676073735,5.640538227958478,11.904132370376189
17000,1.2181343242130926,52.047860316829826,107.21821425610324,58.65523613869907,26.038791307065736,78.03148521450505,33.983262193179705,53.4946748569836,53.89403536155269,2.2309741730279824,4.33790784482765,33.25271596040816,20.197731090826412,43.26799690670134,28.268212238094144,45.597999800475094,127.36293102743937,42.73637389154517,4.980812609976701,11.256686000066585
18000,1.2181343242130926,46.045714296463096,62.2938620697098,59.72076694280929,26.865374148071954,53.7935830153898,34.08730983925889,50.23706466847266,71.93171242439826,3.1126090015121184,5.913892764904411,33.25271596040816,19.980343283184187,60.643015263959136,28.38266852762638,50.86402290568955,98.42801620541253,43.66007323972494,7.557725997435706,12.003079566757593
19000,1.2181343242130926,47.07040385078282,60.63611906271624,80.66552071196134,29.88219721251661,84.96119672912509,34.02770779595576,96.54201896135011,55.230713580451926,2.756279585358393,4.560536917520283,33.25271596040816,19.852833680577692,42.78956840023149,28.765444417381595,53.183016676743215,109.56417946178217,42.86199951579755,31.96581459149804,11.48459217879441
20000,1.2181343242130926,55.617943278461986,77.02371816285621,85.26790301020098,30.01507272017932,85.06810265818622,34.050686883256084,105.84767331991614,83.85340043067491,2.0531475679608073,5.965439226229183,33.25271596040816,26.344506579390423,42.81498322080322,28.606441580834762,41.315547905124774,100.76576507602579,43.394478403049405,37.027964815321255,11.058055038747696
21000,1.2181343242130926,50.25645266833193,105.6638066147392,67.37748614400208,32.24518089622181,105.15400789502564,33.94628806272608,101.47486074417819,60.75747759364307,2.279914691581778,5.927644829116241,33.25271596040816,45.49334637893236,65.8135692720575,28.239507357995347,42.940185980268005,118.77543991909843,43.25328760608488,39.50757523761092,9.23686093072351
22000,1.2181343242456104,49.14486433213141,101.49753235856635,67.063464798795,36.75053338981674,112.1394117572524,33.91728924096354,91.39873107464118,76.69997850979343,2.316628686865339,5.815068510230031,33.25271596337926,49.520300549400964,64.98362016546004,28.71475572909194,36.58924106179711,109.45879155889088,44.12858543068128,30.050351749467456,9.059163186922763
23000,1.218134323653638,52.526057635747534,58.67723816366838,80.17959724268523,37.36457728354411,147.15350164313946,34.34688291043366,107.21737870962461,76.1088092546671,2.1843332567016005,9.140410221617515,33.25271596057772,51.76606951136978,64.09514703122326,28.861004237107068,35.780049907958514,121.85547014688746,44.11659677839049,49.22613268298673,14.132592062976443
24000,0.36007414676269744,55.424786534809684,79.43279862650346,84.78619383384887,39.15230506233222,147.87341311509175,34.15125650995269,110.3175615062328,74.75410067447993,2.245624587663973,9.329654077375924,33.25271596040816,51.57776817788332,42.535172441671115,30.0127693477432,37.744003539033514,122.36202003048547,44.149566883515845,47.18858097369678,11.911394307942697
25000,0.4366716486489131,54.77449691720383,79.34396407125034,92.34101270629644,51.63743407064932,163.4274754924015,34.05581025383272,101.00297799388615,76.99255873337589,2.7706576728075,8.763945508254603,33.252715960521996,49.65029285168787,59.543633361789446,26.118759902714537,39.98005407926032,125.65454275088352,44.38893749134913,41.013599428071885,10.825748317599082
26000,0.4248968666361962,53.46252610510802,101.22896013119815,73.28858066008779,50.558571271412816,152.40268858685417,33.943645113890774,126.90839417260497,77.00137251422167,2.4431526847103315,7.971419715019975,33.25271596040816,46.41631319520446,58.17941326338704,29.938242232122423,41.95046932603143,119.6151057836448,43.7622842314553,41.17068814412911,9.902362355159543
