"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DQN - eval/avg_reward","Group: DQN - eval/avg_reward__MIN","Group: DQN - eval/avg_reward__MAX"
"0","-100","-100","-100","-100.11111111111111","-101","-100","-100.11111111111111","-101","-100","-100.11111111111111","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100.11111111111111","-101","-100","-100.11111111111111","-101","-100","-100.11111111111111","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100.11111111111111","-101","-100","-100.11111111111111","-101","-100","-100.11111111111111","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100.22222222222223","-102","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101.375","-106","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100.44444444444444","-104","-100","-100.55555555555556","-105","-100","-100","-100","-100","-101.6","-108","-100","-101.5","-108","-100","-101.625","-105","-100","-100","-100","-100","-100","-100","-100","-100.25","-102","-100","-100","-100","-100","-100","-100","-100"
"3000","-100","-100","-100","-82.55555555555556","-108","-13","-102.33333333333333","-107","-100","-100","-100","-100","-103.7","-106","-100","-101.625","-105","-100","-90.875","-108","-13","-100","-100","-100","-89.25","-100","-14","-102.625","-106","-100","-102.14285714285714","-106","-100","-100","-100","-100"
"3500","-91.3","-100","-13","-91.44444444444444","-105","-13","-92.88888888888889","-108","-13","-90.33333333333333","-100","-13","-94.2","-107","-13","-92.5","-107","-13","-68.125","-100","-15","-89.125","-100","-13","-89.125","-100","-13","-80.5","-109","-13","-77.71428571428571","-107","-13","-100","-100","-100"
"4000","-91.3","-100","-13","-72.88888888888889","-108","-13","-52.44444444444444","-104","-13","-90.33333333333333","-100","-13","-84.5","-107","-13","-80.625","-106","-13","-46.125","-100","-13","-89.125","-100","-13","-89.25","-100","-14","-48","-109","-13","-64.42857142857143","-107","-13","-100","-100","-100"
"4500","-91.3","-100","-13","-42.44444444444444","-104","-13","-42","-100","-13","-71","-100","-13","-57.1","-104","-13","-80.5","-106","-13","-69.25","-113","-13","-89.125","-100","-13","-89.125","-100","-13","-24.125","-100","-13","-50.285714285714285","-100","-13","-100","-100","-100"
