"Step","DQN_TempoRL_Bridge_100 - eval/avg_reward","DQN_TempoRL_Bridge_100 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_100 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_90 - eval/avg_reward","DQN_TempoRL_Bridge_90 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_90 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_80 - eval/avg_reward","DQN_TempoRL_Bridge_80 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_80 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_70 - eval/avg_reward","DQN_TempoRL_Bridge_70 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_70 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_60 - eval/avg_reward","DQN_TempoRL_Bridge_60 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_60 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_50 - eval/avg_reward","DQN_TempoRL_Bridge_50 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_50 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_40 - eval/avg_reward","DQN_TempoRL_Bridge_40 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_40 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_30 - eval/avg_reward","DQN_TempoRL_Bridge_30 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_30 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_20 - eval/avg_reward","DQN_TempoRL_Bridge_20 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_20 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_10 - eval/avg_reward","DQN_TempoRL_Bridge_10 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_10 - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-105","-105","-105","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-102","-102","-102"
"3000","-104","-104","-104","-100","-100","-100","-105","-105","-105","-106","-106","-106","-105","-105","-105","-100","-100","-100","-100","-100","-100","-13","-13","-13","-105","-105","-105","-100","-100","-100"
"3500","-104","-104","-104","-100","-100","-100","-104","-104","-104","-106","-106","-106","-13","-13","-13","-109","-109","-109","-104","-104","-104","-13","-13","-13","-100","-100","-100","-100","-100","-100"
"4000","-104","-104","-104","-107","-107","-107","-100","-100","-100","-106","-106","-106","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-107","-107","-107"
"4500","-104","-104","-104","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100"
