"Step","DQN_UTE_Bridge_100 - eval/avg_reward","DQN_UTE_Bridge_100 - eval/avg_reward__MIN","DQN_UTE_Bridge_100 - eval/avg_reward__MAX","DQN_UTE_Bridge_90 - eval/avg_reward","DQN_UTE_Bridge_90 - eval/avg_reward__MIN","DQN_UTE_Bridge_90 - eval/avg_reward__MAX","DQN_UTE_Bridge_80 - eval/avg_reward","DQN_UTE_Bridge_80 - eval/avg_reward__MIN","DQN_UTE_Bridge_80 - eval/avg_reward__MAX","DQN_UTE_Bridge_70 - eval/avg_reward","DQN_UTE_Bridge_70 - eval/avg_reward__MIN","DQN_UTE_Bridge_70 - eval/avg_reward__MAX","DQN_UTE_Bridge_60 - eval/avg_reward","DQN_UTE_Bridge_60 - eval/avg_reward__MIN","DQN_UTE_Bridge_60 - eval/avg_reward__MAX","DQN_UTE_Bridge_50 - eval/avg_reward","DQN_UTE_Bridge_50 - eval/avg_reward__MIN","DQN_UTE_Bridge_50 - eval/avg_reward__MAX","DQN_UTE_Bridge_40 - eval/avg_reward","DQN_UTE_Bridge_40 - eval/avg_reward__MIN","DQN_UTE_Bridge_40 - eval/avg_reward__MAX","DQN_UTE_Bridge_30 - eval/avg_reward","DQN_UTE_Bridge_30 - eval/avg_reward__MIN","DQN_UTE_Bridge_30 - eval/avg_reward__MAX","DQN_UTE_Bridge_20 - eval/avg_reward","DQN_UTE_Bridge_20 - eval/avg_reward__MIN","DQN_UTE_Bridge_20 - eval/avg_reward__MAX","DQN_UTE_Bridge_10 - eval/avg_reward","DQN_UTE_Bridge_10 - eval/avg_reward__MIN","DQN_UTE_Bridge_10 - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-107","-107","-107","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-106","-106","-106","-100","-100","-100","-104","-104","-104","-106","-106","-106","-105","-105","-105"
"3000","-100","-100","-100","-100","-100","-100","-107","-107","-107","-100","-100","-100","-104","-104","-104","-105","-105","-105","-106","-106","-106","-104","-104","-104","-107","-107","-107","-106","-106","-106"
"3500","-107","-107","-107","-100","-100","-100","-107","-107","-107","-100","-100","-100","-107","-107","-107","-13","-13","-13","-104","-104","-104","-104","-104","-104","-100","-100","-100","-13","-13","-13"
"4000","-109","-109","-109","-104","-104","-104","-100","-100","-100","-100","-100","-100","-107","-107","-107","-13","-13","-13","-104","-104","-104","-104","-104","-104","-15","-15","-15","-13","-13","-13"
"4500","-13","-13","-13","-14","-14","-14","-100","-100","-100","-100","-100","-100","-104","-104","-104","-13","-13","-13","-105","-105","-105","-104","-104","-104","-14","-14","-14","-13","-13","-13"
"5000","-13","-13","-13","-13","-13","-13","-109","-109","-109","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-14","-14","-14","-13","-13","-13"
"5500","-13","-13","-13","-14","-14","-14","-105","-105","-105","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-13","-13","-13"
"6000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-13","-13","-13"
"6500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-105","-105","-105"
"7000","-13","-13","-13","-107","-107","-107","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105"
"7500","-14","-14","-14","-13","-13","-13","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105"
"8000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105"
