"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: DDQN - eval/avg_reward","Group: DDQN - eval/avg_reward__MIN","Group: DDQN - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100.44444444444444","-104","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100.75","-106","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100.57142857142857","-104","-100","-100","-100","-100"
"2500","-65.8","-100","-13","-100","-100","-100","-90.33333333333333","-100","-13","-100","-100","-100","-100.4","-104","-100","-100","-100","-100","-89.125","-100","-13","-89.125","-100","-13","-67.375","-100","-13","-100","-100","-100","-100.57142857142857","-104","-100","-100","-100","-100"
"3000","-22.3","-100","-13","-90.55555555555556","-100","-15","-52.333333333333336","-100","-13","-100","-100","-100","-100.3","-103","-100","-100","-100","-100","-100","-100","-100","-47.5","-100","-13","-45.75","-100","-13","-100","-100","-100","-100.57142857142857","-104","-100","-100","-100","-100"
"3500","-23.1","-100","-13","-90.55555555555556","-100","-15","-43","-100","-13","-80.66666666666667","-100","-13","-57.4","-100","-13","-78.75","-100","-13","-68.375","-100","-14","-25.625","-100","-13","-35.625","-100","-13","-78.75","-100","-15","-87.85714285714286","-100","-15","-100","-100","-100"
"4000","-22.4","-100","-13","-61.77777777777778","-100","-13","-33.55555555555556","-100","-13","-42","-100","-13","-40","-100","-13","-24.875","-100","-13","-25.75","-100","-13","-15.25","-16","-13","-15.125","-17","-13","-36.25","-100","-13","-50.857142857142854","-100","-13","-85.5","-100","-13"
"4500","-22.3","-100","-13","-43","-100","-14","-14.555555555555555","-18","-13","-42","-100","-13","-22.9","-100","-13","-25","-100","-13","-47.375","-100","-14","-14.75","-16","-14","-14.625","-18","-13","-25.25","-100","-13","-38.57142857142857","-100","-13","-57.166666666666664","-100","-13"
"5000","-30.9","-100","-13","-33.888888888888886","-100","-13","-25","-100","-13","-22.666666666666668","-100","-13","-23","-100","-13","-14.5","-18","-13","-35.5","-100","-13","-15.625","-18","-13","-14.875","-18","-13","-24.875","-100","-13","-51.285714285714285","-100","-13","-43","-100","-13"
"5500","-13.9","-17","-13","-14.666666666666666","-17","-13","-14.555555555555555","-20","-13","-22.666666666666668","-100","-13","-30.9","-100","-13","-13.5","-15","-13","-56.625","-100","-13","-15.5","-18","-13","-25.375","-100","-13","-24.875","-100","-13","-39","-100","-13","-42.666666666666664","-100","-13"
"6000","-13.4","-16","-13","-32.666666666666664","-100","-13","-13.444444444444445","-15","-13","-22.666666666666668","-100","-13","-39.4","-100","-13","-46","-100","-13","-46.625","-100","-13","-14.625","-18","-13","-25.75","-100","-13","-35.25","-100","-13","-40","-100","-13","-42.666666666666664","-100","-13"
"6500","-13","-13","-13","-42.55555555555556","-100","-13","-14.11111111111111","-17","-13","-22.666666666666668","-100","-13","-39.4","-100","-13","-24.125","-100","-13","-37","-100","-14","-15.625","-19","-13","-25","-100","-13","-24.625","-100","-13","-26.142857142857142","-100","-13","-56.833333333333336","-100","-13"
"7000","-13","-13","-13","-42.111111111111114","-100","-13","-23.11111111111111","-100","-13","-13","-13","-13","-30.5","-100","-13","-24","-100","-13","-47","-100","-13","-15.75","-20","-13","-14.375","-19","-13","-13.5","-15","-13","-13.857142857142858","-16","-13","-42","-100","-13"
"7500","-13","-13","-13","-32.333333333333336","-100","-13","-22.88888888888889","-100","-13","-13","-13","-13","-31.1","-100","-13","-13.25","-15","-13","-37.125","-100","-13","-15.125","-20","-13","-14.375","-19","-13","-23.875","-100","-13","-13.142857142857142","-14","-13","-56.5","-100","-13"
"8000","-13.1","-14","-13","-13","-13","-13","-22.77777777777778","-100","-13","-13","-13","-13","-30.4","-100","-13","-13.25","-15","-13","-25.875","-100","-14","-13.625","-16","-13","-13.625","-15","-13","-13","-13","-13","-13","-13","-13","-56.5","-100","-13"
"8500","-13.3","-16","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13","-13","-13","-30.5","-100","-13","-13.125","-14","-13","-25.75","-100","-14","-14.5","-20","-13","-13.75","-15","-13","-13","-13","-13","-13.285714285714286","-15","-13","-42","-100","-13"
"9000","-13","-13","-13","-13","-13","-13","-22.88888888888889","-100","-13","-13","-13","-13","-30.4","-100","-13","-13.25","-15","-13","-15","-17","-13","-13.625","-16","-13","-13.625","-16","-13","-13","-13","-13","-13","-13","-13","-42","-100","-13"
"9500","-13.4","-16","-13","-13","-13","-13","-13.222222222222221","-15","-13","-13","-13","-13","-21.9","-100","-13","-13.125","-14","-13","-15.5","-17","-13","-13.625","-16","-13","-13.625","-16","-13","-13","-13","-13","-13.285714285714286","-15","-13","-27.833333333333332","-100","-13"
"10000","-13.3","-14","-13","-13","-13","-13","-13.222222222222221","-15","-13","-22.666666666666668","-100","-13","-21.8","-100","-13","-13","-13","-13","-15.5","-18","-13","-13.875","-16","-13","-13.625","-16","-13","-13","-13","-13","-13","-13","-13","-27.833333333333332","-100","-13"
"10500","-13.4","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-14.75","-16","-13","-13.375","-15","-13","-13.25","-15","-13","-13","-13","-13","-13","-13","-13","-27.833333333333332","-100","-13"
"11000","-13.1","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-14.75","-18","-13","-13.5","-16","-13","-13.125","-14","-13","-13","-13","-13","-13","-13","-13","-27.833333333333332","-100","-13"
"11500","-13.1","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.625","-16","-13","-13.125","-14","-13","-13.25","-15","-13","-13","-13","-13","-13","-13","-13","-27.833333333333332","-100","-13"
"12000","-13.1","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14.5","-18","-13","-13.125","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-27.833333333333332","-100","-13"
"12500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-13.625","-16","-13","-13","-13","-13","-13.375","-16","-13","-13","-13","-13","-13","-13","-13","-42","-100","-13"
"13000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-13.625","-16","-13","-13.125","-14","-13","-13.375","-16","-13","-13","-13","-13","-13","-13","-13","-27.5","-100","-13"
"13500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.5","-17","-13","-13","-13","-13","-13.375","-16","-13","-13","-13","-13","-13","-13","-13","-27.5","-100","-13"
"14000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.5","-16","-13","-13","-13","-13","-13.125","-14","-13","-13","-13","-13","-13","-13","-13","-27.5","-100","-13"
"14500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.25","-15","-13","-13","-13","-13","-13.5","-17","-13","-13","-13","-13","-13","-13","-13","-27.5","-100","-13"
"15000","-13","-13","-13","-13","-13","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.25","-15","-13","-13","-13","-13","-13","-13","-13","-27.5","-100","-13"
"15500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-42","-100","-13"
