"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"0","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.646446504686585","-12.371034217848592","-7.677308667277098","-9.646446504686585","-12.371034217848592","-7.677308667277098","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.647151051098339","-12.403093904713952","-7.68111776208538"
"500","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.648290601509377","-12.393752665956281","-7.677308667277098","-9.64381729917319","-12.371034217848592","-7.677308667277098","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.641246189583226","-12.403093904713952","-7.671810886359692","-9.647151051098339","-12.403093904713952","-7.68111776208538"
"1000","-9.594711637757168","-12.403093904713952","-7.671810886359692","-9.57104222015695","-12.393752665956281","-7.66934164452144","-9.573252237139679","-12.393752665956281","-7.66934164452144","-9.545122994266809","-12.403093904713952","-7.671810886359692","-9.54311872468499","-12.403093904713952","-7.671810886359692","-9.599248757725116","-12.403093904713952","-7.671810886359692","-9.52403741344735","-12.403093904713952","-7.671810886359692","-9.550555647125005","-12.403093904713952","-7.671810886359692","-9.62750792767437","-11.470942096814555","-7.292715685813766"
"1500","-14.961802542072693","-31.508994558630945","-9.60914866414814","-18.46061190106049","-45.36134139658343","-8.744407503457085","-16.15046358220226","-21.403169609894633","-9.475675689257134","-19.15912568479517","-38.922825274584355","-8.538029467488716","-18.374413753437445","-33.20600624597226","-10.837961405303243","-14.452931294311721","-25.79338049428055","-8.174004001533808","-20.26607387684666","-35.67718122494462","-10.350554677718282","-17.731198017688758","-23.299583263397672","-9.047097386818425","-21.120684532140537","-29.467057987023008","-12.103988015920466"
"2000","-15.393791042533076","-31.97650830683357","-9.750689065259923","-17.66962166290289","-41.84272256131158","-8.81043103731364","-13.853270529025334","-26.936216866249623","-8.11632731560411","-12.695408687365443","-18.30833650391407","-7.4215285165995795","-12.147503592217976","-16.669599100049357","-7.15801949386541","-14.163220312883723","-31.0699088742493","-7.971142120541482","-17.473598037316297","-28.073209091217894","-10.9821072965298","-13.907655493833804","-28.85424930595563","-7.106561963549771","-13.431061220787583","-27.868249448547783","-6.275586746518117"
"2500","-16.106358844895368","-27.637244651309366","-7.58071851810284","-15.455071015247336","-28.54419340299639","-7.466664962619727","-10.651630219460392","-17.912151315797296","-6.626366322743301","-11.457145110581441","-19.52621558875703","-5.705250669890664","-11.3908943047654","-24.215953669160115","-6.902823257628379","-17.60736377962033","-36.95306028511472","-9.169070121155357","-13.443744385071295","-17.91449536726332","-9.165819804746748","-16.397682110710548","-28.801004981498938","-7.883384124195757","-11.517193158318026","-18.795799199759273","-5.990914437870833"
"3000","-12.273762229353277","-19.541475903117345","-7.125667531046976","-11.570796630072401","-24.62354823703662","-7.23105959757612","-11.55267043424643","-30.834887189210644","-5.861076162508297","-11.163217145146032","-21.779909369914396","-5.451996451332947","-9.556562547574694","-11.714560075686652","-6.866210415803697","-14.033896593262927","-33.173148802216005","-7.07186616191616","-12.350009059343407","-29.164101173113842","-9.13533161905588","-12.02321613713553","-28.812705682094514","-6.832086103181382","-10.717046799480173","-21.93234519659759","-4.77933342191951"
"3500","-10.312532337274698","-14.880372899980603","-6.718155278588012","-8.993528016688128","-22.71311956360386","-6.074836030073685","-10.586877260706121","-18.59539260539042","-4.909549236326035","-9.079412941643936","-22.86580439594811","-6.043291481372145","-10.216329959382975","-15.969219368203222","-5.380743113127133","-11.578897102347492","-27.305665815988725","-6.200459200144666","-10.535461943165789","-12.179428207086815","-5.469171617365269","-9.995470159815206","-14.661796364166014","-5.4412940847432445","-8.197861677498453","-10.502418193059151","-5.519228857194521"
"4000","-9.698140709455233","-16.523134596930408","-5.302508905367183","-7.909558282099934","-9.900969429976895","-6.150141637950111","-9.465358502269144","-13.95999100442092","-5.414166457346364","-8.018216306326535","-20.600403969931904","-4.505793042383202","-8.251180574716667","-11.92306365238132","-5.68382712262568","-11.512623765577938","-19.227011999782114","-7.250562249096899","-10.871780156267524","-18.274949735511008","-5.7668044688889735","-9.127234610867461","-15.198570160899516","-4.810474362996981","-7.760785643366648","-13.733336972053317","-6.098044451029127"
"4500","-9.186680535912002","-11.58568788943355","-6.021220068623537","-8.888166426472756","-17.695566328753422","-5.073981844492989","-7.986311719965856","-15.040614223898583","-4.649448464925752","-8.729850729121235","-14.757508600690253","-5.120460731748969","-6.585363288131605","-11.031908940347103","-4.447313227103484","-10.344669375835105","-20.973402627682777","-5.586885486620885","-9.821664850233104","-15.580173896552344","-5.539653671395597","-8.315510511898628","-14.59845762658814","-5.6837685787718","-6.014532458309198","-8.869763577993922","-4.412135801663612"
"5000","-8.712335318090672","-14.575121950645586","-6.456398256680215","-6.592682881374356","-8.753954073226314","-3.949555079978147","-7.905229329174749","-16.118464415066285","-5.133571372687023","-7.613572984397161","-12.75442063126003","-3.90261665442939","-8.409354198071167","-21.38110657243534","-4.788727837585368","-8.1809154979278","-12.357055837170723","-4.4295430117504715","-9.082120951783924","-15.752979340174743","-4.85057383016259","-7.45641872862995","-11.994487066705755","-5.514924467648864","-5.499780316804296","-7.3324972169238265","-3.7309574267823473"
"5500","-7.67421469709001","-11.00709041067633","-5.482999772937605","-6.74083201243712","-9.868020612195505","-4.694509913670644","-7.516261156019195","-12.146281248768707","-4.326231106064499","-6.487969125375391","-8.463129697054736","-5.222599834214655","-8.070805623989827","-14.959526332779424","-5.183833267222061","-7.23314914142239","-11.353679844784983","-3.9601485950403834","-7.388957415712028","-12.610350085685663","-4.408411134021419","-5.692220082208102","-7.017100149376875","-4.266592161383651","-4.7261646259369545","-6.336418221090249","-3.4620622074078398"
"6000","-7.010294442691699","-9.827501403154795","-4.796706387948336","-6.8484768754801","-9.756601226982644","-4.385841132292276","-6.105299537155045","-10.541645661964434","-4.087117030789836","-6.232202867650284","-10.713516063861604","-4.066630021365432","-6.404612253955674","-12.216561216563676","-4.148465217666654","-7.551954025250696","-12.811935746238731","-4.968908527239834","-7.784578543001894","-10.79715633136585","-4.425124548992563","-6.27779241672639","-11.202218023072124","-4.418840345028297","-4.220635353976187","-4.941042463307776","-3.2544225245016016"
"6500","-7.057102536908171","-10.053428240998063","-4.05508960794472","-6.329678235021748","-10.029303618780032","-3.619113100719928","-5.261337512707266","-7.652857236757488","-3.704073334957158","-5.656833288609146","-8.167051017152877","-2.84715512189191","-5.352693209332488","-11.058952280451022","-3.6201082150624204","-7.194821028351319","-10.219484054518109","-4.891614937811032","-8.223013243979688","-12.233326769793289","-4.614483945015836","-5.517002427454104","-8.001632303672373","-3.424420187799606","-5.087571039631588","-7.5499058666383165","-3.359187255960273"
"7000","-6.081033133438643","-7.463965240404366","-3.762729932094645","-6.343636118777281","-12.329713568316965","-4.100409945661417","-4.801455690774272","-7.519422787611793","-3.229481476203614","-5.945644556724167","-9.891444773695902","-3.400916138022507","-5.105823851377268","-8.713756147930006","-3.833098396134485","-6.681315231693209","-10.344853931990542","-4.49488902511165","-7.443023305559284","-10.53210139677499","-3.8090630733396695","-5.401610240955401","-6.8474788474568244","-3.3823188344560142","-3.6233819797623625","-5.6836164920747","-2.4049554921917675"
"7500","-5.443472449386254","-7.689026429171912","-3.962024178774572","-5.578468229857303","-8.47201386852085","-3.4596854502685708","-4.31234147416765","-8.509568709808809","-2.6011533485261156","-5.208969821566217","-11.044531939615819","-3.250310627792692","-4.714332916298983","-8.838490000433413","-3.0226709579354845","-6.218136095545606","-9.156978798082509","-4.040685693985715","-6.889132387863635","-10.602994024748503","-4.258992133260424","-4.673680082060882","-7.569714030059755","-3.0028489847440007","-3.637814482248806","-5.4463786798496105","-2.2723487410363576"
"8000","-4.881515068642927","-6.227600378656639","-3.298515828306475","-5.482367938278333","-7.637025899954042","-3.9123685299802204","-4.139443502098651","-7.193252180776538","-3.0388136780082853","-4.7322271884416205","-10.559744924573216","-3.417209807850295","-4.528905526275318","-8.445920761901302","-2.422507320697476","-6.443239437858184","-9.256170773346449","-4.36398240754062","-5.941642879070094","-7.942269554434448","-3.2215676164338745","-4.613183996619175","-7.279410296566494","-2.3862390523503074","-3.8812973256211665","-8.085522428017464","-1.7508180879651196"
