"Step","DDPG_None_FetchReachDense-v4_19 - eval/avg_reward","DDPG_None_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_18 - eval/avg_reward","DDPG_None_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_17 - eval/avg_reward","DDPG_None_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_16 - eval/avg_reward","DDPG_None_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_15 - eval/avg_reward","DDPG_None_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_14 - eval/avg_reward","DDPG_None_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_13 - eval/avg_reward","DDPG_None_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_12 - eval/avg_reward","DDPG_None_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_11 - eval/avg_reward","DDPG_None_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_10 - eval/avg_reward","DDPG_None_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_9 - eval/avg_reward","DDPG_None_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_8 - eval/avg_reward","DDPG_None_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_7 - eval/avg_reward","DDPG_None_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_6 - eval/avg_reward","DDPG_None_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_5 - eval/avg_reward","DDPG_None_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_4 - eval/avg_reward","DDPG_None_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_3 - eval/avg_reward","DDPG_None_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_2 - eval/avg_reward","DDPG_None_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_1 - eval/avg_reward","DDPG_None_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_0 - eval/avg_reward","DDPG_None_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.54916123169839","-7.54916123169839","-7.54916123169839","-10.176784305085603","-10.176784305085603","-10.176784305085603","-6.4699836790357255","-6.4699836790357255","-6.4699836790357255","-10.416175144320121","-10.416175144320121","-10.416175144320121","-13.97958800635474","-13.97958800635474","-13.97958800635474","-6.732264260273922","-6.732264260273922","-6.732264260273922","-9.030035303879668","-9.030035303879668","-9.030035303879668","-7.512297012010238","-7.512297012010238","-7.512297012010238","-7.81550285698493","-7.81550285698493","-7.81550285698493","-9.372997850507897","-9.372997850507897","-9.372997850507897","-8.703200158991114","-8.703200158991114","-8.703200158991114","-18.505779144541552","-18.505779144541552","-18.505779144541552","-6.777428583829424","-6.777428583829424","-6.777428583829424","-11.196360885835658","-11.196360885835658","-11.196360885835658","-8.486703706793474","-8.486703706793474","-8.486703706793474","-9.885686417997343","-9.885686417997343","-9.885686417997343","-10.16115848093541","-10.16115848093541","-10.16115848093541","-7.882325794950864","-7.882325794950864","-7.882325794950864","-11.183628970427812","-11.183628970427812","-11.183628970427812","-10.209452434826709","-10.209452434826709","-10.209452434826709"
"500","-7.54916123169839","-7.54916123169839","-7.54916123169839","-10.176784305085603","-10.176784305085603","-10.176784305085603","-6.4699836790357255","-6.4699836790357255","-6.4699836790357255","-10.416175144320121","-10.416175144320121","-10.416175144320121","-13.97958800635474","-13.97958800635474","-13.97958800635474","-6.732264260273922","-6.732264260273922","-6.732264260273922","-9.030035303879668","-9.030035303879668","-9.030035303879668","-7.512297012010238","-7.512297012010238","-7.512297012010238","-7.81550285698493","-7.81550285698493","-7.81550285698493","-9.372997850507897","-9.372997850507897","-9.372997850507897","-8.703200158991114","-8.703200158991114","-8.703200158991114","-18.505779144541552","-18.505779144541552","-18.505779144541552","-6.777428583829424","-6.777428583829424","-6.777428583829424","-11.196360885835658","-11.196360885835658","-11.196360885835658","-8.486703706793474","-8.486703706793474","-8.486703706793474","-9.885686417997343","-9.885686417997343","-9.885686417997343","-10.16115848093541","-10.16115848093541","-10.16115848093541","-7.882325794950864","-7.882325794950864","-7.882325794950864","-11.183628970427812","-11.183628970427812","-11.183628970427812","-10.209452434826709","-10.209452434826709","-10.209452434826709"
"1000","-7.9607934195545145","-7.9607934195545145","-7.9607934195545145","-9.999939211702769","-9.999939211702769","-9.999939211702769","-6.100002694515817","-6.100002694515817","-6.100002694515817","-10.29107572208271","-10.29107572208271","-10.29107572208271","-14.59477162364593","-14.59477162364593","-14.59477162364593","-6.278443339384401","-6.278443339384401","-6.278443339384401","-9.766005106554637","-9.766005106554637","-9.766005106554637","-8.205946983744752","-8.205946983744752","-8.205946983744752","-7.78822626989807","-7.78822626989807","-7.78822626989807","-9.830933812673582","-9.830933812673582","-9.830933812673582","-9.011748465758142","-9.011748465758142","-9.011748465758142","-16.73432310842781","-16.73432310842781","-16.73432310842781","-8.011768209587874","-8.011768209587874","-8.011768209587874","-11.05735738282706","-11.05735738282706","-11.05735738282706","-8.120255088195133","-8.120255088195133","-8.120255088195133","-9.520993655603323","-9.520993655603323","-9.520993655603323","-9.59119661211568","-9.59119661211568","-9.59119661211568","-8.38547535661141","-8.38547535661141","-8.38547535661141","-10.856168531283036","-10.856168531283036","-10.856168531283036","-9.479537999981465","-9.479537999981465","-9.479537999981465"
"1500","-31.463372502184644","-31.463372502184644","-31.463372502184644","-19.04195615059991","-19.04195615059991","-19.04195615059991","-32.47592461122745","-32.47592461122745","-32.47592461122745","-43.23972525564049","-43.23972525564049","-43.23972525564049","-29.495153790601897","-29.495153790601897","-29.495153790601897","-30.53261502911596","-30.53261502911596","-30.53261502911596","-27.104656673188977","-27.104656673188977","-27.104656673188977","-26.17680372908785","-26.17680372908785","-26.17680372908785","-47.447983007975736","-47.447983007975736","-47.447983007975736","-14.525776273325311","-14.525776273325311","-14.525776273325311","-11.154852235553879","-11.154852235553879","-11.154852235553879","-28.11123988828827","-28.11123988828827","-28.11123988828827","-33.65891112301021","-33.65891112301021","-33.65891112301021","-9.624924816906734","-9.624924816906734","-9.624924816906734","-44.35856469081679","-44.35856469081679","-44.35856469081679","-8.978018181437516","-8.978018181437516","-8.978018181437516","-15.921206234399753","-15.921206234399753","-15.921206234399753","-43.887389968067524","-43.887389968067524","-43.887389968067524","-26.383902630032175","-26.383902630032175","-26.383902630032175","-37.8059000248978","-37.8059000248978","-37.8059000248978"
"2000","-12.108950996380447","-12.108950996380447","-12.108950996380447","-42.771257397995974","-42.771257397995974","-42.771257397995974","-25.196083791588656","-25.196083791588656","-25.196083791588656","-18.917416734617934","-18.917416734617934","-18.917416734617934","-13.371852527086201","-13.371852527086201","-13.371852527086201","-9.409166703923486","-9.409166703923486","-9.409166703923486","-8.142967979532845","-8.142967979532845","-8.142967979532845","-13.349986197143082","-13.349986197143082","-13.349986197143082","-20.875914856567494","-20.875914856567494","-20.875914856567494","-24.008828859846936","-24.008828859846936","-24.008828859846936","-39.05252601270675","-39.05252601270675","-39.05252601270675","-18.778325603516503","-18.778325603516503","-18.778325603516503","-12.160884444442724","-12.160884444442724","-12.160884444442724","-14.71047406038276","-14.71047406038276","-14.71047406038276","-23.444937354854474","-23.444937354854474","-23.444937354854474","-15.446515350236599","-15.446515350236599","-15.446515350236599","-24.20777433582895","-24.20777433582895","-24.20777433582895","-34.60848470211797","-34.60848470211797","-34.60848470211797","-8.396911035949064","-8.396911035949064","-8.396911035949064","-21.919793907937354","-21.919793907937354","-21.919793907937354"
"2500","-20.386347230201356","-20.386347230201356","-20.386347230201356","-13.087068711675045","-13.087068711675045","-13.087068711675045","-18.71338493621395","-18.71338493621395","-18.71338493621395","-13.163275246026009","-13.163275246026009","-13.163275246026009","-7.706330915653064","-7.706330915653064","-7.706330915653064","-12.076616207941962","-12.076616207941962","-12.076616207941962","-12.768790861509853","-12.768790861509853","-12.768790861509853","-11.629358630121462","-11.629358630121462","-11.629358630121462","-5.790272359059589","-5.790272359059589","-5.790272359059589","-23.73340440667696","-23.73340440667696","-23.73340440667696","-27.550860008778763","-27.550860008778763","-27.550860008778763","-22.35057746686072","-22.35057746686072","-22.35057746686072","-13.003866420297268","-13.003866420297268","-13.003866420297268","-9.278890279464669","-9.278890279464669","-9.278890279464669","-13.409675134365704","-13.409675134365704","-13.409675134365704","-6.8601725778358205","-6.8601725778358205","-6.8601725778358205","-22.146798790276698","-22.146798790276698","-22.146798790276698","-18.302645987736675","-18.302645987736675","-18.302645987736675","-13.346233914537308","-13.346233914537308","-13.346233914537308","-17.46795862698108","-17.46795862698108","-17.46795862698108"
"3000","-16.9480972537972","-16.9480972537972","-16.9480972537972","-20.6378079502648","-20.6378079502648","-20.6378079502648","-6.7832779096473175","-6.7832779096473175","-6.7832779096473175","-19.38545003093141","-19.38545003093141","-19.38545003093141","-9.132955286053663","-9.132955286053663","-9.132955286053663","-9.857844019391425","-9.857844019391425","-9.857844019391425","-5.862783691585494","-5.862783691585494","-5.862783691585494","-10.962473646327823","-10.962473646327823","-10.962473646327823","-4.795762107945934","-4.795762107945934","-4.795762107945934","-8.799110009290299","-8.799110009290299","-8.799110009290299","-10.75610556089176","-10.75610556089176","-10.75610556089176","-17.97282312703609","-17.97282312703609","-17.97282312703609","-17.74918162985097","-17.74918162985097","-17.74918162985097","-11.727697404876082","-11.727697404876082","-11.727697404876082","-11.682781168167708","-11.682781168167708","-11.682781168167708","-15.598248570696517","-15.598248570696517","-15.598248570696517","-22.386669901025908","-22.386669901025908","-22.386669901025908","-21.242975679071073","-21.242975679071073","-21.242975679071073","-13.995289523239952","-13.995289523239952","-13.995289523239952","-10.049732025691247","-10.049732025691247","-10.049732025691247"
"3500","-9.718951710267396","-9.718951710267396","-9.718951710267396","-10.170443089331428","-10.170443089331428","-10.170443089331428","-10.620853804482191","-10.620853804482191","-10.620853804482191","-8.409189087904023","-8.409189087904023","-8.409189087904023","-8.065073934023985","-8.065073934023985","-8.065073934023985","-11.714936905213978","-11.714936905213978","-11.714936905213978","-4.435687700906645","-4.435687700906645","-4.435687700906645","-9.568886298840072","-9.568886298840072","-9.568886298840072","-4.18350311516461","-4.18350311516461","-4.18350311516461","-16.05310921475335","-16.05310921475335","-16.05310921475335","-9.779766344806252","-9.779766344806252","-9.779766344806252","-14.722898639960855","-14.722898639960855","-14.722898639960855","-15.316072109729092","-15.316072109729092","-15.316072109729092","-12.529400794558466","-12.529400794558466","-12.529400794558466","-11.267823793657165","-11.267823793657165","-11.267823793657165","-13.629384234332168","-13.629384234332168","-13.629384234332168","-21.897154648100315","-21.897154648100315","-21.897154648100315","-11.739340765494315","-11.739340765494315","-11.739340765494315","-12.795423677331826","-12.795423677331826","-12.795423677331826","-9.95702071298187","-9.95702071298187","-9.95702071298187"
"4000","-12.835720471092433","-12.835720471092433","-12.835720471092433","-9.394138631824054","-9.394138631824054","-9.394138631824054","-10.639037945167683","-10.639037945167683","-10.639037945167683","-8.73151867786596","-8.73151867786596","-8.73151867786596","-10.137751323923602","-10.137751323923602","-10.137751323923602","-5.270163130693481","-5.270163130693481","-5.270163130693481","-7.353412043850317","-7.353412043850317","-7.353412043850317","-8.739993475226623","-8.739993475226623","-8.739993475226623","-6.447923665959709","-6.447923665959709","-6.447923665959709","-5.8047081325969","-5.8047081325969","-5.8047081325969","-10.257402527899206","-10.257402527899206","-10.257402527899206","-15.693772311623018","-15.693772311623018","-15.693772311623018","-13.433133121203412","-13.433133121203412","-13.433133121203412","-14.835536458621863","-14.835536458621863","-14.835536458621863","-11.363101500139908","-11.363101500139908","-11.363101500139908","-11.05300370111647","-11.05300370111647","-11.05300370111647","-21.28308174175284","-21.28308174175284","-21.28308174175284","-21.58741882973751","-21.58741882973751","-21.58741882973751","-13.070600039665887","-13.070600039665887","-13.070600039665887","-6.909754721290428","-6.909754721290428","-6.909754721290428"
"4500","-10.28189982013617","-10.28189982013617","-10.28189982013617","-12.71104078465177","-12.71104078465177","-12.71104078465177","-12.473488493812322","-12.473488493812322","-12.473488493812322","-8.191656656676317","-8.191656656676317","-8.191656656676317","-14.908366508219435","-14.908366508219435","-14.908366508219435","-5.634074535740223","-5.634074535740223","-5.634074535740223","-4.886450809463637","-4.886450809463637","-4.886450809463637","-8.650533380773044","-8.650533380773044","-8.650533380773044","-4.570174077655176","-4.570174077655176","-4.570174077655176","-7.568675698516586","-7.568675698516586","-7.568675698516586","-9.793222293250228","-9.793222293250228","-9.793222293250228","-8.200728963380396","-8.200728963380396","-8.200728963380396","-14.336546079101302","-14.336546079101302","-14.336546079101302","-11.00784644703298","-11.00784644703298","-11.00784644703298","-7.0222626176344125","-7.0222626176344125","-7.0222626176344125","-9.316870557854893","-9.316870557854893","-9.316870557854893","-20.763586969930437","-20.763586969930437","-20.763586969930437","-13.9862776435558","-13.9862776435558","-13.9862776435558","-12.101533265152325","-12.101533265152325","-12.101533265152325","-7.49357994924155","-7.49357994924155","-7.49357994924155"
