"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.264050969049805","-13.264050969049805","-13.264050969049805","-9.279559868056216","-9.279559868056216","-9.279559868056216","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.150893230133065","-12.150893230133065","-12.150893230133065","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.67623822614502","-10.67623822614502","-10.67623822614502","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-12.687821550035194","-12.687821550035194","-12.687821550035194","-15.341221777897868","-15.341221777897868","-15.341221777897868","-19.603153852123675","-19.603153852123675","-19.603153852123675","-33.422827676719876","-33.422827676719876","-33.422827676719876","-10.297097236200509","-10.297097236200509","-10.297097236200509","-8.037755151772018","-8.037755151772018","-8.037755151772018","-32.50180561086915","-32.50180561086915","-32.50180561086915","-27.178148601658176","-27.178148601658176","-27.178148601658176","-7.644129911106023","-7.644129911106023","-7.644129911106023","-33.20847438722406","-33.20847438722406","-33.20847438722406","-8.98378808499994","-8.98378808499994","-8.98378808499994","-23.383749671458126","-23.383749671458126","-23.383749671458126","-29.688076041597686","-29.688076041597686","-29.688076041597686","-25.260780691024706","-25.260780691024706","-25.260780691024706","-8.975717850191783","-8.975717850191783","-8.975717850191783","-8.280662713691871","-8.280662713691871","-8.280662713691871","-9.074162228530241","-9.074162228530241","-9.074162228530241","-14.364295493201462","-14.364295493201462","-14.364295493201462","-15.606193413445203","-15.606193413445203","-15.606193413445203","-19.284339376542874","-19.284339376542874","-19.284339376542874"
"2000","-11.096649793745524","-11.096649793745524","-11.096649793745524","-30.530894847130348","-30.530894847130348","-30.530894847130348","-20.088666434858162","-20.088666434858162","-20.088666434858162","-8.0160532460802","-8.0160532460802","-8.0160532460802","-15.297416718393823","-15.297416718393823","-15.297416718393823","-13.728860784308884","-13.728860784308884","-13.728860784308884","-9.504844091971878","-9.504844091971878","-9.504844091971878","-12.914415897271407","-12.914415897271407","-12.914415897271407","-12.523615145294674","-12.523615145294674","-12.523615145294674","-8.66400368818732","-8.66400368818732","-8.66400368818732","-9.36874420222553","-9.36874420222553","-9.36874420222553","-22.825799419781816","-22.825799419781816","-22.825799419781816","-33.8046633489706","-33.8046633489706","-33.8046633489706","-10.716469825878615","-10.716469825878615","-10.716469825878615","-7.255858844676366","-7.255858844676366","-7.255858844676366","-12.493451630754393","-12.493451630754393","-12.493451630754393","-7.6388067964118225","-7.6388067964118225","-7.6388067964118225","-10.012145154756727","-10.012145154756727","-10.012145154756727","-15.559824692543438","-15.559824692543438","-15.559824692543438","-23.71684806294375","-23.71684806294375","-23.71684806294375"
"2500","-8.283664116243234","-8.283664116243234","-8.283664116243234","-8.106995870358405","-8.106995870358405","-8.106995870358405","-6.3785073529557055","-6.3785073529557055","-6.3785073529557055","-15.916774229437456","-15.916774229437456","-15.916774229437456","-6.494244004437967","-6.494244004437967","-6.494244004437967","-7.113362319568405","-7.113362319568405","-7.113362319568405","-15.65026522727103","-15.65026522727103","-15.65026522727103","-11.366939346918281","-11.366939346918281","-11.366939346918281","-6.595068844117975","-6.595068844117975","-6.595068844117975","-9.033258832149759","-9.033258832149759","-9.033258832149759","-10.327529033726437","-10.327529033726437","-10.327529033726437","-12.772272556298445","-12.772272556298445","-12.772272556298445","-21.887560510931856","-21.887560510931856","-21.887560510931856","-14.921382770770373","-14.921382770770373","-14.921382770770373","-7.39946257713706","-7.39946257713706","-7.39946257713706","-10.244215723135353","-10.244215723135353","-10.244215723135353","-25.01639063682704","-25.01639063682704","-25.01639063682704","-8.422738810779022","-8.422738810779022","-8.422738810779022","-11.28076690270981","-11.28076690270981","-11.28076690270981","-8.7425139196077","-8.7425139196077","-8.7425139196077"
"3000","-6.518639508827535","-6.518639508827535","-6.518639508827535","-6.240722073424243","-6.240722073424243","-6.240722073424243","-19.40065295209548","-19.40065295209548","-19.40065295209548","-8.450813740277676","-8.450813740277676","-8.450813740277676","-13.562269512791602","-13.562269512791602","-13.562269512791602","-6.622857555221462","-6.622857555221462","-6.622857555221462","-8.786638002522096","-8.786638002522096","-8.786638002522096","-12.317755190703636","-12.317755190703636","-12.317755190703636","-16.46186869483768","-16.46186869483768","-16.46186869483768","-12.143457391158561","-12.143457391158561","-12.143457391158561","-6.640477640862014","-6.640477640862014","-6.640477640862014","-11.752515821494567","-11.752515821494567","-11.752515821494567","-10.392919411934859","-10.392919411934859","-10.392919411934859","-14.919783567775534","-14.919783567775534","-14.919783567775534","-8.456433920518435","-8.456433920518435","-8.456433920518435","-10.038470494409696","-10.038470494409696","-10.038470494409696","-12.570081863150172","-12.570081863150172","-12.570081863150172","-7.429552121093371","-7.429552121093371","-7.429552121093371","-7.409199165323313","-7.409199165323313","-7.409199165323313","-25.240382083449084","-25.240382083449084","-25.240382083449084"
"3500","-7.271080098258238","-7.271080098258238","-7.271080098258238","-7.563870721719913","-7.563870721719913","-7.563870721719913","-11.947621522605882","-11.947621522605882","-11.947621522605882","-7.879140061230196","-7.879140061230196","-7.879140061230196","-7.591264302720761","-7.591264302720761","-7.591264302720761","-5.030639251190261","-5.030639251190261","-5.030639251190261","-8.553656258111845","-8.553656258111845","-8.553656258111845","-10.4785666251483","-10.4785666251483","-10.4785666251483","-5.788123213665612","-5.788123213665612","-5.788123213665612","-11.964172670415596","-11.964172670415596","-11.964172670415596","-9.626307774108142","-9.626307774108142","-9.626307774108142","-21.972638726662005","-21.972638726662005","-21.972638726662005","-5.331420279459841","-5.331420279459841","-5.331420279459841","-6.703447466901627","-6.703447466901627","-6.703447466901627","-6.365627055781045","-6.365627055781045","-6.365627055781045","-8.078414504845622","-8.078414504845622","-8.078414504845622","-12.4264331474475","-12.4264331474475","-12.4264331474475","-12.44491121108263","-12.44491121108263","-12.44491121108263","-6.415899840340414","-6.415899840340414","-6.415899840340414","-35.19770084704201","-35.19770084704201","-35.19770084704201"
"4000","-7.010630776717695","-7.010630776717695","-7.010630776717695","-7.8214025043451985","-7.8214025043451985","-7.8214025043451985","-8.095543583892661","-8.095543583892661","-8.095543583892661","-7.101346802096496","-7.101346802096496","-7.101346802096496","-16.739099411553735","-16.739099411553735","-16.739099411553735","-7.104727857677007","-7.104727857677007","-7.104727857677007","-8.800376940845677","-8.800376940845677","-8.800376940845677","-8.298002655823328","-8.298002655823328","-8.298002655823328","-7.013950065362259","-7.013950065362259","-7.013950065362259","-6.708756819386929","-6.708756819386929","-6.708756819386929","-12.306543561578518","-12.306543561578518","-12.306543561578518","-9.133196837481877","-9.133196837481877","-9.133196837481877","-8.098867140913683","-8.098867140913683","-8.098867140913683","-6.135302773668665","-6.135302773668665","-6.135302773668665","-5.969630089785485","-5.969630089785485","-5.969630089785485","-5.011932906560749","-5.011932906560749","-5.011932906560749","-8.069814766701482","-8.069814766701482","-8.069814766701482","-8.503668234419255","-8.503668234419255","-8.503668234419255","-5.776760601070216","-5.776760601070216","-5.776760601070216","-13.160110506386598","-13.160110506386598","-13.160110506386598"
"4500","-7.297126997116972","-7.297126997116972","-7.297126997116972","-5.997693560984973","-5.997693560984973","-5.997693560984973","-6.732681709440582","-6.732681709440582","-6.732681709440582","-9.730023991743561","-9.730023991743561","-9.730023991743561","-7.178862000958405","-7.178862000958405","-7.178862000958405","-5.655059806442658","-5.655059806442658","-5.655059806442658","-8.474243769681728","-8.474243769681728","-8.474243769681728","-5.843721637457722","-5.843721637457722","-5.843721637457722","-4.444214986142045","-4.444214986142045","-4.444214986142045","-12.122102041793644","-12.122102041793644","-12.122102041793644","-7.118686390430144","-7.118686390430144","-7.118686390430144","-8.327295248539485","-8.327295248539485","-8.327295248539485","-5.281341080751491","-5.281341080751491","-5.281341080751491","-8.898646238296815","-8.898646238296815","-8.898646238296815","-4.190225660824677","-4.190225660824677","-4.190225660824677","-4.239935822056394","-4.239935822056394","-4.239935822056394","-8.737855366375726","-8.737855366375726","-8.737855366375726","-3.145714671443261","-3.145714671443261","-3.145714671443261","-6.156252544041484","-6.156252544041484","-6.156252544041484","-9.963947731028474","-9.963947731028474","-9.963947731028474"
