"Step","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.541526637700045","-11.541526637700045","-11.541526637700045","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-35.701979510855786","-35.701979510855786","-35.701979510855786","-18.76520283815909","-18.76520283815909","-18.76520283815909","-10.299915359839037","-10.299915359839037","-10.299915359839037","-30.067480923602535","-30.067480923602535","-30.067480923602535","-21.059233274603724","-21.059233274603724","-21.059233274603724","-13.230970602611611","-13.230970602611611","-13.230970602611611","-9.31692285644079","-9.31692285644079","-9.31692285644079","-18.946080257885974","-18.946080257885974","-18.946080257885974","-23.074375909731632","-23.074375909731632","-23.074375909731632","-16.347902627306937","-16.347902627306937","-16.347902627306937"
"2000","-35.70243277653445","-35.70243277653445","-35.70243277653445","-11.73060130172639","-11.73060130172639","-11.73060130172639","-6.829736901390414","-6.829736901390414","-6.829736901390414","-13.60250448905914","-13.60250448905914","-13.60250448905914","-12.635407761743775","-12.635407761743775","-12.635407761743775","-19.239511660006848","-19.239511660006848","-19.239511660006848","-7.269044494998971","-7.269044494998971","-7.269044494998971","-15.946855031829518","-15.946855031829518","-15.946855031829518","-12.418867584619154","-12.418867584619154","-12.418867584619154","-15.752373943715337","-15.752373943715337","-15.752373943715337"
"2500","-35.70244127108218","-35.70244127108218","-35.70244127108218","-10.875241806482489","-10.875241806482489","-10.875241806482489","-14.899770378677943","-14.899770378677943","-14.899770378677943","-30.662271833144125","-30.662271833144125","-30.662271833144125","-11.944201983453604","-11.944201983453604","-11.944201983453604","-10.738235772529332","-10.738235772529332","-10.738235772529332","-10.38052474979652","-10.38052474979652","-10.38052474979652","-14.025676146334082","-14.025676146334082","-14.025676146334082","-7.681255591622227","-7.681255591622227","-7.681255591622227","-8.229549931645376","-8.229549931645376","-8.229549931645376"
"3000","-35.702442136101915","-35.702442136101915","-35.702442136101915","-7.185142631211147","-7.185142631211147","-7.185142631211147","-34.25896396717243","-34.25896396717243","-34.25896396717243","-8.441230447005385","-8.441230447005385","-8.441230447005385","-13.912284161442415","-13.912284161442415","-13.912284161442415","-6.886602137227072","-6.886602137227072","-6.886602137227072","-11.080989516433485","-11.080989516433485","-11.080989516433485","-12.596517104148848","-12.596517104148848","-12.596517104148848","-9.972535731380383","-9.972535731380383","-9.972535731380383","-12.555477649955826","-12.555477649955826","-12.555477649955826"
"3500","-35.70244230158973","-35.70244230158973","-35.70244230158973","-13.39653417840933","-13.39653417840933","-13.39653417840933","-7.870242362516035","-7.870242362516035","-7.870242362516035","-8.896639362821565","-8.896639362821565","-8.896639362821565","-6.968647245199182","-6.968647245199182","-6.968647245199182","-7.751403842748471","-7.751403842748471","-7.751403842748471","-5.7948694992829655","-5.7948694992829655","-5.7948694992829655","-6.168347724592879","-6.168347724592879","-6.168347724592879","-22.95105181957667","-22.95105181957667","-22.95105181957667","-12.238809138140743","-12.238809138140743","-12.238809138140743"
"4000","-35.70244247839738","-35.70244247839738","-35.70244247839738","-6.683040937227193","-6.683040937227193","-6.683040937227193","-10.812107905126016","-10.812107905126016","-10.812107905126016","-7.404616508716352","-7.404616508716352","-7.404616508716352","-7.541271185701234","-7.541271185701234","-7.541271185701234","-10.946003255716898","-10.946003255716898","-10.946003255716898","-6.389540014644384","-6.389540014644384","-6.389540014644384","-4.544062706486781","-4.544062706486781","-4.544062706486781","-9.201202978355932","-9.201202978355932","-9.201202978355932","-8.497134374304888","-8.497134374304888","-8.497134374304888"
"4500","-35.702443747342116","-35.702443747342116","-35.702443747342116","-6.247604772418574","-6.247604772418574","-6.247604772418574","-3.3304684711713506","-3.3304684711713506","-3.3304684711713506","-6.1989907720719915","-6.1989907720719915","-6.1989907720719915","-9.575829168376028","-9.575829168376028","-9.575829168376028","-5.142908802557772","-5.142908802557772","-5.142908802557772","-5.751431740349853","-5.751431740349853","-5.751431740349853","-6.281419907382525","-6.281419907382525","-6.281419907382525","-5.787258608353504","-5.787258608353504","-5.787258608353504","-7.441007971706289","-7.441007971706289","-7.441007971706289"
