"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.420042881763175","-13.420042881763175","-13.420042881763175","-9.288896051518659","-9.288896051518659","-9.288896051518659","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.13895385725682","-12.13895385725682","-12.13895385725682","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.42048171335874","-10.42048171335874","-10.42048171335874","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-16.154746508820967","-16.154746508820967","-16.154746508820967","-18.771716267072215","-18.771716267072215","-18.771716267072215","-26.34228136040547","-26.34228136040547","-26.34228136040547","-16.298249069112593","-16.298249069112593","-16.298249069112593","-15.05170023226988","-15.05170023226988","-15.05170023226988","-10.35606090949555","-10.35606090949555","-10.35606090949555","-11.897922871225372","-11.897922871225372","-11.897922871225372","-22.514767179558085","-22.514767179558085","-22.514767179558085","-21.074704230730728","-21.074704230730728","-21.074704230730728","-28.040249252700153","-28.040249252700153","-28.040249252700153","-18.356395680481143","-18.356395680481143","-18.356395680481143","-29.167942687283862","-29.167942687283862","-29.167942687283862","-15.845457343665359","-15.845457343665359","-15.845457343665359","-14.903490431128342","-14.903490431128342","-14.903490431128342","-47.737397079705524","-47.737397079705524","-47.737397079705524","-11.646171772482722","-11.646171772482722","-11.646171772482722","-8.792517437897772","-8.792517437897772","-8.792517437897772","-33.749957839642974","-33.749957839642974","-33.749957839642974","-14.307958158171203","-14.307958158171203","-14.307958158171203","-7.549970541517152","-7.549970541517152","-7.549970541517152"
"2000","-15.28087220464514","-15.28087220464514","-15.28087220464514","-13.091230925220193","-13.091230925220193","-13.091230925220193","-8.456802603068912","-8.456802603068912","-8.456802603068912","-19.156379246197492","-19.156379246197492","-19.156379246197492","-12.320330546149615","-12.320330546149615","-12.320330546149615","-10.289685392192476","-10.289685392192476","-10.289685392192476","-11.398049203100658","-11.398049203100658","-11.398049203100658","-22.820366329814064","-22.820366329814064","-22.820366329814064","-5.00172940982461","-5.00172940982461","-5.00172940982461","-18.580846631184063","-18.580846631184063","-18.580846631184063","-9.913181189027412","-9.913181189027412","-9.913181189027412","-10.025327346168414","-10.025327346168414","-10.025327346168414","-23.134750630090743","-23.134750630090743","-23.134750630090743","-9.675097989359434","-9.675097989359434","-9.675097989359434","-28.366855152023277","-28.366855152023277","-28.366855152023277","-9.571174799611148","-9.571174799611148","-9.571174799611148","-7.602963200360184","-7.602963200360184","-7.602963200360184","-22.55498029011383","-22.55498029011383","-22.55498029011383","-13.602666102441049","-13.602666102441049","-13.602666102441049","-8.711137861704916","-8.711137861704916","-8.711137861704916"
"2500","-18.73307729891894","-18.73307729891894","-18.73307729891894","-13.03993269372297","-13.03993269372297","-13.03993269372297","-18.350459666516088","-18.350459666516088","-18.350459666516088","-7.307300932934159","-7.307300932934159","-7.307300932934159","-9.022473635986799","-9.022473635986799","-9.022473635986799","-5.555223016337993","-5.555223016337993","-5.555223016337993","-12.764934279685736","-12.764934279685736","-12.764934279685736","-9.230587141905799","-9.230587141905799","-9.230587141905799","-5.72475932831962","-5.72475932831962","-5.72475932831962","-12.575565719528973","-12.575565719528973","-12.575565719528973","-7.028205429491206","-7.028205429491206","-7.028205429491206","-8.396921939523114","-8.396921939523114","-8.396921939523114","-14.31108850036605","-14.31108850036605","-14.31108850036605","-8.889404552950158","-8.889404552950158","-8.889404552950158","-8.049607594305924","-8.049607594305924","-8.049607594305924","-9.355521243130818","-9.355521243130818","-9.355521243130818","-8.553375354092974","-8.553375354092974","-8.553375354092974","-23.714657168067795","-23.714657168067795","-23.714657168067795","-9.097796948163882","-9.097796948163882","-9.097796948163882","-9.898381806075253","-9.898381806075253","-9.898381806075253"
"3000","-7.830963617306632","-7.830963617306632","-7.830963617306632","-9.568431761764916","-9.568431761764916","-9.568431761764916","-20.095060042106677","-20.095060042106677","-20.095060042106677","-7.5277505142012355","-7.5277505142012355","-7.5277505142012355","-18.550197624241648","-18.550197624241648","-18.550197624241648","-10.495613768995923","-10.495613768995923","-10.495613768995923","-15.663084512455677","-15.663084512455677","-15.663084512455677","-6.7666711131206885","-6.7666711131206885","-6.7666711131206885","-4.836300855126973","-4.836300855126973","-4.836300855126973","-5.621150688538675","-5.621150688538675","-5.621150688538675","-15.872354388095298","-15.872354388095298","-15.872354388095298","-6.084631885832047","-6.084631885832047","-6.084631885832047","-7.417383352263218","-7.417383352263218","-7.417383352263218","-14.005751376014306","-14.005751376014306","-14.005751376014306","-7.276402333977211","-7.276402333977211","-7.276402333977211","-8.732935120498508","-8.732935120498508","-8.732935120498508","-6.87297804064026","-6.87297804064026","-6.87297804064026","-10.07672989699155","-10.07672989699155","-10.07672989699155","-15.125291555797011","-15.125291555797011","-15.125291555797011","-7.222521941422647","-7.222521941422647","-7.222521941422647"
"3500","-12.30530018325419","-12.30530018325419","-12.30530018325419","-8.693494061490407","-8.693494061490407","-8.693494061490407","-11.172149070951937","-11.172149070951937","-11.172149070951937","-10.1402694727939","-10.1402694727939","-10.1402694727939","-11.164199565278995","-11.164199565278995","-11.164199565278995","-32.92562316275608","-32.92562316275608","-32.92562316275608","-4.972143011370352","-4.972143011370352","-4.972143011370352","-9.35936592174796","-9.35936592174796","-9.35936592174796","-5.629440898399582","-5.629440898399582","-5.629440898399582","-5.382179636229658","-5.382179636229658","-5.382179636229658","-9.424194407462682","-9.424194407462682","-9.424194407462682","-10.00567493725423","-10.00567493725423","-10.00567493725423","-15.90470711204089","-15.90470711204089","-15.90470711204089","-7.664711767253121","-7.664711767253121","-7.664711767253121","-12.257485717566244","-12.257485717566244","-12.257485717566244","-7.577166782312344","-7.577166782312344","-7.577166782312344","-8.082129958438799","-8.082129958438799","-8.082129958438799","-6.913972379098503","-6.913972379098503","-6.913972379098503","-13.797018612611419","-13.797018612611419","-13.797018612611419","-7.5920432044596025","-7.5920432044596025","-7.5920432044596025"
"4000","-8.540921856014183","-8.540921856014183","-8.540921856014183","-6.232393914772397","-6.232393914772397","-6.232393914772397","-15.82860237691977","-15.82860237691977","-15.82860237691977","-6.848230469142116","-6.848230469142116","-6.848230469142116","-8.898318393397162","-8.898318393397162","-8.898318393397162","-27.188489138689704","-27.188489138689704","-27.188489138689704","-7.271906605726825","-7.271906605726825","-7.271906605726825","-6.957157426435534","-6.957157426435534","-6.957157426435534","-9.452169936213046","-9.452169936213046","-9.452169936213046","-5.8659958999340445","-5.8659958999340445","-5.8659958999340445","-7.310344626700224","-7.310344626700224","-7.310344626700224","-11.027778292179638","-11.027778292179638","-11.027778292179638","-10.783315016803233","-10.783315016803233","-10.783315016803233","-6.224482456652349","-6.224482456652349","-6.224482456652349","-10.00212764882948","-10.00212764882948","-10.00212764882948","-8.906023738701025","-8.906023738701025","-8.906023738701025","-8.602923396117681","-8.602923396117681","-8.602923396117681","-8.255531217405474","-8.255531217405474","-8.255531217405474","-6.249774021714716","-6.249774021714716","-6.249774021714716","-8.572589399334609","-8.572589399334609","-8.572589399334609"
"4500","-8.08614629490147","-8.08614629490147","-8.08614629490147","-7.270514066442407","-7.270514066442407","-7.270514066442407","-6.270075092549275","-6.270075092549275","-6.270075092549275","-10.30482548098471","-10.30482548098471","-10.30482548098471","-7.372664029098883","-7.372664029098883","-7.372664029098883","-11.645545856542856","-11.645545856542856","-11.645545856542856","-6.442927680503208","-6.442927680503208","-6.442927680503208","-7.020693950408891","-7.020693950408891","-7.020693950408891","-9.69879842154654","-9.69879842154654","-9.69879842154654","-5.496289017774275","-5.496289017774275","-5.496289017774275","-6.326148844246696","-6.326148844246696","-6.326148844246696","-7.58450479046544","-7.58450479046544","-7.58450479046544","-10.091296240277483","-10.091296240277483","-10.091296240277483","-7.523143140261661","-7.523143140261661","-7.523143140261661","-8.31870518320988","-8.31870518320988","-8.31870518320988","-10.268474051946969","-10.268474051946969","-10.268474051946969","-8.208272772721998","-8.208272772721998","-8.208272772721998","-4.12976804218774","-4.12976804218774","-4.12976804218774","-5.307491429155873","-5.307491429155873","-5.307491429155873","-6.611804385075999","-6.611804385075999","-6.611804385075999"
