"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.941806426746265","-9.941806426746265","-9.941806426746265","-7.672963435231601","-7.672963435231601","-7.672963435231601","-10.221164658823573","-10.221164658823573","-10.221164658823573","-9.115028119696335","-9.115028119696335","-9.115028119696335","-11.589473980558719","-11.589473980558719","-11.589473980558719","-9.135407749445303","-9.135407749445303","-9.135407749445303","-10.07958464212241","-10.07958464212241","-10.07958464212241","-12.371034217848592","-12.371034217848592","-12.371034217848592","-8.167563599142227","-8.167563599142227","-8.167563599142227","-8.069456535516712","-8.069456535516712","-8.069456535516712","-6.944545442339839","-6.944545442339839","-6.944545442339839","-8.661568874507683","-8.661568874507683","-8.661568874507683","-10.00770514363943","-10.00770514363943","-10.00770514363943","-10.397622377453867","-10.397622377453867","-10.397622377453867","-7.2171300585511675","-7.2171300585511675","-7.2171300585511675","-9.776919009376702","-9.776919009376702","-9.776919009376702","-13.55785850458843","-13.55785850458843","-13.55785850458843","-11.508207324287477","-11.508207324287477","-11.508207324287477","-14.906624656211216","-14.906624656211216","-14.906624656211216","-9.638877175587385","-9.638877175587385","-9.638877175587385"
"500","-9.941806426746265","-9.941806426746265","-9.941806426746265","-7.672963435231601","-7.672963435231601","-7.672963435231601","-10.221164658823573","-10.221164658823573","-10.221164658823573","-9.115028119696335","-9.115028119696335","-9.115028119696335","-11.589473980558719","-11.589473980558719","-11.589473980558719","-9.135407749445303","-9.135407749445303","-9.135407749445303","-10.07958464212241","-10.07958464212241","-10.07958464212241","-12.371034217848592","-12.371034217848592","-12.371034217848592","-8.167563599142227","-8.167563599142227","-8.167563599142227","-8.069456535516712","-8.069456535516712","-8.069456535516712","-6.944545442339839","-6.944545442339839","-6.944545442339839","-8.661568874507683","-8.661568874507683","-8.661568874507683","-10.00770514363943","-10.00770514363943","-10.00770514363943","-10.397622377453867","-10.397622377453867","-10.397622377453867","-7.2171300585511675","-7.2171300585511675","-7.2171300585511675","-9.776919009376702","-9.776919009376702","-9.776919009376702","-13.55785850458843","-13.55785850458843","-13.55785850458843","-11.508207324287477","-11.508207324287477","-11.508207324287477","-14.906624656211216","-14.906624656211216","-14.906624656211216","-9.638877175587385","-9.638877175587385","-9.638877175587385"
"1000","-9.941806426746265","-9.941806426746265","-9.941806426746265","-7.672963435231601","-7.672963435231601","-7.672963435231601","-10.221164658823573","-10.221164658823573","-10.221164658823573","-9.115028119696335","-9.115028119696335","-9.115028119696335","-11.589473980558719","-11.589473980558719","-11.589473980558719","-10.033513782115483","-10.033513782115483","-10.033513782115483","-10.07958464212241","-10.07958464212241","-10.07958464212241","-12.371034217848592","-12.371034217848592","-12.371034217848592","-8.167563599142227","-8.167563599142227","-8.167563599142227","-8.069456535516712","-8.069456535516712","-8.069456535516712","-6.944545442339839","-6.944545442339839","-6.944545442339839","-11.584565872220598","-11.584565872220598","-11.584565872220598","-10.00770514363943","-10.00770514363943","-10.00770514363943","-10.397622377453867","-10.397622377453867","-10.397622377453867","-7.2171300585511675","-7.2171300585511675","-7.2171300585511675","-8.543199380437297","-8.543199380437297","-8.543199380437297","-13.55785850458843","-13.55785850458843","-13.55785850458843","-10.64807644250733","-10.64807644250733","-10.64807644250733","-14.906624656211216","-14.906624656211216","-14.906624656211216","-9.638877175587385","-9.638877175587385","-9.638877175587385"
"1500","-9.007151829790624","-9.007151829790624","-9.007151829790624","-6.696551306928936","-6.696551306928936","-6.696551306928936","-17.19634279788455","-17.19634279788455","-17.19634279788455","-8.532582633620265","-8.532582633620265","-8.532582633620265","-18.775249729750776","-18.775249729750776","-18.775249729750776","-13.00243076205301","-13.00243076205301","-13.00243076205301","-11.991038335156853","-11.991038335156853","-11.991038335156853","-12.10764964298083","-12.10764964298083","-12.10764964298083","-15.094842946951806","-15.094842946951806","-15.094842946951806","-10.377790715811972","-10.377790715811972","-10.377790715811972","-16.07355324466417","-16.07355324466417","-16.07355324466417","-7.8614804970511045","-7.8614804970511045","-7.8614804970511045","-13.0392057984915","-13.0392057984915","-13.0392057984915","-21.701540055637054","-21.701540055637054","-21.701540055637054","-26.116264378054872","-26.116264378054872","-26.116264378054872","-18.7664285088486","-18.7664285088486","-18.7664285088486","-16.53098244863005","-16.53098244863005","-16.53098244863005","-9.775432484495541","-9.775432484495541","-9.775432484495541","-10.365634423231926","-10.365634423231926","-10.365634423231926","-19.993343429226478","-19.993343429226478","-19.993343429226478"
"2000","-10.317255594520981","-10.317255594520981","-10.317255594520981","-7.267456859125327","-7.267456859125327","-7.267456859125327","-11.259284680010904","-11.259284680010904","-11.259284680010904","-5.9843542981156315","-5.9843542981156315","-5.9843542981156315","-12.705183489632706","-12.705183489632706","-12.705183489632706","-7.939982291720746","-7.939982291720746","-7.939982291720746","-16.5063410321063","-16.5063410321063","-16.5063410321063","-14.385191944839999","-14.385191944839999","-14.385191944839999","-16.939223894037347","-16.939223894037347","-16.939223894037347","-9.457465346459845","-9.457465346459845","-9.457465346459845","-13.712173985018017","-13.712173985018017","-13.712173985018017","-8.673724703386721","-8.673724703386721","-8.673724703386721","-10.696931940105946","-10.696931940105946","-10.696931940105946","-19.297723649341076","-19.297723649341076","-19.297723649341076","-11.000737649358694","-11.000737649358694","-11.000737649358694","-7.84063954838162","-7.84063954838162","-7.84063954838162","-7.514939734327622","-7.514939734327622","-7.514939734327622","-12.874381273655436","-12.874381273655436","-12.874381273655436","-11.592986736338904","-11.592986736338904","-11.592986736338904","-21.61328333124879","-21.61328333124879","-21.61328333124879"
"2500","-8.608403205026928","-8.608403205026928","-8.608403205026928","-8.030409327334729","-8.030409327334729","-8.030409327334729","-7.702128195375773","-7.702128195375773","-7.702128195375773","-7.038083306293136","-7.038083306293136","-7.038083306293136","-9.918291349156611","-9.918291349156611","-9.918291349156611","-9.332787283547018","-9.332787283547018","-9.332787283547018","-23.433484290286017","-23.433484290286017","-23.433484290286017","-12.917578675686954","-12.917578675686954","-12.917578675686954","-9.804318008435027","-9.804318008435027","-9.804318008435027","-9.294862784053278","-9.294862784053278","-9.294862784053278","-12.68478397623613","-12.68478397623613","-12.68478397623613","-15.382196701472111","-15.382196701472111","-15.382196701472111","-9.583094610089082","-9.583094610089082","-9.583094610089082","-7.317598646081765","-7.317598646081765","-7.317598646081765","-7.414457447532574","-7.414457447532574","-7.414457447532574","-14.482596036108594","-14.482596036108594","-14.482596036108594","-6.917594363065416","-6.917594363065416","-6.917594363065416","-12.843726005909144","-12.843726005909144","-12.843726005909144","-7.664152740223358","-7.664152740223358","-7.664152740223358","-13.79970514893532","-13.79970514893532","-13.79970514893532"
"3000","-9.157247514326917","-9.157247514326917","-9.157247514326917","-12.733645330941458","-12.733645330941458","-12.733645330941458","-11.840220807312804","-11.840220807312804","-11.840220807312804","-6.948781996500271","-6.948781996500271","-6.948781996500271","-12.497272552223228","-12.497272552223228","-12.497272552223228","-9.689315171341784","-9.689315171341784","-9.689315171341784","-13.661170358148194","-13.661170358148194","-13.661170358148194","-14.646073998863574","-14.646073998863574","-14.646073998863574","-6.997911179463553","-6.997911179463553","-6.997911179463553","-6.666491427537669","-6.666491427537669","-6.666491427537669","-11.721099065232773","-11.721099065232773","-11.721099065232773","-11.435730589238974","-11.435730589238974","-11.435730589238974","-14.009129728421797","-14.009129728421797","-14.009129728421797","-6.533431951563026","-6.533431951563026","-6.533431951563026","-7.053199884372008","-7.053199884372008","-7.053199884372008","-9.222769320945847","-9.222769320945847","-9.222769320945847","-7.235886917944605","-7.235886917944605","-7.235886917944605","-11.200887265232703","-11.200887265232703","-11.200887265232703","-7.794032236885558","-7.794032236885558","-7.794032236885558","-10.241537716647514","-10.241537716647514","-10.241537716647514"
"3500","-9.637562904162753","-9.637562904162753","-9.637562904162753","-9.52830489925837","-9.52830489925837","-9.52830489925837","-7.565031775584762","-7.565031775584762","-7.565031775584762","-8.147616159278071","-8.147616159278071","-8.147616159278071","-20.544100677465707","-20.544100677465707","-20.544100677465707","-6.749727540523483","-6.749727540523483","-6.749727540523483","-10.172433922997815","-10.172433922997815","-10.172433922997815","-8.144220109371727","-8.144220109371727","-8.144220109371727","-8.005565544225131","-8.005565544225131","-8.005565544225131","-8.670741098176652","-8.670741098176652","-8.670741098176652","-13.466919125657398","-13.466919125657398","-13.466919125657398","-8.292154839522663","-8.292154839522663","-8.292154839522663","-6.031660202664422","-6.031660202664422","-6.031660202664422","-9.86107312105547","-9.86107312105547","-9.86107312105547","-9.850461518761373","-9.850461518761373","-9.850461518761373","-9.28580433658521","-9.28580433658521","-9.28580433658521","-10.104795779054012","-10.104795779054012","-10.104795779054012","-8.836532000589617","-8.836532000589617","-8.836532000589617","-10.85965955562931","-10.85965955562931","-10.85965955562931","-15.125719402196722","-15.125719402196722","-15.125719402196722"
"4000","-9.417487230680369","-9.417487230680369","-9.417487230680369","-12.264096894468665","-12.264096894468665","-12.264096894468665","-7.876098326664658","-7.876098326664658","-7.876098326664658","-11.46430263436021","-11.46430263436021","-11.46430263436021","-6.426436966283845","-6.426436966283845","-6.426436966283845","-7.307395487725597","-7.307395487725597","-7.307395487725597","-8.982753341465898","-8.982753341465898","-8.982753341465898","-9.222761419355665","-9.222761419355665","-9.222761419355665","-11.474511717520883","-11.474511717520883","-11.474511717520883","-6.973747894653644","-6.973747894653644","-6.973747894653644","-9.362147353958873","-9.362147353958873","-9.362147353958873","-9.62831304336133","-9.62831304336133","-9.62831304336133","-7.13383168355878","-7.13383168355878","-7.13383168355878","-6.551207304331484","-6.551207304331484","-6.551207304331484","-7.314899191431039","-7.314899191431039","-7.314899191431039","-5.849726483008084","-5.849726483008084","-5.849726483008084","-7.903836274034662","-7.903836274034662","-7.903836274034662","-6.568775188652834","-6.568775188652834","-6.568775188652834","-18.68643790378936","-18.68643790378936","-18.68643790378936","-15.286144352841154","-15.286144352841154","-15.286144352841154"
"4500","-10.308429696091144","-10.308429696091144","-10.308429696091144","-12.56757678339783","-12.56757678339783","-12.56757678339783","-11.255229930207136","-11.255229930207136","-11.255229930207136","-14.454361057877065","-14.454361057877065","-14.454361057877065","-7.210784725541427","-7.210784725541427","-7.210784725541427","-5.513353971733531","-5.513353971733531","-5.513353971733531","-11.399202999649305","-11.399202999649305","-11.399202999649305","-30.815703650880106","-30.815703650880106","-30.815703650880106","-7.971347368989089","-7.971347368989089","-7.971347368989089","-7.569513892778694","-7.569513892778694","-7.569513892778694","-7.837536930559435","-7.837536930559435","-7.837536930559435","-6.004335233986611","-6.004335233986611","-6.004335233986611","-6.214089328912962","-6.214089328912962","-6.214089328912962","-5.685455770228072","-5.685455770228072","-5.685455770228072","-6.834109554995988","-6.834109554995988","-6.834109554995988","-4.780413345722972","-4.780413345722972","-4.780413345722972","-8.686337993822011","-8.686337993822011","-8.686337993822011","-9.365599824243867","-9.365599824243867","-9.365599824243867","-9.376721231781723","-9.376721231781723","-9.376721231781723","-8.721036757542773","-8.721036757542773","-8.721036757542773"
