"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.194310233025089","-10.194310233025089","-10.194310233025089","-6.431590333339239","-6.431590333339239","-6.431590333339239","-10.413339356086492","-10.413339356086492","-10.413339356086492","-13.934925193751543","-13.934925193751543","-13.934925193751543","-6.747667445890594","-6.747667445890594","-6.747667445890594","-9.018317770819227","-9.018317770819227","-9.018317770819227","-7.55756903767877","-7.55756903767877","-7.55756903767877","-7.8196747967321425","-7.8196747967321425","-7.8196747967321425","-9.37557693739148","-9.37557693739148","-9.37557693739148","-8.740126210497914","-8.740126210497914","-8.740126210497914","-18.389791910644913","-18.389791910644913","-18.389791910644913","-6.785092667271307","-6.785092667271307","-6.785092667271307","-11.153577886572545","-11.153577886572545","-11.153577886572545","-8.425178141920162","-8.425178141920162","-8.425178141920162","-9.869553051899654","-9.869553051899654","-9.869553051899654","-10.14956988773546","-10.14956988773546","-10.14956988773546","-7.877434870211326","-7.877434870211326","-7.877434870211326","-11.145132858761531","-11.145132858761531","-11.145132858761531","-10.2024648780856","-10.2024648780856","-10.2024648780856"
"500","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.194310233025089","-10.194310233025089","-10.194310233025089","-6.431590333339239","-6.431590333339239","-6.431590333339239","-10.413339356086492","-10.413339356086492","-10.413339356086492","-13.934925193751543","-13.934925193751543","-13.934925193751543","-6.747667445890594","-6.747667445890594","-6.747667445890594","-9.018317770819227","-9.018317770819227","-9.018317770819227","-7.55756903767877","-7.55756903767877","-7.55756903767877","-7.8196747967321425","-7.8196747967321425","-7.8196747967321425","-9.37557693739148","-9.37557693739148","-9.37557693739148","-8.740126210497914","-8.740126210497914","-8.740126210497914","-18.389791910644913","-18.389791910644913","-18.389791910644913","-6.785092667271307","-6.785092667271307","-6.785092667271307","-11.153577886572545","-11.153577886572545","-11.153577886572545","-8.425178141920162","-8.425178141920162","-8.425178141920162","-9.869553051899654","-9.869553051899654","-9.869553051899654","-10.14956988773546","-10.14956988773546","-10.14956988773546","-7.877434870211326","-7.877434870211326","-7.877434870211326","-11.145132858761531","-11.145132858761531","-11.145132858761531","-10.2024648780856","-10.2024648780856","-10.2024648780856"
"1000","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.095059318363553","-10.095059318363553","-10.095059318363553","-6.431590333339239","-6.431590333339239","-6.431590333339239","-10.413339356086492","-10.413339356086492","-10.413339356086492","-14.556809962818932","-14.556809962818932","-14.556809962818932","-6.747667445890594","-6.747667445890594","-6.747667445890594","-9.018317770819227","-9.018317770819227","-9.018317770819227","-8.244928014355876","-8.244928014355876","-8.244928014355876","-7.8196747967321425","-7.8196747967321425","-7.8196747967321425","-9.37557693739148","-9.37557693739148","-9.37557693739148","-9.011092586816897","-9.011092586816897","-9.011092586816897","-18.389791910644913","-18.389791910644913","-18.389791910644913","-6.785092667271307","-6.785092667271307","-6.785092667271307","-11.153577886572545","-11.153577886572545","-11.153577886572545","-8.100925691529591","-8.100925691529591","-8.100925691529591","-9.869553051899654","-9.869553051899654","-9.869553051899654","-10.14956988773546","-10.14956988773546","-10.14956988773546","-7.877434870211326","-7.877434870211326","-7.877434870211326","-10.827068614398494","-10.827068614398494","-10.827068614398494","-9.492008993656295","-9.492008993656295","-9.492008993656295"
"1500","-9.124173901727788","-9.124173901727788","-9.124173901727788","-20.81504018302203","-20.81504018302203","-20.81504018302203","-12.440401621381117","-12.440401621381117","-12.440401621381117","-17.306092115582235","-17.306092115582235","-17.306092115582235","-18.735821138925854","-18.735821138925854","-18.735821138925854","-12.673212318185357","-12.673212318185357","-12.673212318185357","-48.92742339959162","-48.92742339959162","-48.92742339959162","-6.765493985370514","-6.765493985370514","-6.765493985370514","-12.051416412100677","-12.051416412100677","-12.051416412100677","-9.386394079844822","-9.386394079844822","-9.386394079844822","-10.499343577657143","-10.499343577657143","-10.499343577657143","-7.944007708920883","-7.944007708920883","-7.944007708920883","-13.550210570500914","-13.550210570500914","-13.550210570500914","-12.739628718842818","-12.739628718842818","-12.739628718842818","-20.733959901199807","-20.733959901199807","-20.733959901199807","-16.05063672979743","-16.05063672979743","-16.05063672979743","-11.234603197882745","-11.234603197882745","-11.234603197882745","-12.762501109608937","-12.762501109608937","-12.762501109608937","-10.520790877874953","-10.520790877874953","-10.520790877874953","-13.040947818576132","-13.040947818576132","-13.040947818576132"
"2000","-12.046956610895359","-12.046956610895359","-12.046956610895359","-12.133600161080029","-12.133600161080029","-12.133600161080029","-25.095571305335493","-25.095571305335493","-25.095571305335493","-13.202263072407664","-13.202263072407664","-13.202263072407664","-14.64645365764325","-14.64645365764325","-14.64645365764325","-9.383311678637194","-9.383311678637194","-9.383311678637194","-20.311599106101905","-20.311599106101905","-20.311599106101905","-12.923971354098578","-12.923971354098578","-12.923971354098578","-13.74008300121459","-13.74008300121459","-13.74008300121459","-14.683749340156572","-14.683749340156572","-14.683749340156572","-10.930639415100917","-10.930639415100917","-10.930639415100917","-7.546968438890493","-7.546968438890493","-7.546968438890493","-10.843549406804224","-10.843549406804224","-10.843549406804224","-17.760044024674123","-17.760044024674123","-17.760044024674123","-14.799830055724593","-14.799830055724593","-14.799830055724593","-14.460573782189268","-14.460573782189268","-14.460573782189268","-20.28823254617845","-20.28823254617845","-20.28823254617845","-26.709256436280647","-26.709256436280647","-26.709256436280647","-10.260975811628015","-10.260975811628015","-10.260975811628015","-7.172103325622194","-7.172103325622194","-7.172103325622194"
"2500","-11.988879760684782","-11.988879760684782","-11.988879760684782","-13.918914616104946","-13.918914616104946","-13.918914616104946","-18.446470989977005","-18.446470989977005","-18.446470989977005","-11.814543059027919","-11.814543059027919","-11.814543059027919","-7.002260308141968","-7.002260308141968","-7.002260308141968","-9.593457692362154","-9.593457692362154","-9.593457692362154","-26.96188108553803","-26.96188108553803","-26.96188108553803","-7.924762338889787","-7.924762338889787","-7.924762338889787","-6.807547034497392","-6.807547034497392","-6.807547034497392","-8.040969784999687","-8.040969784999687","-8.040969784999687","-11.036746219077006","-11.036746219077006","-11.036746219077006","-11.86415431871821","-11.86415431871821","-11.86415431871821","-10.925972670608774","-10.925972670608774","-10.925972670608774","-14.914471758662543","-14.914471758662543","-14.914471758662543","-11.98806247819817","-11.98806247819817","-11.98806247819817","-11.408148131575981","-11.408148131575981","-11.408148131575981","-7.209901955166705","-7.209901955166705","-7.209901955166705","-10.747539956292844","-10.747539956292844","-10.747539956292844","-8.105162584980064","-8.105162584980064","-8.105162584980064","-9.16614234009272","-9.16614234009272","-9.16614234009272"
"3000","-11.134066420481807","-11.134066420481807","-11.134066420481807","-14.551951815268788","-14.551951815268788","-14.551951815268788","-13.668976483597735","-13.668976483597735","-13.668976483597735","-9.182353966121356","-9.182353966121356","-9.182353966121356","-7.259243083500786","-7.259243083500786","-7.259243083500786","-10.68424931193993","-10.68424931193993","-10.68424931193993","-19.66166118849392","-19.66166118849392","-19.66166118849392","-7.951849984265991","-7.951849984265991","-7.951849984265991","-22.22391184102677","-22.22391184102677","-22.22391184102677","-10.35749522972708","-10.35749522972708","-10.35749522972708","-10.364212347415553","-10.364212347415553","-10.364212347415553","-12.544349570410573","-12.544349570410573","-12.544349570410573","-10.14403369051622","-10.14403369051622","-10.14403369051622","-9.396776731360278","-9.396776731360278","-9.396776731360278","-16.227703278667445","-16.227703278667445","-16.227703278667445","-9.925856915020528","-9.925856915020528","-9.925856915020528","-8.517178828813718","-8.517178828813718","-8.517178828813718","-10.57129136434614","-10.57129136434614","-10.57129136434614","-7.001266733435895","-7.001266733435895","-7.001266733435895","-13.4582220469286","-13.4582220469286","-13.4582220469286"
"3500","-8.89955030717695","-8.89955030717695","-8.89955030717695","-14.636027109151579","-14.636027109151579","-14.636027109151579","-7.629009932926584","-7.629009932926584","-7.629009932926584","-11.00082240639092","-11.00082240639092","-11.00082240639092","-7.343489442199491","-7.343489442199491","-7.343489442199491","-6.7826147603449725","-6.7826147603449725","-6.7826147603449725","-19.256994567134008","-19.256994567134008","-19.256994567134008","-10.744053123769536","-10.744053123769536","-10.744053123769536","-11.976073788941124","-11.976073788941124","-11.976073788941124","-10.25979137486066","-10.25979137486066","-10.25979137486066","-11.203047354811503","-11.203047354811503","-11.203047354811503","-13.642257522359841","-13.642257522359841","-13.642257522359841","-12.478670054782267","-12.478670054782267","-12.478670054782267","-13.779455644593725","-13.779455644593725","-13.779455644593725","-6.622883779704116","-6.622883779704116","-6.622883779704116","-5.9053141194481995","-5.9053141194481995","-5.9053141194481995","-8.178003817285452","-8.178003817285452","-8.178003817285452","-7.726129836377718","-7.726129836377718","-7.726129836377718","-26.3410693789304","-26.3410693789304","-26.3410693789304","-37.314197826969846","-37.314197826969846","-37.314197826969846"
"4000","-8.67219657183853","-8.67219657183853","-8.67219657183853","-6.387124390684721","-6.387124390684721","-6.387124390684721","-11.062965552227986","-11.062965552227986","-11.062965552227986","-9.155829674559623","-9.155829674559623","-9.155829674559623","-10.946660507523085","-10.946660507523085","-10.946660507523085","-6.65009464304657","-6.65009464304657","-6.65009464304657","-16.20999072984941","-16.20999072984941","-16.20999072984941","-10.785949764664295","-10.785949764664295","-10.785949764664295","-8.739234918561428","-8.739234918561428","-8.739234918561428","-7.676449138847128","-7.676449138847128","-7.676449138847128","-6.892945041371327","-6.892945041371327","-6.892945041371327","-9.281675534846332","-9.281675534846332","-9.281675534846332","-19.490576855891472","-19.490576855891472","-19.490576855891472","-12.791193226734299","-12.791193226734299","-12.791193226734299","-11.074179575472542","-11.074179575472542","-11.074179575472542","-6.907866741361596","-6.907866741361596","-6.907866741361596","-8.939238168618605","-8.939238168618605","-8.939238168618605","-6.504220594452522","-6.504220594452522","-6.504220594452522","-9.355811142831701","-9.355811142831701","-9.355811142831701","-20.702058008928468","-20.702058008928468","-20.702058008928468"
"4500","-12.98180548826004","-12.98180548826004","-12.98180548826004","-10.991086451861474","-10.991086451861474","-10.991086451861474","-6.907281744598168","-6.907281744598168","-6.907281744598168","-13.687917672669528","-13.687917672669528","-13.687917672669528","-7.658447803333329","-7.658447803333329","-7.658447803333329","-7.531193479739786","-7.531193479739786","-7.531193479739786","-10.358786532535063","-10.358786532535063","-10.358786532535063","-9.907719390892918","-9.907719390892918","-9.907719390892918","-6.6406750268377905","-6.6406750268377905","-6.6406750268377905","-9.953394284862751","-9.953394284862751","-9.953394284862751","-18.58037668668009","-18.58037668668009","-18.58037668668009","-9.268668038016092","-9.268668038016092","-9.268668038016092","-10.029209596272327","-10.029209596272327","-10.029209596272327","-8.458416481093344","-8.458416481093344","-8.458416481093344","-8.63670136177238","-8.63670136177238","-8.63670136177238","-8.471201730801692","-8.471201730801692","-8.471201730801692","-8.689689071182679","-8.689689071182679","-8.689689071182679","-4.759672543123406","-4.759672543123406","-4.759672543123406","-7.517084551586665","-7.517084551586665","-7.517084551586665","-9.446206521591225","-9.446206521591225","-9.446206521591225"
