"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.506740930709523","-13.506740930709523","-13.506740930709523","-9.909353362985037","-9.909353362985037","-9.909353362985037","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.161208216640231","-12.161208216640231","-12.161208216640231","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.611463308101854","-10.611463308101854","-10.611463308101854","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-9.52877717967168","-9.52877717967168","-9.52877717967168","-9.781758565396823","-9.781758565396823","-9.781758565396823","-11.861470110449568","-11.861470110449568","-11.861470110449568","-15.946833114553115","-15.946833114553115","-15.946833114553115","-20.079668357362994","-20.079668357362994","-20.079668357362994","-13.110000269937785","-13.110000269937785","-13.110000269937785","-9.009083928829172","-9.009083928829172","-9.009083928829172","-8.51896180820763","-8.51896180820763","-8.51896180820763","-35.021211588212665","-35.021211588212665","-35.021211588212665","-19.002496395118964","-19.002496395118964","-19.002496395118964","-21.547772981964087","-21.547772981964087","-21.547772981964087","-10.757060288948116","-10.757060288948116","-10.757060288948116","-13.869015326284455","-13.869015326284455","-13.869015326284455","-12.668759139661827","-12.668759139661827","-12.668759139661827","-23.47838507953813","-23.47838507953813","-23.47838507953813","-11.273832950382014","-11.273832950382014","-11.273832950382014","-10.090830229094426","-10.090830229094426","-10.090830229094426","-40.51866553087255","-40.51866553087255","-40.51866553087255","-11.855032112104283","-11.855032112104283","-11.855032112104283","-7.4951390960434825","-7.4951390960434825","-7.4951390960434825"
"2000","-12.898683954485017","-12.898683954485017","-12.898683954485017","-26.30733754523404","-26.30733754523404","-26.30733754523404","-15.467050464806912","-15.467050464806912","-15.467050464806912","-16.143771233749504","-16.143771233749504","-16.143771233749504","-11.321717220094417","-11.321717220094417","-11.321717220094417","-14.973726622702719","-14.973726622702719","-14.973726622702719","-8.271560159715502","-8.271560159715502","-8.271560159715502","-12.138411977396489","-12.138411977396489","-12.138411977396489","-9.303248397804492","-9.303248397804492","-9.303248397804492","-18.97387298231722","-18.97387298231722","-18.97387298231722","-18.03074788835365","-18.03074788835365","-18.03074788835365","-11.415963411416993","-11.415963411416993","-11.415963411416993","-15.972187032296123","-15.972187032296123","-15.972187032296123","-11.610170656892347","-11.610170656892347","-11.610170656892347","-23.3967040640478","-23.3967040640478","-23.3967040640478","-9.211625382977061","-9.211625382977061","-9.211625382977061","-10.669845219727645","-10.669845219727645","-10.669845219727645","-15.596674210133008","-15.596674210133008","-15.596674210133008","-49.93551152485851","-49.93551152485851","-49.93551152485851","-5.955138743907016","-5.955138743907016","-5.955138743907016"
"2500","-21.345647925580487","-21.345647925580487","-21.345647925580487","-14.270806797138738","-14.270806797138738","-14.270806797138738","-13.792055600792475","-13.792055600792475","-13.792055600792475","-13.780660361278482","-13.780660361278482","-13.780660361278482","-7.829608843485029","-7.829608843485029","-7.829608843485029","-19.53170877092661","-19.53170877092661","-19.53170877092661","-8.014168803433003","-8.014168803433003","-8.014168803433003","-16.63666321101832","-16.63666321101832","-16.63666321101832","-17.377412600894242","-17.377412600894242","-17.377412600894242","-14.95049367512895","-14.95049367512895","-14.95049367512895","-15.402278416657243","-15.402278416657243","-15.402278416657243","-10.344274414609377","-10.344274414609377","-10.344274414609377","-11.902381990351802","-11.902381990351802","-11.902381990351802","-8.193320902830678","-8.193320902830678","-8.193320902830678","-25.541463949101075","-25.541463949101075","-25.541463949101075","-8.018263845478256","-8.018263845478256","-8.018263845478256","-18.907240620256086","-18.907240620256086","-18.907240620256086","-15.543361199018147","-15.543361199018147","-15.543361199018147","-11.551370070253233","-11.551370070253233","-11.551370070253233","-9.092135527187512","-9.092135527187512","-9.092135527187512"
"3000","-10.41994623115453","-10.41994623115453","-10.41994623115453","-7.157301103419203","-7.157301103419203","-7.157301103419203","-17.360003052264084","-17.360003052264084","-17.360003052264084","-9.225029092574948","-9.225029092574948","-9.225029092574948","-10.066808085402851","-10.066808085402851","-10.066808085402851","-8.864429421537256","-8.864429421537256","-8.864429421537256","-10.341465577519935","-10.341465577519935","-10.341465577519935","-11.008000206962176","-11.008000206962176","-11.008000206962176","-10.067359425866238","-10.067359425866238","-10.067359425866238","-14.647014974887691","-14.647014974887691","-14.647014974887691","-29.269946069408626","-29.269946069408626","-29.269946069408626","-6.788390834206595","-6.788390834206595","-6.788390834206595","-11.409113994804086","-11.409113994804086","-11.409113994804086","-7.42401553069911","-7.42401553069911","-7.42401553069911","-24.20894803305844","-24.20894803305844","-24.20894803305844","-8.820753311238025","-8.820753311238025","-8.820753311238025","-22.07713699842413","-22.07713699842413","-22.07713699842413","-10.968042529845189","-10.968042529845189","-10.968042529845189","-34.32746297618812","-34.32746297618812","-34.32746297618812","-6.603767703044822","-6.603767703044822","-6.603767703044822"
"3500","-11.17844422028638","-11.17844422028638","-11.17844422028638","-7.934395774828007","-7.934395774828007","-7.934395774828007","-29.574021482661472","-29.574021482661472","-29.574021482661472","-9.906122145259568","-9.906122145259568","-9.906122145259568","-9.885030817138485","-9.885030817138485","-9.885030817138485","-11.652975650069429","-11.652975650069429","-11.652975650069429","-11.26647435155137","-11.26647435155137","-11.26647435155137","-14.283471853376193","-14.283471853376193","-14.283471853376193","-11.69695186447213","-11.69695186447213","-11.69695186447213","-11.878101684412751","-11.878101684412751","-11.878101684412751","-19.580422605405815","-19.580422605405815","-19.580422605405815","-7.608812616048324","-7.608812616048324","-7.608812616048324","-9.396786737021152","-9.396786737021152","-9.396786737021152","-7.6611409764055285","-7.6611409764055285","-7.6611409764055285","-27.414617670091427","-27.414617670091427","-27.414617670091427","-8.789222287004858","-8.789222287004858","-8.789222287004858","-7.968445709771196","-7.968445709771196","-7.968445709771196","-14.080146881414226","-14.080146881414226","-14.080146881414226","-10.311535322457697","-10.311535322457697","-10.311535322457697","-9.22059274801882","-9.22059274801882","-9.22059274801882"
"4000","-7.198178144018163","-7.198178144018163","-7.198178144018163","-5.912996470481231","-5.912996470481231","-5.912996470481231","-14.109706928879913","-14.109706928879913","-14.109706928879913","-9.087202164257365","-9.087202164257365","-9.087202164257365","-7.296538168753473","-7.296538168753473","-7.296538168753473","-10.754579771507641","-10.754579771507641","-10.754579771507641","-5.168294764937594","-5.168294764937594","-5.168294764937594","-13.574582352282516","-13.574582352282516","-13.574582352282516","-9.19121380820775","-9.19121380820775","-9.19121380820775","-7.85574429884917","-7.85574429884917","-7.85574429884917","-11.6219193015078","-11.6219193015078","-11.6219193015078","-8.19451164357911","-8.19451164357911","-8.19451164357911","-10.108870221775252","-10.108870221775252","-10.108870221775252","-8.137467134080056","-8.137467134080056","-8.137467134080056","-12.391314718460047","-12.391314718460047","-12.391314718460047","-7.6380217410731985","-7.6380217410731985","-7.6380217410731985","-10.67229593093516","-10.67229593093516","-10.67229593093516","-10.163476358632527","-10.163476358632527","-10.163476358632527","-7.467134354152288","-7.467134354152288","-7.467134354152288","-5.628252437945691","-5.628252437945691","-5.628252437945691"
"4500","-10.335815633480372","-10.335815633480372","-10.335815633480372","-5.570370508466063","-5.570370508466063","-5.570370508466063","-13.218857548642603","-13.218857548642603","-13.218857548642603","-8.875791586083691","-8.875791586083691","-8.875791586083691","-6.3611979543973565","-6.3611979543973565","-6.3611979543973565","-9.901405740298573","-9.901405740298573","-9.901405740298573","-5.38307576628006","-5.38307576628006","-5.38307576628006","-9.025609342050778","-9.025609342050778","-9.025609342050778","-10.135152061422692","-10.135152061422692","-10.135152061422692","-20.641033355025964","-20.641033355025964","-20.641033355025964","-10.863196185794923","-10.863196185794923","-10.863196185794923","-6.113772058284421","-6.113772058284421","-6.113772058284421","-5.458389091010109","-5.458389091010109","-5.458389091010109","-6.722925902662844","-6.722925902662844","-6.722925902662844","-8.553687349696549","-8.553687349696549","-8.553687349696549","-5.956461646247033","-5.956461646247033","-5.956461646247033","-6.410007004750447","-6.410007004750447","-6.410007004750447","-8.905725454122237","-8.905725454122237","-8.905725454122237","-8.400820626761632","-8.400820626761632","-8.400820626761632","-8.394723320560917","-8.394723320560917","-8.394723320560917"
