"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.37066626437785","-13.37066626437785","-13.37066626437785","-9.66505393462126","-9.66505393462126","-9.66505393462126","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.129116027636176","-12.129116027636176","-12.129116027636176","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.855659300187266","-10.855659300187266","-10.855659300187266","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-8.639572563006464","-8.639572563006464","-8.639572563006464","-8.99618300870393","-8.99618300870393","-8.99618300870393","-25.789538474037386","-25.789538474037386","-25.789538474037386","-11.186198757545451","-11.186198757545451","-11.186198757545451","-9.972071192618316","-9.972071192618316","-9.972071192618316","-15.418487047106774","-15.418487047106774","-15.418487047106774","-14.92559472556809","-14.92559472556809","-14.92559472556809","-13.145103927081541","-13.145103927081541","-13.145103927081541","-12.514330863682174","-12.514330863682174","-12.514330863682174","-15.70484138749389","-15.70484138749389","-15.70484138749389","-10.910433469627142","-10.910433469627142","-10.910433469627142","-40.42185814887794","-40.42185814887794","-40.42185814887794","-25.225672311886342","-25.225672311886342","-25.225672311886342","-16.907129680169977","-16.907129680169977","-16.907129680169977","-33.10865716583","-33.10865716583","-33.10865716583","-13.18340295947078","-13.18340295947078","-13.18340295947078","-27.648470165936537","-27.648470165936537","-27.648470165936537","-15.01934998526327","-15.01934998526327","-15.01934998526327","-13.49545317726513","-13.49545317726513","-13.49545317726513","-7.949134354723005","-7.949134354723005","-7.949134354723005"
"2000","-16.4714303260362","-16.4714303260362","-16.4714303260362","-17.049553173509018","-17.049553173509018","-17.049553173509018","-22.70839281734278","-22.70839281734278","-22.70839281734278","-20.840091947070153","-20.840091947070153","-20.840091947070153","-9.859299694522687","-9.859299694522687","-9.859299694522687","-9.520464415998788","-9.520464415998788","-9.520464415998788","-20.624496736081873","-20.624496736081873","-20.624496736081873","-13.772105287406912","-13.772105287406912","-13.772105287406912","-35.22968259960478","-35.22968259960478","-35.22968259960478","-12.797992524848762","-12.797992524848762","-12.797992524848762","-10.073603746545597","-10.073603746545597","-10.073603746545597","-14.18745915009672","-14.18745915009672","-14.18745915009672","-17.45669259689044","-17.45669259689044","-17.45669259689044","-14.283719914064198","-14.283719914064198","-14.283719914064198","-16.986521096482686","-16.986521096482686","-16.986521096482686","-11.199723208304386","-11.199723208304386","-11.199723208304386","-31.168943003791632","-31.168943003791632","-31.168943003791632","-29.54689880253526","-29.54689880253526","-29.54689880253526","-21.047198377606595","-21.047198377606595","-21.047198377606595","-15.589335615535214","-15.589335615535214","-15.589335615535214"
"2500","-12.58692063224881","-12.58692063224881","-12.58692063224881","-11.068414113024847","-11.068414113024847","-11.068414113024847","-10.417625441488322","-10.417625441488322","-10.417625441488322","-9.312938992917626","-9.312938992917626","-9.312938992917626","-8.877542757173755","-8.877542757173755","-8.877542757173755","-14.617012807655595","-14.617012807655595","-14.617012807655595","-9.399817418381735","-9.399817418381735","-9.399817418381735","-11.99488070665495","-11.99488070665495","-11.99488070665495","-27.835413540720243","-27.835413540720243","-27.835413540720243","-9.98310621137163","-9.98310621137163","-9.98310621137163","-10.912078573513902","-10.912078573513902","-10.912078573513902","-13.79771936743739","-13.79771936743739","-13.79771936743739","-11.329449226325714","-11.329449226325714","-11.329449226325714","-15.196201800067763","-15.196201800067763","-15.196201800067763","-11.474010290462278","-11.474010290462278","-11.474010290462278","-6.392399241732361","-6.392399241732361","-6.392399241732361","-27.360053334049997","-27.360053334049997","-27.360053334049997","-12.886592835527477","-12.886592835527477","-12.886592835527477","-7.4476859507228665","-7.4476859507228665","-7.4476859507228665","-11.634303775471274","-11.634303775471274","-11.634303775471274"
"3000","-14.546144752986288","-14.546144752986288","-14.546144752986288","-8.803142987821035","-8.803142987821035","-8.803142987821035","-12.103739807554492","-12.103739807554492","-12.103739807554492","-10.187722629189235","-10.187722629189235","-10.187722629189235","-11.555780108624178","-11.555780108624178","-11.555780108624178","-18.31272665659784","-18.31272665659784","-18.31272665659784","-12.60706159689691","-12.60706159689691","-12.60706159689691","-11.744064336428583","-11.744064336428583","-11.744064336428583","-9.540161348488502","-9.540161348488502","-9.540161348488502","-10.610214932858035","-10.610214932858035","-10.610214932858035","-15.249211794476087","-15.249211794476087","-15.249211794476087","-12.468219499499295","-12.468219499499295","-12.468219499499295","-13.418491988917406","-13.418491988917406","-13.418491988917406","-7.828189134720896","-7.828189134720896","-7.828189134720896","-11.535713551985493","-11.535713551985493","-11.535713551985493","-6.698252501321862","-6.698252501321862","-6.698252501321862","-38.19070001415948","-38.19070001415948","-38.19070001415948","-15.671481727822865","-15.671481727822865","-15.671481727822865","-8.951422537205145","-8.951422537205145","-8.951422537205145","-14.306752596510856","-14.306752596510856","-14.306752596510856"
"3500","-12.839356080146061","-12.839356080146061","-12.839356080146061","-7.495430634737123","-7.495430634737123","-7.495430634737123","-11.19521349121488","-11.19521349121488","-11.19521349121488","-8.564699095966825","-8.564699095966825","-8.564699095966825","-9.77876588434369","-9.77876588434369","-9.77876588434369","-7.303367207583276","-7.303367207583276","-7.303367207583276","-7.785266934024759","-7.785266934024759","-7.785266934024759","-10.142926841594681","-10.142926841594681","-10.142926841594681","-12.669799778256733","-12.669799778256733","-12.669799778256733","-11.71316102248877","-11.71316102248877","-11.71316102248877","-10.33794158072345","-10.33794158072345","-10.33794158072345","-7.425603941343337","-7.425603941343337","-7.425603941343337","-14.226936466993237","-14.226936466993237","-14.226936466993237","-7.647422184840442","-7.647422184840442","-7.647422184840442","-9.207473162499294","-9.207473162499294","-9.207473162499294","-6.950547218912267","-6.950547218912267","-6.950547218912267","-21.22643580035812","-21.22643580035812","-21.22643580035812","-13.59333382201115","-13.59333382201115","-13.59333382201115","-5.871292887121924","-5.871292887121924","-5.871292887121924","-8.686697678691838","-8.686697678691838","-8.686697678691838"
"4000","-7.642657817694973","-7.642657817694973","-7.642657817694973","-8.386371342608479","-8.386371342608479","-8.386371342608479","-16.23385121911768","-16.23385121911768","-16.23385121911768","-8.022976301861718","-8.022976301861718","-8.022976301861718","-8.825367903822965","-8.825367903822965","-8.825367903822965","-7.772176686607493","-7.772176686607493","-7.772176686607493","-9.18129350287151","-9.18129350287151","-9.18129350287151","-9.16897541710994","-9.16897541710994","-9.16897541710994","-9.391772027440469","-9.391772027440469","-9.391772027440469","-11.612822294467323","-11.612822294467323","-11.612822294467323","-8.188711945407183","-8.188711945407183","-8.188711945407183","-10.220746213556898","-10.220746213556898","-10.220746213556898","-11.583519648722017","-11.583519648722017","-11.583519648722017","-5.913977223316047","-5.913977223316047","-5.913977223316047","-10.180983878779728","-10.180983878779728","-10.180983878779728","-8.366623883990808","-8.366623883990808","-8.366623883990808","-20.079109899034453","-20.079109899034453","-20.079109899034453","-11.113759442594526","-11.113759442594526","-11.113759442594526","-6.444514934081494","-6.444514934081494","-6.444514934081494","-7.797049897682084","-7.797049897682084","-7.797049897682084"
"4500","-7.7431319129412275","-7.7431319129412275","-7.7431319129412275","-8.737849897258574","-8.737849897258574","-8.737849897258574","-14.277611803318838","-14.277611803318838","-14.277611803318838","-8.186358609819084","-8.186358609819084","-8.186358609819084","-8.14500696831766","-8.14500696831766","-8.14500696831766","-5.932835301801054","-5.932835301801054","-5.932835301801054","-6.894797715585218","-6.894797715585218","-6.894797715585218","-16.033312437135535","-16.033312437135535","-16.033312437135535","-9.698447393717647","-9.698447393717647","-9.698447393717647","-7.137465523254052","-7.137465523254052","-7.137465523254052","-6.790560948031773","-6.790560948031773","-6.790560948031773","-5.703461445541564","-5.703461445541564","-5.703461445541564","-10.661193722331038","-10.661193722331038","-10.661193722331038","-6.9622230768311395","-6.9622230768311395","-6.9622230768311395","-10.615541635886581","-10.615541635886581","-10.615541635886581","-6.772174769527945","-6.772174769527945","-6.772174769527945","-9.28425187988708","-9.28425187988708","-9.28425187988708","-11.557686190612264","-11.557686190612264","-11.557686190612264","-12.219900125227111","-12.219900125227111","-12.219900125227111","-8.1953536436117","-8.1953536436117","-8.1953536436117"
