"Step","DDPG_TAAC_FetchReachDense-v4_19 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_18 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_17 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_16 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_15 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_14 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_13 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_12 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_11 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_10 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_9 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_8 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_7 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_6 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_5 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_4 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_3 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_2 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_1 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_0 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-11.889328618612677","-11.889328618612677","-11.889328618612677","-16.110638275891528","-16.110638275891528","-16.110638275891528","-5.81571418579515","-5.81571418579515","-5.81571418579515","-9.005829426834616","-9.005829426834616","-9.005829426834616","-7.958046253713311","-7.958046253713311","-7.958046253713311","-8.58234733513952","-8.58234733513952","-8.58234733513952","-9.725625187189365","-9.725625187189365","-9.725625187189365","-9.034449571087503","-9.034449571087503","-9.034449571087503","-13.128062727040069","-13.128062727040069","-13.128062727040069","-9.261016570379862","-9.261016570379862","-9.261016570379862","-8.416477232152404","-8.416477232152404","-8.416477232152404","-9.078507455912607","-9.078507455912607","-9.078507455912607","-9.82775441763269","-9.82775441763269","-9.82775441763269","-10.200662438321507","-10.200662438321507","-10.200662438321507","-12.012090221184497","-12.012090221184497","-12.012090221184497","-11.220486913344237","-11.220486913344237","-11.220486913344237","-9.958549835482328","-9.958549835482328","-9.958549835482328","-12.56410356804196","-12.56410356804196","-12.56410356804196","-7.016151848412596","-7.016151848412596","-7.016151848412596","-11.347991990071794","-11.347991990071794","-11.347991990071794"
"500","-11.889328618612677","-11.889328618612677","-11.889328618612677","-16.110638275891528","-16.110638275891528","-16.110638275891528","-5.81571418579515","-5.81571418579515","-5.81571418579515","-9.005829426834616","-9.005829426834616","-9.005829426834616","-7.958046253713311","-7.958046253713311","-7.958046253713311","-8.58234733513952","-8.58234733513952","-8.58234733513952","-9.725625187189365","-9.725625187189365","-9.725625187189365","-9.034449571087503","-9.034449571087503","-9.034449571087503","-13.128062727040069","-13.128062727040069","-13.128062727040069","-9.261016570379862","-9.261016570379862","-9.261016570379862","-8.416477232152404","-8.416477232152404","-8.416477232152404","-9.078507455912607","-9.078507455912607","-9.078507455912607","-9.82775441763269","-9.82775441763269","-9.82775441763269","-10.200662438321507","-10.200662438321507","-10.200662438321507","-12.012090221184497","-12.012090221184497","-12.012090221184497","-11.220486913344237","-11.220486913344237","-11.220486913344237","-9.958549835482328","-9.958549835482328","-9.958549835482328","-12.56410356804196","-12.56410356804196","-12.56410356804196","-7.016151848412596","-7.016151848412596","-7.016151848412596","-11.347991990071794","-11.347991990071794","-11.347991990071794"
"1000","-11.902274040405942","-11.902274040405942","-11.902274040405942","-15.462947043018222","-15.462947043018222","-15.462947043018222","-7.02815705582241","-7.02815705582241","-7.02815705582241","-9.11471867776744","-9.11471867776744","-9.11471867776744","-7.716951482026884","-7.716951482026884","-7.716951482026884","-7.611727245817238","-7.611727245817238","-7.611727245817238","-9.979743548694767","-9.979743548694767","-9.979743548694767","-9.50205544787273","-9.50205544787273","-9.50205544787273","-12.461047077820757","-12.461047077820757","-12.461047077820757","-9.547841934659559","-9.547841934659559","-9.547841934659559","-8.717370489467616","-8.717370489467616","-8.717370489467616","-9.887302146842828","-9.887302146842828","-9.887302146842828","-10.274115708359824","-10.274115708359824","-10.274115708359824","-10.327885893182826","-10.327885893182826","-10.327885893182826","-11.114444794268195","-11.114444794268195","-11.114444794268195","-12.605610105183004","-12.605610105183004","-12.605610105183004","-9.135257992146986","-9.135257992146986","-9.135257992146986","-11.90136992766087","-11.90136992766087","-11.90136992766087","-7.071405741385743","-7.071405741385743","-7.071405741385743","-11.753277724790589","-11.753277724790589","-11.753277724790589"
"1500","-10.842660519127216","-10.842660519127216","-10.842660519127216","-16.097904455739705","-16.097904455739705","-16.097904455739705","-24.11860508427727","-24.11860508427727","-24.11860508427727","-20.197887507797695","-20.197887507797695","-20.197887507797695","-28.845314108200817","-28.845314108200817","-28.845314108200817","-16.646407377289247","-16.646407377289247","-16.646407377289247","-7.970574058889527","-7.970574058889527","-7.970574058889527","-37.9006753964175","-37.9006753964175","-37.9006753964175","-29.84153022515475","-29.84153022515475","-29.84153022515475","-23.302274061862068","-23.302274061862068","-23.302274061862068","-31.227108372531507","-31.227108372531507","-31.227108372531507","-23.325747572278125","-23.325747572278125","-23.325747572278125","-12.186199670389604","-12.186199670389604","-12.186199670389604","-8.6792676061493","-8.6792676061493","-8.6792676061493","-43.61303952813432","-43.61303952813432","-43.61303952813432","-19.075801709232692","-19.075801709232692","-19.075801709232692","-19.05585309301791","-19.05585309301791","-19.05585309301791","-22.778392238730852","-22.778392238730852","-22.778392238730852","-37.45377144918557","-37.45377144918557","-37.45377144918557","-34.14871417572479","-34.14871417572479","-34.14871417572479"
"2000","-13.782963090898557","-13.782963090898557","-13.782963090898557","-18.118093145148276","-18.118093145148276","-18.118093145148276","-13.376147926914422","-13.376147926914422","-13.376147926914422","-27.145978647567073","-27.145978647567073","-27.145978647567073","-9.05582625076887","-9.05582625076887","-9.05582625076887","-14.551835153360404","-14.551835153360404","-14.551835153360404","-11.489266148508696","-11.489266148508696","-11.489266148508696","-27.023015116586304","-27.023015116586304","-27.023015116586304","-15.93561627636827","-15.93561627636827","-15.93561627636827","-13.850209372136266","-13.850209372136266","-13.850209372136266","-17.38189664123335","-17.38189664123335","-17.38189664123335","-22.828480220082348","-22.828480220082348","-22.828480220082348","-18.763083895430025","-18.763083895430025","-18.763083895430025","-11.399948364958032","-11.399948364958032","-11.399948364958032","-11.479025021803066","-11.479025021803066","-11.479025021803066","-6.820569747911665","-6.820569747911665","-6.820569747911665","-25.233757007794253","-25.233757007794253","-25.233757007794253","-14.320711453031516","-14.320711453031516","-14.320711453031516","-23.049161026074728","-23.049161026074728","-23.049161026074728","-17.229659461901157","-17.229659461901157","-17.229659461901157"
"2500","-8.274318839725296","-8.274318839725296","-8.274318839725296","-7.243941469354672","-7.243941469354672","-7.243941469354672","-10.886839511796776","-10.886839511796776","-10.886839511796776","-20.216102846465173","-20.216102846465173","-20.216102846465173","-8.340000730591317","-8.340000730591317","-8.340000730591317","-9.323636112302298","-9.323636112302298","-9.323636112302298","-6.39858989758717","-6.39858989758717","-6.39858989758717","-27.02288458797497","-27.02288458797497","-27.02288458797497","-25.559973188369703","-25.559973188369703","-25.559973188369703","-6.677484422371931","-6.677484422371931","-6.677484422371931","-22.286382921486116","-22.286382921486116","-22.286382921486116","-13.804702600705179","-13.804702600705179","-13.804702600705179","-8.773927057143142","-8.773927057143142","-8.773927057143142","-14.450368281114956","-14.450368281114956","-14.450368281114956","-16.65175587937243","-16.65175587937243","-16.65175587937243","-7.24234177214106","-7.24234177214106","-7.24234177214106","-13.997877720662945","-13.997877720662945","-13.997877720662945","-41.257602827971496","-41.257602827971496","-41.257602827971496","-8.637871146153202","-8.637871146153202","-8.637871146153202","-6.602432529018307","-6.602432529018307","-6.602432529018307"
"3000","-7.4648222851652815","-7.4648222851652815","-7.4648222851652815","-5.6520145062663705","-5.6520145062663705","-5.6520145062663705","-10.599648715745255","-10.599648715745255","-10.599648715745255","-10.628090293150072","-10.628090293150072","-10.628090293150072","-5.592044188145427","-5.592044188145427","-5.592044188145427","-9.53819918749401","-9.53819918749401","-9.53819918749401","-7.261231928743063","-7.261231928743063","-7.261231928743063","-28.314750609558537","-28.314750609558537","-28.314750609558537","-8.991307000753805","-8.991307000753805","-8.991307000753805","-25.973096440009897","-25.973096440009897","-25.973096440009897","-7.588376416378921","-7.588376416378921","-7.588376416378921","-8.76739320063152","-8.76739320063152","-8.76739320063152","-6.445802180985369","-6.445802180985369","-6.445802180985369","-16.132183797611397","-16.132183797611397","-16.132183797611397","-11.286314086251368","-11.286314086251368","-11.286314086251368","-9.755015351456034","-9.755015351456034","-9.755015351456034","-9.183529848938964","-9.183529848938964","-9.183529848938964","-24.761725192249507","-24.761725192249507","-24.761725192249507","-38.081398270992906","-38.081398270992906","-38.081398270992906","-13.503964645584551","-13.503964645584551","-13.503964645584551"
"3500","-15.964544059924734","-15.964544059924734","-15.964544059924734","-4.6905302517529455","-4.6905302517529455","-4.6905302517529455","-4.228377111244649","-4.228377111244649","-4.228377111244649","-6.828380703501014","-6.828380703501014","-6.828380703501014","-5.111229320970672","-5.111229320970672","-5.111229320970672","-6.507847421898012","-6.507847421898012","-6.507847421898012","-3.0274620805326835","-3.0274620805326835","-3.0274620805326835","-11.819566800048543","-11.819566800048543","-11.819566800048543","-8.120211253322669","-8.120211253322669","-8.120211253322669","-9.16021176960762","-9.16021176960762","-9.16021176960762","-6.812560576450733","-6.812560576450733","-6.812560576450733","-12.554156977765539","-12.554156977765539","-12.554156977765539","-3.7388490036320157","-3.7388490036320157","-3.7388490036320157","-9.627151831145577","-9.627151831145577","-9.627151831145577","-5.165464278178508","-5.165464278178508","-5.165464278178508","-4.906792409669999","-4.906792409669999","-4.906792409669999","-14.511793076703464","-14.511793076703464","-14.511793076703464","-11.783179222420372","-11.783179222420372","-11.783179222420372","-15.522887144253435","-15.522887144253435","-15.522887144253435","-7.71326143226157","-7.71326143226157","-7.71326143226157"
"4000","-8.742695033644555","-8.742695033644555","-8.742695033644555","-3.3858481133420133","-3.3858481133420133","-3.3858481133420133","-4.151419755590075","-4.151419755590075","-4.151419755590075","-8.64305323899445","-8.64305323899445","-8.64305323899445","-11.04508647874447","-11.04508647874447","-11.04508647874447","-3.637355357789749","-3.637355357789749","-3.637355357789749","-2.507694377143023","-2.507694377143023","-2.507694377143023","-21.950951598399698","-21.950951598399698","-21.950951598399698","-9.628486826605382","-9.628486826605382","-9.628486826605382","-5.300128182929268","-5.300128182929268","-5.300128182929268","-6.084872242215063","-6.084872242215063","-6.084872242215063","-6.296569070785853","-6.296569070785853","-6.296569070785853","-4.352696716261417","-4.352696716261417","-4.352696716261417","-12.60599054988507","-12.60599054988507","-12.60599054988507","-3.5060869022194603","-3.5060869022194603","-3.5060869022194603","-4.282968988351841","-4.282968988351841","-4.282968988351841","-9.259782641906735","-9.259782641906735","-9.259782641906735","-9.78943641052842","-9.78943641052842","-9.78943641052842","-6.323504790556428","-6.323504790556428","-6.323504790556428","-17.769369204996924","-17.769369204996924","-17.769369204996924"
"4500","-5.8308129807216424","-5.8308129807216424","-5.8308129807216424","-3.7189100009726475","-3.7189100009726475","-3.7189100009726475","-4.30507004202939","-4.30507004202939","-4.30507004202939","-7.132468593035884","-7.132468593035884","-7.132468593035884","-4.800826898939014","-4.800826898939014","-4.800826898939014","-3.849156546098469","-3.849156546098469","-3.849156546098469","-2.2009763751759976","-2.2009763751759976","-2.2009763751759976","-14.236975664617665","-14.236975664617665","-14.236975664617665","-5.5783228452703755","-5.5783228452703755","-5.5783228452703755","-4.305101166097129","-4.305101166097129","-4.305101166097129","-5.046949956221915","-5.046949956221915","-5.046949956221915","-4.557385792555485","-4.557385792555485","-4.557385792555485","-2.646951304624461","-2.646951304624461","-2.646951304624461","-6.345950624865603","-6.345950624865603","-6.345950624865603","-3.936366628180663","-3.936366628180663","-3.936366628180663","-4.1658510408588665","-4.1658510408588665","-4.1658510408588665","-6.177104879449141","-6.177104879449141","-6.177104879449141","-8.352126543596883","-8.352126543596883","-8.352126543596883","-9.575558827124159","-9.575558827124159","-9.575558827124159","-5.157548696906093","-5.157548696906093","-5.157548696906093"
