"Step","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.419262927977542","-13.419262927977542","-13.419262927977542","-9.801773807979854","-9.801773807979854","-9.801773807979854","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.125909832405876","-12.125909832405876","-12.125909832405876","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.356742961262324","-10.356742961262324","-10.356742961262324","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-10.521640416686617","-10.521640416686617","-10.521640416686617","-19.189753621500426","-19.189753621500426","-19.189753621500426","-10.739847575557226","-10.739847575557226","-10.739847575557226","-21.173829839733735","-21.173829839733735","-21.173829839733735","-8.680298466179051","-8.680298466179051","-8.680298466179051","-17.26315536553896","-17.26315536553896","-17.26315536553896","-11.2083614197056","-11.2083614197056","-11.2083614197056","-27.449239825341333","-27.449239825341333","-27.449239825341333","-12.00660647504095","-12.00660647504095","-12.00660647504095","-13.57108977499307","-13.57108977499307","-13.57108977499307","-15.167450764082565","-15.167450764082565","-15.167450764082565","-10.712502350346096","-10.712502350346096","-10.712502350346096","-15.741224417325622","-15.741224417325622","-15.741224417325622","-17.721232884028712","-17.721232884028712","-17.721232884028712","-36.18287110125061","-36.18287110125061","-36.18287110125061","-7.303590483256471","-7.303590483256471","-7.303590483256471","-14.219582384140432","-14.219582384140432","-14.219582384140432","-7.727494702243396","-7.727494702243396","-7.727494702243396","-19.04979499705149","-19.04979499705149","-19.04979499705149","-14.56107168990854","-14.56107168990854","-14.56107168990854"
"2000","-9.23023481475749","-9.23023481475749","-9.23023481475749","-12.184156719851208","-12.184156719851208","-12.184156719851208","-9.071374592080257","-9.071374592080257","-9.071374592080257","-18.3903918470735","-18.3903918470735","-18.3903918470735","-16.423897653106582","-16.423897653106582","-16.423897653106582","-15.384422672974718","-15.384422672974718","-15.384422672974718","-11.317998655222251","-11.317998655222251","-11.317998655222251","-9.654990367946128","-9.654990367946128","-9.654990367946128","-10.238998629036754","-10.238998629036754","-10.238998629036754","-17.134349753448127","-17.134349753448127","-17.134349753448127","-15.764319130680343","-15.764319130680343","-15.764319130680343","-14.17549574647985","-14.17549574647985","-14.17549574647985","-6.895694215933429","-6.895694215933429","-6.895694215933429","-11.325828568933769","-11.325828568933769","-11.325828568933769","-11.025072460333737","-11.025072460333737","-11.025072460333737","-39.67846515435723","-39.67846515435723","-39.67846515435723","-9.960284540523954","-9.960284540523954","-9.960284540523954","-21.83698933509584","-21.83698933509584","-21.83698933509584","-18.629906250841778","-18.629906250841778","-18.629906250841778","-8.421199903720654","-8.421199903720654","-8.421199903720654"
"2500","-7.976875661436219","-7.976875661436219","-7.976875661436219","-20.794905748288738","-20.794905748288738","-20.794905748288738","-16.068714060136994","-16.068714060136994","-16.068714060136994","-9.606702024839247","-9.606702024839247","-9.606702024839247","-9.655246218890113","-9.655246218890113","-9.655246218890113","-7.872838443440111","-7.872838443440111","-7.872838443440111","-9.16785301369659","-9.16785301369659","-9.16785301369659","-7.98544114648211","-7.98544114648211","-7.98544114648211","-6.666182241002292","-6.666182241002292","-6.666182241002292","-15.775040622840041","-15.775040622840041","-15.775040622840041","-9.146648255572718","-9.146648255572718","-9.146648255572718","-15.19017779047871","-15.19017779047871","-15.19017779047871","-12.63575045215487","-12.63575045215487","-12.63575045215487","-13.47575438046465","-13.47575438046465","-13.47575438046465","-8.386947924944621","-8.386947924944621","-8.386947924944621","-11.413627041320083","-11.413627041320083","-11.413627041320083","-6.3624317687916685","-6.3624317687916685","-6.3624317687916685","-9.286454427849684","-9.286454427849684","-9.286454427849684","-13.585833522314584","-13.585833522314584","-13.585833522314584","-12.657697551394339","-12.657697551394339","-12.657697551394339"
"3000","-21.776936382025895","-21.776936382025895","-21.776936382025895","-17.43946282182302","-17.43946282182302","-17.43946282182302","-10.358355463665493","-10.358355463665493","-10.358355463665493","-7.966691397883842","-7.966691397883842","-7.966691397883842","-10.77662409698154","-10.77662409698154","-10.77662409698154","-10.60427304081299","-10.60427304081299","-10.60427304081299","-6.666027339706725","-6.666027339706725","-6.666027339706725","-24.087988283868743","-24.087988283868743","-24.087988283868743","-8.744148048177971","-8.744148048177971","-8.744148048177971","-11.162072723770397","-11.162072723770397","-11.162072723770397","-19.119466063117155","-19.119466063117155","-19.119466063117155","-13.570221789239548","-13.570221789239548","-13.570221789239548","-5.872291167350689","-5.872291167350689","-5.872291167350689","-7.244786718048981","-7.244786718048981","-7.244786718048981","-9.388916170401748","-9.388916170401748","-9.388916170401748","-11.895119535777786","-11.895119535777786","-11.895119535777786","-10.845561158579757","-10.845561158579757","-10.845561158579757","-7.938311698988079","-7.938311698988079","-7.938311698988079","-10.263451762501571","-10.263451762501571","-10.263451762501571","-12.529548820764814","-12.529548820764814","-12.529548820764814"
"3500","-11.845935354846072","-11.845935354846072","-11.845935354846072","-8.097007170561103","-8.097007170561103","-8.097007170561103","-6.099585957435336","-6.099585957435336","-6.099585957435336","-9.070161409566413","-9.070161409566413","-9.070161409566413","-13.703616957296154","-13.703616957296154","-13.703616957296154","-9.326239780288216","-9.326239780288216","-9.326239780288216","-10.496959369432533","-10.496959369432533","-10.496959369432533","-7.598725709913955","-7.598725709913955","-7.598725709913955","-12.434189216964029","-12.434189216964029","-12.434189216964029","-10.563264986107779","-10.563264986107779","-10.563264986107779","-7.486794261655222","-7.486794261655222","-7.486794261655222","-10.716130854335711","-10.716130854335711","-10.716130854335711","-4.893342049514932","-4.893342049514932","-4.893342049514932","-9.719975884980286","-9.719975884980286","-9.719975884980286","-5.550554581758822","-5.550554581758822","-5.550554581758822","-6.248722078531046","-6.248722078531046","-6.248722078531046","-7.473066483810777","-7.473066483810777","-7.473066483810777","-11.977570444585108","-11.977570444585108","-11.977570444585108","-6.342010770815719","-6.342010770815719","-6.342010770815719","-11.3532451891823","-11.3532451891823","-11.3532451891823"
"4000","-10.91807561842828","-10.91807561842828","-10.91807561842828","-7.512196647813909","-7.512196647813909","-7.512196647813909","-6.786831650056693","-6.786831650056693","-6.786831650056693","-11.416570173243766","-11.416570173243766","-11.416570173243766","-8.3699203505074","-8.3699203505074","-8.3699203505074","-11.225366421470525","-11.225366421470525","-11.225366421470525","-11.00332180635851","-11.00332180635851","-11.00332180635851","-6.16712055779578","-6.16712055779578","-6.16712055779578","-7.388507670205196","-7.388507670205196","-7.388507670205196","-11.841776760476128","-11.841776760476128","-11.841776760476128","-7.048818558377002","-7.048818558377002","-7.048818558377002","-6.503826457855899","-6.503826457855899","-6.503826457855899","-6.435267437599452","-6.435267437599452","-6.435267437599452","-7.418592877744731","-7.418592877744731","-7.418592877744731","-7.100082461540181","-7.100082461540181","-7.100082461540181","-7.560985549567002","-7.560985549567002","-7.560985549567002","-6.897068012354514","-6.897068012354514","-6.897068012354514","-3.7010150310932914","-3.7010150310932914","-3.7010150310932914","-12.072477094799957","-12.072477094799957","-12.072477094799957","-9.642108641826706","-9.642108641826706","-9.642108641826706"
"4500","-15.966446083076084","-15.966446083076084","-15.966446083076084","-7.166498306222067","-7.166498306222067","-7.166498306222067","-4.1830256209167525","-4.1830256209167525","-4.1830256209167525","-9.851561902742132","-9.851561902742132","-9.851561902742132","-8.97477179684714","-8.97477179684714","-8.97477179684714","-6.797295923737775","-6.797295923737775","-6.797295923737775","-6.111963716555488","-6.111963716555488","-6.111963716555488","-7.661918119664404","-7.661918119664404","-7.661918119664404","-2.6233439320038547","-2.6233439320038547","-2.6233439320038547","-5.899703629720226","-5.899703629720226","-5.899703629720226","-8.394941362233387","-8.394941362233387","-8.394941362233387","-6.816763761940581","-6.816763761940581","-6.816763761940581","-3.9553715073789553","-3.9553715073789553","-3.9553715073789553","-7.299979310420423","-7.299979310420423","-7.299979310420423","-8.355070018168169","-8.355070018168169","-8.355070018168169","-5.604668935094296","-5.604668935094296","-5.604668935094296","-7.638997447442071","-7.638997447442071","-7.638997447442071","-4.332117088405207","-4.332117088405207","-4.332117088405207","-12.805805980210632","-12.805805980210632","-12.805805980210632","-9.467544542149883","-9.467544542149883","-9.467544542149883"
