"Step","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.941806426746265","-9.941806426746265","-9.941806426746265","-10.221164658823573","-10.221164658823573","-10.221164658823573","-11.589473980558719","-11.589473980558719","-11.589473980558719","-10.07958464212241","-10.07958464212241","-10.07958464212241","-8.167563599142227","-8.167563599142227","-8.167563599142227","-6.944545442339839","-6.944545442339839","-6.944545442339839","-10.00770514363943","-10.00770514363943","-10.00770514363943","-7.2171300585511675","-7.2171300585511675","-7.2171300585511675","-13.55785850458843","-13.55785850458843","-13.55785850458843","-14.906624656211216","-14.906624656211216","-14.906624656211216","-7.672963435231601","-7.672963435231601","-7.672963435231601","-9.115028119696335","-9.115028119696335","-9.115028119696335","-9.135407749445303","-9.135407749445303","-9.135407749445303","-12.371034217848592","-12.371034217848592","-12.371034217848592","-8.069456535516712","-8.069456535516712","-8.069456535516712","-8.661568874507683","-8.661568874507683","-8.661568874507683","-10.397622377453867","-10.397622377453867","-10.397622377453867","-9.776919009376702","-9.776919009376702","-9.776919009376702","-11.508207324287477","-11.508207324287477","-11.508207324287477","-9.638877175587385","-9.638877175587385","-9.638877175587385"
"500","-9.941806426746265","-9.941806426746265","-9.941806426746265","-10.221164658823573","-10.221164658823573","-10.221164658823573","-11.589473980558719","-11.589473980558719","-11.589473980558719","-10.07958464212241","-10.07958464212241","-10.07958464212241","-8.167563599142227","-8.167563599142227","-8.167563599142227","-6.944545442339839","-6.944545442339839","-6.944545442339839","-10.00770514363943","-10.00770514363943","-10.00770514363943","-7.2171300585511675","-7.2171300585511675","-7.2171300585511675","-13.55785850458843","-13.55785850458843","-13.55785850458843","-14.906624656211216","-14.906624656211216","-14.906624656211216","-7.672963435231601","-7.672963435231601","-7.672963435231601","-9.115028119696335","-9.115028119696335","-9.115028119696335","-9.135407749445303","-9.135407749445303","-9.135407749445303","-12.371034217848592","-12.371034217848592","-12.371034217848592","-8.069456535516712","-8.069456535516712","-8.069456535516712","-8.661568874507683","-8.661568874507683","-8.661568874507683","-10.397622377453867","-10.397622377453867","-10.397622377453867","-9.776919009376702","-9.776919009376702","-9.776919009376702","-11.508207324287477","-11.508207324287477","-11.508207324287477","-9.638877175587385","-9.638877175587385","-9.638877175587385"
"1000","-9.941806426746265","-9.941806426746265","-9.941806426746265","-10.221164658823573","-10.221164658823573","-10.221164658823573","-11.589473980558719","-11.589473980558719","-11.589473980558719","-10.07958464212241","-10.07958464212241","-10.07958464212241","-8.167563599142227","-8.167563599142227","-8.167563599142227","-6.944545442339839","-6.944545442339839","-6.944545442339839","-10.00770514363943","-10.00770514363943","-10.00770514363943","-7.2171300585511675","-7.2171300585511675","-7.2171300585511675","-13.55785850458843","-13.55785850458843","-13.55785850458843","-14.906624656211216","-14.906624656211216","-14.906624656211216","-7.672963435231601","-7.672963435231601","-7.672963435231601","-9.115028119696335","-9.115028119696335","-9.115028119696335","-10.011051709438014","-10.011051709438014","-10.011051709438014","-12.371034217848592","-12.371034217848592","-12.371034217848592","-8.069456535516712","-8.069456535516712","-8.069456535516712","-11.578707577315585","-11.578707577315585","-11.578707577315585","-10.397622377453867","-10.397622377453867","-10.397622377453867","-8.544963289665128","-8.544963289665128","-8.544963289665128","-10.103090825691602","-10.103090825691602","-10.103090825691602","-9.638877175587385","-9.638877175587385","-9.638877175587385"
"1500","-13.377173727698624","-13.377173727698624","-13.377173727698624","-19.138958017744272","-19.138958017744272","-19.138958017744272","-15.93902341882693","-15.93902341882693","-15.93902341882693","-9.643940413340284","-9.643940413340284","-9.643940413340284","-16.702409807913348","-16.702409807913348","-16.702409807913348","-7.337991781657683","-7.337991781657683","-7.337991781657683","-8.781791401148187","-8.781791401148187","-8.781791401148187","-11.161080667203525","-11.161080667203525","-11.161080667203525","-17.752225433390088","-17.752225433390088","-17.752225433390088","-10.330626586631974","-10.330626586631974","-10.330626586631974","-15.85110423501248","-15.85110423501248","-15.85110423501248","-11.17653647703133","-11.17653647703133","-11.17653647703133","-15.443070031169764","-15.443070031169764","-15.443070031169764","-35.600787907576056","-35.600787907576056","-35.600787907576056","-15.318110726592105","-15.318110726592105","-15.318110726592105","-12.435757868485412","-12.435757868485412","-12.435757868485412","-10.203694595809333","-10.203694595809333","-10.203694595809333","-12.566213703501314","-12.566213703501314","-12.566213703501314","-7.590947544893888","-7.590947544893888","-7.590947544893888","-13.70749904393872","-13.70749904393872","-13.70749904393872"
"2000","-9.916464879518749","-9.916464879518749","-9.916464879518749","-11.26038239855703","-11.26038239855703","-11.26038239855703","-13.97233629517604","-13.97233629517604","-13.97233629517604","-29.92881280562837","-29.92881280562837","-29.92881280562837","-7.032290369641439","-7.032290369641439","-7.032290369641439","-7.861614806248977","-7.861614806248977","-7.861614806248977","-7.94318724508261","-7.94318724508261","-7.94318724508261","-20.754765813864303","-20.754765813864303","-20.754765813864303","-11.875199554513756","-11.875199554513756","-11.875199554513756","-13.118143069061187","-13.118143069061187","-13.118143069061187","-11.201521323776378","-11.201521323776378","-11.201521323776378","-8.501701140623727","-8.501701140623727","-8.501701140623727","-12.279237702274532","-12.279237702274532","-12.279237702274532","-16.44969880846104","-16.44969880846104","-16.44969880846104","-11.685178430942164","-11.685178430942164","-11.685178430942164","-7.873349674920672","-7.873349674920672","-7.873349674920672","-20.297143941132397","-20.297143941132397","-20.297143941132397","-30.24137275767775","-30.24137275767775","-30.24137275767775","-8.536187787201367","-8.536187787201367","-8.536187787201367","-10.999343765421804","-10.999343765421804","-10.999343765421804"
"2500","-13.00237095662934","-13.00237095662934","-13.00237095662934","-6.893149856922882","-6.893149856922882","-6.893149856922882","-20.63425411487922","-20.63425411487922","-20.63425411487922","-7.574928269058733","-7.574928269058733","-7.574928269058733","-11.466260170552065","-11.466260170552065","-11.466260170552065","-9.827800622611923","-9.827800622611923","-9.827800622611923","-7.151541686889604","-7.151541686889604","-7.151541686889604","-18.95193712264376","-18.95193712264376","-18.95193712264376","-14.275023012755142","-14.275023012755142","-14.275023012755142","-23.03010364964578","-23.03010364964578","-23.03010364964578","-9.862252185195832","-9.862252185195832","-9.862252185195832","-6.748389815010576","-6.748389815010576","-6.748389815010576","-8.257220284890128","-8.257220284890128","-8.257220284890128","-15.885863229703096","-15.885863229703096","-15.885863229703096","-9.700405939134958","-9.700405939134958","-9.700405939134958","-18.2408765368993","-18.2408765368993","-18.2408765368993","-7.940060847190762","-7.940060847190762","-7.940060847190762","-14.211070198504633","-14.211070198504633","-14.211070198504633","-6.924994265282957","-6.924994265282957","-6.924994265282957","-20.46003623263308","-20.46003623263308","-20.46003623263308"
"3000","-12.601695699459825","-12.601695699459825","-12.601695699459825","-6.524963418037262","-6.524963418037262","-6.524963418037262","-5.3418502995322985","-5.3418502995322985","-5.3418502995322985","-8.1253658642093","-8.1253658642093","-8.1253658642093","-6.126412475890513","-6.126412475890513","-6.126412475890513","-10.496913388927812","-10.496913388927812","-10.496913388927812","-9.925500433925096","-9.925500433925096","-9.925500433925096","-8.711561915028073","-8.711561915028073","-8.711561915028073","-4.741778405144371","-4.741778405144371","-4.741778405144371","-13.72849162683813","-13.72849162683813","-13.72849162683813","-8.025959908560276","-8.025959908560276","-8.025959908560276","-6.323297445171633","-6.323297445171633","-6.323297445171633","-10.022555542887286","-10.022555542887286","-10.022555542887286","-15.044607961340756","-15.044607961340756","-15.044607961340756","-8.05793005780323","-8.05793005780323","-8.05793005780323","-29.996606334813755","-29.996606334813755","-29.996606334813755","-8.58040408147723","-8.58040408147723","-8.58040408147723","-7.273850252979011","-7.273850252979011","-7.273850252979011","-7.898431104864741","-7.898431104864741","-7.898431104864741","-12.364958468827071","-12.364958468827071","-12.364958468827071"
"3500","-11.915621880624352","-11.915621880624352","-11.915621880624352","-7.46789558372861","-7.46789558372861","-7.46789558372861","-9.939702869207357","-9.939702869207357","-9.939702869207357","-8.560176398435788","-8.560176398435788","-8.560176398435788","-8.639014868951438","-8.639014868951438","-8.639014868951438","-7.980583981818256","-7.980583981818256","-7.980583981818256","-8.56604210403614","-8.56604210403614","-8.56604210403614","-6.883533423779953","-6.883533423779953","-6.883533423779953","-11.906391192212954","-11.906391192212954","-11.906391192212954","-13.271585579342737","-13.271585579342737","-13.271585579342737","-10.319281560673689","-10.319281560673689","-10.319281560673689","-6.7718485240087904","-6.7718485240087904","-6.7718485240087904","-9.770951191808932","-9.770951191808932","-9.770951191808932","-16.712315116996194","-16.712315116996194","-16.712315116996194","-8.682427628657715","-8.682427628657715","-8.682427628657715","-11.562270119706534","-11.562270119706534","-11.562270119706534","-6.0235733606615245","-6.0235733606615245","-6.0235733606615245","-8.58184599787256","-8.58184599787256","-8.58184599787256","-6.736616648068605","-6.736616648068605","-6.736616648068605","-8.466963582351017","-8.466963582351017","-8.466963582351017"
"4000","-10.936715254443536","-10.936715254443536","-10.936715254443536","-5.403535764282335","-5.403535764282335","-5.403535764282335","-16.588062790723683","-16.588062790723683","-16.588062790723683","-6.0251902114642695","-6.0251902114642695","-6.0251902114642695","-7.360294483638301","-7.360294483638301","-7.360294483638301","-13.6741319396647","-13.6741319396647","-13.6741319396647","-9.032154084105391","-9.032154084105391","-9.032154084105391","-7.533934113669853","-7.533934113669853","-7.533934113669853","-9.47206344835429","-9.47206344835429","-9.47206344835429","-10.281316377481986","-10.281316377481986","-10.281316377481986","-9.497711935210617","-9.497711935210617","-9.497711935210617","-8.10253871235744","-8.10253871235744","-8.10253871235744","-7.846188902020993","-7.846188902020993","-7.846188902020993","-11.603478682062157","-11.603478682062157","-11.603478682062157","-6.9971291838248675","-6.9971291838248675","-6.9971291838248675","-7.391491088754849","-7.391491088754849","-7.391491088754849","-6.701792898988266","-6.701792898988266","-6.701792898988266","-4.722631979464296","-4.722631979464296","-4.722631979464296","-5.220839550354401","-5.220839550354401","-5.220839550354401","-7.721757114384667","-7.721757114384667","-7.721757114384667"
"4500","-9.30262271856132","-9.30262271856132","-9.30262271856132","-6.013897037857715","-6.013897037857715","-6.013897037857715","-10.243239252179077","-10.243239252179077","-10.243239252179077","-6.639693361988321","-6.639693361988321","-6.639693361988321","-9.630587181202657","-9.630587181202657","-9.630587181202657","-7.511386643437858","-7.511386643437858","-7.511386643437858","-5.963408851254778","-5.963408851254778","-5.963408851254778","-7.692406647309163","-7.692406647309163","-7.692406647309163","-6.4137825404315665","-6.4137825404315665","-6.4137825404315665","-7.779137993777487","-7.779137993777487","-7.779137993777487","-8.282767616583188","-8.282767616583188","-8.282767616583188","-7.029881815373555","-7.029881815373555","-7.029881815373555","-4.671929703425472","-4.671929703425472","-4.671929703425472","-8.194262701473754","-8.194262701473754","-8.194262701473754","-11.977109295964032","-11.977109295964032","-11.977109295964032","-7.5587534309951625","-7.5587534309951625","-7.5587534309951625","-5.419273952395876","-5.419273952395876","-5.419273952395876","-7.863722922181884","-7.863722922181884","-7.863722922181884","-7.63763989925892","-7.63763989925892","-7.63763989925892","-5.327929467054679","-5.327929467054679","-5.327929467054679"
