"Step","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.194310233025089","-10.194310233025089","-10.194310233025089","-6.431590333339239","-6.431590333339239","-6.431590333339239","-10.413339356086492","-10.413339356086492","-10.413339356086492","-13.934925193751543","-13.934925193751543","-13.934925193751543","-6.747667445890594","-6.747667445890594","-6.747667445890594","-9.018317770819227","-9.018317770819227","-9.018317770819227","-7.55756903767877","-7.55756903767877","-7.55756903767877","-7.8196747967321425","-7.8196747967321425","-7.8196747967321425","-9.37557693739148","-9.37557693739148","-9.37557693739148","-8.740126210497914","-8.740126210497914","-8.740126210497914","-18.389791910644913","-18.389791910644913","-18.389791910644913","-6.785092667271307","-6.785092667271307","-6.785092667271307","-11.153577886572545","-11.153577886572545","-11.153577886572545","-8.425178141920162","-8.425178141920162","-8.425178141920162","-9.869553051899654","-9.869553051899654","-9.869553051899654","-10.14956988773546","-10.14956988773546","-10.14956988773546","-7.877434870211326","-7.877434870211326","-7.877434870211326","-11.145132858761531","-11.145132858761531","-11.145132858761531","-10.2024648780856","-10.2024648780856","-10.2024648780856"
"500","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.194310233025089","-10.194310233025089","-10.194310233025089","-6.431590333339239","-6.431590333339239","-6.431590333339239","-10.413339356086492","-10.413339356086492","-10.413339356086492","-13.934925193751543","-13.934925193751543","-13.934925193751543","-6.747667445890594","-6.747667445890594","-6.747667445890594","-9.018317770819227","-9.018317770819227","-9.018317770819227","-7.55756903767877","-7.55756903767877","-7.55756903767877","-7.8196747967321425","-7.8196747967321425","-7.8196747967321425","-9.37557693739148","-9.37557693739148","-9.37557693739148","-8.740126210497914","-8.740126210497914","-8.740126210497914","-18.389791910644913","-18.389791910644913","-18.389791910644913","-6.785092667271307","-6.785092667271307","-6.785092667271307","-11.153577886572545","-11.153577886572545","-11.153577886572545","-8.425178141920162","-8.425178141920162","-8.425178141920162","-9.869553051899654","-9.869553051899654","-9.869553051899654","-10.14956988773546","-10.14956988773546","-10.14956988773546","-7.877434870211326","-7.877434870211326","-7.877434870211326","-11.145132858761531","-11.145132858761531","-11.145132858761531","-10.2024648780856","-10.2024648780856","-10.2024648780856"
"1000","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.093785303465038","-10.093785303465038","-10.093785303465038","-6.431590333339239","-6.431590333339239","-6.431590333339239","-10.413339356086492","-10.413339356086492","-10.413339356086492","-14.555949715418535","-14.555949715418535","-14.555949715418535","-6.747667445890594","-6.747667445890594","-6.747667445890594","-9.018317770819227","-9.018317770819227","-9.018317770819227","-8.201655015596888","-8.201655015596888","-8.201655015596888","-7.8196747967321425","-7.8196747967321425","-7.8196747967321425","-9.37557693739148","-9.37557693739148","-9.37557693739148","-9.042774799894252","-9.042774799894252","-9.042774799894252","-18.389791910644913","-18.389791910644913","-18.389791910644913","-6.785092667271307","-6.785092667271307","-6.785092667271307","-11.153577886572545","-11.153577886572545","-11.153577886572545","-8.089472258251842","-8.089472258251842","-8.089472258251842","-9.869553051899654","-9.869553051899654","-9.869553051899654","-10.14956988773546","-10.14956988773546","-10.14956988773546","-7.877434870211326","-7.877434870211326","-7.877434870211326","-10.809634935726788","-10.809634935726788","-10.809634935726788","-9.501958163255475","-9.501958163255475","-9.501958163255475"
"1500","-10.079799489618901","-10.079799489618901","-10.079799489618901","-12.068396812815818","-12.068396812815818","-12.068396812815818","-13.68758994205806","-13.68758994205806","-13.68758994205806","-10.88926595111581","-10.88926595111581","-10.88926595111581","-23.510472866302994","-23.510472866302994","-23.510472866302994","-15.643128500873257","-15.643128500873257","-15.643128500873257","-10.202692221955228","-10.202692221955228","-10.202692221955228","-11.549397121282322","-11.549397121282322","-11.549397121282322","-17.091324730644214","-17.091324730644214","-17.091324730644214","-12.78826811748481","-12.78826811748481","-12.78826811748481","-7.469602860998583","-7.469602860998583","-7.469602860998583","-26.179448956599295","-26.179448956599295","-26.179448956599295","-14.80546371800225","-14.80546371800225","-14.80546371800225","-9.775851699929312","-9.775851699929312","-9.775851699929312","-9.70233786415523","-9.70233786415523","-9.70233786415523","-22.31763542468773","-22.31763542468773","-22.31763542468773","-23.572259170417865","-23.572259170417865","-23.572259170417865","-9.922662554852739","-9.922662554852739","-9.922662554852739","-13.859691332844244","-13.859691332844244","-13.859691332844244","-25.348464896891656","-25.348464896891656","-25.348464896891656"
"2000","-10.992751640846823","-10.992751640846823","-10.992751640846823","-12.328084683150003","-12.328084683150003","-12.328084683150003","-15.511337906239664","-15.511337906239664","-15.511337906239664","-18.43569033618242","-18.43569033618242","-18.43569033618242","-14.465420932279216","-14.465420932279216","-14.465420932279216","-24.97512623625166","-24.97512623625166","-24.97512623625166","-14.071729886224995","-14.071729886224995","-14.071729886224995","-12.212097179837233","-12.212097179837233","-12.212097179837233","-19.058448773645626","-19.058448773645626","-19.058448773645626","-11.555512001531756","-11.555512001531756","-11.555512001531756","-10.975813893776301","-10.975813893776301","-10.975813893776301","-21.455965565049077","-21.455965565049077","-21.455965565049077","-28.90844032881724","-28.90844032881724","-28.90844032881724","-10.980237887378008","-10.980237887378008","-10.980237887378008","-12.416237205149056","-12.416237205149056","-12.416237205149056","-21.293458035298833","-21.293458035298833","-21.293458035298833","-18.605705631153324","-18.605705631153324","-18.605705631153324","-16.626801611926386","-16.626801611926386","-16.626801611926386","-14.270242924298111","-14.270242924298111","-14.270242924298111","-12.96547304126084","-12.96547304126084","-12.96547304126084"
"2500","-8.871195045860963","-8.871195045860963","-8.871195045860963","-10.852860055859004","-10.852860055859004","-10.852860055859004","-10.995222549676361","-10.995222549676361","-10.995222549676361","-10.235589488841265","-10.235589488841265","-10.235589488841265","-12.200954642405035","-12.200954642405035","-12.200954642405035","-18.26349314452697","-18.26349314452697","-18.26349314452697","-9.860467795684686","-9.860467795684686","-9.860467795684686","-35.07054514186992","-35.07054514186992","-35.07054514186992","-11.25559127872021","-11.25559127872021","-11.25559127872021","-5.394857256384407","-5.394857256384407","-5.394857256384407","-15.126059772613313","-15.126059772613313","-15.126059772613313","-15.350066355321943","-15.350066355321943","-15.350066355321943","-21.99713464210341","-21.99713464210341","-21.99713464210341","-45.10520609910419","-45.10520609910419","-45.10520609910419","-10.042419276771401","-10.042419276771401","-10.042419276771401","-15.796455532586222","-15.796455532586222","-15.796455532586222","-11.703347467524036","-11.703347467524036","-11.703347467524036","-14.011369525661246","-14.011369525661246","-14.011369525661246","-8.54144858882194","-8.54144858882194","-8.54144858882194","-20.997729368929242","-20.997729368929242","-20.997729368929242"
"3000","-8.733080006810106","-8.733080006810106","-8.733080006810106","-11.068543649739887","-11.068543649739887","-11.068543649739887","-11.586520123258916","-11.586520123258916","-11.586520123258916","-9.928977137259297","-9.928977137259297","-9.928977137259297","-11.800071525079776","-11.800071525079776","-11.800071525079776","-13.345416073587932","-13.345416073587932","-13.345416073587932","-12.677572845962045","-12.677572845962045","-12.677572845962045","-23.945834836406927","-23.945834836406927","-23.945834836406927","-9.609326901288616","-9.609326901288616","-9.609326901288616","-9.397814803450988","-9.397814803450988","-9.397814803450988","-12.243386399357137","-12.243386399357137","-12.243386399357137","-10.860006165482774","-10.860006165482774","-10.860006165482774","-35.38421653725502","-35.38421653725502","-35.38421653725502","-21.284207362971006","-21.284207362971006","-21.284207362971006","-10.082873263418646","-10.082873263418646","-10.082873263418646","-10.922547430759671","-10.922547430759671","-10.922547430759671","-12.147838282318142","-12.147838282318142","-12.147838282318142","-13.958916059947976","-13.958916059947976","-13.958916059947976","-9.26491401544164","-9.26491401544164","-9.26491401544164","-16.45132135345629","-16.45132135345629","-16.45132135345629"
"3500","-31.82044182558342","-31.82044182558342","-31.82044182558342","-13.872184407630396","-13.872184407630396","-13.872184407630396","-13.799216504770163","-13.799216504770163","-13.799216504770163","-9.57208037235668","-9.57208037235668","-9.57208037235668","-8.848260519593929","-8.848260519593929","-8.848260519593929","-18.360457492356563","-18.360457492356563","-18.360457492356563","-13.218564330378461","-13.218564330378461","-13.218564330378461","-8.127212938188311","-8.127212938188311","-8.127212938188311","-10.079083406823425","-10.079083406823425","-10.079083406823425","-10.038147994178518","-10.038147994178518","-10.038147994178518","-9.303002872314044","-9.303002872314044","-9.303002872314044","-8.830129485931979","-8.830129485931979","-8.830129485931979","-35.384220024738894","-35.384220024738894","-35.384220024738894","-21.11349207200797","-21.11349207200797","-21.11349207200797","-14.973999691110905","-14.973999691110905","-14.973999691110905","-8.484073450636044","-8.484073450636044","-8.484073450636044","-11.846685175341072","-11.846685175341072","-11.846685175341072","-11.904519025197674","-11.904519025197674","-11.904519025197674","-9.588093961194668","-9.588093961194668","-9.588093961194668","-8.042682909918259","-8.042682909918259","-8.042682909918259"
"4000","-9.856498084287171","-9.856498084287171","-9.856498084287171","-12.16271072086891","-12.16271072086891","-12.16271072086891","-14.076536344240091","-14.076536344240091","-14.076536344240091","-8.767940956709783","-8.767940956709783","-8.767940956709783","-8.022922138087376","-8.022922138087376","-8.022922138087376","-9.974879839007556","-9.974879839007556","-9.974879839007556","-9.85264019021513","-9.85264019021513","-9.85264019021513","-7.651307541157846","-7.651307541157846","-7.651307541157846","-11.275185061630816","-11.275185061630816","-11.275185061630816","-13.493998108949018","-13.493998108949018","-13.493998108949018","-8.726810953841774","-8.726810953841774","-8.726810953841774","-5.980077450018368","-5.980077450018368","-5.980077450018368","-35.38422109379774","-35.38422109379774","-35.38422109379774","-16.16555261453364","-16.16555261453364","-16.16555261453364","-7.265480536160465","-7.265480536160465","-7.265480536160465","-8.194770867239265","-8.194770867239265","-8.194770867239265","-9.341713279191616","-9.341713279191616","-9.341713279191616","-10.167202081645845","-10.167202081645845","-10.167202081645845","-8.282880513273245","-8.282880513273245","-8.282880513273245","-7.941588014401259","-7.941588014401259","-7.941588014401259"
"4500","-14.80304194196018","-14.80304194196018","-14.80304194196018","-12.917655525984632","-12.917655525984632","-12.917655525984632","-12.978892934438141","-12.978892934438141","-12.978892934438141","-9.401616926977834","-9.401616926977834","-9.401616926977834","-10.966947990019051","-10.966947990019051","-10.966947990019051","-7.921201599438325","-7.921201599438325","-7.921201599438325","-11.097550291981578","-11.097550291981578","-11.097550291981578","-5.82995923912654","-5.82995923912654","-5.82995923912654","-9.407853364207359","-9.407853364207359","-9.407853364207359","-14.71265268716121","-14.71265268716121","-14.71265268716121","-9.903347681507595","-9.903347681507595","-9.903347681507595","-5.959217976528526","-5.959217976528526","-5.959217976528526","-35.3842216007164","-35.3842216007164","-35.3842216007164","-10.82688128262188","-10.82688128262188","-10.82688128262188","-8.914808708459923","-8.914808708459923","-8.914808708459923","-6.43818640394675","-6.43818640394675","-6.43818640394675","-7.949107761923135","-7.949107761923135","-7.949107761923135","-10.34723370896578","-10.34723370896578","-10.34723370896578","-7.107183657624833","-7.107183657624833","-7.107183657624833","-6.872070544378078","-6.872070544378078","-6.872070544378078"
