"Step","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.19753805962713","-10.19753805962713","-10.19753805962713","-6.437156381031369","-6.437156381031369","-6.437156381031369","-10.416195586678286","-10.416195586678286","-10.416195586678286","-13.923468456396","-13.923468456396","-13.923468456396","-6.74340031699362","-6.74340031699362","-6.74340031699362","-9.021449343227008","-9.021449343227008","-9.021449343227008","-7.528457464480004","-7.528457464480004","-7.528457464480004","-7.823809261745694","-7.823809261745694","-7.823809261745694","-9.377158274522397","-9.377158274522397","-9.377158274522397","-8.78848787797347","-8.78848787797347","-8.78848787797347","-18.438921765350457","-18.438921765350457","-18.438921765350457","-6.777428583829424","-6.777428583829424","-6.777428583829424","-11.158932661203087","-11.158932661203087","-11.158932661203087","-8.439371054456961","-8.439371054456961","-8.439371054456961","-9.87268519882421","-9.87268519882421","-9.87268519882421","-10.132993388638033","-10.132993388638033","-10.132993388638033","-7.878928894812658","-7.878928894812658","-7.878928894812658","-11.164929717222279","-11.164929717222279","-11.164929717222279","-10.207778192493711","-10.207778192493711","-10.207778192493711"
"500","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.19753805962713","-10.19753805962713","-10.19753805962713","-6.437156381031369","-6.437156381031369","-6.437156381031369","-10.416175144320121","-10.416175144320121","-10.416175144320121","-13.900334064914091","-13.900334064914091","-13.900334064914091","-6.74340031699362","-6.74340031699362","-6.74340031699362","-9.016947768332981","-9.016947768332981","-9.016947768332981","-7.563130060239876","-7.563130060239876","-7.563130060239876","-7.823809261745694","-7.823809261745694","-7.823809261745694","-9.377158274522397","-9.377158274522397","-9.377158274522397","-8.72807523275075","-8.72807523275075","-8.72807523275075","-18.478424017305766","-18.478424017305766","-18.478424017305766","-6.777428583829424","-6.777428583829424","-6.777428583829424","-11.158932661203087","-11.158932661203087","-11.158932661203087","-8.439371054456961","-8.439371054456961","-8.439371054456961","-9.864840479686809","-9.864840479686809","-9.864840479686809","-10.132993388638033","-10.132993388638033","-10.132993388638033","-7.882325794950864","-7.882325794950864","-7.882325794950864","-11.164929717222279","-11.164929717222279","-11.164929717222279","-10.207778192493711","-10.207778192493711","-10.207778192493711"
"1000","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.19753805962713","-10.19753805962713","-10.19753805962713","-6.462855512042654","-6.462855512042654","-6.462855512042654","-10.416173415814518","-10.416173415814518","-10.416173415814518","-13.934608710504765","-13.934608710504765","-13.934608710504765","-6.292174156050668","-6.292174156050668","-6.292174156050668","-9.025944549696288","-9.025944549696288","-9.025944549696288","-7.528457464480004","-7.528457464480004","-7.528457464480004","-7.823809261745694","-7.823809261745694","-7.823809261745694","-9.377158274522397","-9.377158274522397","-9.377158274522397","-8.78848787797347","-8.78848787797347","-8.78848787797347","-18.438921765350457","-18.438921765350457","-18.438921765350457","-6.780394353676456","-6.780394353676456","-6.780394353676456","-11.017812197543225","-11.017812197543225","-11.017812197543225","-8.448554876492503","-8.448554876492503","-8.448554876492503","-9.87526534033196","-9.87526534033196","-9.87526534033196","-10.132993388638033","-10.132993388638033","-10.132993388638033","-7.878928894812658","-7.878928894812658","-7.878928894812658","-10.823951361703287","-10.823951361703287","-10.823951361703287","-10.207778192493711","-10.207778192493711","-10.207778192493711"
"1500","-13.39294580479642","-13.39294580479642","-13.39294580479642","-16.66177003783029","-16.66177003783029","-16.66177003783029","-21.291027498386946","-21.291027498386946","-21.291027498386946","-33.25889094379752","-33.25889094379752","-33.25889094379752","-14.678896661420259","-14.678896661420259","-14.678896661420259","-14.11210964145324","-14.11210964145324","-14.11210964145324","-14.273585629003426","-14.273585629003426","-14.273585629003426","-20.078080391863356","-20.078080391863356","-20.078080391863356","-24.50177138619187","-24.50177138619187","-24.50177138619187","-24.414679877245494","-24.414679877245494","-24.414679877245494","-8.349033583457599","-8.349033583457599","-8.349033583457599","-26.46484798095807","-26.46484798095807","-26.46484798095807","-24.031976920431493","-24.031976920431493","-24.031976920431493","-39.86473813533921","-39.86473813533921","-39.86473813533921","-34.79757021479086","-34.79757021479086","-34.79757021479086","-15.148326567542668","-15.148326567542668","-15.148326567542668","-10.194833999393659","-10.194833999393659","-10.194833999393659","-11.712213185657323","-11.712213185657323","-11.712213185657323","-41.59227895931487","-41.59227895931487","-41.59227895931487","-40.320766106544085","-40.320766106544085","-40.320766106544085"
"2000","-14.264737341907082","-14.264737341907082","-14.264737341907082","-10.432043065921148","-10.432043065921148","-10.432043065921148","-11.441256328003078","-11.441256328003078","-11.441256328003078","-11.497302645588217","-11.497302645588217","-11.497302645588217","-18.92242615446281","-18.92242615446281","-18.92242615446281","-18.024167292361234","-18.024167292361234","-18.024167292361234","-15.645188375361741","-15.645188375361741","-15.645188375361741","-27.20741875477713","-27.20741875477713","-27.20741875477713","-6.773682370931414","-6.773682370931414","-6.773682370931414","-10.575938781293177","-10.575938781293177","-10.575938781293177","-12.092475769103029","-12.092475769103029","-12.092475769103029","-20.909850977063478","-20.909850977063478","-20.909850977063478","-13.727604667448123","-13.727604667448123","-13.727604667448123","-19.948854976591747","-19.948854976591747","-19.948854976591747","-8.08440932770952","-8.08440932770952","-8.08440932770952","-18.73422314082341","-18.73422314082341","-18.73422314082341","-8.090861492918826","-8.090861492918826","-8.090861492918826","-6.625987242731702","-6.625987242731702","-6.625987242731702","-20.817061682787955","-20.817061682787955","-20.817061682787955","-11.415491703239416","-11.415491703239416","-11.415491703239416"
"2500","-51.3065735582659","-51.3065735582659","-51.3065735582659","-16.6748424075562","-16.6748424075562","-16.6748424075562","-11.516645446559211","-11.516645446559211","-11.516645446559211","-7.833575135340507","-7.833575135340507","-7.833575135340507","-8.208571467293153","-8.208571467293153","-8.208571467293153","-10.069854296462047","-10.069854296462047","-10.069854296462047","-6.54449083433685","-6.54449083433685","-6.54449083433685","-16.391578634986363","-16.391578634986363","-16.391578634986363","-7.75966180073637","-7.75966180073637","-7.75966180073637","-8.265962509121763","-8.265962509121763","-8.265962509121763","-25.457843393072903","-25.457843393072903","-25.457843393072903","-11.711677486126675","-11.711677486126675","-11.711677486126675","-11.006245163815889","-11.006245163815889","-11.006245163815889","-9.823405752866064","-9.823405752866064","-9.823405752866064","-9.787843626372824","-9.787843626372824","-9.787843626372824","-7.067570703304808","-7.067570703304808","-7.067570703304808","-10.87846473843249","-10.87846473843249","-10.87846473843249","-16.102706211535228","-16.102706211535228","-16.102706211535228","-7.101704552659124","-7.101704552659124","-7.101704552659124","-25.400270953673378","-25.400270953673378","-25.400270953673378"
"3000","-51.3066331388592","-51.3066331388592","-51.3066331388592","-8.69442814219479","-8.69442814219479","-8.69442814219479","-9.427139684472724","-9.427139684472724","-9.427139684472724","-20.0488504122089","-20.0488504122089","-20.0488504122089","-12.324781224437478","-12.324781224437478","-12.324781224437478","-9.129735230954111","-9.129735230954111","-9.129735230954111","-9.670304350662434","-9.670304350662434","-9.670304350662434","-8.266343004642868","-8.266343004642868","-8.266343004642868","-9.566341953580297","-9.566341953580297","-9.566341953580297","-9.076141372072101","-9.076141372072101","-9.076141372072101","-14.628040224956525","-14.628040224956525","-14.628040224956525","-13.783261155870296","-13.783261155870296","-13.783261155870296","-8.963450063045913","-8.963450063045913","-8.963450063045913","-9.08840668250576","-9.08840668250576","-9.08840668250576","-6.696658954301169","-6.696658954301169","-6.696658954301169","-7.601446928688516","-7.601446928688516","-7.601446928688516","-7.399948060795232","-7.399948060795232","-7.399948060795232","-13.037455462626346","-13.037455462626346","-13.037455462626346","-15.442841288643248","-15.442841288643248","-15.442841288643248","-10.325781409991695","-10.325781409991695","-10.325781409991695"
"3500","-51.306676074181254","-51.306676074181254","-51.306676074181254","-16.559357038678563","-16.559357038678563","-16.559357038678563","-8.144660393307706","-8.144660393307706","-8.144660393307706","-10.488548144388588","-10.488548144388588","-10.488548144388588","-9.904268630285106","-9.904268630285106","-9.904268630285106","-8.861792196315879","-8.861792196315879","-8.861792196315879","-9.2238207498152","-9.2238207498152","-9.2238207498152","-11.999703680833317","-11.999703680833317","-11.999703680833317","-6.709758853349056","-6.709758853349056","-6.709758853349056","-9.233755758573457","-9.233755758573457","-9.233755758573457","-8.6667258299379","-8.6667258299379","-8.6667258299379","-8.206446055296864","-8.206446055296864","-8.206446055296864","-11.794833938512832","-11.794833938512832","-11.794833938512832","-10.036655809417834","-10.036655809417834","-10.036655809417834","-10.990832667555813","-10.990832667555813","-10.990832667555813","-9.592524283350663","-9.592524283350663","-9.592524283350663","-7.779671112613175","-7.779671112613175","-7.779671112613175","-11.755214269108075","-11.755214269108075","-11.755214269108075","-8.322030324476122","-8.322030324476122","-8.322030324476122","-13.063427749274998","-13.063427749274998","-13.063427749274998"
"4000","-57.61797692267654","-57.61797692267654","-57.61797692267654","-8.411488672505424","-8.411488672505424","-8.411488672505424","-7.332174608036047","-7.332174608036047","-7.332174608036047","-9.048110113819249","-9.048110113819249","-9.048110113819249","-9.825731118740526","-9.825731118740526","-9.825731118740526","-37.15074988592271","-37.15074988592271","-37.15074988592271","-6.344682899391697","-6.344682899391697","-6.344682899391697","-8.12553427841089","-8.12553427841089","-8.12553427841089","-11.593126048706573","-11.593126048706573","-11.593126048706573","-10.013683363595657","-10.013683363595657","-10.013683363595657","-11.270389097023138","-11.270389097023138","-11.270389097023138","-10.11453090861615","-10.11453090861615","-10.11453090861615","-11.244064966500284","-11.244064966500284","-11.244064966500284","-15.718953161639362","-15.718953161639362","-15.718953161639362","-9.642452081881125","-9.642452081881125","-9.642452081881125","-9.849905116337702","-9.849905116337702","-9.849905116337702","-9.629817836261633","-9.629817836261633","-9.629817836261633","-8.706938268842615","-8.706938268842615","-8.706938268842615","-5.05786358706261","-5.05786358706261","-5.05786358706261","-6.897716646031616","-6.897716646031616","-6.897716646031616"
"4500","-57.63148048427253","-57.63148048427253","-57.63148048427253","-24.033635118184282","-24.033635118184282","-24.033635118184282","-6.11567303275462","-6.11567303275462","-6.11567303275462","-12.387911488904395","-12.387911488904395","-12.387911488904395","-6.746983231981817","-6.746983231981817","-6.746983231981817","-12.730490832209654","-12.730490832209654","-12.730490832209654","-5.087612639345072","-5.087612639345072","-5.087612639345072","-6.403945565220757","-6.403945565220757","-6.403945565220757","-6.413314649040484","-6.413314649040484","-6.413314649040484","-6.077028307566952","-6.077028307566952","-6.077028307566952","-8.18290099516706","-8.18290099516706","-8.18290099516706","-9.788252151858753","-9.788252151858753","-9.788252151858753","-8.750509456910198","-8.750509456910198","-8.750509456910198","-10.32374370056717","-10.32374370056717","-10.32374370056717","-9.011709325769925","-9.011709325769925","-9.011709325769925","-8.506998310547292","-8.506998310547292","-8.506998310547292","-8.57449234330354","-8.57449234330354","-8.57449234330354","-4.953510986374127","-4.953510986374127","-4.953510986374127","-8.784021129711473","-8.784021129711473","-8.784021129711473","-8.26196988558466","-8.26196988558466","-8.26196988558466"
"5000","-28.571057363616234","-28.571057363616234","-28.571057363616234","-13.534023354306814","-13.534023354306814","-13.534023354306814","-3.21935858918163","-3.21935858918163","-3.21935858918163","-7.113085022749894","-7.113085022749894","-7.113085022749894","-5.256326528765468","-5.256326528765468","-5.256326528765468","-12.504813858132467","-12.504813858132467","-12.504813858132467","-7.424751368679397","-7.424751368679397","-7.424751368679397","-6.932300794753853","-6.932300794753853","-6.932300794753853","-6.474949710576152","-6.474949710576152","-6.474949710576152","-6.950824328423463","-6.950824328423463","-6.950824328423463","-7.173814387277157","-7.173814387277157","-7.173814387277157","-6.717401065071788","-6.717401065071788","-6.717401065071788","-9.665130261086983","-9.665130261086983","-9.665130261086983","-8.873414552214994","-8.873414552214994","-8.873414552214994","-12.442339551524013","-12.442339551524013","-12.442339551524013","-8.38725644441593","-8.38725644441593","-8.38725644441593","-7.070167098054185","-7.070167098054185","-7.070167098054185","-6.159416755347109","-6.159416755347109","-6.159416755347109","-6.784623155737966","-6.784623155737966","-6.784623155737966","-8.637298817097317","-8.637298817097317","-8.637298817097317"
"5500","-28.570574206230656","-28.570574206230656","-28.570574206230656","-13.017235567855105","-13.017235567855105","-13.017235567855105","-5.354898915988418","-5.354898915988418","-5.354898915988418","-8.58661866945268","-8.58661866945268","-8.58661866945268","-4.42609590275119","-4.42609590275119","-4.42609590275119","-10.083735528457419","-10.083735528457419","-10.083735528457419","-7.61533805678626","-7.61533805678626","-7.61533805678626","-6.335941413637681","-6.335941413637681","-6.335941413637681","-4.9994981097941125","-4.9994981097941125","-4.9994981097941125","-7.199785013785297","-7.199785013785297","-7.199785013785297","-8.147372212901718","-8.147372212901718","-8.147372212901718","-4.98440085480142","-4.98440085480142","-4.98440085480142","-8.075434945842295","-8.075434945842295","-8.075434945842295","-8.679209860030728","-8.679209860030728","-8.679209860030728","-7.331572332223241","-7.331572332223241","-7.331572332223241","-6.6003339618453705","-6.6003339618453705","-6.6003339618453705","-5.208110367686911","-5.208110367686911","-5.208110367686911","-7.317548472035931","-7.317548472035931","-7.317548472035931","-9.403120431075703","-9.403120431075703","-9.403120431075703","-15.707731555684143","-15.707731555684143","-15.707731555684143"
