"Step","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.19753805962713","-10.19753805962713","-10.19753805962713","-6.437156381031369","-6.437156381031369","-6.437156381031369","-10.416195586678286","-10.416195586678286","-10.416195586678286","-13.923468456396","-13.923468456396","-13.923468456396","-6.74340031699362","-6.74340031699362","-6.74340031699362","-9.021449343227008","-9.021449343227008","-9.021449343227008","-7.528457464480004","-7.528457464480004","-7.528457464480004","-7.823809261745694","-7.823809261745694","-7.823809261745694","-9.377158274522397","-9.377158274522397","-9.377158274522397","-8.78848787797347","-8.78848787797347","-8.78848787797347","-18.438921765350457","-18.438921765350457","-18.438921765350457","-6.777428583829424","-6.777428583829424","-6.777428583829424","-11.158932661203087","-11.158932661203087","-11.158932661203087","-8.439371054456961","-8.439371054456961","-8.439371054456961","-9.87268519882421","-9.87268519882421","-9.87268519882421","-10.132993388638033","-10.132993388638033","-10.132993388638033","-7.878928894812658","-7.878928894812658","-7.878928894812658","-11.164929717222279","-11.164929717222279","-11.164929717222279","-10.207778192493711","-10.207778192493711","-10.207778192493711"
"500","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.19753805962713","-10.19753805962713","-10.19753805962713","-6.437156381031369","-6.437156381031369","-6.437156381031369","-10.416175144320121","-10.416175144320121","-10.416175144320121","-13.900334064914091","-13.900334064914091","-13.900334064914091","-6.751426702746057","-6.751426702746057","-6.751426702746057","-9.021449343227008","-9.021449343227008","-9.021449343227008","-7.528457464480004","-7.528457464480004","-7.528457464480004","-7.823809261745694","-7.823809261745694","-7.823809261745694","-9.377158274522397","-9.377158274522397","-9.377158274522397","-8.78848787797347","-8.78848787797347","-8.78848787797347","-18.438921765350457","-18.438921765350457","-18.438921765350457","-6.782939513838339","-6.782939513838339","-6.782939513838339","-11.158932661203087","-11.158932661203087","-11.158932661203087","-8.439371054456961","-8.439371054456961","-8.439371054456961","-9.87526534033196","-9.87526534033196","-9.87526534033196","-10.132993388638033","-10.132993388638033","-10.132993388638033","-7.882325794950864","-7.882325794950864","-7.882325794950864","-11.174012524540082","-11.174012524540082","-11.174012524540082","-10.209452434826709","-10.209452434826709","-10.209452434826709"
"1000","-7.5413335490338","-7.5413335490338","-7.5413335490338","-10.19753805962713","-10.19753805962713","-10.19753805962713","-6.437156381031369","-6.437156381031369","-6.437156381031369","-10.416175144320121","-10.416175144320121","-10.416175144320121","-13.900334064914091","-13.900334064914091","-13.900334064914091","-6.305704579123428","-6.305704579123428","-6.305704579123428","-9.0218002786042","-9.0218002786042","-9.0218002786042","-7.528457464480004","-7.528457464480004","-7.528457464480004","-7.823809261745694","-7.823809261745694","-7.823809261745694","-9.374682953976453","-9.374682953976453","-9.374682953976453","-8.72807523275075","-8.72807523275075","-8.72807523275075","-18.438921765350457","-18.438921765350457","-18.438921765350457","-6.780394353676456","-6.780394353676456","-6.780394353676456","-11.015357157273295","-11.015357157273295","-11.015357157273295","-8.439371054456961","-8.439371054456961","-8.439371054456961","-9.864840479686809","-9.864840479686809","-9.864840479686809","-10.132993388638033","-10.132993388638033","-10.132993388638033","-7.882325794950864","-7.882325794950864","-7.882325794950864","-10.871766792476752","-10.871766792476752","-10.871766792476752","-10.207778192493711","-10.207778192493711","-10.207778192493711"
"1500","-10.84234576685916","-10.84234576685916","-10.84234576685916","-10.846967072493078","-10.846967072493078","-10.846967072493078","-10.718843180337396","-10.718843180337396","-10.718843180337396","-14.55581494844085","-14.55581494844085","-14.55581494844085","-11.90017231594491","-11.90017231594491","-11.90017231594491","-39.664287990577094","-39.664287990577094","-39.664287990577094","-8.84215294819978","-8.84215294819978","-8.84215294819978","-22.658449319217734","-22.658449319217734","-22.658449319217734","-13.736045609125705","-13.736045609125705","-13.736045609125705","-17.37693761001528","-17.37693761001528","-17.37693761001528","-16.008138360776364","-16.008138360776364","-16.008138360776364","-30.927702967686535","-30.927702967686535","-30.927702967686535","-10.82048413912075","-10.82048413912075","-10.82048413912075","-11.4589170077149","-11.4589170077149","-11.4589170077149","-16.204791004165628","-16.204791004165628","-16.204791004165628","-12.687665243028519","-12.687665243028519","-12.687665243028519","-23.02919587340637","-23.02919587340637","-23.02919587340637","-9.672831083994247","-9.672831083994247","-9.672831083994247","-24.270575393124595","-24.270575393124595","-24.270575393124595","-16.85774347160945","-16.85774347160945","-16.85774347160945"
"2000","-14.42451671763493","-14.42451671763493","-14.42451671763493","-16.01679366927669","-16.01679366927669","-16.01679366927669","-10.160490272527715","-10.160490272527715","-10.160490272527715","-20.389461625624694","-20.389461625624694","-20.389461625624694","-13.660756240018088","-13.660756240018088","-13.660756240018088","-8.291682684006492","-8.291682684006492","-8.291682684006492","-12.11140030381875","-12.11140030381875","-12.11140030381875","-7.607173274122905","-7.607173274122905","-7.607173274122905","-23.51312778482366","-23.51312778482366","-23.51312778482366","-15.112855006346525","-15.112855006346525","-15.112855006346525","-14.328229677461398","-14.328229677461398","-14.328229677461398","-12.133385842609659","-12.133385842609659","-12.133385842609659","-10.732532613352273","-10.732532613352273","-10.732532613352273","-26.37756344510213","-26.37756344510213","-26.37756344510213","-26.212158081245036","-26.212158081245036","-26.212158081245036","-8.001448658642541","-8.001448658642541","-8.001448658642541","-8.022011621156025","-8.022011621156025","-8.022011621156025","-16.982319700332376","-16.982319700332376","-16.982319700332376","-9.984712641294225","-9.984712641294225","-9.984712641294225","-6.97181184580985","-6.97181184580985","-6.97181184580985"
"2500","-11.051594998659294","-11.051594998659294","-11.051594998659294","-19.22481185893856","-19.22481185893856","-19.22481185893856","-8.623670202652361","-8.623670202652361","-8.623670202652361","-11.214908329774186","-11.214908329774186","-11.214908329774186","-18.298084967462916","-18.298084967462916","-18.298084967462916","-10.730830232563957","-10.730830232563957","-10.730830232563957","-13.472169620502328","-13.472169620502328","-13.472169620502328","-18.049893455731617","-18.049893455731617","-18.049893455731617","-18.30904606700516","-18.30904606700516","-18.30904606700516","-9.708025419232111","-9.708025419232111","-9.708025419232111","-9.960899140978379","-9.960899140978379","-9.960899140978379","-16.235619517753626","-16.235619517753626","-16.235619517753626","-11.58488101635191","-11.58488101635191","-11.58488101635191","-33.40256192176529","-33.40256192176529","-33.40256192176529","-17.328985759480897","-17.328985759480897","-17.328985759480897","-9.639880563647214","-9.639880563647214","-9.639880563647214","-11.992941214833015","-11.992941214833015","-11.992941214833015","-18.08386591559906","-18.08386591559906","-18.08386591559906","-14.090614991939322","-14.090614991939322","-14.090614991939322","-9.397471679459784","-9.397471679459784","-9.397471679459784"
"3000","-10.822942590814105","-10.822942590814105","-10.822942590814105","-9.979558074995811","-9.979558074995811","-9.979558074995811","-8.643712452648149","-8.643712452648149","-8.643712452648149","-13.594877569711164","-13.594877569711164","-13.594877569711164","-13.010651084865842","-13.010651084865842","-13.010651084865842","-8.662416824528941","-8.662416824528941","-8.662416824528941","-26.525756949446578","-26.525756949446578","-26.525756949446578","-14.61752327061787","-14.61752327061787","-14.61752327061787","-14.741403274735859","-14.741403274735859","-14.741403274735859","-15.130552215999979","-15.130552215999979","-15.130552215999979","-10.03946215134277","-10.03946215134277","-10.03946215134277","-12.583002046007042","-12.583002046007042","-12.583002046007042","-7.824120450005131","-7.824120450005131","-7.824120450005131","-12.904301189809662","-12.904301189809662","-12.904301189809662","-18.666783057235694","-18.666783057235694","-18.666783057235694","-10.333908479486162","-10.333908479486162","-10.333908479486162","-8.95226296445359","-8.95226296445359","-8.95226296445359","-14.205413781597496","-14.205413781597496","-14.205413781597496","-8.118894151138644","-8.118894151138644","-8.118894151138644","-9.715647258133831","-9.715647258133831","-9.715647258133831"
"3500","-9.556654630553535","-9.556654630553535","-9.556654630553535","-8.637915414250106","-8.637915414250106","-8.637915414250106","-9.194220602784824","-9.194220602784824","-9.194220602784824","-11.620176708903184","-11.620176708903184","-11.620176708903184","-11.59239614306757","-11.59239614306757","-11.59239614306757","-8.5504388089351","-8.5504388089351","-8.5504388089351","-8.14033967921582","-8.14033967921582","-8.14033967921582","-7.488420822465132","-7.488420822465132","-7.488420822465132","-7.841602368815484","-7.841602368815484","-7.841602368815484","-10.14420128279043","-10.14420128279043","-10.14420128279043","-10.044650587416559","-10.044650587416559","-10.044650587416559","-13.740392270152714","-13.740392270152714","-13.740392270152714","-14.930595385173172","-14.930595385173172","-14.930595385173172","-10.229969629924852","-10.229969629924852","-10.229969629924852","-21.80496978526586","-21.80496978526586","-21.80496978526586","-9.21404369707248","-9.21404369707248","-9.21404369707248","-7.176513003786252","-7.176513003786252","-7.176513003786252","-13.803312516325292","-13.803312516325292","-13.803312516325292","-9.298576823247787","-9.298576823247787","-9.298576823247787","-10.196316963202467","-10.196316963202467","-10.196316963202467"
"4000","-9.470185729816519","-9.470185729816519","-9.470185729816519","-6.876550697939024","-6.876550697939024","-6.876550697939024","-11.33032892906525","-11.33032892906525","-11.33032892906525","-8.73962873806437","-8.73962873806437","-8.73962873806437","-9.268808189558476","-9.268808189558476","-9.268808189558476","-8.504018583170788","-8.504018583170788","-8.504018583170788","-8.079726689797543","-8.079726689797543","-8.079726689797543","-6.202856778230967","-6.202856778230967","-6.202856778230967","-6.208526006152132","-6.208526006152132","-6.208526006152132","-11.841448762630035","-11.841448762630035","-11.841448762630035","-10.771036830963594","-10.771036830963594","-10.771036830963594","-7.634276082789856","-7.634276082789856","-7.634276082789856","-11.200845907689205","-11.200845907689205","-11.200845907689205","-20.589562599311137","-20.589562599311137","-20.589562599311137","-12.097886831962791","-12.097886831962791","-12.097886831962791","-12.727044979561885","-12.727044979561885","-12.727044979561885","-7.498765217760999","-7.498765217760999","-7.498765217760999","-10.137448472126163","-10.137448472126163","-10.137448472126163","-7.608151786191897","-7.608151786191897","-7.608151786191897","-7.420190517207321","-7.420190517207321","-7.420190517207321"
"4500","-10.038588241077742","-10.038588241077742","-10.038588241077742","-7.224673002592027","-7.224673002592027","-7.224673002592027","-14.210526473395543","-14.210526473395543","-14.210526473395543","-8.900983404305299","-8.900983404305299","-8.900983404305299","-8.976201302722568","-8.976201302722568","-8.976201302722568","-8.805973186153434","-8.805973186153434","-8.805973186153434","-8.018363937023832","-8.018363937023832","-8.018363937023832","-6.696237160175258","-6.696237160175258","-6.696237160175258","-7.1723649564283605","-7.1723649564283605","-7.1723649564283605","-7.061496866133938","-7.061496866133938","-7.061496866133938","-17.231646273579194","-17.231646273579194","-17.231646273579194","-7.222824158467854","-7.222824158467854","-7.222824158467854","-10.740905059729474","-10.740905059729474","-10.740905059729474","-10.985857175005574","-10.985857175005574","-10.985857175005574","-7.276541589448473","-7.276541589448473","-7.276541589448473","-9.894294365600544","-9.894294365600544","-9.894294365600544","-7.209268400849579","-7.209268400849579","-7.209268400849579","-5.990250442846714","-5.990250442846714","-5.990250442846714","-6.86471103881402","-6.86471103881402","-6.86471103881402","-6.1602666900153125","-6.1602666900153125","-6.1602666900153125"
