"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"0","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1316.0795114748848","-1494.0673254293633","-1076.9281651670208","-1316.0795114748848","-1494.0673254293633","-1076.9281651670208","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1329.3406553905838","-1518.2000607191942","-1042.8980856780295"
"300","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1312.3814916014792","-1497.7460232826638","-1069.2383852021426","-1312.3814916014792","-1497.7460232826638","-1069.2383852021426","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1329.3406553905838","-1518.2000607191942","-1042.8980856780295"
"600","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1303.4470334291514","-1500.7760771053283","-1042.7200197980283","-1303.4470334291514","-1500.7760771053283","-1042.7200197980283","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1329.3406553905838","-1518.2000607191942","-1042.8980856780295"
"900","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1310.667396114663","-1500.7760771053283","-1042.6405518297954","-1310.667396114663","-1500.7760771053283","-1042.6405518297954","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1307.815581346107","-1494.0380537227197","-1062.5954729358295","-1329.3406553905838","-1518.2000607191942","-1042.8980856780295"
"1200","-1565.7233881852985","-1804.507731499","-1372.2465296671214","-1470.4513247741702","-1739.668921058042","-1153.6532058306561","-1663.6130072714998","-1806.2671341847188","-1475.9254761217333","-1620.8773062251767","-1853.9386716571157","-1467.1541284821208","-1676.3773440396205","-1849.1340847268784","-1481.7127375795867","-1598.8054789755656","-1658.0456281056945","-1488.2181056434267","-1549.7234412338353","-1725.9109997259002","-1280.4892317849192","-1594.7399864810793","-1800.8254260907772","-1318.5063837110479","-1615.4889068148673","-1833.7806842987738","-1468.2353775114138"
"1500","-1349.5775999725624","-1527.4361378290448","-592.8778232085002","-1403.7043239661552","-1683.6826373765277","-892.8108709988977","-1556.1308872766326","-1656.1075441877972","-1398.3123767984212","-1528.2601124668004","-1714.8921126222417","-1448.7407246391265","-1559.3305742389737","-1761.2211220014674","-1463.2642249643216","-1362.5206473806645","-1574.8854903790495","-1162.9605459166405","-1468.431410410328","-1624.2272794619491","-1197.579629393551","-1516.8215922497686","-1645.9784383798524","-1461.5647114461608","-1475.2149077428724","-1537.4234746963878","-1414.2592544685508"
"1800","-995.3647632351407","-1482.504804497111","-218.38344261805304","-1131.0149593955844","-1427.0871583070937","-785.8746020805411","-1468.2015227459856","-1522.696637213679","-1412.5356217099475","-1443.0169048059238","-1496.8645477393288","-1354.106567244428","-1463.365012752194","-1510.8462639504874","-1374.190778417746","-1062.4376398959591","-1460.769691944971","-624.1840912254604","-1315.1748374551355","-1511.5356893034045","-1034.4185560243152","-1434.358865833951","-1499.7353850417549","-1369.0516802280172","-1438.1933333859065","-1522.4311805212508","-1294.2113605343072"
"2100","-816.5899106960999","-1482.5047920674601","-183.5543580071619","-1077.0773863174086","-1458.0232228805376","-347.66508615109655","-1274.6403021495469","-1397.5090798522958","-1130.5023969585372","-1278.0881245850637","-1412.2116321346305","-1161.7890206752772","-1315.3172044546268","-1418.7428592118365","-1200.5790544890788","-1038.1868023516292","-1470.15091062606","-683.1048834436075","-1041.196667728969","-1525.5092179596097","-686.85852537622","-1274.0819347418128","-1422.9512104514677","-1066.1846418515697","-1299.0195083650563","-1370.3174192973388","-1225.8647345106708"
"2400","-887.1800870769115","-1482.5047363777114","-135.6507621591747","-600.1599725260355","-1137.996840883101","-194.931367755235","-1096.3873293431102","-1249.698300799872","-707.8415242488126","-1123.1404458837383","-1244.7307957431792","-1017.5704375475214","-1130.833621370046","-1289.5312503428954","-960.1175280770069","-959.5789972242019","-1519.8538628172296","-583.0155762799436","-660.4431705310747","-1508.5608002859617","-159.99625877366466","-1149.7384927442677","-1230.7835882557297","-954.8199893751411","-1141.5114574430295","-1288.1999232989558","-1035.8861218582504"
"2700","-674.9066972492958","-1482.504626947462","-135.06110603649455","-539.9478394465197","-1534.5316998105313","-151.9928925653208","-894.3058771475428","-1091.3788377096603","-438.84445305656743","-921.6043693287459","-1190.3604179817594","-494.002202156293","-917.4692903217358","-1049.7740194896708","-602.2190410182259","-489.2970560309257","-933.8745178313777","-124.67525063623569","-589.8217800785184","-941.6933073088006","-151.01815177371148","-1006.0225391408947","-1204.6410073694208","-737.3822082738036","-910.0422029302005","-1207.4000503509774","-330.8247800826215"
