"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1446.1781655309335","-1446.1781655309335","-1446.1781655309335","-1763.727620787311","-1763.727620787311","-1763.727620787311","-1779.3671304808872","-1779.3671304808872","-1779.3671304808872","-1771.2559672609138","-1771.2559672609138","-1771.2559672609138","-1688.3297546606748","-1688.3297546606748","-1688.3297546606748","-1665.7690065599193","-1665.7690065599193","-1665.7690065599193","-1494.086058597104","-1494.086058597104","-1494.086058597104","-1349.392474901781","-1349.392474901781","-1349.392474901781","-1754.813263902517","-1754.813263902517","-1754.813263902517","-1726.8484335098183","-1726.8484335098183","-1726.8484335098183","-1678.8299464030817","-1678.8299464030817","-1678.8299464030817","-1642.1593890145027","-1642.1593890145027","-1642.1593890145027","-1778.8100915202936","-1778.8100915202936","-1778.8100915202936","-1584.5031497082084","-1584.5031497082084","-1584.5031497082084","-1390.9065683660463","-1390.9065683660463","-1390.9065683660463","-1391.0526693087072","-1391.0526693087072","-1391.0526693087072","-1664.2362545547471","-1664.2362545547471","-1664.2362545547471","-1392.5572318294835","-1392.5572318294835","-1392.5572318294835","-1750.305148159297","-1750.305148159297","-1750.305148159297","-1308.610418624586","-1308.610418624586","-1308.610418624586"
"1500","-1496.7254920843257","-1496.7254920843257","-1496.7254920843257","-1507.2890399646021","-1507.2890399646021","-1507.2890399646021","-1754.1868290081125","-1754.1868290081125","-1754.1868290081125","-1510.174113127528","-1510.174113127528","-1510.174113127528","-1662.0024464249668","-1662.0024464249668","-1662.0024464249668","-1596.121501174434","-1596.121501174434","-1596.121501174434","-1517.1573311141997","-1517.1573311141997","-1517.1573311141997","-1459.3578392145105","-1459.3578392145105","-1459.3578392145105","-1516.9521282848862","-1516.9521282848862","-1516.9521282848862","-1600.0761052310681","-1600.0761052310681","-1600.0761052310681","-1518.7915545500623","-1518.7915545500623","-1518.7915545500623","-1479.6720286651184","-1479.6720286651184","-1479.6720286651184","-1552.0078740212662","-1552.0078740212662","-1552.0078740212662","-1643.1680705864921","-1643.1680705864921","-1643.1680705864921","-1560.7829985211476","-1560.7829985211476","-1560.7829985211476","-1653.4905589281814","-1653.4905589281814","-1653.4905589281814","-1614.4476860375034","-1614.4476860375034","-1614.4476860375034","-1617.3115063865512","-1617.3115063865512","-1617.3115063865512","-1461.6473431016707","-1461.6473431016707","-1461.6473431016707","-1683.3622792464982","-1683.3622792464982","-1683.3622792464982"
"1800","-1486.6500524280007","-1486.6500524280007","-1486.6500524280007","-1471.3304299610922","-1471.3304299610922","-1471.3304299610922","-1535.1387582284149","-1535.1387582284149","-1535.1387582284149","-1502.3717915378757","-1502.3717915378757","-1502.3717915378757","-1498.9678289012122","-1498.9678289012122","-1498.9678289012122","-1524.2464026485202","-1524.2464026485202","-1524.2464026485202","-1526.7500106084228","-1526.7500106084228","-1526.7500106084228","-1422.0309029604064","-1422.0309029604064","-1422.0309029604064","-1503.0608204025343","-1503.0608204025343","-1503.0608204025343","-1453.3174694665965","-1453.3174694665965","-1453.3174694665965","-1483.0558924384602","-1483.0558924384602","-1483.0558924384602","-1464.1588848534402","-1464.1588848534402","-1464.1588848534402","-1472.8845257444875","-1472.8845257444875","-1472.8845257444875","-1506.8525259763396","-1506.8525259763396","-1506.8525259763396","-1528.469322936256","-1528.469322936256","-1528.469322936256","-1455.7979658768613","-1455.7979658768613","-1455.7979658768613","-1661.3051344233468","-1661.3051344233468","-1661.3051344233468","-1554.4217974799317","-1554.4217974799317","-1554.4217974799317","-1438.4270849316333","-1438.4270849316333","-1438.4270849316333","-1433.7103067335393","-1433.7103067335393","-1433.7103067335393"
"2100","-1464.8580373341667","-1464.8580373341667","-1464.8580373341667","-1299.8577475378438","-1299.8577475378438","-1299.8577475378438","-1507.4683708152756","-1507.4683708152756","-1507.4683708152756","-1408.727744497174","-1408.727744497174","-1408.727744497174","-1483.2473422839746","-1483.2473422839746","-1483.2473422839746","-1471.484332634113","-1471.484332634113","-1471.484332634113","-1489.8377933993504","-1489.8377933993504","-1489.8377933993504","-1387.3085473210456","-1387.3085473210456","-1387.3085473210456","-1499.240568648335","-1499.240568648335","-1499.240568648335","-1433.336838880082","-1433.336838880082","-1433.336838880082","-1444.7664123669279","-1444.7664123669279","-1444.7664123669279","-1396.124905759831","-1396.124905759831","-1396.124905759831","-1454.7857810712499","-1454.7857810712499","-1454.7857810712499","-1482.497306537672","-1482.497306537672","-1482.497306537672","-1489.1660174712529","-1489.1660174712529","-1489.1660174712529","-1360.9704479573015","-1360.9704479573015","-1360.9704479573015","-1566.5171094609977","-1566.5171094609977","-1566.5171094609977","-1475.4193357065578","-1475.4193357065578","-1475.4193357065578","-1329.2959533521916","-1329.2959533521916","-1329.2959533521916","-1313.733564606377","-1313.733564606377","-1313.733564606377"
"2400","-1307.6160808761701","-1307.6160808761701","-1307.6160808761701","-1324.5608281116606","-1324.5608281116606","-1324.5608281116606","-1344.5792535475798","-1344.5792535475798","-1344.5792535475798","-1261.1853119492073","-1261.1853119492073","-1261.1853119492073","-1525.597223248185","-1525.597223248185","-1525.597223248185","-1386.8650988563531","-1386.8650988563531","-1386.8650988563531","-1427.4955613891464","-1427.4955613891464","-1427.4955613891464","-1180.108558325529","-1180.108558325529","-1180.108558325529","-1436.938978199545","-1436.938978199545","-1436.938978199545","-1315.7391678402716","-1315.7391678402716","-1315.7391678402716","-1336.292097271463","-1336.292097271463","-1336.292097271463","-1327.6500706334618","-1327.6500706334618","-1327.6500706334618","-1378.569015090158","-1378.569015090158","-1378.569015090158","-1047.5477648121382","-1047.5477648121382","-1047.5477648121382","-1242.2861268138238","-1242.2861268138238","-1242.2861268138238","-1336.8165567736742","-1336.8165567736742","-1336.8165567736742","-1540.2812191178032","-1540.2812191178032","-1540.2812191178032","-1451.7264270835276","-1451.7264270835276","-1451.7264270835276","-1326.747424737107","-1326.747424737107","-1326.747424737107","-1279.9390269333846","-1279.9390269333846","-1279.9390269333846"
"2700","-1263.2961317343243","-1263.2961317343243","-1263.2961317343243","-1314.2318669875483","-1314.2318669875483","-1314.2318669875483","-1261.7584799700526","-1261.7584799700526","-1261.7584799700526","-1203.7445058437715","-1203.7445058437715","-1203.7445058437715","-1095.5299108534111","-1095.5299108534111","-1095.5299108534111","-1246.6150143253678","-1246.6150143253678","-1246.6150143253678","-1239.34772276979","-1239.34772276979","-1239.34772276979","-1105.5024830061707","-1105.5024830061707","-1105.5024830061707","-1324.075145337971","-1324.075145337971","-1324.075145337971","-1264.8832416949413","-1264.8832416949413","-1264.8832416949413","-1080.547883221734","-1080.547883221734","-1080.547883221734","-1211.4389328069021","-1211.4389328069021","-1211.4389328069021","-1126.5871589484577","-1126.5871589484577","-1126.5871589484577","-1019.794614029354","-1019.794614029354","-1019.794614029354","-1143.9391023542553","-1143.9391023542553","-1143.9391023542553","-1263.7584464579172","-1263.7584464579172","-1263.7584464579172","-1203.1370691923444","-1203.1370691923444","-1203.1370691923444","-1260.7899384643201","-1260.7899384643201","-1260.7899384643201","-1181.4106795607913","-1181.4106795607913","-1181.4106795607913","-1163.666330903651","-1163.666330903651","-1163.666330903651"
