"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1655.448368020237","-1655.448368020237","-1655.448368020237","-1861.3312335866963","-1861.3312335866963","-1861.3312335866963","-1741.9165230113153","-1741.9165230113153","-1741.9165230113153","-1761.2118444734344","-1761.2118444734344","-1761.2118444734344","-1152.8863860403624","-1152.8863860403624","-1152.8863860403624","-1612.8711604119621","-1612.8711604119621","-1612.8711604119621","-1700.2185059430371","-1700.2185059430371","-1700.2185059430371","-1334.7067374547053","-1334.7067374547053","-1334.7067374547053","-1740.7206939925861","-1740.7206939925861","-1740.7206939925861","-1696.3448499002047","-1696.3448499002047","-1696.3448499002047","-1731.5698034323825","-1731.5698034323825","-1731.5698034323825","-1402.6894160217482","-1402.6894160217482","-1402.6894160217482","-1695.867183987703","-1695.867183987703","-1695.867183987703","-1755.3436329573208","-1755.3436329573208","-1755.3436329573208","-1473.3829107367603","-1473.3829107367603","-1473.3829107367603","-1277.8177594566775","-1277.8177594566775","-1277.8177594566775","-1627.0261535350141","-1627.0261535350141","-1627.0261535350141","-1245.6927576596843","-1245.6927576596843","-1245.6927576596843","-1655.7118944142671","-1655.7118944142671","-1655.7118944142671","-1537.3211747066844","-1537.3211747066844","-1537.3211747066844"
"1500","-1465.8420800899712","-1465.8420800899712","-1465.8420800899712","-1533.1506290582577","-1533.1506290582577","-1533.1506290582577","-1516.2739733604042","-1516.2739733604042","-1516.2739733604042","-1561.8309595392482","-1561.8309595392482","-1561.8309595392482","-1442.069372384669","-1442.069372384669","-1442.069372384669","-1542.616911186821","-1542.616911186821","-1542.616911186821","-1666.2392149031753","-1666.2392149031753","-1666.2392149031753","-1558.041394634784","-1558.041394634784","-1558.041394634784","-1714.4037033860732","-1714.4037033860732","-1714.4037033860732","-1575.2442846267563","-1575.2442846267563","-1575.2442846267563","-1512.0565984410848","-1512.0565984410848","-1512.0565984410848","-1545.0526152240532","-1545.0526152240532","-1545.0526152240532","-1534.8158375206242","-1534.8158375206242","-1534.8158375206242","-1556.9995269653186","-1556.9995269653186","-1556.9995269653186","-1520.5565819620192","-1520.5565819620192","-1520.5565819620192","-1714.2840033054345","-1714.2840033054345","-1714.2840033054345","-1702.1235719856254","-1702.1235719856254","-1702.1235719856254","-1696.652856280954","-1696.652856280954","-1696.652856280954","-1473.7262702531702","-1473.7262702531702","-1473.7262702531702","-1527.8690695729408","-1527.8690695729408","-1527.8690695729408"
"1800","-1452.3523947578742","-1452.3523947578742","-1452.3523947578742","-1522.5411998011984","-1522.5411998011984","-1522.5411998011984","-1508.6738709015688","-1508.6738709015688","-1508.6738709015688","-1516.0560085238935","-1516.0560085238935","-1516.0560085238935","-1553.0719885626258","-1553.0719885626258","-1553.0719885626258","-1510.1872967006898","-1510.1872967006898","-1510.1872967006898","-1610.7154487759394","-1610.7154487759394","-1610.7154487759394","-1469.387536189624","-1469.387536189624","-1469.387536189624","-1499.0322236837542","-1499.0322236837542","-1499.0322236837542","-1474.1112999374811","-1474.1112999374811","-1474.1112999374811","-1480.5933752379065","-1480.5933752379065","-1480.5933752379065","-1520.3027405207945","-1520.3027405207945","-1520.3027405207945","-1460.2115754631448","-1460.2115754631448","-1460.2115754631448","-1502.2033373599204","-1502.2033373599204","-1502.2033373599204","-1512.5897041245994","-1512.5897041245994","-1512.5897041245994","-1462.0118456510588","-1462.0118456510588","-1462.0118456510588","-1584.3341470527562","-1584.3341470527562","-1584.3341470527562","-1670.3177377581305","-1670.3177377581305","-1670.3177377581305","-1457.9152455676017","-1457.9152455676017","-1457.9152455676017","-1380.9999377868205","-1380.9999377868205","-1380.9999377868205"
"2100","-1429.9592099520937","-1429.9592099520937","-1429.9592099520937","-1477.9915068418454","-1477.9915068418454","-1477.9915068418454","-1506.1507774373767","-1506.1507774373767","-1506.1507774373767","-1497.6290851783162","-1497.6290851783162","-1497.6290851783162","-1473.9960377733382","-1473.9960377733382","-1473.9960377733382","-1497.7443581870587","-1497.7443581870587","-1497.7443581870587","-1566.7446677136973","-1566.7446677136973","-1566.7446677136973","-1404.4751465740396","-1404.4751465740396","-1404.4751465740396","-1483.5075432002623","-1483.5075432002623","-1483.5075432002623","-1279.3623620355258","-1279.3623620355258","-1279.3623620355258","-1450.879812059111","-1450.879812059111","-1450.879812059111","-1468.6306193534413","-1468.6306193534413","-1468.6306193534413","-1447.7112333913271","-1447.7112333913271","-1447.7112333913271","-1485.2739171227524","-1485.2739171227524","-1485.2739171227524","-1472.1854659153","-1472.1854659153","-1472.1854659153","-1451.1389404913448","-1451.1389404913448","-1451.1389404913448","-1510.2441963201004","-1510.2441963201004","-1510.2441963201004","-1453.5929661488722","-1453.5929661488722","-1453.5929661488722","-1443.4502961888275","-1443.4502961888275","-1443.4502961888275","-1364.084063694932","-1364.084063694932","-1364.084063694932"
"2400","-1216.675834311093","-1216.675834311093","-1216.675834311093","-1406.1253167075324","-1406.1253167075324","-1406.1253167075324","-1464.3096607367727","-1464.3096607367727","-1464.3096607367727","-1341.5282226420031","-1341.5282226420031","-1341.5282226420031","-1278.0994683980266","-1278.0994683980266","-1278.0994683980266","-1459.2216846759331","-1459.2216846759331","-1459.2216846759331","-1287.434553612949","-1287.434553612949","-1287.434553612949","-1201.5738731749293","-1201.5738731749293","-1201.5738731749293","-1472.5934698018139","-1472.5934698018139","-1472.5934698018139","-1303.7995411333459","-1303.7995411333459","-1303.7995411333459","-1405.665457138861","-1405.665457138861","-1405.665457138861","-1394.5708479029347","-1394.5708479029347","-1394.5708479029347","-1225.8278928803973","-1225.8278928803973","-1225.8278928803973","-1296.8288409338998","-1296.8288409338998","-1296.8288409338998","-1362.2912632441898","-1362.2912632441898","-1362.2912632441898","-1401.7584032380175","-1401.7584032380175","-1401.7584032380175","-1344.0024131916853","-1344.0024131916853","-1344.0024131916853","-1215.950368488537","-1215.950368488537","-1215.950368488537","-1333.1791002102739","-1333.1791002102739","-1333.1791002102739","-1210.698362067523","-1210.698362067523","-1210.698362067523"
"2700","-1137.72733097112","-1137.72733097112","-1137.72733097112","-1341.1614285930646","-1341.1614285930646","-1341.1614285930646","-1320.853204053634","-1320.853204053634","-1320.853204053634","-1224.5312152422418","-1224.5312152422418","-1224.5312152422418","-1127.0770917732543","-1127.0770917732543","-1127.0770917732543","-1288.2014983950996","-1288.2014983950996","-1288.2014983950996","-1274.111197410597","-1274.111197410597","-1274.111197410597","-1029.9804194941503","-1029.9804194941503","-1029.9804194941503","-1376.0888604025026","-1376.0888604025026","-1376.0888604025026","-1234.5715397211918","-1234.5715397211918","-1234.5715397211918","-1164.0092542628506","-1164.0092542628506","-1164.0092542628506","-1303.6423323187307","-1303.6423323187307","-1303.6423323187307","-1143.7542036124778","-1143.7542036124778","-1143.7542036124778","-1238.8844410473132","-1238.8844410473132","-1238.8844410473132","-1213.0301566221208","-1213.0301566221208","-1213.0301566221208","-996.7318225588963","-996.7318225588963","-996.7318225588963","-1196.4112036089432","-1196.4112036089432","-1196.4112036089432","-1196.1469220422198","-1196.1469220422198","-1196.1469220422198","-1161.0527875643684","-1161.0527875643684","-1161.0527875643684","-1110.6234996563085","-1110.6234996563085","-1110.6234996563085"
