"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1671.378793101087","-1671.378793101087","-1671.378793101087","-1631.2221847192764","-1631.2221847192764","-1631.2221847192764","-1853.984619195987","-1853.984619195987","-1853.984619195987","-1794.9605673760639","-1794.9605673760639","-1794.9605673760639","-1634.4275081477092","-1634.4275081477092","-1634.4275081477092","-1733.3032491379047","-1733.3032491379047","-1733.3032491379047","-1714.0805502183036","-1714.0805502183036","-1714.0805502183036","-1483.0701063302763","-1483.0701063302763","-1483.0701063302763","-1446.9328965745906","-1446.9328965745906","-1446.9328965745906","-1486.2746454587773","-1486.2746454587773","-1486.2746454587773","-1751.831176193124","-1751.831176193124","-1751.831176193124","-1550.7026465880765","-1550.7026465880765","-1550.7026465880765","-1725.9049038859503","-1725.9049038859503","-1725.9049038859503","-1835.9980173431115","-1835.9980173431115","-1835.9980173431115","-1216.495024452968","-1216.495024452968","-1216.495024452968","-1176.814783433105","-1176.814783433105","-1176.814783433105","-1663.8040619144256","-1663.8040619144256","-1663.8040619144256","-1697.0944582991174","-1697.0944582991174","-1697.0944582991174","-1754.4546143071552","-1754.4546143071552","-1754.4546143071552","-1633.5410106225052","-1633.5410106225052","-1633.5410106225052"
"1500","-1491.1636433013196","-1491.1636433013196","-1491.1636433013196","-1557.1711259862875","-1557.1711259862875","-1557.1711259862875","-1549.6095223689151","-1549.6095223689151","-1549.6095223689151","-1505.5520958061506","-1505.5520958061506","-1505.5520958061506","-1654.2978192712424","-1654.2978192712424","-1654.2978192712424","-1719.0298184628184","-1719.0298184628184","-1719.0298184628184","-1525.5501856157507","-1525.5501856157507","-1525.5501856157507","-1668.402133093877","-1668.402133093877","-1668.402133093877","-1537.5716614541839","-1537.5716614541839","-1537.5716614541839","-1622.9253734026338","-1622.9253734026338","-1622.9253734026338","-1511.5403707092453","-1511.5403707092453","-1511.5403707092453","-1516.4159192757122","-1516.4159192757122","-1516.4159192757122","-1495.5242766007411","-1495.5242766007411","-1495.5242766007411","-1494.5508162983915","-1494.5508162983915","-1494.5508162983915","-1612.6292871719074","-1612.6292871719074","-1612.6292871719074","-1555.6662762554324","-1555.6662762554324","-1555.6662762554324","-1760.502399417345","-1760.502399417345","-1760.502399417345","-1766.6923039200974","-1766.6923039200974","-1766.6923039200974","-1458.509375226297","-1458.509375226297","-1458.509375226297","-1478.7938064791742","-1478.7938064791742","-1478.7938064791742"
"1800","-1448.6355392910314","-1448.6355392910314","-1448.6355392910314","-1512.570843557853","-1512.570843557853","-1512.570843557853","-1510.427392442549","-1510.427392442549","-1510.427392442549","-1491.8339022828952","-1491.8339022828952","-1491.8339022828952","-1575.400129696857","-1575.400129696857","-1575.400129696857","-1541.777176226219","-1541.777176226219","-1541.777176226219","-1499.9915127237746","-1499.9915127237746","-1499.9915127237746","-1483.7658703309014","-1483.7658703309014","-1483.7658703309014","-1494.523543495853","-1494.523543495853","-1494.523543495853","-1450.8307077539453","-1450.8307077539453","-1450.8307077539453","-1469.6890799877847","-1469.6890799877847","-1469.6890799877847","-1472.1560869043806","-1472.1560869043806","-1472.1560869043806","-1472.199372288916","-1472.199372288916","-1472.199372288916","-1484.0202187786663","-1484.0202187786663","-1484.0202187786663","-1492.455892394522","-1492.455892394522","-1492.455892394522","-1538.9238204564447","-1538.9238204564447","-1538.9238204564447","-1630.0259900635858","-1630.0259900635858","-1630.0259900635858","-1489.3191403352748","-1489.3191403352748","-1489.3191403352748","-1449.993341314485","-1449.993341314485","-1449.993341314485","-1456.031649106281","-1456.031649106281","-1456.031649106281"
"2100","-1410.141328134669","-1410.141328134669","-1410.141328134669","-1481.2278872534948","-1481.2278872534948","-1481.2278872534948","-1467.9498158634956","-1467.9498158634956","-1467.9498158634956","-1339.7336735642007","-1339.7336735642007","-1339.7336735642007","-1513.3181354753312","-1513.3181354753312","-1513.3181354753312","-1465.1490675993746","-1465.1490675993746","-1465.1490675993746","-1483.8490877876568","-1483.8490877876568","-1483.8490877876568","-1439.5858034246062","-1439.5858034246062","-1439.5858034246062","-1493.1870469965863","-1493.1870469965863","-1493.1870469965863","-1417.7924029204264","-1417.7924029204264","-1417.7924029204264","-1406.200213746963","-1406.200213746963","-1406.200213746963","-1373.528379307217","-1373.528379307217","-1373.528379307217","-1437.6048893888778","-1437.6048893888778","-1437.6048893888778","-1477.453796135312","-1477.453796135312","-1477.453796135312","-1477.00300827018","-1477.00300827018","-1477.00300827018","-1436.2330170721705","-1436.2330170721705","-1436.2330170721705","-1550.2198234961502","-1550.2198234961502","-1550.2198234961502","-1486.2637489357808","-1486.2637489357808","-1486.2637489357808","-1443.1484778220215","-1443.1484778220215","-1443.1484778220215","-1351.8456551458414","-1351.8456551458414","-1351.8456551458414"
"2400","-1365.2405815107372","-1365.2405815107372","-1365.2405815107372","-1446.001198408937","-1446.001198408937","-1446.001198408937","-1374.5224818667114","-1374.5224818667114","-1374.5224818667114","-1217.071331504215","-1217.071331504215","-1217.071331504215","-1332.1895084005835","-1332.1895084005835","-1332.1895084005835","-1316.250231837436","-1316.250231837436","-1316.250231837436","-1444.9296662722206","-1444.9296662722206","-1444.9296662722206","-1278.0311142623143","-1278.0311142623143","-1278.0311142623143","-1340.4351644118822","-1340.4351644118822","-1340.4351644118822","-1341.0983916227146","-1341.0983916227146","-1341.0983916227146","-1200.8363325304726","-1200.8363325304726","-1200.8363325304726","-1221.0377177441","-1221.0377177441","-1221.0377177441","-1278.8205557256194","-1278.8205557256194","-1278.8205557256194","-1469.7754306954846","-1469.7754306954846","-1469.7754306954846","-1320.40949304438","-1320.40949304438","-1320.40949304438","-1295.0192287399643","-1295.0192287399643","-1295.0192287399643","-1311.0244067917592","-1311.0244067917592","-1311.0244067917592","-1448.3820557333108","-1448.3820557333108","-1448.3820557333108","-1365.3127055958882","-1365.3127055958882","-1365.3127055958882","-1203.1426491820705","-1203.1426491820705","-1203.1426491820705"
"2700","-1230.3912099522431","-1230.3912099522431","-1230.3912099522431","-1327.7593318560307","-1327.7593318560307","-1327.7593318560307","-1293.2506259102768","-1293.2506259102768","-1293.2506259102768","-1175.1062980408801","-1175.1062980408801","-1175.1062980408801","-1193.0609907862063","-1193.0609907862063","-1193.0609907862063","-1245.368555359417","-1245.368555359417","-1245.368555359417","-1268.080878818802","-1268.080878818802","-1268.080878818802","-707.2409404654885","-707.2409404654885","-707.2409404654885","-1127.3361164287262","-1127.3361164287262","-1127.3361164287262","-1279.7651995918877","-1279.7651995918877","-1279.7651995918877","-1096.5287913778097","-1096.5287913778097","-1096.5287913778097","-1095.7648883972483","-1095.7648883972483","-1095.7648883972483","-1178.2905464966057","-1178.2905464966057","-1178.2905464966057","-1242.097319977701","-1242.097319977701","-1242.097319977701","-1204.2242198189585","-1204.2242198189585","-1204.2242198189585","-1169.0469302633123","-1169.0469302633123","-1169.0469302633123","-1186.9647578474746","-1186.9647578474746","-1186.9647578474746","-1115.7500259566746","-1115.7500259566746","-1115.7500259566746","-1197.4014730442805","-1197.4014730442805","-1197.4014730442805","-1123.583568312662","-1123.583568312662","-1123.583568312662"
