"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1484.9598478120988","-1484.9598478120988","-1484.9598478120988","-1604.9566110500937","-1604.9566110500937","-1604.9566110500937","-1548.6241294823276","-1548.6241294823276","-1548.6241294823276","-1585.6914725803658","-1585.6914725803658","-1585.6914725803658","-1332.0331528083284","-1332.0331528083284","-1332.0331528083284","-1361.539819639411","-1361.539819639411","-1361.539819639411","-1609.8761847982191","-1609.8761847982191","-1609.8761847982191","-1264.2400785118684","-1264.2400785118684","-1264.2400785118684","-1191.9750415987253","-1191.9750415987253","-1191.9750415987253","-1492.4273985668756","-1492.4273985668756","-1492.4273985668756","-1570.9249230519758","-1570.9249230519758","-1570.9249230519758","-1720.3737229750775","-1720.3737229750775","-1720.3737229750775","-1569.348581324246","-1569.348581324246","-1569.348581324246","-1358.9698141610527","-1358.9698141610527","-1358.9698141610527","-1449.6207800261905","-1449.6207800261905","-1449.6207800261905","-1405.3410583577192","-1405.3410583577192","-1405.3410583577192","-1829.3770098329683","-1829.3770098329683","-1829.3770098329683","-1522.9938292432664","-1522.9938292432664","-1522.9938292432664","-1554.1824034279775","-1554.1824034279775","-1554.1824034279775","-1638.0480032376017","-1638.0480032376017","-1638.0480032376017"
"1500","-1320.446433311347","-1320.446433311347","-1320.446433311347","-1782.320063271252","-1782.320063271252","-1782.320063271252","-1401.3184372410649","-1401.3184372410649","-1401.3184372410649","-1781.4420351223175","-1781.4420351223175","-1781.4420351223175","-1578.9650718653675","-1578.9650718653675","-1578.9650718653675","-1544.0064531678768","-1544.0064531678768","-1544.0064531678768","-1609.3452641201034","-1609.3452641201034","-1609.3452641201034","-1487.3112446088521","-1487.3112446088521","-1487.3112446088521","-1760.2886698811606","-1760.2886698811606","-1760.2886698811606","-1653.8738092926365","-1653.8738092926365","-1653.8738092926365","-1709.1442762603972","-1709.1442762603972","-1709.1442762603972","-1647.9009130465595","-1647.9009130465595","-1647.9009130465595","-1374.9218661186871","-1374.9218661186871","-1374.9218661186871","-1705.883705298916","-1705.883705298916","-1705.883705298916","-1514.4585211872031","-1514.4585211872031","-1514.4585211872031","-1535.6595021612022","-1535.6595021612022","-1535.6595021612022","-1500.397813237969","-1500.397813237969","-1500.397813237969","-1561.8492466782295","-1561.8492466782295","-1561.8492466782295","-1532.2370294929735","-1532.2370294929735","-1532.2370294929735","-1667.918163409478","-1667.918163409478","-1667.918163409478"
"1800","-1209.1007693322142","-1209.1007693322142","-1209.1007693322142","-1696.1482286618404","-1696.1482286618404","-1696.1482286618404","-1596.6695608978657","-1596.6695608978657","-1596.6695608978657","-1498.3570614689386","-1498.3570614689386","-1498.3570614689386","-1321.9765125112858","-1321.9765125112858","-1321.9765125112858","-1457.0333579671214","-1457.0333579671214","-1457.0333579671214","-1478.2661726234624","-1478.2661726234624","-1478.2661726234624","-1085.682953957938","-1085.682953957938","-1085.682953957938","-1636.8425188044998","-1636.8425188044998","-1636.8425188044998","-1594.2096718003772","-1594.2096718003772","-1594.2096718003772","-1451.6144410013553","-1451.6144410013553","-1451.6144410013553","-1611.9021970415074","-1611.9021970415074","-1611.9021970415074","-1217.369856844319","-1217.369856844319","-1217.369856844319","-1624.9806903001577","-1624.9806903001577","-1624.9806903001577","-1188.6425358568854","-1188.6425358568854","-1188.6425358568854","-1521.7511710342867","-1521.7511710342867","-1521.7511710342867","-1599.345987270536","-1599.345987270536","-1599.345987270536","-1604.516791205923","-1604.516791205923","-1604.516791205923","-1323.5150474427671","-1323.5150474427671","-1323.5150474427671","-1464.6949787676183","-1464.6949787676183","-1464.6949787676183"
"2100","-1115.321778742309","-1115.321778742309","-1115.321778742309","-1157.0589514069266","-1157.0589514069266","-1157.0589514069266","-1403.478664250069","-1403.478664250069","-1403.478664250069","-895.8069945622494","-895.8069945622494","-895.8069945622494","-1294.1061471218916","-1294.1061471218916","-1294.1061471218916","-1317.172580325148","-1317.172580325148","-1317.172580325148","-1240.3444147664584","-1240.3444147664584","-1240.3444147664584","-1331.1548960285922","-1331.1548960285922","-1331.1548960285922","-1084.8018692168866","-1084.8018692168866","-1084.8018692168866","-1288.7402638974247","-1288.7402638974247","-1288.7402638974247","-838.3018465370757","-838.3018465370757","-838.3018465370757","-1324.7492805899933","-1324.7492805899933","-1324.7492805899933","-950.3178697801516","-950.3178697801516","-950.3178697801516","-1341.1809028309183","-1341.1809028309183","-1341.1809028309183","-1449.594737319378","-1449.594737319378","-1449.594737319378","-1093.5982208284895","-1093.5982208284895","-1093.5982208284895","-1220.4835651813767","-1220.4835651813767","-1220.4835651813767","-1179.3106998436047","-1179.3106998436047","-1179.3106998436047","-1077.7203984790285","-1077.7203984790285","-1077.7203984790285","-622.0112322312327","-622.0112322312327","-622.0112322312327"
"2400","-1242.2185525498396","-1242.2185525498396","-1242.2185525498396","-928.3761630159781","-928.3761630159781","-928.3761630159781","-1431.8119058389013","-1431.8119058389013","-1431.8119058389013","-1436.8687202205347","-1436.8687202205347","-1436.8687202205347","-1250.8722284879395","-1250.8722284879395","-1250.8722284879395","-1355.4297176286373","-1355.4297176286373","-1355.4297176286373","-1042.9466375514035","-1042.9466375514035","-1042.9466375514035","-1338.1196080664224","-1338.1196080664224","-1338.1196080664224","-1307.7781787157803","-1307.7781787157803","-1307.7781787157803","-1047.5054471354874","-1047.5054471354874","-1047.5054471354874","-1206.3146952488662","-1206.3146952488662","-1206.3146952488662","-1058.446556046901","-1058.446556046901","-1058.446556046901","-391.69819767804853","-391.69819767804853","-391.69819767804853","-1039.6342162958663","-1039.6342162958663","-1039.6342162958663","-1350.4719884903384","-1350.4719884903384","-1350.4719884903384","-1573.155155115362","-1573.155155115362","-1573.155155115362","-1209.8226763246716","-1209.8226763246716","-1209.8226763246716","-1062.3800612306957","-1062.3800612306957","-1062.3800612306957","-944.7124684679147","-944.7124684679147","-944.7124684679147","-1541.4720649355986","-1541.4720649355986","-1541.4720649355986"
"2700","-1439.0620721607063","-1439.0620721607063","-1439.0620721607063","-1146.3663471138873","-1146.3663471138873","-1146.3663471138873","-1400.1028896653847","-1400.1028896653847","-1400.1028896653847","-1406.9135210863421","-1406.9135210863421","-1406.9135210863421","-1295.2737251539131","-1295.2737251539131","-1295.2737251539131","-1405.4008117318122","-1405.4008117318122","-1405.4008117318122","-1120.177927836094","-1120.177927836094","-1120.177927836094","-1189.4444689015158","-1189.4444689015158","-1189.4444689015158","-1253.4544476545009","-1253.4544476545009","-1253.4544476545009","-870.0055060055583","-870.0055060055583","-870.0055060055583","-1189.5845478583562","-1189.5845478583562","-1189.5845478583562","-1436.230100573891","-1436.230100573891","-1436.230100573891","-624.8076109102611","-624.8076109102611","-624.8076109102611","-936.8517253022803","-936.8517253022803","-936.8517253022803","-1211.944058820493","-1211.944058820493","-1211.944058820493","-1070.9614890965015","-1070.9614890965015","-1070.9614890965015","-1400.6911716486984","-1400.6911716486984","-1400.6911716486984","-1242.903824934148","-1242.903824934148","-1242.903824934148","-922.8075470938999","-922.8075470938999","-922.8075470938999","-1024.810272696674","-1024.810272696674","-1024.810272696674"
