"Step","DDPG_TAAC_Pendulum-v1_19 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_18 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_17 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_16 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_15 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_14 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_13 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_12 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_11 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_10 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_9 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_8 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_7 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_6 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_5 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_4 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_3 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_2 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_1 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_0 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"300","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"600","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"900","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"1200","-1190.0732851093396","-1190.0732851093396","-1190.0732851093396","-1665.522897797085","-1665.522897797085","-1665.522897797085","-1898.1350195216928","-1898.1350195216928","-1898.1350195216928","-1555.6786247446585","-1555.6786247446585","-1555.6786247446585","-1851.5216113656365","-1851.5216113656365","-1851.5216113656365","-1387.50626151608","-1387.50626151608","-1387.50626151608","-1530.630104210682","-1530.630104210682","-1530.630104210682","-1656.7662140200132","-1656.7662140200132","-1656.7662140200132","-1631.01904635541","-1631.01904635541","-1631.01904635541","-1536.9005199456997","-1536.9005199456997","-1536.9005199456997","-1707.0136868677241","-1707.0136868677241","-1707.0136868677241","-1489.4993742616284","-1489.4993742616284","-1489.4993742616284","-1293.8730421335217","-1293.8730421335217","-1293.8730421335217","-1847.8730466759139","-1847.8730466759139","-1847.8730466759139","-1505.648246209201","-1505.648246209201","-1505.648246209201","-1554.659969718316","-1554.659969718316","-1554.659969718316","-1724.7153191375814","-1724.7153191375814","-1724.7153191375814","-1357.8082633677398","-1357.8082633677398","-1357.8082633677398","-1710.0094435427159","-1710.0094435427159","-1710.0094435427159","-1656.8324846915148","-1656.8324846915148","-1656.8324846915148"
"1500","-1483.238977920048","-1483.238977920048","-1483.238977920048","-1547.6314770864158","-1547.6314770864158","-1547.6314770864158","-1570.6396221256923","-1570.6396221256923","-1570.6396221256923","-1511.7155733493566","-1511.7155733493566","-1511.7155733493566","-1509.270975679287","-1509.270975679287","-1509.270975679287","-1500.9009723358581","-1500.9009723358581","-1500.9009723358581","-1478.3475016837576","-1478.3475016837576","-1478.3475016837576","-1437.9074076927727","-1437.9074076927727","-1437.9074076927727","-1580.1851249376698","-1580.1851249376698","-1580.1851249376698","-1536.1110983273243","-1536.1110983273243","-1536.1110983273243","-1700.1759163307834","-1700.1759163307834","-1700.1759163307834","-1537.327052462463","-1537.327052462463","-1537.327052462463","-1446.1545969869844","-1446.1545969869844","-1446.1545969869844","-1489.4217049138977","-1489.4217049138977","-1489.4217049138977","-1806.1327787555958","-1806.1327787555958","-1806.1327787555958","-1453.1124466174201","-1453.1124466174201","-1453.1124466174201","-1588.7164434939345","-1588.7164434939345","-1588.7164434939345","-1552.401895897375","-1552.401895897375","-1552.401895897375","-1455.759986964126","-1455.759986964126","-1455.759986964126","-1479.6845479367792","-1479.6845479367792","-1479.6845479367792"
"1800","-1514.3024191815534","-1514.3024191815534","-1514.3024191815534","-1476.8242724478748","-1476.8242724478748","-1476.8242724478748","-1505.2946985114675","-1505.2946985114675","-1505.2946985114675","-1536.2430382194175","-1536.2430382194175","-1536.2430382194175","-1514.8549211196441","-1514.8549211196441","-1514.8549211196441","-1745.0726642936236","-1745.0726642936236","-1745.0726642936236","-1499.3350346821535","-1499.3350346821535","-1499.3350346821535","-1497.4563353621013","-1497.4563353621013","-1497.4563353621013","-1763.5072283311576","-1763.5072283311576","-1763.5072283311576","-1567.326684733766","-1567.326684733766","-1567.326684733766","-1643.3556901261286","-1643.3556901261286","-1643.3556901261286","-1527.8736354639761","-1527.8736354639761","-1527.8736354639761","-1589.3106192868702","-1589.3106192868702","-1589.3106192868702","-1474.051623665036","-1474.051623665036","-1474.051623665036","-1585.5931644691202","-1585.5931644691202","-1585.5931644691202","-1440.8294142774407","-1440.8294142774407","-1440.8294142774407","-1552.2844821336405","-1552.2844821336405","-1552.2844821336405","-1482.6335746582859","-1482.6335746582859","-1482.6335746582859","-1471.2940790218329","-1471.2940790218329","-1471.2940790218329","-1464.388721043339","-1464.388721043339","-1464.388721043339"
"2100","-1452.7112679392762","-1452.7112679392762","-1452.7112679392762","-1469.115745130779","-1469.115745130779","-1469.115745130779","-1577.8082908781696","-1577.8082908781696","-1577.8082908781696","-1549.6319476320054","-1549.6319476320054","-1549.6319476320054","-1380.4483733506067","-1380.4483733506067","-1380.4483733506067","-1466.3467187843228","-1466.3467187843228","-1466.3467187843228","-1418.406426255619","-1418.406426255619","-1418.406426255619","-1169.425974904303","-1169.425974904303","-1169.425974904303","-1480.533272968761","-1480.533272968761","-1480.533272968761","-1441.8765712341526","-1441.8765712341526","-1441.8765712341526","-1463.663648407664","-1463.663648407664","-1463.663648407664","-1534.4336514545635","-1534.4336514545635","-1534.4336514545635","-1604.3740087026897","-1604.3740087026897","-1604.3740087026897","-1280.3778184422383","-1280.3778184422383","-1280.3778184422383","-1553.0321704986459","-1553.0321704986459","-1553.0321704986459","-1337.615795498315","-1337.615795498315","-1337.615795498315","-1518.9151018483074","-1518.9151018483074","-1518.9151018483074","-1492.8331559228586","-1492.8331559228586","-1492.8331559228586","-1425.7800041087091","-1425.7800041087091","-1425.7800041087091","-1512.6411314304346","-1512.6411314304346","-1512.6411314304346"
"2400","-1237.6436468888019","-1237.6436468888019","-1237.6436468888019","-1335.6030562966891","-1335.6030562966891","-1335.6030562966891","-1411.9419624918248","-1411.9419624918248","-1411.9419624918248","-1223.0032854490833","-1223.0032854490833","-1223.0032854490833","-1235.1191940621443","-1235.1191940621443","-1235.1191940621443","-1239.6850237643164","-1239.6850237643164","-1239.6850237643164","-1370.9224353943462","-1370.9224353943462","-1370.9224353943462","-781.1578653138184","-781.1578653138184","-781.1578653138184","-1229.1706779244505","-1229.1706779244505","-1229.1706779244505","-1407.1506469100354","-1407.1506469100354","-1407.1506469100354","-1394.8114874149437","-1394.8114874149437","-1394.8114874149437","-1420.5213157810865","-1420.5213157810865","-1420.5213157810865","-1212.8995261414875","-1212.8995261414875","-1212.8995261414875","-1315.3010092120508","-1315.3010092120508","-1315.3010092120508","-1251.7357704292883","-1251.7357704292883","-1251.7357704292883","-1305.764564602665","-1305.764564602665","-1305.764564602665","-1462.9747104813403","-1462.9747104813403","-1462.9747104813403","-1153.5602141274153","-1153.5602141274153","-1153.5602141274153","-1345.253840392959","-1345.253840392959","-1345.253840392959","-1276.735318415594","-1276.735318415594","-1276.735318415594"
"2700","-1088.7807619348264","-1088.7807619348264","-1088.7807619348264","-1268.9831643885427","-1268.9831643885427","-1268.9831643885427","-1306.3602947910535","-1306.3602947910535","-1306.3602947910535","-1124.4603296960645","-1124.4603296960645","-1124.4603296960645","-1145.604945051876","-1145.604945051876","-1145.604945051876","-1271.1780418940805","-1271.1780418940805","-1271.1780418940805","-1262.2860209092776","-1262.2860209092776","-1262.2860209092776","-663.9258269133105","-663.9258269133105","-663.9258269133105","-1066.4970828695455","-1066.4970828695455","-1066.4970828695455","-1188.7383988506938","-1188.7383988506938","-1188.7383988506938","-1176.5131481469048","-1176.5131481469048","-1176.5131481469048","-1151.5090953239282","-1151.5090953239282","-1151.5090953239282","-990.2550547271615","-990.2550547271615","-990.2550547271615","-1223.4754530273974","-1223.4754530273974","-1223.4754530273974","-1136.798068486695","-1136.798068486695","-1136.798068486695","-1069.8916343644407","-1069.8916343644407","-1069.8916343644407","-1101.8576286579307","-1101.8576286579307","-1101.8576286579307","-1015.191319406219","-1015.191319406219","-1015.191319406219","-1132.5353459924518","-1132.5353459924518","-1132.5353459924518","-1084.8144792668634","-1084.8144792668634","-1084.8144792668634"
