"Step","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1789.5561748518517","-1789.5561748518517","-1789.5561748518517","-1531.927155494879","-1531.927155494879","-1531.927155494879","-1701.5850099873562","-1701.5850099873562","-1701.5850099873562","-1660.6014988738575","-1660.6014988738575","-1660.6014988738575","-1714.1587029210314","-1714.1587029210314","-1714.1587029210314","-1085.831169134393","-1085.831169134393","-1085.831169134393","-1784.6949239948358","-1784.6949239948358","-1784.6949239948358","-1631.3785153985439","-1631.3785153985439","-1631.3785153985439","-1616.7125554575598","-1616.7125554575598","-1616.7125554575598","-1765.1065037109681","-1765.1065037109681","-1765.1065037109681"
"1500","-1497.9307574286584","-1497.9307574286584","-1497.9307574286584","-1471.6977469040587","-1471.6977469040587","-1471.6977469040587","-1573.4358933200106","-1573.4358933200106","-1573.4358933200106","-1790.2691632658582","-1790.2691632658582","-1790.2691632658582","-1815.4239024523508","-1815.4239024523508","-1815.4239024523508","-1713.853010955825","-1713.853010955825","-1713.853010955825","-1571.83655947903","-1571.83655947903","-1571.83655947903","-1605.082040699462","-1605.082040699462","-1605.082040699462","-1414.6282654901763","-1414.6282654901763","-1414.6282654901763","-1588.3440078791689","-1588.3440078791689","-1588.3440078791689"
"1800","-1458.5663552915753","-1458.5663552915753","-1458.5663552915753","-1460.8933680241212","-1460.8933680241212","-1460.8933680241212","-1471.7714233479949","-1471.7714233479949","-1471.7714233479949","-1480.6508091157943","-1480.6508091157943","-1480.6508091157943","-1552.6215785426796","-1552.6215785426796","-1552.6215785426796","-1523.2609451245326","-1523.2609451245326","-1523.2609451245326","-1410.9830911596137","-1410.9830911596137","-1410.9830911596137","-1478.9727280614356","-1478.9727280614356","-1478.9727280614356","-1443.8620866766546","-1443.8620866766546","-1443.8620866766546","-1464.4430437616804","-1464.4430437616804","-1464.4430437616804"
"2100","-1295.5240061629204","-1295.5240061629204","-1295.5240061629204","-1384.6524414388216","-1384.6524414388216","-1384.6524414388216","-1347.5904944199062","-1347.5904944199062","-1347.5904944199062","-1447.483318339746","-1447.483318339746","-1447.483318339746","-1381.8637187536483","-1381.8637187536483","-1381.8637187536483","-1404.9371633914213","-1404.9371633914213","-1404.9371633914213","-1415.0912044441209","-1415.0912044441209","-1415.0912044441209","-1555.9653589031698","-1555.9653589031698","-1555.9653589031698","-1435.6056128933212","-1435.6056128933212","-1435.6056128933212","-1412.3589273936755","-1412.3589273936755","-1412.3589273936755"
"2400","-1093.8383075412899","-1093.8383075412899","-1093.8383075412899","-1203.619289804289","-1203.619289804289","-1203.619289804289","-1093.5452005993623","-1093.5452005993623","-1093.5452005993623","-1319.4125265095659","-1319.4125265095659","-1319.4125265095659","-1215.8705869773003","-1215.8705869773003","-1215.8705869773003","-1119.4489144480206","-1119.4489144480206","-1119.4489144480206","-1319.6158575726733","-1319.6158575726733","-1319.6158575726733","-1133.4394028587574","-1133.4394028587574","-1133.4394028587574","-1283.3847359697836","-1283.3847359697836","-1283.3847359697836","-1155.2028671181529","-1155.2028671181529","-1155.2028671181529"
"2700","-1065.92724883627","-1065.92724883627","-1065.92724883627","-1058.710578620378","-1058.710578620378","-1058.710578620378","-849.676678127678","-849.676678127678","-849.676678127678","-1230.6915871861188","-1230.6915871861188","-1230.6915871861188","-1165.962317139771","-1165.962317139771","-1165.962317139771","-1019.4452980774983","-1019.4452980774983","-1019.4452980774983","-1230.636055335207","-1230.636055335207","-1230.636055335207","-1040.6170688021907","-1040.6170688021907","-1040.6170688021907","-1122.7874083826623","-1122.7874083826623","-1122.7874083826623","-942.4238510267884","-942.4238510267884","-942.4238510267884"
