"Step","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1684.3345797006054","-1684.3345797006054","-1684.3345797006054","-1536.8225569143672","-1536.8225569143672","-1536.8225569143672","-1672.3451175283578","-1672.3451175283578","-1672.3451175283578","-1704.6046333438057","-1704.6046333438057","-1704.6046333438057","-1490.5370466511936","-1490.5370466511936","-1490.5370466511936","-1487.5046591271082","-1487.5046591271082","-1487.5046591271082","-1636.4844685262567","-1636.4844685262567","-1636.4844685262567","-1472.141311107393","-1472.141311107393","-1472.141311107393","-1479.787352091312","-1479.787352091312","-1479.787352091312","-1660.000159649236","-1660.000159649236","-1660.000159649236"
"1500","-1667.1221652882373","-1667.1221652882373","-1667.1221652882373","-1575.0155891790723","-1575.0155891790723","-1575.0155891790723","-1581.83820372859","-1581.83820372859","-1581.83820372859","-1777.5219655436165","-1777.5219655436165","-1777.5219655436165","-1503.168487133451","-1503.168487133451","-1503.168487133451","-1512.220469437549","-1512.220469437549","-1512.220469437549","-1485.225549837731","-1485.225549837731","-1485.225549837731","-1480.5708653835763","-1480.5708653835763","-1480.5708653835763","-1466.7877212519627","-1466.7877212519627","-1466.7877212519627","-1468.454457817336","-1468.454457817336","-1468.454457817336"
"1800","-1410.1306335181246","-1410.1306335181246","-1410.1306335181246","-1440.9809027997792","-1440.9809027997792","-1440.9809027997792","-1339.013611766677","-1339.013611766677","-1339.013611766677","-1432.8001305274915","-1432.8001305274915","-1432.8001305274915","-1136.8535301412517","-1136.8535301412517","-1136.8535301412517","-1295.6382114879648","-1295.6382114879648","-1295.6382114879648","-1413.0651041074955","-1413.0651041074955","-1413.0651041074955","-1052.6089390894879","-1052.6089390894879","-1052.6089390894879","-1158.6275192519738","-1158.6275192519738","-1158.6275192519738","-1441.2341617364984","-1441.2341617364984","-1441.2341617364984"
"2100","-838.4612879348563","-838.4612879348563","-838.4612879348563","-1051.809825619112","-1051.809825619112","-1051.809825619112","-919.9944079627105","-919.9944079627105","-919.9944079627105","-1113.7875254420935","-1113.7875254420935","-1113.7875254420935","-1135.3620546069412","-1135.3620546069412","-1135.3620546069412","-1545.215444426418","-1545.215444426418","-1545.215444426418","-1440.1195937703926","-1440.1195937703926","-1440.1195937703926","-865.6810502215787","-865.6810502215787","-865.6810502215787","-937.2178702591775","-937.2178702591775","-937.2178702591775","-1128.848905305694","-1128.848905305694","-1128.848905305694"
"2400","-1185.106273117201","-1185.106273117201","-1185.106273117201","-1217.831315677075","-1217.831315677075","-1217.831315677075","-573.7022418632969","-573.7022418632969","-573.7022418632969","-1079.4478540917755","-1079.4478540917755","-1079.4478540917755","-1189.265849054083","-1189.265849054083","-1189.265849054083","-1297.7755951055979","-1297.7755951055979","-1297.7755951055979","-1571.0689921502976","-1571.0689921502976","-1571.0689921502976","-944.3641254657803","-944.3641254657803","-944.3641254657803","-766.8556209731503","-766.8556209731503","-766.8556209731503","-1492.5280614271153","-1492.5280614271153","-1492.5280614271153"
"2700","-772.8080601007114","-772.8080601007114","-772.8080601007114","-947.7701163050266","-947.7701163050266","-947.7701163050266","-1053.8471748645502","-1053.8471748645502","-1053.8471748645502","-1146.352191491316","-1146.352191491316","-1146.352191491316","-1085.8675216626589","-1085.8675216626589","-1085.8675216626589","-1194.7061314530697","-1194.7061314530697","-1194.7061314530697","-1583.4270670514625","-1583.4270670514625","-1583.4270670514625","-177.99519475849303","-177.99519475849303","-177.99519475849303","-549.8312421542239","-549.8312421542239","-549.8312421542239","-982.2001754521301","-982.2001754521301","-982.2001754521301"
