"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1213.725790290341","-1213.725790290341","-1213.725790290341","-1235.3243271172232","-1235.3243271172232","-1235.3243271172232","-1263.2593582176273","-1263.2593582176273","-1263.2593582176273","-1444.174137551196","-1444.174137551196","-1444.174137551196","-1489.7367707305043","-1489.7367707305043","-1489.7367707305043","-1444.0453343368458","-1444.0453343368458","-1444.0453343368458","-1233.9910276929802","-1233.9910276929802","-1233.9910276929802","-1265.5428782157455","-1265.5428782157455","-1265.5428782157455","-1494.0673254293633","-1494.0673254293633","-1494.0673254293633","-1076.9281651670208","-1076.9281651670208","-1076.9281651670208"
"300","-1212.6302777320475","-1212.6302777320475","-1212.6302777320475","-1239.1192314841394","-1239.1192314841394","-1239.1192314841394","-1252.0121549302005","-1252.0121549302005","-1252.0121549302005","-1442.22832405721","-1442.22832405721","-1442.22832405721","-1497.7460232826638","-1497.7460232826638","-1497.7460232826638","-1444.4709360285174","-1444.4709360285174","-1444.4709360285174","-1207.678837414177","-1207.678837414177","-1207.678837414177","-1263.1837232581463","-1263.1837232581463","-1263.1837232581463","-1495.5070226255466","-1495.5070226255466","-1495.5070226255466","-1069.2383852021426","-1069.2383852021426","-1069.2383852021426"
"600","-1219.9997406369475","-1219.9997406369475","-1219.9997406369475","-1238.0518408093099","-1238.0518408093099","-1238.0518408093099","-1259.0535876985548","-1259.0535876985548","-1259.0535876985548","-1453.318139932287","-1453.318139932287","-1453.318139932287","-1500.7760771053283","-1500.7760771053283","-1500.7760771053283","-1424.3081341802758","-1424.3081341802758","-1424.3081341802758","-1129.8702736657779","-1129.8702736657779","-1129.8702736657779","-1275.0533714033998","-1275.0533714033998","-1275.0533714033998","-1491.319149061604","-1491.319149061604","-1491.319149061604","-1042.7200197980283","-1042.7200197980283","-1042.7200197980283"
"900","-1210.6771921930563","-1210.6771921930563","-1210.6771921930563","-1235.332726283037","-1235.332726283037","-1235.332726283037","-1261.432975711647","-1261.432975711647","-1261.432975711647","-1449.0745834339984","-1449.0745834339984","-1449.0745834339984","-1500.7760771053283","-1500.7760771053283","-1500.7760771053283","-1429.2979685741159","-1429.2979685741159","-1429.2979685741159","-1213.0864766134719","-1213.0864766134719","-1213.0864766134719","-1273.0362603405752","-1273.0362603405752","-1273.0362603405752","-1491.319149061604","-1491.319149061604","-1491.319149061604","-1042.6405518297954","-1042.6405518297954","-1042.6405518297954"
"1200","-1780.5560498823293","-1780.5560498823293","-1780.5560498823293","-1452.929729882814","-1452.929729882814","-1452.929729882814","-1805.0757874937667","-1805.0757874937667","-1805.0757874937667","-1564.566196089461","-1564.566196089461","-1564.566196089461","-1381.40096704996","-1381.40096704996","-1381.40096704996","-1539.5294965111711","-1539.5294965111711","-1539.5294965111711","-1718.457262927571","-1718.457262927571","-1718.457262927571","-1371.9707215840426","-1371.9707215840426","-1371.9707215840426","-1464.4009052140505","-1464.4009052140505","-1464.4009052140505","-1681.148184608807","-1681.148184608807","-1681.148184608807"
"1500","-1675.7531703687819","-1675.7531703687819","-1675.7531703687819","-1535.0841139649526","-1535.0841139649526","-1535.0841139649526","-1479.2107485112167","-1479.2107485112167","-1479.2107485112167","-1538.6778680610082","-1538.6778680610082","-1538.6778680610082","-1637.8440416655844","-1637.8440416655844","-1637.8440416655844","-1500.4692526507429","-1500.4692526507429","-1500.4692526507429","-1525.4426056733505","-1525.4426056733505","-1525.4426056733505","-1640.9619177901345","-1640.9619177901345","-1640.9619177901345","-1517.2149250763798","-1517.2149250763798","-1517.2149250763798","-1675.0889079520991","-1675.0889079520991","-1675.0889079520991"
"1800","-1519.2899925776387","-1519.2899925776387","-1519.2899925776387","-1471.288171012414","-1471.288171012414","-1471.288171012414","-1454.695015654047","-1454.695015654047","-1454.695015654047","-1531.3958003765879","-1531.3958003765879","-1531.3958003765879","-1494.064989329593","-1494.064989329593","-1494.064989329593","-1457.6964257210798","-1457.6964257210798","-1457.6964257210798","-1487.191252265567","-1487.191252265567","-1487.191252265567","-1620.2198909019558","-1620.2198909019558","-1620.2198909019558","-1462.6896464835606","-1462.6896464835606","-1462.6896464835606","-1551.9145887994584","-1551.9145887994584","-1551.9145887994584"
"2100","-1466.0913612338084","-1466.0913612338084","-1466.0913612338084","-1437.884572988219","-1437.884572988219","-1437.884572988219","-1423.645104327437","-1423.645104327437","-1423.645104327437","-1477.993141017207","-1477.993141017207","-1477.993141017207","-1220.1607860664758","-1220.1607860664758","-1220.1607860664758","-1447.0202701064795","-1447.0202701064795","-1447.0202701064795","-1483.5242600694062","-1483.5242600694062","-1483.5242600694062","-1288.1986189885204","-1288.1986189885204","-1288.1986189885204","-1439.643563343263","-1439.643563343263","-1439.643563343263","-1412.6115354193166","-1412.6115354193166","-1412.6115354193166"
"2400","-1227.0792036273008","-1227.0792036273008","-1227.0792036273008","-1217.080631380211","-1217.080631380211","-1217.080631380211","-1160.2115397832117","-1160.2115397832117","-1160.2115397832117","-1368.1082060536805","-1368.1082060536805","-1368.1082060536805","-1306.6856023402786","-1306.6856023402786","-1306.6856023402786","-1262.4580667901018","-1262.4580667901018","-1262.4580667901018","-1242.4915408196184","-1242.4915408196184","-1242.4915408196184","-975.4126830863275","-975.4126830863275","-975.4126830863275","-1390.5380449571082","-1390.5380449571082","-1390.5380449571082","-1197.5810885357891","-1197.5810885357891","-1197.5810885357891"
"2700","-1114.3501502373215","-1114.3501502373215","-1114.3501502373215","-1056.0117814787911","-1056.0117814787911","-1056.0117814787911","-1086.6914017803188","-1086.6914017803188","-1086.6914017803188","-1196.0449099361044","-1196.0449099361044","-1196.0449099361044","-1154.1618394212644","-1154.1618394212644","-1154.1618394212644","-1004.7230483527494","-1004.7230483527494","-1004.7230483527494","-1072.2255015873604","-1072.2255015873604","-1072.2255015873604","-377.8372468550436","-377.8372468550436","-377.8372468550436","-1236.3279664561949","-1236.3279664561949","-1236.3279664561949","-1093.2015723782","-1093.2015723782","-1093.2015723782"
