"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1213.725790290341","-1213.725790290341","-1213.725790290341","-1235.3243271172232","-1235.3243271172232","-1235.3243271172232","-1263.2593582176273","-1263.2593582176273","-1263.2593582176273","-1444.174137551196","-1444.174137551196","-1444.174137551196","-1489.7367707305043","-1489.7367707305043","-1489.7367707305043","-1444.0453343368458","-1444.0453343368458","-1444.0453343368458","-1233.9910276929802","-1233.9910276929802","-1233.9910276929802","-1265.5428782157455","-1265.5428782157455","-1265.5428782157455","-1494.0673254293633","-1494.0673254293633","-1494.0673254293633","-1076.9281651670208","-1076.9281651670208","-1076.9281651670208"
"300","-1212.6302777320475","-1212.6302777320475","-1212.6302777320475","-1239.1192314841394","-1239.1192314841394","-1239.1192314841394","-1252.0121549302005","-1252.0121549302005","-1252.0121549302005","-1442.22832405721","-1442.22832405721","-1442.22832405721","-1497.7460232826638","-1497.7460232826638","-1497.7460232826638","-1444.4709360285174","-1444.4709360285174","-1444.4709360285174","-1207.678837414177","-1207.678837414177","-1207.678837414177","-1263.1837232581463","-1263.1837232581463","-1263.1837232581463","-1495.5070226255466","-1495.5070226255466","-1495.5070226255466","-1069.2383852021426","-1069.2383852021426","-1069.2383852021426"
"600","-1219.9997406369475","-1219.9997406369475","-1219.9997406369475","-1238.0518408093099","-1238.0518408093099","-1238.0518408093099","-1259.0535876985548","-1259.0535876985548","-1259.0535876985548","-1453.318139932287","-1453.318139932287","-1453.318139932287","-1500.7760771053283","-1500.7760771053283","-1500.7760771053283","-1424.3081341802758","-1424.3081341802758","-1424.3081341802758","-1129.8702736657779","-1129.8702736657779","-1129.8702736657779","-1275.0533714033998","-1275.0533714033998","-1275.0533714033998","-1491.319149061604","-1491.319149061604","-1491.319149061604","-1042.7200197980283","-1042.7200197980283","-1042.7200197980283"
"900","-1210.6771921930563","-1210.6771921930563","-1210.6771921930563","-1235.332726283037","-1235.332726283037","-1235.332726283037","-1261.432975711647","-1261.432975711647","-1261.432975711647","-1449.0745834339984","-1449.0745834339984","-1449.0745834339984","-1500.7760771053283","-1500.7760771053283","-1500.7760771053283","-1429.2979685741159","-1429.2979685741159","-1429.2979685741159","-1213.0864766134719","-1213.0864766134719","-1213.0864766134719","-1273.0362603405752","-1273.0362603405752","-1273.0362603405752","-1491.319149061604","-1491.319149061604","-1491.319149061604","-1042.6405518297954","-1042.6405518297954","-1042.6405518297954"
"1200","-1428.0998727205056","-1428.0998727205056","-1428.0998727205056","-1398.5201232962113","-1398.5201232962113","-1398.5201232962113","-1623.2040625604127","-1623.2040625604127","-1623.2040625604127","-1615.8321347142798","-1615.8321347142798","-1615.8321347142798","-1567.2651154485873","-1567.2651154485873","-1567.2651154485873","-1223.9814448898599","-1223.9814448898599","-1223.9814448898599","-1767.8386696128582","-1767.8386696128582","-1767.8386696128582","-1491.9852098587885","-1491.9852098587885","-1491.9852098587885","-1468.8675355960918","-1468.8675355960918","-1468.8675355960918","-1706.9679635348134","-1706.9679635348134","-1706.9679635348134"
"1500","-1808.4702733360707","-1808.4702733360707","-1808.4702733360707","-1470.1207543334904","-1470.1207543334904","-1470.1207543334904","-1536.4294218268808","-1536.4294218268808","-1536.4294218268808","-1500.877903731255","-1500.877903731255","-1500.877903731255","-1677.2529208694523","-1677.2529208694523","-1677.2529208694523","-1470.1034756015044","-1470.1034756015044","-1470.1034756015044","-1684.384070152452","-1684.384070152452","-1684.384070152452","-1529.2804564339342","-1529.2804564339342","-1529.2804564339342","-1410.0593299794268","-1410.0593299794268","-1410.0593299794268","-1640.423505818148","-1640.423505818148","-1640.423505818148"
"1800","-1518.2949830790335","-1518.2949830790335","-1518.2949830790335","-1382.8995568483376","-1382.8995568483376","-1382.8995568483376","-1422.4459865263448","-1422.4459865263448","-1422.4459865263448","-1290.8703777889646","-1290.8703777889646","-1290.8703777889646","-1269.5459356618178","-1269.5459356618178","-1269.5459356618178","-1416.0993847243321","-1416.0993847243321","-1416.0993847243321","-1321.3058939228015","-1321.3058939228015","-1321.3058939228015","-1126.9372746238098","-1126.9372746238098","-1126.9372746238098","-1257.1912318141192","-1257.1912318141192","-1257.1912318141192","-1135.0087975467104","-1135.0087975467104","-1135.0087975467104"
"2100","-1171.4619794766863","-1171.4619794766863","-1171.4619794766863","-1149.8208797863767","-1149.8208797863767","-1149.8208797863767","-836.4274882042142","-836.4274882042142","-836.4274882042142","-1016.2730993712964","-1016.2730993712964","-1016.2730993712964","-781.9961461727937","-781.9961461727937","-781.9961461727937","-1394.7254146410758","-1394.7254146410758","-1394.7254146410758","-943.2446008369116","-943.2446008369116","-943.2446008369116","-708.7948581589129","-708.7948581589129","-708.7948581589129","-1356.1253681599349","-1356.1253681599349","-1356.1253681599349","-881.3511533319746","-881.3511533319746","-881.3511533319746"
"2400","-199.24877545587074","-199.24877545587074","-199.24877545587074","-1359.1174911835226","-1359.1174911835226","-1359.1174911835226","-419.9121967203613","-419.9121967203613","-419.9121967203613","-917.1769164030957","-917.1769164030957","-917.1769164030957","-1290.9911345458124","-1290.9911345458124","-1290.9911345458124","-1328.811455948218","-1328.811455948218","-1328.811455948218","-986.8187185386796","-986.8187185386796","-986.8187185386796","-1302.6264952980698","-1302.6264952980698","-1302.6264952980698","-1083.1840950294477","-1083.1840950294477","-1083.1840950294477","-1273.7536693203408","-1273.7536693203408","-1273.7536693203408"
"2700","-240.18197035937388","-240.18197035937388","-240.18197035937388","-1372.8818695590326","-1372.8818695590326","-1372.8818695590326","-318.1491391565254","-318.1491391565254","-318.1491391565254","-1209.2932194876714","-1209.2932194876714","-1209.2932194876714","-1097.3626855974994","-1097.3626855974994","-1097.3626855974994","-1199.8194103561457","-1199.8194103561457","-1199.8194103561457","-868.1264629873676","-868.1264629873676","-868.1264629873676","-990.8257775467519","-990.8257775467519","-990.8257775467519","-969.6773493043823","-969.6773493043823","-969.6773493043823","-1345.3460950295396","-1345.3460950295396","-1345.3460950295396"
