"Step","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_19 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_19 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_19 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_18 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_18 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_18 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_17 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_17 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_17 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_16 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_16 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_16 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_15 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_15 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_15 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_14 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_14 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_14 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_13 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_13 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_13 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_12 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_12 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_12 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_11 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_11 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_11 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MAX"
"0","16.80951473146576","16.80951473146576","16.80951473146576","13.788447224985044","13.788447224985044","13.788447224985044","42.299381200309384","42.299381200309384","42.299381200309384","4.53764197294319","4.53764197294319","4.53764197294319","2.7113472675460186","2.7113472675460186","2.7113472675460186","13.96168542746552","13.96168542746552","13.96168542746552","6.525772680379954","6.525772680379954","6.525772680379954","4.723462580267801","4.723462580267801","4.723462580267801","12.649025796756186","12.649025796756186","12.649025796756186","22.142586886258325","22.142586886258325","22.142586886258325","5.618534182130749","5.618534182130749","5.618534182130749","28.935697458099174","28.935697458099174","28.935697458099174","15.015048724020795","15.015048724020795","15.015048724020795","17.18041673084686","17.18041673084686","17.18041673084686","8.42488460452272","8.42488460452272","8.42488460452272","2.693117183700034","2.693117183700034","2.693117183700034","7.876533768625142","7.876533768625142","7.876533768625142","36.27183051738649","36.27183051738649","36.27183051738649","4.327886977974736","4.327886977974736","4.327886977974736","2.95754412605061","2.95754412605061","2.95754412605061"
"4000","4.3878989716938905","4.3878989716938905","4.3878989716938905","49.26162722543383","49.26162722543383","49.26162722543383","17.84571460140958","17.84571460140958","17.84571460140958","10.138252839980424","10.138252839980424","10.138252839980424","58.04856301478314","58.04856301478314","58.04856301478314","14.982613682834687","14.982613682834687","14.982613682834687","27.69928003156334","27.69928003156334","27.69928003156334","28.391073480864634","28.391073480864634","28.391073480864634","39.14542186657502","39.14542186657502","39.14542186657502","7.23251154885386","7.23251154885386","7.23251154885386","1.0066032660752477","1.0066032660752477","1.0066032660752477","31.73447950009022","31.73447950009022","31.73447950009022","10.9436905886485","10.9436905886485","10.9436905886485","31.901489590686843","31.901489590686843","31.901489590686843","18.855586908732022","18.855586908732022","18.855586908732022","40.68282391276084","40.68282391276084","40.68282391276084","7.656827069520965","7.656827069520965","7.656827069520965","79.21078285059214","79.21078285059214","79.21078285059214","66.57390077873481","66.57390077873481","66.57390077873481","40.63921264163684","40.63921264163684","40.63921264163684"
"8000","4.67120476334051","4.67120476334051","4.67120476334051","48.389740291767325","48.389740291767325","48.389740291767325","18.639589246950575","18.639589246950575","18.639589246950575","14.044777615515489","14.044777615515489","14.044777615515489","57.92682056199891","57.92682056199891","57.92682056199891","52.401328071466594","52.401328071466594","52.401328071466594","46.95372896037141","46.95372896037141","46.95372896037141","29.243441407094696","29.243441407094696","29.243441407094696","47.51938322299133","47.51938322299133","47.51938322299133","53.99136950446914","53.99136950446914","53.99136950446914","0.9409934653692226","0.9409934653692226","0.9409934653692226","45.77034821714206","45.77034821714206","45.77034821714206","26.564193949266222","26.564193949266222","26.564193949266222","30.88515116278402","30.88515116278402","30.88515116278402","19.201736933278756","19.201736933278756","19.201736933278756","35.13096568493881","35.13096568493881","35.13096568493881","7.7993814106118124","7.7993814106118124","7.7993814106118124","65.08821940541063","65.08821940541063","65.08821940541063","67.00495766422068","67.00495766422068","67.00495766422068","46.499531146295695","46.499531146295695","46.499531146295695"
"12000","18.390169075260022","18.390169075260022","18.390169075260022","56.80006403584872","56.80006403584872","56.80006403584872","21.00495704707798","21.00495704707798","21.00495704707798","32.82814203518761","32.82814203518761","32.82814203518761","58.29370134315641","58.29370134315641","58.29370134315641","24.7943849950078","24.7943849950078","24.7943849950078","52.22364204430342","52.22364204430342","52.22364204430342","30.038588495232755","30.038588495232755","30.038588495232755","49.2349638109795","49.2349638109795","49.2349638109795","57.40003139555021","57.40003139555021","57.40003139555021","0.9409915278551176","0.9409915278551176","0.9409915278551176","48.70037228524073","48.70037228524073","48.70037228524073","24.836998606685732","24.836998606685732","24.836998606685732","34.92820931669546","34.92820931669546","34.92820931669546","60.749708670049664","60.749708670049664","60.749708670049664","9.866912474472183","9.866912474472183","9.866912474472183","18.024999094023304","18.024999094023304","18.024999094023304","57.53729371452484","57.53729371452484","57.53729371452484","67.57147819001952","67.57147819001952","67.57147819001952","36.67686963973216","36.67686963973216","36.67686963973216"
"16000","18.667805397206912","18.667805397206912","18.667805397206912","64.20192083100494","64.20192083100494","64.20192083100494","38.04496320765658","38.04496320765658","38.04496320765658","22.81312750276956","22.81312750276956","22.81312750276956","35.61585034952268","35.61585034952268","35.61585034952268","20.916676073303865","20.916676073303865","20.916676073303865","70.97385046526065","70.97385046526065","70.97385046526065","65.98423022620793","65.98423022620793","65.98423022620793","57.608967340257074","57.608967340257074","57.608967340257074","57.475144803452125","57.475144803452125","57.475144803452125","1.0187962560124164","1.0187962560124164","1.0187962560124164","45.160658985614695","45.160658985614695","45.160658985614695","80.30344763572403","80.30344763572403","80.30344763572403","65.2107435399989","65.2107435399989","65.2107435399989","58.25412767572906","58.25412767572906","58.25412767572906","24.478708337987058","24.478708337987058","24.478708337987058","125.60974553775868","125.60974553775868","125.60974553775868","58.07404654751228","58.07404654751228","58.07404654751228","68.11018715010489","68.11018715010489","68.11018715010489","28.428590860808903","28.428590860808903","28.428590860808903"
"20000","18.582158473138087","18.582158473138087","18.582158473138087","65.6230824534135","65.6230824534135","65.6230824534135","117.31643484998195","117.31643484998195","117.31643484998195","4.990939704592504","4.990939704592504","4.990939704592504","22.86122826954044","22.86122826954044","22.86122826954044","26.086195310344436","26.086195310344436","26.086195310344436","67.06183082345626","67.06183082345626","67.06183082345626","73.60123134467848","73.60123134467848","73.60123134467848","57.54096392612506","57.54096392612506","57.54096392612506","74.29318962066493","74.29318962066493","74.29318962066493","2.262672931441436","2.262672931441436","2.262672931441436","43.29040251737822","43.29040251737822","43.29040251737822","64.16566922889835","64.16566922889835","64.16566922889835","66.82552463489604","66.82552463489604","66.82552463489604","57.55164249394069","57.55164249394069","57.55164249394069","56.64941017356305","56.64941017356305","56.64941017356305","88.56592868280339","88.56592868280339","88.56592868280339","72.3735977828611","72.3735977828611","72.3735977828611","67.74730481981962","67.74730481981962","67.74730481981962","47.64080127346225","47.64080127346225","47.64080127346225"
"24000","18.76477024344478","18.76477024344478","18.76477024344478","88.12344932248799","88.12344932248799","88.12344932248799","60.70345751917857","60.70345751917857","60.70345751917857","42.10907599811738","42.10907599811738","42.10907599811738","46.3946509030572","46.3946509030572","46.3946509030572","14.297983646363292","14.297983646363292","14.297983646363292","128.44602918426503","128.44602918426503","128.44602918426503","67.80775665821496","67.80775665821496","67.80775665821496","56.7681039169528","56.7681039169528","56.7681039169528","73.15241006845258","73.15241006845258","73.15241006845258","2.7918883224064897","2.7918883224064897","2.7918883224064897","56.103750634625385","56.103750634625385","56.103750634625385","66.93131077320585","66.93131077320585","66.93131077320585","67.0697892911706","67.0697892911706","67.0697892911706","65.55851349785901","65.55851349785901","65.55851349785901","51.31534643624684","51.31534643624684","51.31534643624684","116.50680176704316","116.50680176704316","116.50680176704316","92.09238194173167","92.09238194173167","92.09238194173167","68.28157679162173","68.28157679162173","68.28157679162173","78.63622143373291","78.63622143373291","78.63622143373291"
"28000","21.5377131575192","21.5377131575192","21.5377131575192","127.80909260441345","127.80909260441345","127.80909260441345","41.81944995455153","41.81944995455153","41.81944995455153","36.9850079470592","36.9850079470592","36.9850079470592","58.45866182463685","58.45866182463685","58.45866182463685","63.58700974826472","63.58700974826472","63.58700974826472","114.17499337329157","114.17499337329157","114.17499337329157","99.67026406140864","99.67026406140864","99.67026406140864","68.4937785397234","68.4937785397234","68.4937785397234","73.5858175325246","73.5858175325246","73.5858175325246","3.1288403537368312","3.1288403537368312","3.1288403537368312","55.983702542455624","55.983702542455624","55.983702542455624","97.68493147626103","97.68493147626103","97.68493147626103","78.60952242257228","78.60952242257228","78.60952242257228","68.16477218327557","68.16477218327557","68.16477218327557","59.00206880976778","59.00206880976778","59.00206880976778","243.42942769618784","243.42942769618784","243.42942769618784","74.13232111978836","74.13232111978836","74.13232111978836","70.21456151133178","70.21456151133178","70.21456151133178","112.90333841124277","112.90333841124277","112.90333841124277"
"32000","22.061123354514695","22.061123354514695","22.061123354514695","99.24243095717196","99.24243095717196","99.24243095717196","124.80376686834343","124.80376686834343","124.80376686834343","49.95153990734115","49.95153990734115","49.95153990734115","58.334135697576265","58.334135697576265","58.334135697576265","82.49721806772375","82.49721806772375","82.49721806772375","143.22517611446625","143.22517611446625","143.22517611446625","66.68392495761081","66.68392495761081","66.68392495761081","68.39735183948633","68.39735183948633","68.39735183948633","133.7959881956661","133.7959881956661","133.7959881956661","2.900156984114775","2.900156984114775","2.900156984114775","46.85308669402038","46.85308669402038","46.85308669402038","80.86052957365114","80.86052957365114","80.86052957365114","74.27621419659927","74.27621419659927","74.27621419659927","77.96521756939106","77.96521756939106","77.96521756939106","61.55355148350468","61.55355148350468","61.55355148350468","211.7016774414502","211.7016774414502","211.7016774414502","47.04294573757744","47.04294573757744","47.04294573757744","90.03737594828677","90.03737594828677","90.03737594828677","123.71640531973301","123.71640531973301","123.71640531973301"
"36000","37.893239954124944","37.893239954124944","37.893239954124944","110.82477046316168","110.82477046316168","110.82477046316168","82.41613741886167","82.41613741886167","82.41613741886167","51.19748634857653","51.19748634857653","51.19748634857653","56.01383053644538","56.01383053644538","56.01383053644538","76.91208664356245","76.91208664356245","76.91208664356245","185.68725485980104","185.68725485980104","185.68725485980104","76.77763630455095","76.77763630455095","76.77763630455095","78.91714888550841","78.91714888550841","78.91714888550841","142.8217062462144","142.8217062462144","142.8217062462144","4.1347367708397","4.1347367708397","4.1347367708397","63.27199274028819","63.27199274028819","63.27199274028819","82.90513470903156","82.90513470903156","82.90513470903156","100.4687081601412","100.4687081601412","100.4687081601412","82.68883894547696","82.68883894547696","82.68883894547696","62.44684478224658","62.44684478224658","62.44684478224658","279.39641573524585","279.39641573524585","279.39641573524585","135.2199670636611","135.2199670636611","135.2199670636611","120.79549243934655","120.79549243934655","120.79549243934655","153.3829733450381","153.3829733450381","153.3829733450381"
