"Step","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MAX","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MIN","DDPG_UTE_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MAX"
"0","16.898409962333137","16.898409962333137","16.898409962333137","13.950179759080475","13.950179759080475","13.950179759080475","13.084039295407056","13.084039295407056","13.084039295407056","6.735281412406154","6.735281412406154","6.735281412406154","37.358347828168235","37.358347828168235","37.358347828168235","4.724113165216677","4.724113165216677","4.724113165216677","4.565444578972584","4.565444578972584","4.565444578972584","4.325637675562012","4.325637675562012","4.325637675562012","2.7063975477321565","2.7063975477321565","2.7063975477321565","2.9688177644235525","2.9688177644235525","2.9688177644235525"
"4000","18.403504349115707","18.403504349115707","18.403504349115707","8.161078816843279","8.161078816843279","8.161078816843279","28.06871993275633","28.06871993275633","28.06871993275633","27.66022453606904","27.66022453606904","27.66022453606904","6.73727858595222","6.73727858595222","6.73727858595222","8.462774926999296","8.462774926999296","8.462774926999296","5.5106355757286165","5.5106355757286165","5.5106355757286165","4.6371197600024585","4.6371197600024585","4.6371197600024585","20.040673936350565","20.040673936350565","20.040673936350565","2.3960858665164784","2.3960858665164784","2.3960858665164784"
"8000","4.387900373273559","4.387900373273559","4.387900373273559","13.60055981895967","13.60055981895967","13.60055981895967","12.354394864593024","12.354394864593024","12.354394864593024","25.607305745281725","25.607305745281725","25.607305745281725","10.012904458688155","10.012904458688155","10.012904458688155","5.3368698144808056","5.3368698144808056","5.3368698144808056","7.333855115715754","7.333855115715754","7.333855115715754","74.27694248009706","74.27694248009706","74.27694248009706","29.760337266131955","29.760337266131955","29.760337266131955","8.01416457769886","8.01416457769886","8.01416457769886"
"12000","14.666543940864994","14.666543940864994","14.666543940864994","13.634103155994001","13.634103155994001","13.634103155994001","26.70239097011649","26.70239097011649","26.70239097011649","55.6203506032668","55.6203506032668","55.6203506032668","18.960630907590172","18.960630907590172","18.960630907590172","4.7840456440013375","4.7840456440013375","4.7840456440013375","4.697675244726703","4.697675244726703","4.697675244726703","67.58036820759747","67.58036820759747","67.58036820759747","39.06537968616228","39.06537968616228","39.06537968616228","29.675942620018425","29.675942620018425","29.675942620018425"
"16000","18.51093364912635","18.51093364912635","18.51093364912635","13.68491043832039","13.68491043832039","13.68491043832039","44.125740905723234","44.125740905723234","44.125740905723234","55.82472842198283","55.82472842198283","55.82472842198283","46.48081657273541","46.48081657273541","46.48081657273541","64.3165184270273","64.3165184270273","64.3165184270273","4.509323483670486","4.509323483670486","4.509323483670486","67.58093958493498","67.58093958493498","67.58093958493498","77.57506082070347","77.57506082070347","77.57506082070347","16.56473138488597","16.56473138488597","16.56473138488597"
"20000","18.34891450614014","18.34891450614014","18.34891450614014","17.35161029752829","17.35161029752829","17.35161029752829","45.324447594593835","45.324447594593835","45.324447594593835","107.23342989354447","107.23342989354447","107.23342989354447","78.98381990020488","78.98381990020488","78.98381990020488","33.27048260534442","33.27048260534442","33.27048260534442","4.478298211346573","4.478298211346573","4.478298211346573","67.58225812640697","67.58225812640697","67.58225812640697","80.2030097041952","80.2030097041952","80.2030097041952","41.570130268830624","41.570130268830624","41.570130268830624"
"24000","18.498430567303895","18.498430567303895","18.498430567303895","17.505505063576894","17.505505063576894","17.505505063576894","65.10422974477804","65.10422974477804","65.10422974477804","83.65429052589157","83.65429052589157","83.65429052589157","49.95973846797425","49.95973846797425","49.95973846797425","51.71115711039685","51.71115711039685","51.71115711039685","19.772491097945842","19.772491097945842","19.772491097945842","65.9218009716898","65.9218009716898","65.9218009716898","81.35598268632495","81.35598268632495","81.35598268632495","29.265086115524205","29.265086115524205","29.265086115524205"
"28000","48.67297031478403","48.67297031478403","48.67297031478403","16.558965280148463","16.558965280148463","16.558965280148463","69.59406248950144","69.59406248950144","69.59406248950144","109.88850702920226","109.88850702920226","109.88850702920226","33.864889577957754","33.864889577957754","33.864889577957754","62.01798886204883","62.01798886204883","62.01798886204883","33.59226973339432","33.59226973339432","33.59226973339432","65.98005335090168","65.98005335090168","65.98005335090168","81.60396627296407","81.60396627296407","81.60396627296407","42.70741030999638","42.70741030999638","42.70741030999638"
"32000","128.82303092495218","128.82303092495218","128.82303092495218","18.17379037357057","18.17379037357057","18.17379037357057","66.64568291158918","66.64568291158918","66.64568291158918","77.99713693708956","77.99713693708956","77.99713693708956","25.29743927042326","25.29743927042326","25.29743927042326","51.31693418582237","51.31693418582237","51.31693418582237","20.005986732080146","20.005986732080146","20.005986732080146","66.36861360711247","66.36861360711247","66.36861360711247","78.60227959213887","78.60227959213887","78.60227959213887","42.30395376133413","42.30395376133413","42.30395376133413"
"36000","111.02862894326128","111.02862894326128","111.02862894326128","23.29789587484901","23.29789587484901","23.29789587484901","85.99986715797517","85.99986715797517","85.99986715797517","131.73578726437356","131.73578726437356","131.73578726437356","48.35581886476945","48.35581886476945","48.35581886476945","59.33630120998964","59.33630120998964","59.33630120998964","59.404203752093075","59.404203752093075","59.404203752093075","66.44426202737449","66.44426202737449","66.44426202737449","66.10330106358836","66.10330106358836","66.10330106358836","46.51921216630329","46.51921216630329","46.51921216630329"
