"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: DDQN - eval/avg_reward","Group: DDQN - eval/avg_reward__MIN","Group: DDQN - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX"
"0","-100.1","-101","-100","-100","-100","-100","-100.125","-101","-100","-100.125","-101","-100","-100.125","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"500","-100.1","-101","-100","-100","-100","-100","-100.125","-101","-100","-100.125","-101","-100","-100.125","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1000","-100.1","-101","-100","-100","-100","-100","-100.125","-101","-100","-100.125","-101","-100","-100.125","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100.1","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101.25","-110","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-92.2","-100","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4000","-100","-100","-100","-101.3","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-93.5","-112","-23","-101.1","-111","-100","-92.2","-100","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4500","-92","-100","-20","-102.4","-113","-100","-101.5","-112","-100","-101.375","-111","-100","-90.25","-100","-22","-94.1","-119","-22","-100","-100","-100","-100","-100","-100","-93.5","-115","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5000","-100","-100","-100","-100","-100","-100","-90","-100","-20","-101.375","-111","-100","-90.25","-100","-22","-92.2","-100","-22","-92.2","-100","-22","-84.7","-100","-23","-84.1","-100","-20","-84.2","-100","-21","-100","-100","-100","-102.2","-111","-100"
"5500","-100","-100","-100","-100","-100","-100","-81.75","-112","-20","-92.375","-119","-20","-83.875","-116","-20","-92","-100","-20","-78.5","-111","-23","-84.6","-100","-20","-77.8","-115","-20","-84","-100","-20","-86.66666666666667","-100","-20","-100","-100","-100"
"6000","-100","-100","-100","-100","-100","-100","-83.375","-113","-20","-96.5","-119","-22","-80","-100","-20","-96.3","-123","-20","-94.6","-117","-20","-76.7","-100","-22","-78","-116","-20","-84","-100","-20","-102.66666666666667","-116","-100","-100","-100","-100"
