"Step","DQN_EQL_ZigZag_100 - eval/avg_reward","DQN_EQL_ZigZag_100 - eval/avg_reward__MIN","DQN_EQL_ZigZag_100 - eval/avg_reward__MAX","DQN_EQL_ZigZag_50 - eval/avg_reward","DQN_EQL_ZigZag_50 - eval/avg_reward__MIN","DQN_EQL_ZigZag_50 - eval/avg_reward__MAX","DQN_EQL_ZigZag_90 - eval/avg_reward","DQN_EQL_ZigZag_90 - eval/avg_reward__MIN","DQN_EQL_ZigZag_90 - eval/avg_reward__MAX","DQN_EQL_ZigZag_40 - eval/avg_reward","DQN_EQL_ZigZag_40 - eval/avg_reward__MIN","DQN_EQL_ZigZag_40 - eval/avg_reward__MAX","DQN_EQL_ZigZag_80 - eval/avg_reward","DQN_EQL_ZigZag_80 - eval/avg_reward__MIN","DQN_EQL_ZigZag_80 - eval/avg_reward__MAX","DQN_EQL_ZigZag_30 - eval/avg_reward","DQN_EQL_ZigZag_30 - eval/avg_reward__MIN","DQN_EQL_ZigZag_30 - eval/avg_reward__MAX","DQN_EQL_ZigZag_70 - eval/avg_reward","DQN_EQL_ZigZag_70 - eval/avg_reward__MIN","DQN_EQL_ZigZag_70 - eval/avg_reward__MAX","DQN_EQL_ZigZag_20 - eval/avg_reward","DQN_EQL_ZigZag_20 - eval/avg_reward__MIN","DQN_EQL_ZigZag_20 - eval/avg_reward__MAX","DQN_EQL_ZigZag_60 - eval/avg_reward","DQN_EQL_ZigZag_60 - eval/avg_reward__MIN","DQN_EQL_ZigZag_60 - eval/avg_reward__MAX","DQN_EQL_ZigZag_10 - eval/avg_reward","DQN_EQL_ZigZag_10 - eval/avg_reward__MIN","DQN_EQL_ZigZag_10 - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4000","-100","-100","-100","-100","-100","-100","-117","-117","-117","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113"
"5000","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-104","-104","-104","-101","-101","-101","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113"
"5500","-100","-100","-100","-114","-114","-114","-100","-100","-100","-111","-111","-111","-101","-101","-101","-101","-101","-101","-100","-100","-100","-121","-121","-121","-100","-100","-100","-113","-113","-113"
"6000","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-104","-104","-104","-109","-109","-109","-100","-100","-100","-117","-117","-117","-100","-100","-100","-113","-113","-113"
"6500","-23","-23","-23","-114","-114","-114","-31","-31","-31","-100","-100","-100","-101","-101","-101","-109","-109","-109","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113"
"7000","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-110","-110","-110","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100"
"7500","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-101","-101","-101","-101","-101","-101","-100","-100","-100","-20","-20","-20","-100","-100","-100","-113","-113","-113"
"8000","-20","-20","-20","-100","-100","-100","-120","-120","-120","-100","-100","-100","-109","-109","-109","-101","-101","-101","-100","-100","-100","-21","-21","-21","-100","-100","-100","-100","-100","-100"
"8500","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-101","-101","-101","-101","-101","-101","-100","-100","-100","-20","-20","-20","-117","-117","-117","-100","-100","-100"
"9000","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-101","-101","-101","-101","-101","-101","-21","-21","-21","-22","-22","-22","-100","-100","-100","-113","-113","-113"
"9500","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-109","-109","-109","-101","-101","-101","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"10000","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-103","-103","-103","-101","-101","-101","-100","-100","-100","-20","-20","-20","-20","-20","-20","-113","-113","-113"
"10500","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-101","-101","-101","-100","-100","-100","-21","-21","-21","-20","-20","-20","-20","-20","-20","-21","-21","-21"
"11000","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-111","-111","-111","-100","-100","-100","-21","-21","-21","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"11500","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-102","-102","-102","-102","-102","-102","-21","-21","-21","-20","-20","-20","-21","-21","-21","-21","-21","-21"
"12000","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-110","-110","-110","-103","-103","-103","-21","-21","-21","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"12500","-100","-100","-100","-22","-22","-22","-100","-100","-100","-119","-119","-119","-20","-20","-20","-117","-117","-117","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"13000","-20","-20","-20","-22","-22","-22","-100","-100","-100","-119","-119","-119","-101","-101","-101","-20","-20","-20","-21","-21","-21","-20","-20","-20","-100","-100","-100","-20","-20","-20"
"13500","-20","-20","-20","-22","-22","-22","-100","-100","-100","-119","-119","-119","-104","-104","-104","-20","-20","-20","-21","-21","-21","-23","-23","-23","-100","-100","-100","-20","-20","-20"
"14000","-20","-20","-20","-22","-22","-22","-20","-20","-20","-119","-119","-119","-101","-101","-101","-20","-20","-20","-21","-21","-21","-100","-100","-100","-100","-100","-100","-20","-20","-20"
"14500","-20","-20","-20","-100","-100","-100","-20","-20","-20","-119","-119","-119","-109","-109","-109","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"15000","-20","-20","-20","-100","-100","-100","-100","-100","-100","-121","-121","-121","-101","-101","-101","-20","-20","-20","-20","-20","-20","-120","-120","-120","-20","-20","-20","-20","-20","-20"
"15500","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-101","-101","-101","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"16000","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-101","-101","-101","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100"
"16500","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-103","-103","-103","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100"
"17000","-20","-20","-20","-100","-100","-100","-20","-20","-20","-116","-116","-116","-101","-101","-101","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100"
"17500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-116","-116","-116","-101","-101","-101","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100"
"18000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-116","-116","-116","-101","-101","-101","-22","-22","-22","-20","-20","-20","-100","-100","-100","-21","-21","-21","-111","-111","-111"
"18500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-104","-104","-104","-20","-20","-20","-20","-20","-20","-100","-100","-100","-21","-21","-21","-100","-100","-100"
"19000","-20","-20","-20","-20","-20","-20","-23","-23","-23","-100","-100","-100","-102","-102","-102","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-110","-110","-110"
"19500","-20","-20","-20","-20","-20","-20","-23","-23","-23","-100","-100","-100","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"20000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-103","-103","-103","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"20500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110"
"21000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-23","-23","-23","-111","-111","-111"
"21500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-102","-102","-102","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111"
"22000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-103","-103","-103","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"22500","-20","-20","-20","-23","-23","-23","-20","-20","-20","-20","-20","-20","-111","-111","-111","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"23000","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-22","-22","-22","-20","-20","-20","-23","-23","-23","-20","-20","-20","-20","-20","-20"
"23500","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-22","-22","-22","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"24000","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"24500","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-109","-109","-109"
"25000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-109","-109","-109"
"25500","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"26000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110"
"26500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"27000","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20","-102","-102","-102","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"27500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-104","-104","-104","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111"
"28000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110"
"28500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"29000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"29500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110"
"30000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-23","-23","-23"
"30500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-104","-104","-104","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"31000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"31500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-103","-103","-103","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110"
"32000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"32500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"33000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111"
"33500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"34000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"34500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"35000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"35500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"36000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-104","-104","-104","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"36500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"37000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"37500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"38000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"38500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-103","-103","-103","-110","-110","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"39000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"39500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-104","-104","-104","-110","-110","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"40000","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"40500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"41000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109"
"41500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"42000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"42500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"43000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"43500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-104","-104","-104","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"44000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"44500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-103","-103","-103","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111"
"45000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"45500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-104","-104","-104","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"46000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"46500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-109","-109","-109","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"47000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"47500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"48000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"48500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-110","-110","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"49000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-110","-110","-110"
"49500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"50000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-101","-101","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-111","-111","-111"
