"Step","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: UTE_linear - eval/avg_reward","Group: UTE_linear - eval/avg_reward__MIN","Group: UTE_linear - eval/avg_reward__MAX","Group: EQL_linear001 - eval/avg_reward","Group: EQL_linear001 - eval/avg_reward__MIN","Group: EQL_linear001 - eval/avg_reward__MAX","Group: DDQN_linear - eval/avg_reward","Group: DDQN_linear - eval/avg_reward__MIN","Group: DDQN_linear - eval/avg_reward__MAX","Group: TempoRL_linear - eval/avg_reward","Group: TempoRL_linear - eval/avg_reward__MIN","Group: TempoRL_linear - eval/avg_reward__MAX"
"0","-100.2","-102","-100","-100.8","-107","-100","-100.2","-102","-100","-100.2","-102","-100","-100.2","-102","-100"
"500","-100.2","-102","-100","-100.8","-107","-100","-100.2","-102","-100","-100.2","-102","-100","-100.2","-102","-100"
"1000","-100.2","-102","-100","-100.8","-107","-100","-100.1","-101","-100","-100.1","-101","-100","-100.2","-102","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100.5","-105","-100"
"2500","-91.3","-100","-13","-100.5","-105","-100","-101.4","-105","-100","-100","-100","-100","-102.6","-108","-100"
"3000","-92","-106","-14","-102.7","-107","-100","-104","-107","-100","-100","-100","-100","-102.8","-109","-100"
"3500","-74.7","-107","-13","-93.2","-107","-15","-86.1","-106","-13","-100","-100","-100","-93.3","-106","-13"
"4000","-57.2","-107","-13","-83.8","-106","-13","-59.5","-106","-13","-100","-100","-100","-67","-106","-13"
"4500","-48","-100","-13","-65.6","-104","-13","-49.6","-105","-13","-100","-100","-100","-40.3","-106","-13"
"5000","-47.9","-100","-13","-31.3","-109","-13","-31.3","-105","-13","-100","-100","-100","-39.8","-105","-13"
"5500","-30.9","-100","-13","-40","-109","-13","-13","-13","-13","-100","-100","-100","-31.4","-105","-13"
"6000","-22.1","-100","-13","-40","-109","-13","-13","-13","-13","-91.3","-100","-13","-31.1","-105","-13"
"6500","-22.1","-100","-13","-30.4","-100","-13","-13.1","-14","-13","-91.3","-100","-13","-13.4","-15","-13"
"7000","-22.2","-100","-13","-39.4","-100","-13","-21.8","-100","-13","-91.3","-100","-13","-13.3","-15","-13"
"7500","-22.5","-100","-13","-48.9","-109","-13","-13.4","-14","-13","-91.3","-100","-13","-13","-13","-13"
"8000","-13.9","-16","-13","-48.1","-100","-13","-22.3","-100","-13","-91.3","-100","-13","-13","-13","-13"
"8500","-13.4","-15","-13","-47.8","-100","-13","-22.2","-100","-13","-91.3","-100","-13","-21.7","-100","-13"
"9000","-13.3","-15","-13","-48.2","-104","-13","-30.9","-100","-13","-91.3","-100","-13","-21.7","-100","-13"
"9500","-13.3","-15","-13","-30.6","-100","-13","-30.9","-100","-13","-82.6","-100","-13","-30.6","-100","-13"
"10000","-13.3","-15","-13","-31.1","-104","-13","-30.8","-100","-13","-83.8","-112","-13","-39.5","-100","-13"
"10500","-13.2","-14","-13","-30.6","-100","-13","-21.9","-100","-13","-83.8","-112","-13","-39.1","-100","-13"
"11000","-13.7","-19","-13","-22.1","-100","-13","-21.9","-100","-13","-84.9","-112","-13","-30.4","-100","-13"
"11500","-13","-13","-13","-22.2","-100","-13","-21.8","-100","-13","-84.9","-112","-13","-30.6","-100","-13"
"12000","-21.7","-100","-13","-22.2","-100","-13","-22","-100","-13","-83.8","-112","-13","-39.9","-104","-13"
"12500","-13","-13","-13","-21.9","-100","-13","-30.6","-100","-13","-92.5","-112","-13","-39.9","-104","-13"
"13000","-13","-13","-13","-21.9","-100","-13","-21.7","-100","-13","-83.8","-112","-13","-48.2","-104","-13"
"13500","-14.2","-19","-13","-22.1","-100","-13","-30.4","-100","-13","-75.1","-112","-13","-48.6","-104","-13"
"14000","-13","-13","-13","-30.4","-100","-13","-13.2","-14","-13","-75.1","-112","-13","-39.1","-100","-13"
"14500","-13.1","-14","-13","-21.9","-100","-13","-22.1","-100","-13","-75.1","-112","-13","-30.7","-100","-13"
"15000","-13.6","-19","-13","-21.9","-100","-13","-21.9","-100","-13","-75.1","-112","-13","-30.5","-100","-13"
"15500","-13.6","-19","-13","-21.9","-100","-13","-13.1","-14","-13","-73.9","-100","-13","-30.4","-100","-13"
"16000","-13.1","-14","-13","-21.9","-100","-13","-21.8","-100","-13","-73.9","-100","-13","-22.1","-100","-13"
"16500","-13.6","-19","-13","-21.7","-100","-13","-13.1","-14","-13","-65.4","-100","-13","-30.4","-100","-13"
"17000","-13.7","-19","-13","-13","-13","-13","-13.1","-14","-13","-57.9","-112","-13","-31.2","-108","-13"
"17500","-13.8","-21","-13","-39.6","-105","-13","-13.1","-14","-13","-57.9","-114","-13","-21.7","-100","-13"
