"Step","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: UTE_linear - eval/avg_reward","Group: UTE_linear - eval/avg_reward__MIN","Group: UTE_linear - eval/avg_reward__MAX","Group: EQL_linear001 - eval/avg_reward","Group: EQL_linear001 - eval/avg_reward__MIN","Group: EQL_linear001 - eval/avg_reward__MAX","Group: DDQN_linear - eval/avg_reward","Group: DDQN_linear - eval/avg_reward__MIN","Group: DDQN_linear - eval/avg_reward__MAX","Group: TempoRL_linear - eval/avg_reward","Group: TempoRL_linear - eval/avg_reward__MIN","Group: TempoRL_linear - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3500","-40.2","-100","-13","-82.6","-100","-13","-82.8","-100","-14","-91.3","-100","-13","-82.6","-100","-13"
"4000","-31.6","-100","-13","-48.1","-100","-13","-57.4","-100","-13","-91.3","-100","-13","-48.8","-100","-13"
"4500","-23.6","-100","-13","-40.2","-100","-13","-14.3","-16","-13","-91.3","-100","-13","-40.2","-100","-13"
"5000","-22.9","-100","-13","-22.3","-100","-13","-31.5","-100","-13","-74.1","-100","-13","-40.5","-100","-13"
"5500","-13.6","-15","-13","-22.2","-100","-13","-40.4","-100","-13","-56.9","-100","-13","-48","-100","-13"
"6000","-14.4","-16","-13","-21.9","-100","-13","-31.2","-100","-13","-56.7","-100","-13","-47.9","-100","-13"
"6500","-14","-17","-13","-31","-100","-13","-15","-18","-13","-39.5","-100","-13","-39.2","-100","-13"
"7000","-13.9","-16","-13","-21.9","-100","-13","-22.9","-100","-13","-39.1","-100","-13","-39.4","-100","-13"
"7500","-14.2","-16","-13","-21.9","-100","-13","-13.7","-18","-13","-39.1","-100","-13","-21.8","-100","-13"
"8000","-13.7","-17","-13","-21.7","-100","-13","-13.6","-15","-13","-30.4","-100","-13","-13.3","-15","-13"
"8500","-13.6","-16","-13","-13.1","-14","-13","-13.7","-18","-13","-21.7","-100","-13","-13.2","-14","-13"
"9000","-13.6","-16","-13","-13","-13","-13","-13.6","-18","-13","-30.4","-100","-13","-13.2","-14","-13"
"9500","-13.6","-16","-13","-13","-13","-13","-14.4","-17","-13","-21.7","-100","-13","-13","-13","-13"
"10000","-13.3","-14","-13","-13","-13","-13","-14.2","-17","-13","-21.7","-100","-13","-13","-13","-13"
"10500","-13.6","-16","-13","-13","-13","-13","-13.6","-17","-13","-21.7","-100","-13","-13","-13","-13"
"11000","-13.1","-14","-13","-13","-13","-13","-13.1","-14","-13","-21.7","-100","-13","-13","-13","-13"
"11500","-13.2","-14","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-13","-13","-13"
"12000","-13.2","-14","-13","-13","-13","-13","-13.3","-15","-13","-13","-13","-13","-13.1","-14","-13"
"12500","-13","-13","-13","-13","-13","-13","-13.3","-16","-13","-21.7","-100","-13","-13.2","-14","-13"
"13000","-13","-13","-13","-13","-13","-13","-13.4","-15","-13","-13","-13","-13","-13.1","-14","-13"
"13500","-13","-13","-13","-13","-13","-13","-13.2","-15","-13","-30.4","-100","-13","-13","-13","-13"
"14000","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-13","-13","-13"
"14500","-13","-13","-13","-13","-13","-13","-13.1","-14","-13","-13","-13","-13","-13","-13","-13"
"15000","-13","-13","-13","-13","-13","-13","-13.4","-16","-13","-21.7","-100","-13","-13","-13","-13"
"15500","-13.3","-16","-13","-13","-13","-13","-13.1","-14","-13","-21.7","-100","-13","-13","-13","-13"
"16000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-21.7","-100","-13","-13","-13","-13"
"16500","-13.6","-19","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"17000","-13","-13","-13","-13","-13","-13","-21.7","-100","-13","-30.4","-100","-13","-13","-13","-13"
"17500","-13","-13","-13","-13","-13","-13","-13.3","-15","-13","-13","-13","-13","-13","-13","-13"
"18000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-21.7","-100","-13","-13","-13","-13"
"18500","-13.1","-14","-13","-13","-13","-13","-13","-13","-13","-30.4","-100","-13","-13","-13","-13"
"19000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"19500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20500","-13.3","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21500","-13.3","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
