"Step","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"0","-8.649471097812755","-11.209297083326726","-6.466824002858729","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.651614620822215","-11.218960380429193","-6.477834135177122"
"500","-8.651347312933108","-11.209297083326726","-6.466824002858729","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.651614620822215","-11.218960380429193","-6.477834135177122"
"1000","-9.714510037113744","-12.447576490887906","-6.466824002858729","-9.562276120110502","-12.26102237836943","-6.814161327428477","-8.646299851263203","-11.203174086344177","-6.468378661585428","-8.646299851263203","-11.203174086344177","-6.468378661585428","-11.234582616924934","-14.940150136630738","-8.857776892487776"
"1500","-12.510225111496357","-18.068867097629578","-7.276278589359643","-18.424499026060264","-41.66460927696137","-8.500568345084847","-17.79417716869949","-38.890740057310175","-7.706003028448532","-17.505380485141647","-32.94279724099393","-9.07746077242582","-23.67965872150576","-41.4326961648929","-11.163601982449041"
"2000","-10.681330810420743","-13.6194738884407","-6.984009902660626","-11.957306985134698","-28.16883292271944","-7.492039023544436","-15.131157659117942","-38.8907021681436","-5.743821860526763","-11.553649632500234","-19.579088683613936","-7.994712163882288","-14.807437992532396","-31.91067805670583","-6.717266130373614"
"2500","-11.716071758401966","-19.95372034364591","-6.651693635646166","-8.435662400282284","-11.85198551656273","-6.103783852061866","-12.562500584678286","-27.378376851553792","-5.883155908351222","-10.354562091809669","-13.347825031953159","-7.577261336355586","-13.565387077572648","-22.539754367988387","-6.939191053989876"
"3000","-9.005312345532811","-14.444514320933731","-5.941401429912553","-8.86684109453084","-13.777500691783672","-6.882162663394761","-9.730167073354519","-13.17523307811355","-6.736736199383661","-9.29506363974823","-13.414643144421788","-5.737680354186805","-11.080183905535126","-25.450082920340044","-5.58484701561571"
"3500","-7.364831665263988","-13.08663938742078","-5.092011660621497","-8.34513023976286","-12.144290395004777","-6.338190735733304","-10.455327201298086","-19.30400061660088","-4.599183418734368","-8.788478717706049","-21.777501892048853","-3.8032308641369377","-7.210413799666658","-10.211137943053583","-4.4023195833806765"
"4000","-8.35423847633313","-19.988312230164013","-5.321033494447983","-8.502928108801498","-21.221916058846038","-4.403589359772482","-8.215205380663837","-11.684681832253691","-5.39936360841952","-7.284187886692711","-12.686947625223283","-4.896241997778351","-7.273318809373843","-9.314263847688412","-5.590238287906592"
"4500","-7.343880053007473","-16.464408046879395","-3.863521946104716","-7.391118095655811","-10.897960922705225","-3.982142372962355","-5.851389860175531","-7.50012099654388","-3.3288523226937228","-6.461446813061642","-14.327416130476255","-4.429650286220303","-6.122339261568783","-10.734040760446288","-3.2819163467614105"
