"Step","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"0","-1345.6058744690904","-1497.7731029019437","-1153.0128476951738","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1351.2246408057715","-1480.4681560780632","-1154.0095024908212"
"300","-1344.5641995321228","-1489.1828888314335","-1152.8545769079715","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1351.2246408057715","-1480.4681560780632","-1154.0095024908212"
"600","-1348.109160649467","-1486.4248872779337","-1165.1003255296598","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1351.2246408057715","-1480.4681560780632","-1154.0095024908212"
"900","-1348.9904041085679","-1482.2995102489938","-1166.8626125530634","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1345.7120048970537","-1516.6107126585766","-1203.2852723368026","-1351.2246408057715","-1480.4681560780632","-1154.0095024908212"
"1200","-1539.8527266041692","-1694.6465024214394","-1380.56263614324","-1572.877137099191","-1633.2238505707028","-1478.6411176310162","-1609.0188740910846","-1776.2132159258676","-1478.5898169734774","-1628.6727565174074","-1791.2887236580154","-1504.5877156217302","-1623.0504161097695","-1838.234258832935","-1501.9399842001972"
"1500","-1504.1300720298293","-1648.0614354633854","-1455.1534300092214","-1488.7384288665246","-1535.5393444817842","-1427.7472328099195","-1519.8976874757725","-1745.328563650494","-1458.0016077016228","-1541.791349613754","-1626.3300931057852","-1471.2691762593531","-1490.3270178573375","-1541.433719955816","-1434.9014121513083"
"1800","-1387.309385493448","-1499.1372834545691","-1208.8555718871298","-1436.6202579257972","-1590.088924908107","-1312.4028383611183","-1413.4684726479602","-1466.794828220944","-1288.5780205564433","-1436.873795279993","-1506.4799929801682","-1349.0881538121873","-1409.548160229011","-1471.269826309691","-1225.9041953077194"
"2100","-1229.0376720699592","-1301.4454728098476","-1165.8813274472789","-1266.282942944073","-1325.963602293082","-1205.928354045735","-1285.1300696167534","-1372.6865003514254","-1150.0750134912323","-1238.1253826816758","-1341.7175355198954","-1165.3173417927514","-1262.768158058821","-1421.5446033629714","-1129.9930125265448"
"2400","-1133.8053623338506","-1273.7266294603642","-945.0007346516956","-1099.144240396669","-1256.389128165724","-915.6566555905862","-1102.348475620484","-1187.647943945055","-921.3967863712893","-1010.8190431815377","-1194.1206973363828","-718.0345279909462","-1081.4593996585968","-1225.082886650613","-920.6179334001139"
"2700","-948.8136832153702","-1222.5853070466499","-759.9782500171948","-1001.8774184702013","-1225.5529876211979","-802.7785532097023","-896.9839149677721","-1056.3231681047778","-623.2453632594854","-1003.8070711472179","-1391.697979135483","-543.5790983427217","-804.9627545984047","-1002.3949624669042","-533.6804872847106"
"3000","-776.4112586750401","-1042.8704445954108","-168.05971861446864","-759.4444177313294","-969.7801811644729","-182.4252915886555","-615.217371101709","-1102.6266619367013","-325.29350698285435","-659.8830090873752","-1054.9846945193058","-328.7034854213772","-722.8565950267689","-1249.6181114852805","-186.60344522374868"
"3300","-480.7638923918279","-924.3690520300339","-161.29004299941795","-514.6358455245391","-701.1595086391261","-224.31710911705127","-397.323431001358","-720.2980694994269","-155.0463346990826","-600.7022877549729","-1239.1186967827139","-192.2911919880065","-483.2792519814355","-1136.3427951389644","-185.11089453209348"
"3600","-287.3987428522393","-481.2021827803034","-158.86046423983228","-293.14660506301607","-399.27769886729095","-153.24548710692792","-404.4690197065149","-874.085073679103","-153.95802820988894","-497.74769675816043","-865.5340135344707","-180.4123197482167","-450.223374720431","-1158.7014870490884","-153.4207735051187"
"3900","-279.6728182194034","-611.6305148033027","-129.87095184569526","-255.06228735776216","-914.7119540669333","-125.13652088499319","-366.3195956686715","-1100.4916015676752","-126.04796867590441","-319.8041580762791","-893.0871135471883","-178.9613846982916","-324.05606269008496","-714.1228174808997","-132.7969970702811"
"4200","-218.2407725482758","-408.3701765559166","-125.59139432698377","-166.11940512066678","-220.43394813088534","-123.52276346227197","-296.18376551953986","-1207.3988337199985","-127.60714849228452","-333.9594721445168","-743.3946262252853","-129.61374033670592","-247.89355557627636","-573.0535284431395","-126.47537520975266"
"4500","-197.00651856429144","-348.64697802365487","-123.46955951163326","-186.72220961667975","-413.3732972420682","-122.12384704011313","-200.4380284012551","-362.2219856042242","-123.27583208693443","-223.49423558531453","-390.40218671203786","-124.17334135780837","-302.7192775475239","-743.718327437977","-125.21592142471172"
"4800","-196.21136736111873","-404.6241596051514","-123.79789096619098","-166.06420618167084","-237.5188982094707","-120.75788031714232","-152.10758353842664","-211.09553999274763","-120.72252791869855","-201.9693443181825","-618.0931818323999","-121.4777694816137","-225.4919651708783","-584.6353248321232","-125.19486191682395"
"5100","-247.88729446180915","-510.04457492058236","-124.27600632795267","-179.95751581717943","-326.9535526142514","-120.58311840997355","-190.47241077488894","-376.52646432994305","-121.22388354473942","-191.5885506197159","-364.46347803866206","-123.4057500597432","-191.1819980745783","-555.6800379345088","-120.16243296474379"
"5400","-203.46992246144197","-385.86760487612185","-150.82485336495415","-197.14774595598044","-405.9942433326673","-121.29918694816665","-190.01261100119638","-406.23221522084805","-121.77826124706273","-178.84005361267432","-376.9793468858124","-118.94293329439282","-208.85946271453267","-747.392134365097","-118.97722216509324"
"5700","-215.56904672187684","-324.9738216536772","-122.62856811708168","-218.38706868970993","-496.7816709771829","-120.16175383417003","-190.43672976418446","-354.9092100552784","-123.23471519230377","-149.67341265222626","-206.56027898201924","-121.44566669641893","-206.32294849401129","-581.882665770878","-118.84305035554237"
"6000","-223.99070970810095","-357.5643770059181","-120.63640192559924","-246.18623300147047","-563.8886482382401","-120.64290255360216","-164.06575393010644","-218.26348858984034","-120.47856797971124","-151.12022890911112","-201.74338736428973","-118.5263397235392","-156.24700339545888","-234.78571895692522","-118.97184956793762"
"6300","-211.0549052863662","-645.9735518214072","-121.90308678682575","-285.12745805710045","-623.693673435451","-119.68399026322234","-277.9748440812092","-729.7914829917033","-130.71122570139116","-153.98173144905792","-208.21190752599446","-120.59861562471747","-186.4612106199458","-546.5750461930579","-119.47230432550141"
"6600","-205.0390337478027","-428.08291223308333","-124.90826034161744","-254.55693799541078","-548.4224930186149","-121.72991064852359","-184.52605149084465","-473.613982488859","-120.34655884253812","-151.7810006143778","-205.30939120629228","-121.32230511641917","-150.04806583438133","-204.60913244077855","-119.85686412645755"
"6900","-249.93155787506504","-748.2650993375521","-120.88610674849456","-217.3966637433793","-482.69516165490614","-118.31216538507798","-153.71537870964892","-201.04262894304975","-124.2499379047232","-149.58699698125452","-205.34395599793908","-120.90606015571684","-188.17983760699684","-548.8181948501215","-120.31849300914453"
"7200","-171.63023386983292","-298.913833823609","-124.07996581202751","-257.8118334740393","-492.5370675819804","-120.18417542385535","-177.30949449594831","-285.37988421193825","-123.5676681883524","-150.02530658420272","-208.2238371728789","-120.1809608167473","-153.93088488794123","-218.013311150341","-120.54248986433961"
"7500","-185.08907202812892","-321.0260420221137","-122.48466841588956","-285.5701247149594","-614.6379279499532","-122.17138097345519","-158.48743586752676","-214.60689326483651","-126.4333408759599","-152.34035957884663","-206.1104950027564","-120.26876383110134","-186.01362241457852","-514.6712112478323","-120.83041603713248"
