"Step","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: UTE_linear - eval/avg_reward","Group: UTE_linear - eval/avg_reward__MIN","Group: UTE_linear - eval/avg_reward__MAX","Group: EQL_linear001 - eval/avg_reward","Group: EQL_linear001 - eval/avg_reward__MIN","Group: EQL_linear001 - eval/avg_reward__MAX","Group: TempoRL_linear - eval/avg_reward","Group: TempoRL_linear - eval/avg_reward__MIN","Group: TempoRL_linear - eval/avg_reward__MAX","Group: DDQN_linear - eval/avg_reward","Group: DDQN_linear - eval/avg_reward__MIN","Group: DDQN_linear - eval/avg_reward__MAX"
"0","-101.1","-109","-100","-100.4","-102","-100","-101.1","-109","-100","-101.1","-109","-100","-100.2","-102","-100"
"500","-101.1","-109","-100","-100.4","-102","-100","-101.1","-109","-100","-101.1","-109","-100","-100.2","-102","-100"
"1000","-101.1","-109","-100","-100.4","-102","-100","-101.1","-109","-100","-101.1","-109","-100","-100.3","-102","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4000","-100","-100","-100","-100","-100","-100","-101.5","-115","-100","-100","-100","-100","-100","-100","-100"
"4500","-103","-117","-100","-101.3","-113","-100","-88.2","-122","-22","-100","-100","-100","-100","-100","-100"
"5000","-100","-100","-100","-92.2","-100","-22","-69.6","-112","-20","-100","-100","-100","-100","-100","-100"
"5500","-84.5","-100","-22","-92.2","-100","-22","-61.2","-100","-20","-100","-100","-100","-102.7","-115","-100"
"6000","-85.9","-115","-22","-84.4","-100","-22","-61.2","-100","-20","-93.5","-115","-20","-102.7","-115","-100"
"6500","-87.4","-115","-22","-85.2","-110","-20","-55.3","-117","-20","-92.9","-109","-20","-102.7","-115","-100"
"7000","-87.5","-115","-22","-78.7","-115","-20","-58","-123","-22","-85.1","-109","-20","-101.5","-115","-100"
"7500","-93","-121","-20","-68.4","-100","-20","-55.4","-123","-20","-95.3","-117","-20","-104.2","-115","-100"
"8000","-87.5","-118","-20","-69.9","-115","-20","-56.1","-125","-20","-93.9","-119","-20","-101.1","-111","-100"
"8500","-88.7","-122","-23","-80.8","-116","-20","-53.4","-100","-20","-92","-100","-20","-102.1","-112","-100"
"9000","-72.5","-119","-20","-60.2","-100","-20","-54.8","-117","-20","-92","-100","-20","-100","-100","-100"
"9500","-70.7","-118","-20","-69.6","-114","-20","-63","-117","-20","-85.5","-112","-20","-100","-100","-100"
"10000","-61","-100","-20","-70.5","-114","-20","-62.3","-117","-20","-84.2","-100","-20","-100","-100","-100"
"10500","-60.9","-100","-20","-61.1","-111","-20","-56.5","-120","-20","-84.2","-100","-20","-100","-100","-100"
"11000","-60.9","-100","-20","-68","-100","-20","-54.6","-120","-20","-84.3","-100","-20","-100","-100","-100"
"11500","-49.9","-123","-20","-76","-100","-20","-54.2","-120","-20","-86","-118","-20","-100","-100","-100"
"12000","-62.9","-119","-20","-76","-100","-20","-44.8","-100","-20","-95.4","-118","-20","-100","-100","-100"
"12500","-39.3","-119","-20","-95.4","-120","-20","-52.6","-100","-20","-69.8","-116","-20","-100","-100","-100"
"13000","-53.3","-100","-20","-63.6","-120","-20","-54.5","-121","-20","-52.2","-100","-20","-101.8","-118","-100"
"13500","-47.2","-119","-20","-71.2","-118","-20","-52.5","-100","-20","-44.3","-100","-20","-101.3","-113","-100"
"14000","-64.7","-121","-20","-61.8","-118","-20","-53.6","-111","-20","-44.3","-100","-20","-101.3","-113","-100"
"14500","-54.8","-119","-20","-77.6","-114","-20","-36.4","-100","-20","-44.2","-100","-20","-100","-100","-100"
"15000","-39.5","-119","-20","-60","-100","-20","-36.4","-100","-20","-44.2","-100","-20","-100","-100","-100"
"15500","-31","-119","-20","-60","-100","-20","-47","-124","-20","-46","-118","-20","-100","-100","-100"
"16000","-46.6","-119","-20","-60.3","-100","-20","-38.4","-123","-20","-38.2","-118","-20","-100","-100","-100"
"16500","-28.2","-100","-20","-60","-100","-20","-38.6","-123","-20","-52.2","-100","-20","-103.5","-122","-100"
"17000","-38.4","-120","-20","-52","-100","-20","-38.6","-123","-20","-44.5","-100","-20","-101.3","-113","-100"
"17500","-20.5","-22","-20","-36.2","-100","-20","-36.3","-100","-20","-44.3","-100","-20","-101.4","-114","-100"
"18000","-20.2","-22","-20","-36.1","-100","-20","-28.5","-100","-20","-36.6","-100","-20","-101.4","-114","-100"
"18500","-20.4","-22","-20","-36","-100","-20","-36","-100","-20","-20.5","-22","-20","-103.4","-120","-100"
"19000","-20.7","-25","-20","-28.2","-100","-20","-28","-100","-20","-20.9","-23","-20","-101.4","-114","-100"
"19500","-28.1","-100","-20","-28","-100","-20","-20","-20","-20","-20.9","-23","-20","-100","-100","-100"
"20000","-36","-100","-20","-28","-100","-20","-20","-20","-20","-20.5","-22","-20","-84.2","-100","-20"
"20500","-28.3","-100","-20","-28","-100","-20","-20.4","-23","-20","-28.2","-100","-20","-84.2","-100","-20"
"21000","-20","-20","-20","-36","-100","-20","-20","-20","-20","-28.1","-100","-20","-84.2","-100","-20"
"21500","-20.2","-21","-20","-28","-100","-20","-20","-20","-20","-20.2","-22","-20","-76.2","-100","-20"
"22000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-28","-100","-20","-68.2","-100","-20"
"22500","-28","-100","-20","-20.2","-22","-20","-20.1","-21","-20","-20.3","-22","-20","-68.2","-100","-20"
"23000","-28.2","-100","-20","-20","-20","-20","-20.1","-21","-20","-28","-100","-20","-60.4","-100","-20"
"23500","-36","-100","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20","-52.4","-100","-20"
"24000","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-52.4","-100","-20"
"24500","-20.1","-21","-20","-28","-100","-20","-20.2","-22","-20","-20","-20","-20","-44.6","-100","-20"
"25000","-20.1","-21","-20","-20","-20","-20","-20.2","-22","-20","-20","-20","-20","-52.6","-100","-20"
"25500","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-52.6","-100","-20"
"26000","-20.1","-21","-20","-28","-100","-20","-20","-20","-20","-20","-20","-20","-36.6","-100","-20"
"26500","-20.1","-21","-20","-28","-100","-20","-20","-20","-20","-20","-20","-20","-36.4","-100","-20"
"27000","-20.1","-21","-20","-20","-20","-20","-20.2","-22","-20","-28","-100","-20","-36.2","-100","-20"
"27500","-20.1","-21","-20","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-28.4","-100","-20"
"28000","-20.1","-21","-20","-20.2","-21","-20","-20.4","-24","-20","-20.2","-22","-20","-28.4","-100","-20"
"28500","-20","-20","-20","-20","-20","-20","-20.4","-24","-20","-20","-20","-20","-28.4","-100","-20"
"29000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.3","-23","-20","-20.2","-22","-20"
"29500","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-44.2","-100","-20"
"30000","-20.3","-23","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-28","-100","-20"
"30500","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-28.2","-100","-20"
"31000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-36","-100","-20"
"31500","-20.2","-22","-20","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20.2","-22","-20"
"32000","-20.2","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20"
"32500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20"
"33000","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20"
"33500","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20.2","-22","-20"
"34000","-20","-20","-20","-20","-20","-20","-20.2","-21","-20","-20","-20","-20","-20.2","-22","-20"
"34500","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20.2","-22","-20"
"35000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20.2","-22","-20"
"35500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20"
"36000","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20.2","-22","-20"
"36500","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20.1","-21","-20","-20","-20","-20"
"37000","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20","-20","-20"
"37500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"38000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"38500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"39000","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20","-20","-20"
"39500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"40000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"40500","-20.3","-23","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"41000","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20","-20","-20"
"41500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"42000","-20","-20","-20","-20","-20","-20","-20.3","-23","-20","-20","-20","-20","-20","-20","-20"
"42500","-20","-20","-20","-20","-20","-20","-20.3","-23","-20","-20.1","-21","-20","-20","-20","-20"
"43000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"43500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"44000","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20","-20","-20"
"44500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-28.1","-100","-20","-20","-20","-20"
"45000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"45500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"46000","-20.1","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"46500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"47000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"47500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"48000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"48500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"49000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"49500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"50000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
